kbinact,aceph01,aceph02,aceph03,aceph04
122,1244340.0,1240192.0,1318812.0,1293932.0
123,1245128.0,1239600.0,1320136.0,1297028.0
124,1249716.0,1244012.0,1323472.0,1298972.0
125,1250580.0,1245308.0,1325532.0,1302160.0
126,1250840.0,1247132.0,1327792.0,1302608.0
127,1253680.0,1249452.0,1328788.0,1303552.0
128,1255464.0,1250516.0,1337284.0,1307436.0
129,1256836.0,1250824.0,1332436.0,1309300.0
130,1258356.0,1251420.0,1334424.0,1311116.0
131,1261168.0,1253236.0,1334956.0,1310016.0
132,1267340.0,1258108.0,1338824.0,1321596.0
133,1268576.0,1259720.0,1341584.0,1320800.0
134,1267680.0,1261004.0,1341836.0,1322992.0
135,1269676.0,1261056.0,1342644.0,1316224.0
136,1269780.0,1261988.0,1344428.0,1318320.0
137,1271164.0,1261876.0,1345924.0,1320932.0
138,1272380.0,1263332.0,1345172.0,1322264.0
139,1273916.0,1264456.0,1346948.0,1321504.0
140,1277400.0,1267692.0,1348876.0,1322588.0
141,1279672.0,1268460.0,1349912.0,1327384.0
142,1282008.0,1269044.0,1352444.0,1327744.0
143,1274864.0,1269800.0,1353800.0,1329932.0
144,1269460.0,1270248.0,1353744.0,1330808.0
145,1270400.0,1270508.0,1354820.0,1331616.0
146,1272972.0,1271584.0,1356960.0,1332204.0
147,1278268.0,1276568.0,1359620.0,1336196.0
148,1278560.0,1277660.0,1360388.0,1336080.0
149,1281080.0,1281092.0,1362492.0,1338640.0
150,1283044.0,1282296.0,1363964.0,1340648.0
151,1285852.0,1281376.0,1365296.0,1341280.0
152,1286488.0,1283440.0,1366460.0,1344560.0
153,1289348.0,1286940.0,1370620.0,1345692.0
154,1290792.0,1286384.0,1368732.0,1349172.0
155,1291852.0,1286584.0,1369392.0,1349864.0
156,1293756.0,1287544.0,1370040.0,1349264.0
157,1296616.0,1290940.0,1374912.0,1347908.0
158,1298876.0,1293204.0,1377680.0,1352524.0
159,1300680.0,1295476.0,1379788.0,1355480.0
160,1304488.0,1299560.0,1382956.0,1358540.0
161,1309116.0,1303348.0,1389148.0,1363676.0
162,1313564.0,1307064.0,1392436.0,1364656.0
163,1315284.0,1306240.0,1393896.0,1370592.0
164,1316236.0,1307676.0,1394012.0,1370156.0
165,1317584.0,1307532.0,1393812.0,1368892.0
166,1318876.0,1309784.0,1393688.0,1370024.0
167,1318172.0,1309580.0,1395656.0,1373768.0
168,1319184.0,1310448.0,1397728.0,1374248.0
169,1321724.0,1310264.0,1400488.0,1374760.0
170,1324064.0,1312368.0,1403576.0,1374856.0
171,1322916.0,1313188.0,1401188.0,1374700.0
172,1325404.0,1315828.0,1400088.0,1375656.0
173,1327112.0,1316832.0,1402264.0,1376996.0
174,1328884.0,1318816.0,1402680.0,1378296.0
175,1330020.0,1319584.0,1403696.0,1380712.0
176,1332384.0,1320088.0,1408188.0,1383436.0
177,1333296.0,1321264.0,1407316.0,1384952.0
178,1334880.0,1324160.0,1410064.0,1384404.0
179,1337164.0,1324812.0,1410964.0,1386444.0
180,1339096.0,1327504.0,1414852.0,1388356.0
181,1341508.0,1328820.0,1414304.0,1391004.0
182,1342332.0,1329276.0,1413380.0,1390100.0
183,1343808.0,1331288.0,1414312.0,1391384.0
184,1343236.0,1332328.0,1415712.0,1395364.0
185,1345764.0,1335424.0,1418708.0,1395320.0
186,1348492.0,1337664.0,1423152.0,1397532.0
187,1348984.0,1338120.0,1425212.0,1415000.0
188,1350324.0,1337960.0,1426912.0,1408004.0
189,1351860.0,1339068.0,1426020.0,1399648.0
190,1358480.0,1342588.0,1430280.0,1402540.0
191,1361792.0,1343852.0,1432576.0,1405224.0
192,1359908.0,1344320.0,1433532.0,1406392.0
193,1362168.0,1347544.0,1433360.0,1406056.0
194,1367324.0,1350384.0,1438884.0,1407816.0
195,1369860.0,1353016.0,1440640.0,1413724.0
196,1371020.0,1353512.0,1441152.0,1414440.0
197,1372236.0,1352628.0,1440316.0,1415668.0
198,1372436.0,1354276.0,1441420.0,1416208.0
199,1376160.0,1357280.0,1443440.0,1415712.0
200,1375280.0,1357428.0,1444956.0,1417512.0
201,1376144.0,1360524.0,1447412.0,1418700.0
202,1377316.0,1360924.0,1447212.0,1419852.0
203,1378516.0,1360856.0,1447968.0,1420560.0
204,1390968.0,1362092.0,1449216.0,1420868.0
205,1382876.0,1363256.0,1450200.0,1422852.0
206,1385952.0,1365412.0,1451032.0,1425468.0
207,1384732.0,1368020.0,1453464.0,1427908.0
208,1386380.0,1367284.0,1455052.0,1428740.0
209,1387376.0,1365748.0,1455156.0,1428476.0
210,1388128.0,1366580.0,1455496.0,1430744.0
211,1392168.0,1370612.0,1457540.0,1429644.0
212,1397724.0,1372552.0,1458984.0,1432808.0
213,1380648.0,1372376.0,1459232.0,1434488.0
214,1381368.0,1372712.0,1459936.0,1435844.0
215,1383800.0,1373700.0,1461344.0,1435416.0
216,1388580.0,1377960.0,1466176.0,1434712.0
217,1392216.0,1379548.0,1467840.0,1440052.0
218,1392096.0,1381140.0,1467912.0,1441596.0
219,1391496.0,1381356.0,1468208.0,1442888.0
220,1392488.0,1382060.0,1469884.0,1442928.0
221,1397428.0,1385040.0,1475704.0,1444528.0
222,1402244.0,1389612.0,1478904.0,1448080.0
223,1403500.0,1391864.0,1480148.0,1450040.0
224,1404708.0,1391660.0,1480540.0,1452664.0
225,1406556.0,1392456.0,1481796.0,1453052.0
226,1406044.0,1391044.0,1481448.0,1455840.0
227,1407616.0,1392104.0,1482780.0,1456236.0
228,1409792.0,1393848.0,1485956.0,1457908.0
229,1411600.0,1393896.0,1484936.0,1459336.0
230,1413312.0,1396324.0,1485568.0,1459888.0
231,1415540.0,1398012.0,1488396.0,1461048.0
232,1416420.0,1397568.0,1488284.0,1463172.0
233,1418328.0,1398452.0,1489156.0,1463328.0
234,1419908.0,1401320.0,1490304.0,1464876.0
235,1423552.0,1405896.0,1494508.0,1467452.0
236,1425296.0,1406656.0,1494344.0,1471232.0
237,1425252.0,1407764.0,1495528.0,1471544.0
238,1428716.0,1410172.0,1498144.0,1471172.0
239,1430980.0,1410680.0,1498596.0,1476776.0
240,1438764.0,1412584.0,1500368.0,1476872.0
241,1434060.0,1412760.0,1502896.0,1477872.0
242,1435768.0,1416200.0,1504916.0,1478936.0
243,1435992.0,1416460.0,1505516.0,1483252.0
244,1436680.0,1417516.0,1505824.0,1482180.0
245,1440192.0,1419108.0,1509752.0,1484832.0
246,1444560.0,1426096.0,1516264.0,1485960.0
247,1447292.0,1426556.0,1516388.0,1492168.0
248,1444940.0,1426496.0,1515848.0,1493044.0
249,1445880.0,1427912.0,1516580.0,1493240.0
250,1449940.0,1428476.0,1520620.0,1494416.0
251,1455708.0,1432672.0,1524788.0,1497520.0
252,1456188.0,1432040.0,1526492.0,1500040.0
253,1455300.0,1432256.0,1526924.0,1500176.0
