op_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
17,0.14,0.055,0.074,0.06,0.007,0.023,0.058,0.046,0.097,0.916,0.174,0.005,0,0.12,0.092,0.005,0.051,0.064,0.017,0.028,0.116,0.061,0.098,0.078,1.32,0.085,0.021,0.083,1.583,0.056,0.124,0.078,0.08,0.143,0.021,0.051,0.182,0.168,0.055,0.041
18,0.035,0.011,0.046,0.008,0,0.004,0.025,0.069,0.057,0.828,0.123,0.008,1.039,0.082,0.166,0.005,0.023,0.061,0.006,0.033,0.102,0.115,0.074,0.067,0.978,0.12,0.067,0.112,0.665,0.045,0.096,0.045,0.049,0.079,0.005,0.051,0.109,0,0.112,0.03
19,0.034,0.005,0.011,0.004,0,0.005,0.005,0.017,0,0.784,0.131,0,0.435,0.035,0.178,0,0.004,0.026,0.076,0.061,0.102,0.032,0.076,0.005,0.442,0.049,0.011,0.053,0.027,0.004,0.031,0.019,0.051,0.057,0.005,0.004,0.086,0,0.056,0.217
20,0.003,0.007,0.005,0.006,0,0,0,0.004,0,0.396,0.12,0,0.014,0.054,0.038,0,0.163,0.005,0,0.005,0.074,0.076,0.032,0.006,0.058,0.088,0.004,0.003,0.004,0.112,0.015,0.005,0.077,0.004,0,0.102,0.052,0,0.05,0
21,0.004,0.0,0.006,0.0,0.0,0.0,0.001,0.005,0,0.436,0.007,0.0,0.008,0.006,0.066,0.0,0.0,0.007,0,0.072,0.187,0.006,0.142,0.0,0.004,0.112,0.005,0.074,0.004,0.0,0.005,0.004,0.0,0.045,0,0,0.195,0,0.005,0.0
22,0,0,0.0,0.0,1.774,0.001,0.0,0,0,0.137,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
23,0.0,0,0,0,0.005,0,0,0,0,0.0,0,0.797,0.0,0.0,0.0,0.891,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.001,0.0,0,0,0.0,0
24,0,0,0,0,0.215,2.104,1.189,0.0,0,0,0.001,0.03,0,0.0,0,0.006,0,0,0.925,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.011,0.0,0.001,0,0.001,0.01
25,0.0,0.016,0,2.054,0.006,0.005,0.006,0.0,0,0,0,0.69,0,0,0,0.149,0.257,0,0.061,0.0,0.001,0.0,0,1.443,0.0,0,0.0,0.0,0.0,0.649,0.0,0.0,0.012,0,0,0.016,0,0,0.0,0.004
26,2.233,0.004,1.237,0.007,0.004,0.004,0.363,1.615,0,3.052,0.73,2.09,0.728,1.42,0.633,1.567,0.064,2.219,0.444,0.74,1.806,0.008,0.013,0.004,2.066,3.031,0.671,2.619,1.379,0,0.011,0.011,0.031,0.014,2.269,0.053,0.012,9.543,0.022,0.003
27,0,0.435,0.03,0.099,0.98,0.005,0.005,0.011,0,1.062,0.07,0.006,0.004,0.035,0.029,0.004,0.496,0.039,0.004,0.023,0.094,0.004,0.058,0.005,0.025,1.202,0.004,0.05,2.977,2.225,0.004,0.004,0.72,0.095,0,0.188,0.035,3.6,0,2.392
28,0,0.006,0.199,0.006,0.202,0.003,0.005,0.004,5.919,0.202,0.807,0.553,0.262,0,0.529,0.764,2.416,0.188,0.004,0.507,0.007,0.007,0.005,3.576,0.005,0.005,0.428,0.005,0.005,0,0.4,0.002,0.005,0.23,0,2.715,0.575,3.528,2.34,0.004
29,0,0.005,0.006,0.004,0.499,0,1.161,0.006,0.764,0.006,3.88,0.688,2.829,0,0.786,0.04,0.004,0.879,2.278,0.687,0.007,2.471,3.116,0.364,2.106,0.585,1.013,1.149,0.642,0,2.319,1.292,0.003,0.001,0,0.003,1.1,4.973,0,0.003
30,0,1.974,0.541,0.005,0.279,1.441,0.208,0.003,1.567,0.54,0.003,0.993,0.003,6.124,0.004,0.51,0.786,0.004,0.675,0.004,0.003,0.003,0.003,0.364,0.017,0.003,0.003,0.249,0.361,0,0.002,0.001,0.004,0,0,0.996,0.012,0.004,0,0.003
31,10.585,0.134,0.004,0.434,0.142,0.417,0.128,0.821,2.834,0.572,0.806,0.443,1.383,0,0.004,0.146,0.877,0.003,0,0.403,0.455,0.003,2.374,0.053,0.004,1.184,1.322,1.763,0.72,3.459,0.004,0.004,0.536,0,11.042,0.257,0.003,1.707,4.871,0.133
32,0,0.516,0.287,0.048,0,3.85,0.316,0.534,1.519,0.147,0.004,0.056,0.26,0,0.505,0.223,1.114,0.53,0,0.754,0.559,0.005,0,0.18,0.154,0.006,0.209,0.637,0.004,1.389,0.182,0.004,0.686,1.812,3.143,0.7,0.779,0.05,0,0
33,3.418,0.763,0.225,0.054,0.875,0.871,0,0.362,1.067,0.293,1.144,0,1.008,0,0.846,0,0.208,1.682,0,0.581,0.307,0.009,1.782,0.496,0.371,0.408,0.144,2.234,0.885,2.141,0.692,0.004,1.04,1.526,1.499,0,0.043,1.86,2.08,1.788
34,1.994,0.005,0.277,0.004,0.005,0,0,0.141,0.108,0.811,1.888,0.285,0.008,2.466,0,0.306,0.013,0.186,0,0.299,0.613,0.673,4.646,0.073,1.528,0.357,1.573,0.897,0.767,1.004,1.06,0.937,0.291,0.508,0,0,0.227,0.028,0.893,0
35,0.549,0.001,0.037,0.0,0.105,0.595,0,0.051,0.0,0.092,0.126,0,0.113,1.467,0,0.004,0.0,0.003,2.71,0.098,0.132,0.005,0,0.0,0.118,0.146,1.547,0.082,0.006,0,0.146,0.005,0.0,0.054,0.008,0,0.159,0.301,1.003,2.255
36,0,0.744,0,0.12,0.59,0.005,0,0,0.873,0.001,0.0,0,0.0,0.0,0,0.143,0.107,0.0,0.053,0,0,0.0,0,0.371,0.0,0,0,0,0.0,1.316,0,0.0,0.607,0.0,0.004,0,0.0,0.0,0.0,0.005
37,2.107,0,0.159,0.004,0.585,0.278,2.658,0.684,0.006,0.487,0.228,0,0.343,2.111,0,0.779,0.009,0.095,0.122,0.361,0.009,0.323,4.597,0.005,0.287,0.295,2.19,0.617,0.213,0.011,0.521,0.005,0.004,0.391,0.818,0,0.096,0.322,0.267,0.135
38,0,0.596,0,0.194,0.004,1.301,0.006,0.003,0.006,0.088,0.004,0,0.005,0.005,0,0,0.404,0.438,0.033,0,0.003,0.006,2.297,0.711,0.006,0.005,0.094,0.033,0.008,0.777,0.004,0.001,0.397,0.004,0.033,0,0.004,0.005,0.323,0.006
39,0.005,1.567,0.006,0.434,1.12,0.813,0.004,0.148,0.198,0.143,0.004,6.975,0.14,0.212,0,0,0.891,0.605,0.005,0,0.158,0.5,1.257,0.427,0.005,0.633,1.094,0.876,0.435,0.008,0.507,0.738,0.006,0.371,0.674,3.859,0.065,0.068,1.623,1.173
40,1.017,0.565,0,0.023,0.014,0.0,0.0,0.478,0.151,1.073,0.577,0,0.314,0.831,9.288,1.963,0.006,1.21,0.001,2.597,0.216,1.48,0.543,0.799,0.333,0.119,0.005,1.416,1.347,0.005,0.054,0.038,1.045,0.03,0.0,0.647,0.006,0.006,0.009,0.001
41,0.004,0,0,0.002,0.222,0.004,1.383,0.822,0.003,0.007,0.004,6.888,0.004,0.005,3.052,0.085,0.003,0.007,0.004,0,1.055,1.094,0.971,0,1.063,0.786,1.106,0,1.478,0,0.628,0.561,0,0.631,0.308,0.002,0.674,0.736,0.968,0.005
42,0.003,0.404,0,0.005,1.153,1.478,1.048,0.0,0.005,0.001,0.0,2.886,0.002,0.0,0.002,0.006,0.005,0.0,0.048,0,0,0,0,0.004,0.0,0.0,0,0,0.003,0.005,0,0.001,0,0.002,0.976,0.615,0,0.004,0.0,4.258
43,0.642,0.313,0,1.106,0.179,0.685,1.199,0.005,0.79,0.007,0.004,1.676,0.005,0.005,0.006,1.041,0.005,0.006,0.154,0,1.66,0.479,0.431,0.015,0.005,0.193,0.272,0,0.003,0.73,0.004,0.644,4.373,0.18,0.696,0.008,0.518,0.679,0.221,1.948
44,0.454,0.662,0,0.401,0.003,0.739,0.016,1.407,1.103,1.173,0.004,1.656,0.015,0.005,0.263,0.969,0.071,0.004,1.206,3.808,0.5,1.174,2.464,0,0.505,0.269,1.992,0,0.779,0.004,1.189,0.893,2.818,0.235,0.491,0.007,0.07,0.456,0.727,0.683
45,0.005,0.46,8.583,1.02,0.55,0.011,1.094,0,0.52,1.231,0.004,0.0,0.058,0.004,0.649,0.006,1.297,0.037,0.781,1.287,0,0.716,2.665,1.299,0.646,0.039,0.522,0,1.294,0.733,1.552,0.005,1.75,0.722,0.004,0.444,0.495,0.005,0.007,0.22
46,0.199,0.006,3.124,0.366,0.117,0.002,0,0,1.001,0.401,0.225,0.694,0.38,0.304,3.303,0.846,1.32,1.184,0.005,0.732,0,0.902,0.788,0.011,0.006,1.687,0.614,0,0.005,0.012,0.318,0.801,0.945,0.915,0.007,0.43,0.69,2.005,0.535,0.006
47,0.006,0.008,0.224,0.414,0.386,0.231,0.162,0,0,0.107,0.13,0.456,0,0.004,0.091,0.286,0,0.008,0.571,0.151,4.578,0.009,0.009,0.007,0.008,0.007,0.074,7.584,0,0.005,0.505,0.342,0.011,0.128,0.54,0.005,1.015,0,0.624,0.492
48,0.006,0.028,0.288,0.414,0.262,0.211,0.274,0,0,0.009,0.002,0.264,0,0.008,5.074,0.311,0,0.862,0.097,0.284,0,0.006,0.01,0.306,0.007,0.006,0.007,7.299,0,0.128,0.003,0.003,1.08,2.004,0.219,1.193,0.007,0,0.361,0.105
49,0.341,0.146,1.586,0.4,0.475,0.257,0.173,7.386,1.434,0.625,0.752,0.004,0,0.679,0.081,0.005,4.457,0.414,0.006,0.857,4.802,0.006,0.005,0.067,0.634,0.47,0.007,2.856,2.844,0.009,0.476,0.637,0.41,0.17,0.007,0.493,0.161,3.538,0.116,0.075
50,0.234,0.008,0.685,0.183,0,0.004,0.005,1.934,0.489,0.432,0.213,0.449,1.751,0.132,0.025,0.235,1.167,0.173,0.004,0.339,2.984,0.428,0.229,0.484,0.309,0.472,0.125,1.189,0.989,0,0.056,0.305,0.169,0.036,0.004,0.151,0.217,0,0.488,0.005
51,0.18,0.007,0.413,0.115,0.082,0.311,0.68,0.943,0.401,0.238,0.136,0,0.069,0.059,0.027,0,0.005,0,0.402,0.309,2.293,0.919,0.04,0.359,0.494,0.206,0.385,0.311,0.383,0,0.097,0.006,0.005,0.13,0.259,0.106,0.13,6.46,0.037,0.006
52,0.9,0.024,0.8,0.368,0.368,0,0,0.146,0.423,0.006,0.003,0.097,0.005,0,0.006,0.079,0.853,1.008,0,0.005,1.064,0,0.019,0.741,0.373,0.159,0.055,0.526,0.193,0,0.144,0.222,0.127,0.118,0,0.179,0.559,0,0.06,0.003
53,0.601,0.001,0.354,0.0,0.005,0.285,0.28,0.988,0.0,0.453,0.311,0.071,0.412,0,0.502,0.083,0.0,0.208,0.061,0.303,0.895,0,0.007,0.007,0.413,0.519,0.193,0.527,1.347,1.861,0.202,0.006,0.0,0.128,0.005,0,0.423,6.555,0.007,0.005
54,0,0.006,0.0,0.237,0,0.156,0.405,0,0.136,0.001,0.0,0.051,0.0,0,0,0.089,0.057,0.0,0.123,0,0.005,0,0.005,0.131,0.007,0.006,0.007,0.008,0.009,1.944,0,0.0,0.035,0.0,0,0.078,0.0,0,0,0.364
55,0.48,0.741,0.26,0.159,0.767,0,0.005,0.171,0.306,0.427,0.013,0,0.087,0,0.035,0,0.042,0.139,0.125,0.055,0.006,0,0.126,0.228,0.004,0.005,0.006,0.321,0.004,0.384,0.005,0.005,0.496,0.077,0,0.55,0.005,3.863,1.64,0.005
56,0.323,0.005,0.338,0.006,0.63,0,0,0.203,0.006,0,0.305,1.334,0.058,2.289,0.317,0.339,0.112,0.195,0,0.047,0.35,2.788,0.183,0.258,0.067,0.168,0.119,0.103,0.09,0.821,0.317,0.198,0.013,0.359,0,0.133,0.194,0.577,3.139,0
57,0.819,0,0.023,0,0.303,0,0.093,0.004,0.0,0,0.004,0.337,0.189,0.135,0.05,0.032,0.0,0.11,0.706,0.099,0.022,0.184,0.052,0,0.243,0.534,0.365,0.556,0.561,0,0.019,0.013,0.0,0.149,5.834,0,0.005,0.065,0,0.239
58,0.0,0.898,0.0,0.004,0.492,4.336,0.13,0.0,0.119,0,0.0,0.009,0,0.0,0.0,0.107,0.262,0.0,3.956,0.0,0.001,0.0,0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0.136,0.0,3.169,0.109,0.0,0.0,0,0.264
59,0.164,1.126,0.828,0.324,0.211,0,0.234,0.428,0.115,0,2.187,0.103,0.006,1.332,0.649,0.404,0.437,0.547,1.022,0.361,0,0.0,0,0.638,0.001,0,0.0,0.001,0.0,0.357,0.234,0.005,0.821,0.006,0.321,0.487,0.006,0.008,0,0.214
60,0.389,0.764,0.145,0.261,0.101,4.823,0.34,0.352,0.006,5.406,1.121,0.124,0.519,1.181,0.256,0.099,0.113,0.252,0.338,0.368,0.53,1.605,1.598,0.046,0.968,0.706,0.006,0.771,1.023,0.719,0.006,0.173,0.13,0.41,0.44,0.048,0.706,0.484,6.895,1.259
61,0.446,0,0.054,0.045,0.308,2.028,0.007,0.013,0.077,1.028,0.197,0.496,0.007,0.344,0.011,0.884,0.09,0.092,0.24,0.007,0.619,0.705,0.44,0.072,0.47,0.364,0.169,0.371,0.095,0.557,0.131,0.005,0.278,0.014,1.213,0,0.008,0.047,0,0
62,0.011,1.997,0.011,0.099,1.009,0.726,0.096,0.403,0.127,0.143,0.011,0.02,0.3,1.674,0,0,0.205,0.009,0.802,0.744,0.318,0.538,0.845,0.215,0.113,0.442,0.595,0.359,0.392,0.693,0.049,0.011,0.223,0.266,0.339,2.655,0.128,0.039,2.808,1.978
63,0.109,2.452,0.242,0.111,0.005,0.006,0.349,0.059,0.188,0.169,0.107,0.0,0.182,0.371,2.584,4.108,0.136,0.097,0.005,0.344,0.369,0.146,0.352,1.142,0.509,0.217,0.23,0.413,0.208,0.015,0.407,0.187,0.377,0.247,0.006,1.636,0.249,0.237,0.86,0.828
64,0.247,0.973,0.272,0.629,0.231,1.294,0.553,0.019,0.19,0.378,0.674,0.313,0.561,0.844,0.72,0,0.397,0.583,0.006,0.255,0.128,0.534,0.283,1.918,0.203,0.222,0.067,0.068,0.293,0.64,0.138,0,0.006,0.237,0.004,0,0.198,0.109,1.144,0.006
65,0.678,2.226,0,1.451,1.04,0.004,0.008,0.181,0.006,0.009,0.005,0.946,0.132,0.374,0.855,2.491,0.244,0.148,0.15,0,0.448,0.608,0.187,0,0.2,0.098,0.414,0,0.243,0.005,0.012,1.633,0.008,0.008,0.005,2.666,0.01,0.014,0.009,0.004
66,0.811,0.005,0,0.005,0.078,0.305,0.517,0.0,0.003,1.062,0.004,0,0.004,0.006,0.922,0.973,0.589,0.28,0.347,0,0.099,0.006,0.682,0,0.163,1.127,0.847,0,0.239,0.005,0.004,0,0.005,0.005,0.79,2.007,0.005,0.006,0.009,0.209
67,0.004,1.396,0,0.359,0.129,1.124,0.038,0.005,0.23,0.006,0.346,0,0.005,0.129,0.006,0.167,0.389,0.691,0.728,0,0.005,0.532,0.862,4.682,0.107,0.281,0.004,0,1.114,0.058,0.004,0,0.026,0.004,0.825,0.802,0.005,0.005,0.006,1.047
68,0.685,1.007,1.59,0.589,0.216,0.094,0.13,0.092,0.282,0.51,0.452,5.15,0.211,0.496,0.858,0.008,0.949,0.209,0.031,0,0.563,0.11,0.009,1.329,0.006,0.079,0.256,0,0.006,0.179,0.296,1.328,0.3,0.319,0.084,0.018,0.558,0.835,0.708,0.108
69,0.017,0.166,0.411,0.127,0.013,0.005,0.003,0,0.201,0.238,0.193,4.827,0.506,0.006,1.791,0.28,0.123,0.348,0.004,5.434,0.286,0.509,0.549,0.117,0.345,0.307,0.656,6.139,0.437,0.546,0.376,0.398,0,0.848,0.0,0.128,0.116,0.408,0.359,0.475
70,0.056,0.004,0.399,0.003,0.299,1.038,1.126,0,0.005,0.136,0.167,2.749,0.078,0.16,0.04,0.005,0.006,0.007,0.01,1.144,0,0.006,0.163,0.035,0.107,0.019,0.063,1.636,1.433,0.005,0.122,0.016,0,0.122,1.042,0.003,0.735,0.058,0.028,1.781
71,0.003,0.463,0.006,0.793,0.045,0.006,0.004,0,0.742,0.007,0.005,0.923,0.004,0.004,0.136,2.106,0.494,0.004,0.338,0.062,1.174,0.02,0.022,0.003,0,0.004,0.005,0.044,0.804,0,0.39,0.002,0,0.324,0.415,0.006,0.251,0.004,0.003,0.189
72,0.01,0.431,0.008,0.004,0.124,0.395,0.571,7.718,1.342,2.022,0.394,0.058,0.358,0.236,0.006,0.564,0.005,0.006,1.545,0.007,1.837,0.002,0.002,0.759,2.429,0.002,0.0,0.002,0,0.006,1.288,0.005,0,1.26,0.948,0.004,1.301,0.005,0.005,0.011
73,0.005,0.765,0.006,1.137,0.004,0.117,0.951,0,0.757,0.217,0.004,0.005,0,0.006,0.005,0.135,0,0.006,0.104,0.005,0.661,0.561,0.957,0.008,0,0.005,0.194,1.258,0,1.161,0.019,0.004,2.906,0.151,0.088,1.419,0.199,0.227,0.133,0.548
74,1.16,0.101,0.633,0.26,0,0.284,0.466,0,0,0.61,0.495,0.292,0,1.501,0.315,0.124,1.077,0.899,0.135,3.346,0,0.824,1.134,0.124,4.52,0.792,0.803,1.729,5.121,0.005,0.066,1.354,1.132,0.193,0.789,0.491,0.626,0,0.274,0.538
75,0.063,0.129,0.105,0,0,0.342,0.05,6.141,0,0.301,0.101,0.003,0,0.049,0.241,0.118,0.016,0.211,0.15,0.108,0.887,1.358,0.009,0.171,5.953,0.485,0.748,0.884,1.32,0.005,0.183,0.729,1.175,0.313,0.386,0.012,0.482,0,0.369,0.368
76,0.196,0.014,0.005,0.84,0,0.008,0.002,1.196,3.23,0.359,0.005,0.202,2.088,0.016,0.043,0.006,0.657,0.065,0.071,0.006,0.245,0.333,0.32,0.416,2.121,0.03,0.052,0.264,0.126,0.148,0.113,0.346,0.064,0,0.005,0.573,0.221,0,0.167,0.038
77,0.08,0.004,0.06,0.003,0,0.007,0.006,0.26,0,0.018,0.348,0.0,0.725,0.193,0.31,0,0.004,0.377,0.005,0.42,0.522,0.771,0.233,0.29,0.695,0.004,0.427,0.285,0.247,0.006,0.216,0.474,0.005,3.944,0.682,0.002,0.127,5.212,0.336,0.388
78,0.635,0.009,0.003,0.009,2.199,0.006,0,2.197,3.272,0.004,0.002,1.087,0.001,0.044,0.008,0.257,0.976,0.277,0.006,0.159,0.003,0,0.009,0.582,0.477,0.774,0.007,0.004,0.004,0.785,0.003,0.002,0.006,3.217,0.002,0.866,0.006,0,0.004,0.015
79,0.009,0,0.008,0,1.785,0.968,0.814,0.008,1.143,0.009,1.181,0.157,0.309,0.134,0.86,0.105,0.006,0.008,0.59,0.128,0.006,0,0.48,0.004,0.804,0.285,1.615,0.427,0.175,0.006,0.54,0.759,0.003,0,0.006,0.006,0.332,0,0.34,0.005
80,0.0,0.005,0,1.279,0.418,0.006,0.27,0.009,0.373,0.004,0.003,0.593,0.0,0,0.002,0.276,1.511,0.005,0.152,0.01,0.003,0,0.006,0.434,0.007,0.005,0.006,0.006,0.011,6.999,0.002,0.002,0.006,0,0.907,0.006,0.004,0,0.007,0.08
81,2.915,0.163,0.843,0.266,2.108,0.003,0.815,2.098,0.578,7.174,0.408,0.38,1.627,1.228,0.625,0.263,0.146,1.341,0.354,1.101,2.038,0,0.042,0.179,1.89,1.342,0.36,1.727,1.786,0,0.005,0.005,0.253,5.359,0,0.478,0.005,3.257,0.005,0.191
82,0,0.558,0.223,0.934,0.006,0.007,0.077,0.152,0.43,0,0.26,0.005,0.196,0.473,0.557,0.249,0.447,0,0.322,0.023,0.006,2.503,0.006,0.002,0.436,0.008,0.844,0.043,0.005,0,0.499,0.203,1.163,0.761,1.823,1.033,0.26,1.176,5.136,0.058
83,0,0.03,0.629,0.015,0.005,0,0.555,0.598,0.267,0,0.538,0.946,0.185,0.01,0.558,0.307,0.013,2.305,1.616,0.638,0,3.25,0.595,0.342,0.0,0.002,0.003,0.569,0,2.233,0.504,0.61,0.048,1.131,0,0.009,1.413,0.004,3.662,0.004
84,0,0.571,0.546,0.462,0.325,0,0.007,0.107,0.191,0,0.618,0.008,0.011,1.33,0.337,0.005,0.083,0.92,0,0.012,0.226,0.659,0.194,0.17,0.246,0.086,0.184,0.007,0.223,0.782,0.007,0.007,0.005,0.006,0,0.004,0.252,0.476,0,0.904
85,0,0.005,0.007,0.041,0.21,0,0.028,0.373,0.005,0,0.464,0.004,0.318,0,0.004,0.005,0.629,0.752,0,0.278,0.004,1.268,0.879,0.25,0.005,0.261,0.007,0.706,0.28,2.115,0.0,0.005,1.931,0.004,0,1.28,0.003,0.004,1.922,0.004
86,3.041,0,0.226,0.005,1.26,0,0.004,0.087,0.006,8.128,1.766,0.34,1.365,0,0.914,0.732,0.005,0.643,0,0.646,2.345,0.221,1.673,0.006,1.508,1.528,0,2.294,0.006,0.154,1.38,0.422,1.474,3.377,0,0.005,0.483,1.299,1.477,0.004
87,0.004,0,0.005,0.141,0.152,5.184,0.006,0.059,0.248,3.085,0.164,0.006,0.003,0,0,0.006,0.004,0.004,8.958,0.01,0.105,0.004,0.049,0.72,0.349,0.085,0,0.741,0.033,0.764,0,0.105,0.333,0.007,2.28,0.002,0.004,0.005,0.003,0.176
88,2.422,2.48,0.689,0.197,0.375,0,0.23,0.095,0.555,1.619,0.003,0.169,0.004,1.745,0,0.103,0.354,0.01,2.713,0.004,0.381,0.386,0.857,0.246,0.624,0.679,0,0.913,0.774,0.599,1.92,0.763,0.353,0.282,0.081,0.958,0.189,0.006,1.163,0
89,0.916,0,0.166,0.051,0.006,2.257,0.022,0.233,0.188,1.063,1.569,1.508,0.455,0.779,4.632,1.999,0.005,0.259,1.218,0.639,0.523,0.59,0.383,0.781,0.657,0.482,1.995,0.378,0.486,0.548,0.586,0.359,0.237,0.273,1.262,0,0.828,0.541,2.264,1.66
90,2.71,0,0.797,0.082,0.294,2.324,0.009,0.876,0.145,1.53,0.773,0.688,0.005,0.005,0,0.61,0.084,0.005,1.106,0.005,0.054,0.479,0.453,0,0.36,0.7,0.787,0.803,0.175,0.166,0.742,0.004,0.499,0.249,1.442,0,0.039,0.124,0.644,0.28
91,0.145,4.138,0.079,0.266,0.287,0.009,0.007,0.061,0.711,0.124,0.237,1.719,0.155,0.168,0,1.618,1.21,0.008,0.266,0.155,0.107,0.051,0.487,0,0.023,0.16,0.083,0.073,0.06,1.472,0.012,0.098,1.579,0.191,0.053,4.714,0.019,0.019,0.3,0.097
92,0.11,1.316,0.868,0.007,0.039,0.417,0.459,0.119,0.128,0.775,0.687,0,0.204,1.065,5.311,1.102,0.023,1.38,0.005,0,1.523,1.699,1.648,0,0.559,0.801,0.917,0.471,0.957,0.029,0.257,5.079,0.008,0.642,0.173,0,1.571,0.613,0.937,0.037
93,0.004,2.518,0,0.336,0.012,0.03,0.024,0.01,0.072,0.056,0.005,2.018,0.006,0.015,3.288,0.465,0.342,0.143,0.231,0,0.024,0.156,0.051,0,0.049,0.224,0.025,0.39,0.55,0.155,0.004,0,0.13,0.046,0.292,2.676,0.049,0.035,0.026,0.397
94,0.184,0.019,4.547,0.191,0.11,0.497,0.26,0.177,0.28,0.174,0.2,0.696,0.079,0.333,0.928,1.222,0.326,0.166,0.334,0,0.457,0.701,0.655,5.484,0.213,0.381,0.297,0,0.32,0.168,0.24,1.661,0.154,0.091,0.603,0.479,0.069,0.138,0.211,0.822
95,0.005,0.697,1.163,0.445,0.003,0.008,0.698,0.009,0.441,0.087,0.005,0.01,0.141,0.263,0.863,0.008,0.265,0.223,0.561,0,0.08,0.31,0.273,7.643,0.005,0.289,0.01,0.953,0.005,0.237,0.16,0.41,0.409,0.373,0.235,0.386,0.464,0.225,0.159,0.044
96,0.337,0.54,0.537,0.434,0.007,0.506,0.299,0,0.047,0.53,0.241,1.829,0.103,0.302,0.467,0.746,0.476,0.127,0.005,3.973,0.406,0.542,0.347,4.893,0.285,0.012,0.581,0.319,1.364,0.006,0.447,0.785,0,0.569,0.036,0.71,0.92,0.482,0.538,0.05
97,0.773,0.256,0.656,0,0.274,0.797,1.108,0,0.362,0.008,0.639,0.136,0.233,0.073,0.799,0.705,0.005,0.142,0.665,1.092,0.19,0.041,0.014,0.436,0,0.005,0.006,0.014,0,0.058,0.19,0.004,0,0.595,0.464,0.005,0.106,0.177,0.59,1.549
98,0.415,0,0.279,0,0.047,0.076,0.559,0,0.6,0.242,0.004,0.077,0.007,0.014,0.04,0.35,0.173,0.008,0.576,0.882,0,0.076,0.063,0.004,1.544,0.005,0.034,0.004,1.695,0.16,0.007,0.079,2.109,0.036,0.978,0.005,0.079,0.081,0.008,0.25
99,0.453,0.311,0.003,0,0.059,0.138,0.296,0,0.928,0.439,0.004,0.21,0.537,0.099,0.299,0.529,1.923,0.223,0.081,2.104,0,0.647,0.845,0.033,0,0.613,0.536,0.312,0,0.007,0.171,0.729,1.95,1.011,0.089,0.885,0.389,0.66,0.005,0.084
100,0.231,0.018,0.215,0,0.002,0.029,0.043,2.885,0,0.288,0.799,0.011,2.441,1.058,0.07,0.012,0.34,0.452,0.539,0.8,5.255,0.483,0.014,0.01,3.756,0.476,0.284,1.14,4.307,0.01,0.351,1.087,0.178,0.444,0.348,0.361,0.789,1.774,0.69,0.75
101,0.341,0.064,0.103,2.588,0,0.01,0.26,0.947,0,0.445,0.149,0.003,0,0.131,0.109,0,2.441,0.118,0.019,0.122,4.069,0.01,0.006,0.296,1.999,0.013,0.013,0.005,1.657,0.291,0.394,0.176,0.362,0.148,0.18,0.425,0.52,0,0.153,0.095
102,0.072,0.199,0.048,0.205,1.739,0.003,0,0.229,0,0.166,0.073,0.003,0,0.889,0.115,0,0.341,0.887,0.004,1.73,2.707,0.314,0.014,0.115,0.455,0.124,0.304,0.107,0.05,0.008,0.45,0.217,0.49,0.518,0.003,0.011,0.316,0,1.057,0
