avgqu-sz,aceph01,aceph02,aceph03,aceph04
0,2.308,1.735,1.805,1.348
1,11.736,0.794,10.382,12.205
2,27.311,0.271,37.696,35.198
3,27.519,32.235,76.247,53.942
4,40.466,85.892,89.436,80.438
5,42.621,109.483,98.49,86.286
6,102.708,141.119,88.572,105.661
7,118.891,153.887,95.615,91.848
8,117.614,136.171,97.293,103.867
9,117.622,134.785,86.554,92.81
10,112.109,107.323,78.705,101.183
11,100.635,65.88,86.926,93.612
12,111.817,37.59,127.516,105.841
13,89.802,50.038,149.898,105.936
14,63.02,68.05,142.626,110.649
15,86.247,67.824,142.748,93.552
16,86.05,71.137,108.326,74.649
17,69.354,81.42,59.641,55.903
18,78.212,82.586,50.317,42.872
19,76.988,54.943,43.038,56.732
20,82.733,64.149,51.346,67.434
21,81.869,68.06,73.85,59.051
22,95.474,71.112,78.313,72.342
23,95.19,68.414,56.076,83.712
24,86.511,62.942,57.193,96.14
25,89.187,57.707,46.606,95.206
26,85.198,59.533,46.433,99.283
27,77.08,66.303,60.775,96.34
28,70.038,74.441,62.114,72.698
29,60.392,86.717,60.322,47.251
30,59.084,86.269,65.222,48.203
31,65.452,81.342,62.554,49.349
32,65.954,74.18,39.625,52.051
33,55.364,84.69,51.308,63.982
34,55.647,93.022,58.005,95.8
35,42.329,61.004,73.243,54.544
36,43.159,72.138,76.31,42.897
37,42.979,75.659,92.232,37.83
38,64.611,67.909,83.161,44.609
39,66.058,65.306,72.449,42.751
40,60.607,51.611,65.009,52.488
41,48.879,40.816,61.923,64.12
42,48.68,36.107,76.373,56.367
43,55.551,36.226,87.757,36.809
44,56.382,48.202,71.62,32.363
45,82.254,71.758,70.221,54.916
46,107.886,76.052,59.575,61.135
47,111.228,67.311,73.148,85.416
48,76.075,58.576,65.629,84.774
49,50.146,38.798,75.958,74.261
50,54.809,24.02,94.978,44.982
51,54.236,35.01,106.288,43.698
52,66.131,71.036,66.755,66.595
53,56.628,71.687,36.17,64.95
54,76.448,68.186,45.166,74.895
55,37.193,49.106,28.828,93.763
56,63.152,45.038,31.882,93.93
57,74.377,52.728,67.63,76.479
58,65.362,61.247,99.171,78.595
59,81.23,76.165,101.692,94.957
60,82.754,94.206,96.882,91.329
61,94.583,129.483,71.813,64.299
62,67.148,92.839,42.908,51.802
63,39.613,61.8,49.543,46.475
64,35.761,75.021,62.644,32.294
65,34.696,60.424,77.83,56.505
66,69.235,74.616,81.678,64.993
67,74.218,60.538,104.531,72.43
68,67.538,73.049,88.499,81.916
69,71.381,39.103,83.818,85.496
70,55.709,28.785,78.955,50.544
71,44.632,45.508,61.065,71.46
72,43.24,43.566,74.366,53.438
73,58.875,56.645,60.656,41.875
74,74.079,78.631,53.98,35.875
75,59.843,80.445,53.749,37.695
76,61.09,43.82,82.172,51.415
77,43.039,34.73,56.905,37.427
78,43.037,38.296,64.722,50.889
79,48.916,33.323,82.401,66.479
80,91.238,38.093,48.974,62.865
81,87.246,45.545,51.345,50.94
82,98.012,70.428,35.432,73.837
83,75.808,57.988,40.681,84.157
84,63.252,58.83,39.723,86.919
85,68.135,57.933,54.703,80.565
86,54.895,48.223,51.67,77.565
87,48.997,64.173,54.348,83.036
88,57.902,77.681,72.398,65.011
89,67.792,82.66,71.524,59.709
90,51.447,82.144,60.171,48.072
91,57.821,88.91,49.855,51.3
92,52.485,76.375,43.189,64.077
93,48.884,72.936,42.971,67.296
94,48.948,91.285,54.422,60.334
95,71.153,80.042,81.07,73.083
96,59.756,75.23,77.107,75.007
97,53.871,46.23,84.094,65.634
98,63.305,44.665,81.804,48.062
99,68.56,58.405,75.388,50.742
100,67.627,78.076,95.655,42.96
101,74.247,60.943,109.951,52.358
102,59.193,52.928,99.484,61.081
103,64.297,56.978,88.479,77.812
104,65.366,75.043,71.845,47.646
105,56.975,48.007,57.258,49.018
106,61.628,37.52,61.789,49.241
107,73.132,59.119,61.648,66.935
108,65.406,74.064,69.142,79.297
109,52.805,46.673,84.067,93.519
110,73.598,55.539,78.423,83.69
111,53.503,74.352,85.907,55.462
112,56.167,74.317,76.523,49.381
113,53.483,69.689,49.438,58.12
114,54.516,70.345,30.839,74.824
115,56.468,57.294,30.087,83.729
116,78.023,53.118,56.568,111.528
117,76.187,66.831,62.379,124.676
118,62.08,70.502,75.005,82.562
119,73.816,76.504,81.294,59.024
120,45.164,77.742,57.05,42.619
121,31.097,90.648,48.929,44.388
122,35.749,89.784,43.376,31.436
123,49.687,60.298,46.811,44.576
124,53.04,54.655,52.503,65.458
125,68.34,62.912,109.626,58.981
126,75.889,70.83,101.526,42.064
127,80.926,59.734,93.322,39.603
128,66.059,56.246,85.21,60.82
129,65.399,80.158,71.302,63.424
130,66.18,67.198,74.114,71.386
131,61.71,60.863,53.695,58.097
132,72.528,39.309,52.571,69.342
133,100.189,61.812,83.128,61.281
134,63.687,72.166,75.004,45.916
135,51.581,62.281,73.5,34.884
136,53.917,58.942,92.064,59.628
137,43.876,46.568,86.51,65.232
138,47.487,44.35,86.167,54.705
139,48.594,30.872,64.88,59.875
140,84.249,32.572,26.885,74.443
141,97.158,77.584,47.554,63.714
142,86.986,85.933,42.755,58.065
143,99.969,81.525,36.023,71.15
144,65.837,70.77,41.954,90.211
145,68.203,60.755,53.245,91.579
146,64.037,44.679,48.335,98.997
147,57.904,51.893,51.028,70.06
148,63.818,77.518,72.226,65.484
149,74.88,101.031,51.848,67.284
150,61.602,84.384,54.213,45.45
151,56.464,78.799,35.165,44.913
152,41.27,75.633,57.469,70.686
153,46.356,61.452,47.444,103.747
154,31.55,53.843,46.018,66.416
155,46.218,45.379,91.585,52.475
156,80.62,50.995,85.186,37.9
157,79.717,55.887,86.45,30.225
158,69.482,41.52,63.217,41.588
159,50.49,49.825,64.616,48.521
160,53.915,73.487,57.877,61.612
161,44.703,74.511,63.005,73.697
162,45.949,65.394,96.255,75.019
163,61.627,61.415,105.168,85.857
164,79.308,64.084,108.928,62.173
165,95.039,61.751,114.406,30.544
166,86.694,58.922,100.753,45.177
167,66.726,58.405,71.454,91.838
168,71.833,60.215,68.91,76.285
169,67.489,48.276,74.76,80.194
170,87.631,40.999,66.659,80.166
171,81.33,55.404,75.143,59.53
172,64.511,64.266,62.097,59.846
173,56.611,59.074,45.333,60.037
174,44.624,63.362,38.477,72.962
175,44.317,62.13,36.682,86.595
176,65.167,46.33,47.658,97.327
177,80.579,59.227,59.762,73.514
178,59.672,77.514,78.422,56.499
179,53.758,86.413,92.73,58.853
180,34.542,72.33,82.614,66.799
181,44.723,86.758,62.863,62.43
182,50.337,74.637,37.09,48.493
183,57.155,71.565,39.685,65.396
184,48.698,77.588,48.261,72.957
185,59.966,66.552,77.365,45.952
186,73.834,70.354,72.614,38.896
187,41.24,81.088,95.958,61.529
188,31.967,60.949,85.27,63.471
189,54.769,45.933,63.963,58.229
190,55.899,38.448,61.444,67.793
191,77.132,52.967,66.81,58.372
192,75.159,53.716,49.126,41.587
193,59.942,67.594,60.687,33.558
194,39.564,57.022,68.332,43.146
195,37.014,62.461,72.739,47.886
196,57.355,50.5,100.972,58.038
197,67.872,31.193,84.72,87.672
198,68.378,38.293,71.902,77.962
199,79.739,40.477,72.618,66.932
200,78.427,62.599,44.451,73.848
201,49.003,69.5,60.075,63.164
202,46.496,69.253,35.5,50.73
203,57.624,57.491,37.05,65.597
204,74.833,59.752,47.866,83.397
205,82.403,76.074,41.957,86.163
206,89.856,71.739,40.965,103.235
207,61.713,72.036,46.385,84.651
208,51.616,72.605,78.09,65.23
209,40.742,78.203,56.903,59.641
210,52.323,76.571,47.78,39.367
211,43.958,72.251,33.63,42.784
212,27.798,61.736,30.749,57.22
213,40.498,48.071,29.079,76.278
214,30.284,58.145,39.346,73.201
215,31.639,43.113,82.775,37.585
216,43.501,37.725,87.497,32.383
217,74.771,40.101,94.505,27.933
218,67.328,47.499,80.562,40.603
219,64.684,67.112,52.56,35.418
220,47.733,41.413,54.052,48.51
221,51.035,63.236,69.032,60.715
222,37.548,49.981,63.064,38.822
223,43.357,48.953,80.044,30.807
224,48.496,55.419,85.973,36.337
225,46.186,67.384,77.878,43.812
226,73.9,47.332,68.928,58.31
227,77.846,52.484,63.951,62.257
228,76.573,39.442,89.058,62.434
229,71.133,35.182,78.312,67.672
230,62.621,31.831,43.595,54.922
231,64.257,44.219,53.2,44.863
232,71.028,59.37,54.212,46.67
233,76.882,58.42,42.398,74.962
234,79.628,56.783,33.656,86.928
235,56.82,50.698,45.228,92.226
236,68.576,58.447,45.734,78.707
237,65.383,59.563,47.224,60.155
238,63.799,84.655,65.517,47.528
239,51.438,83.07,58.896,40.572
240,57.689,83.638,41.996,34.434
241,44.6,77.215,32.797,40.763
242,43.966,58.135,40.044,65.327
243,46.345,50.669,35.197,74.021
244,50.44,71.492,47.956,53.184
245,56.068,57.852,104.154,47.401
246,54.336,60.364,117.129,51.883
247,80.942,75.382,88.562,46.147
248,72.403,81.735,73.565,63.542
249,52.492,83.802,64.724,59.981
250,57.006,47.243,51.167,68.55
251,67.598,48.448,44.053,73.108
252,71.554,40.983,69.265,49.47
253,65.862,69.065,98.211,46.666
254,51.336,58.092,96.572,33.522
255,73.998,64.629,86.405,52.375
256,81.078,65.766,93.206,63.292
257,80.461,31.536,85.51,55.059
258,56.729,28.752,75.593,58.423
259,48.708,29.463,65.693,54.905
260,67.729,34.224,60.138,63.89
261,61.586,54.037,54.708,64.088
262,49.054,51.732,41.037,60.663
263,66.68,63.547,31.115,64.93
