txpck/s,client01,client02,client03,client04
0,22579.0,19402.0,17566.0,19196.0
1,14159.0,12477.0,10633.6,15552.0
2,12838.0,11151.0,12175.7,10107.0
3,11760.0,13012.0,14361.4,8334.0
4,9929.0,8909.0,13993.0,10419.0
5,8201.0,8465.0,10466.0,10986.0
6,7044.0,7147.0,11292.0,10668.0
7,7292.0,7957.0,12971.0,10942.0
8,6908.0,7469.0,12129.0,10218.0
9,8732.0,7887.0,9676.0,9643.0
10,8011.0,6715.0,983.0,7194.0
11,2487.0,1756.0,3648.0,2515.0
12,2769.0,2456.0,1306.0,2443.0
13,2980.0,260.0,556.0,354.0
14,2654.0,1615.0,239.0,409.0
15,158.0,250.0,155.0,236.0
16,74.0,141.0,5208.0,139.0
17,104.0,2578.0,6515.0,4662.0
18,4890.0,4358.0,1431.0,6264.0
19,725.0,594.0,481.0,838.0
20,2124.0,504.0,5242.0,1437.0
21,4543.0,2644.0,891.0,2973.0
22,1325.0,1220.0,3061.0,1132.0
23,2207.0,1654.0,1552.0,1741.0
24,1180.0,1142.0,4123.0,1771.0
25,2378.0,2615.0,5992.0,3446.0
26,3093.0,3515.0,1868.0,5765.0
27,1681.0,1131.0,66.0,1090.0
28,992.0,72.0,6265.0,1461.0
29,4805.0,4389.0,3550.0,4992.0
30,4502.0,2288.0,1009.0,3180.0
31,326.0,581.0,3532.0,849.0
32,1507.0,1709.0,5425.0,3745.0
33,3542.0,4345.0,146.0,6913.0
34,1165.0,272.0,271.0,245.0
35,1386.0,133.0,1827.0,1486.0
36,2973.0,1177.0,5899.0,1119.0
37,3848.0,4507.0,1113.0,6564.0
38,1735.0,1321.0,6113.0,1210.0
39,2759.0,3913.0,893.0,6223.0
40,1628.0,770.0,586.0,889.0
41,727.0,295.0,3483.0,879.0
42,1029.0,1457.0,9119.0,2721.0
43,5646.0,4780.0,5023.0,9528.0
44,6523.0,5800.0,3128.0,10270.0
45,4611.0,3224.0,3342.0,3602.0
46,1585.0,1827.0,6438.0,2996.0
47,2903.0,4429.0,99.0,7832.0
48,996.0,91.0,4591.0,109.0
49,1188.0,3162.0,8987.0,4539.0
50,5699.0,6369.0,3845.0,4567.0
51,6195.0,2212.0,719.0,6461.0
52,3588.0,1493.0,1552.0,75.0
53,117.0,471.0,2232.0,1428.0
54,1301.0,1421.0,8370.0,2122.0
55,4049.0,4731.0,7945.0,7447.0
56,4827.0,4375.0,3810.0,6379.0
57,4636.0,3136.0,8854.0,3408.0
58,4941.0,4600.0,6989.0,8270.0
59,6341.0,4978.0,1969.0,4329.0
60,3573.0,1449.0,1777.0,2450.0
61,703.0,929.0,2152.0,1147.0
62,835.0,1395.0,4386.0,1676.0
63,234.0,1764.0,6387.0,2538.0
64,4599.0,3709.0,6301.0,3954.0
65,6083.0,4368.0,5276.0,5419.0
66,6330.0,3889.0,646.0,2863.0
67,1279.0,629.0,2141.0,648.0
68,268.0,1300.0,2313.0,2518.0
69,2144.0,1344.0,3038.0,1101.0
70,1316.0,3086.0,5625.0,4350.0
71,3594.0,2647.0,4855.0,3541.0
72,5257.0,4344.0,4776.0,7082.0
73,5033.0,3115.0,496.0,3672.0
74,2859.0,1139.0,855.0,966.0
75,312.0,69.0,2174.0,56.0
76,1638.0,2349.0,4055.0,3620.0
77,480.0,2076.0,6154.0,3735.0
78,3786.0,4596.0,2424.0,7136.0
79,3688.0,1933.0,3017.0,2595.0
80,830.0,1831.0,2929.0,2894.0
81,3791.0,2259.0,2059.0,3425.0
82,5275.0,2670.0,4203.0,1904.0
83,519.0,2298.0,2483.0,3506.0
84,2526.0,1557.0,2252.0,1808.0
85,810.0,1406.0,5755.0,2009.0
86,2117.0,3667.0,1608.0,6516.0
87,2149.0,1067.0,6366.0,2304.0
88,6077.0,4009.0,2981.0,4762.0
89,4035.0,2481.0,6585.0,2521.0
90,1945.0,4185.0,949.0,6349.0
91,1821.0,713.0,5616.0,771.0
92,1553.0,3085.0,4287.0,5228.0
93,3263.0,3227.0,5419.0,4337.0
94,2845.0,3749.0,4756.0,8110.0
95,7470.0,4297.0,3167.0,5816.0
96,5268.31,3517.0,1407.0,3155.0
97,1536.0,943.0,2890.0,1662.0
98,145.0,1633.0,7198.0,2449.0
99,4261.0,4527.0,2337.0,8874.0
100,2664.0,1735.0,5252.0,2119.0
101,1826.0,3359.0,8567.0,6922.0
102,7023.0,5733.0,1228.0,10644.0
103,3836.0,616.0,538.0,229.0
104,1618.0,1332.0,3333.0,137.0
105,659.0,1449.0,9421.0,1853.0
106,5475.0,5977.0,2200.0,8277.0
107,3278.0,2151.0,1665.0,2394.0
108,1241.0,1015.0,4690.0,1619.0
109,1803.0,3105.0,1719.0,7052.0
110,4408.0,1097.0,2190.0,2617.0
111,3664.0,2383.0,214.0,1537.0
112,1224.0,311.89,6390.0,279.0
113,939.0,3279.0,6097.0,6197.0
114,5359.0,4559.0,1883.0,6563.0
115,1253.0,1251.0,3255.0,1862.0
116,2019.0,1529.0,1637.0,4246.0
117,2536.0,1063.0,3028.0,1157.0
118,2120.0,2842.0,5129.0,2426.0
119,5888.0,4334.0,1424.0,5031.0
120,2695.0,1865.0,1741.0,2551.0
121,1767.0,1843.0,5699.0,2658.0
122,3108.0,4435.0,2043.0,7195.0
123,2918.0,1829.0,5911.0,2987.0
124,1813.0,4223.0,3579.0,5402.0
125,5693.0,2360.0,4180.0,4146.0
126,5673.0,3827.0,5545.0,3452.0
127,2632.0,3569.0,4160.0,5009.0
128,3557.0,2517.0,2839.0,5887.0
129,2295.0,2218.0,1008.0,3245.0
130,1248.0,832.0,5375.0,864.0
131,3210.0,4001.0,6487.0,8001.0
132,4816.0,2871.0,6172.0,3767.0
133,6886.0,3573.0,1697.0,5393.0
134,2592.0,2197.0,4093.0,2457.0
135,2751.0,2989.0,2177.0,4148.0
136,1451.0,2051.0,1741.0,2818.0
137,1523.0,1059.0,3553.0,2025.0
138,3187.0,1749.0,979.0,3358.0
139,1081.0,181.0,10312.0,1960.0
140,7414.0,6739.0,2268.0,9176.0
141,2715.0,1525.0,4375.0,2243.0
142,2644.0,2861.0,1989.0,5119.0
143,2440.0,1309.0,1459.0,1970.0
144,527.0,759.0,1763.0,1428.0
145,1393.0,1483.0,2234.0,1891.0
146,2655.0,1347.0,5588.0,3600.0
147,7297.0,5260.0,3669.0,8988.0
148,3404.0,3819.0,2116.0,3448.0
149,2849.0,1802.0,4104.0,3638.0
150,2887.0,2703.0,3757.0,4280.0
