kbbuffers,client01,client02,client03,client04
0,932.0,1244.0,604.0,640.0
1,932.0,1268.0,604.0,640.0
2,932.0,1292.0,604.0,640.0
3,932.0,1300.0,620.0,640.0
4,940.0,1320.0,620.0,656.0
5,948.0,1332.0,620.0,656.0
6,948.0,1360.0,620.0,656.0
7,948.0,1360.0,620.0,656.0
8,948.0,1360.0,636.0,656.0
9,956.0,1368.0,636.0,672.0
10,964.0,1368.0,636.0,672.0
11,964.0,1368.0,636.0,672.0
12,964.0,1380.0,636.0,672.0
13,964.0,1384.0,644.0,672.0
14,972.0,1400.0,652.0,688.0
15,980.0,1400.0,652.0,688.0
16,980.0,1400.0,652.0,688.0
17,980.0,1400.0,652.0,688.0
18,980.0,1472.0,660.0,688.0
19,1256.0,1632.0,668.0,704.0
20,1268.0,1632.0,668.0,704.0
21,1268.0,1632.0,668.0,704.0
22,1268.0,1636.0,668.0,704.0
23,1268.0,1636.0,676.0,704.0
24,1276.0,1644.0,684.0,720.0
25,1284.0,1656.0,684.0,720.0
26,1284.0,1680.0,684.0,720.0
27,1284.0,1720.0,684.0,720.0
28,1284.0,1752.0,692.0,720.0
29,1284.0,1784.0,700.0,736.0
30,1300.0,1804.0,700.0,736.0
31,1300.0,1812.0,700.0,736.0
32,1300.0,1820.0,700.0,736.0
33,1300.0,1820.0,708.0,736.0
34,1300.0,1828.0,716.0,752.0
35,1316.0,1836.0,716.0,752.0
36,1316.0,1836.0,716.0,752.0
37,1316.0,1836.0,716.0,752.0
38,1316.0,1836.0,724.0,752.0
39,1316.0,1844.0,732.0,768.0
40,1332.0,1860.0,732.0,768.0
41,1332.0,1860.0,732.0,768.0
42,1332.0,1860.0,732.0,768.0
43,1332.0,1860.0,740.0,768.0
44,1332.0,1868.0,748.0,784.0
45,1348.0,1876.0,748.0,784.0
46,1348.0,1876.0,748.0,784.0
47,1348.0,1876.0,748.0,784.0
48,1348.0,1876.0,756.0,784.0
49,1348.0,1884.0,764.0,792.0
50,1364.0,1900.0,764.0,800.0
51,1364.0,1900.0,764.0,800.0
52,1364.0,1900.0,764.0,800.0
53,1364.0,1900.0,772.0,800.0
54,1364.0,1908.0,780.0,808.0
55,1380.0,1916.0,780.0,816.0
56,1380.0,1916.0,780.0,816.0
57,1380.0,1916.0,780.0,816.0
58,1380.0,1916.0,788.0,816.0
59,1380.0,1932.0,796.0,824.0
60,1396.0,1940.0,796.0,832.0
61,1396.0,1940.0,796.0,832.0
62,1396.0,1940.0,796.0,832.0
63,1396.0,1940.0,804.0,832.0
64,1396.0,1948.0,812.0,840.0
65,1412.0,1956.0,812.0,848.0
66,1412.0,1960.0,812.0,848.0
67,1412.0,1964.0,812.0,848.0
68,1412.0,1964.0,820.0,848.0
69,1412.0,1972.0,828.0,856.0
70,1428.0,1988.0,828.0,864.0
71,1428.0,1988.0,828.0,864.0
72,1428.0,1988.0,828.0,864.0
73,1428.0,1988.0,836.0,864.0
74,1428.0,1996.0,844.0,872.0
75,1444.0,2004.0,844.0,880.0
76,1444.0,2004.0,844.0,880.0
77,1444.0,2004.0,844.0,880.0
78,1444.0,2004.0,852.0,880.0
79,1444.0,2020.0,860.0,888.0
80,1460.0,2028.0,860.0,896.0
81,1460.0,2028.0,860.0,896.0
