w/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
20,0.0,0.0,0.0,1.98,11.11,6.06,2.0,0.0,0.0,3.0,4.0,6.0,16.0,19.19,5.0,11.11,14.74,30.77,13.86,0.0,0.0,6.93,7.84,4.04,0.0,5.38,12.0,6.93,14.14,14.0,3.03,9.09,4.0,0.0,2.97,0.0,0.0,8.82,4.04,5.75,6.93,11.11,0.0,4.04,13.0,21.78,3.03,1.0,10.67,9.9,13.13,0.0,4.0,3.0,13.86,0.0,0.0,5.0,3.0,4.0,1.01,0.0,3.0,1.98,8.08,0.0,7.07,8.16,11.88,9.0,0.0,0.0,5.05,0.0,0.0,0.0,12.12,0.0,1.98,16.0,2.02,0.0,7.0,9.0,2.02,1.0,22.22,7.07,4.04,8.08,8.0,2.02,13.0,9.09,5.94,7.07,5.05,22.22,5.0,6.0,4.04,2.0,7.0,4.04,18.18,1.0,8.91,4.95,20.0,11.0,3.03,3.0,6.0,6.06,0.0,8.0,12.12,17.17,20.79,7.0,0.0,20.2,4.95,11.0,3.06,8.0,1.0,13.13,15.84,20.59,12.0,0.0,5.0,4.95,7.92,4.08,15.0,7.92,22.22,15.0
21,5.0,1.96,1.98,8.08,11.0,9.0,3.96,10.1,2.02,2.97,24.0,0.0,1.0,0.0,9.0,5.94,26.0,5.49,9.9,3.0,4.95,0.0,6.06,0.0,2.0,7.07,5.0,13.0,3.0,18.37,0.99,3.0,18.18,2.04,5.05,0.0,4.04,14.14,7.0,0.0,11.88,0.0,4.04,0.0,17.0,5.0,0.0,8.0,1.01,29.41,0.0,6.0,6.06,7.07,11.22,3.0,0.0,2.02,0.0,0.0,7.07,4.0,1.0,6.93,0.0,0.0,5.94,6.0,4.04,1.98,2.02,0.0,0.0,1.98,23.0,4.04,4.04,1.0,5.0,0.0,0.0,2.0,2.0,2.02,4.95,9.0,6.06,0.99,5.0,5.0,6.0,5.0,1.01,0.0,3.0,6.93,3.03,8.91,6.12,12.12,6.0,7.0,6.93,3.03,4.0,14.14,10.0,4.0,4.04,5.0,5.94,15.84,4.0,8.91,1.98,5.94,0.0,2.02,0.99,8.0,0.0,3.96,18.81,5.94,11.88,6.12,0.0,0.0,4.04,13.86,4.0,0.0,6.0,9.09,0.0,0.98,12.12,0.0,11.0,11.11
22,0.0,20.0,12.0,0.0,20.2,7.92,17.17,9.09,2.97,8.0,2.02,0.0,0.0,0.0,9.9,0.0,5.0,2.97,0.0,13.13,0.0,3.92,31.31,3.96,12.24,6.93,12.12,0.0,0.0,1.0,7.0,0.0,5.05,12.5,0.0,0.0,9.0,7.14,13.73,3.0,6.0,3.03,0.0,2.27,2.02,1.0,10.1,17.0,7.0,4.0,10.1,0.0,0.0,7.0,0.0,5.0,0.0,0.0,2.0,0.0,4.04,4.0,14.14,13.0,13.0,0.99,8.0,14.14,2.0,7.0,2.0,6.0,15.0,5.0,2.97,4.0,19.8,10.0,17.0,2.97,6.93,12.0,14.85,20.0,17.17,5.05,10.89,30.3,13.27,8.0,8.08,11.11,14.0,3.03,15.84,0.0,17.17,11.11,7.92,11.88,20.2,8.08,10.1,9.09,13.13,15.15,12.0,22.0,12.0,7.07,18.18,3.03,10.78,4.08,6.93,2.94,5.0,0.0,0.0,11.11,9.9,0.0,16.0,5.1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.02,19.0,9.0,14.29,6.06,9.09,21.0,2.02,4.0
23,28.71,0.0,15.15,18.0,10.0,18.0,14.0,17.82,6.06,10.89,1.0,6.0,17.0,12.62,2.02,19.19,4.04,0.0,0.0,9.09,6.0,4.08,7.92,9.09,5.88,3.03,0.0,0.0,9.09,0.0,0.0,2.0,0.0,30.69,0.0,0.0,0.0,0.0,4.0,8.08,0.0,25.51,7.84,8.0,0.0,0.0,13.86,17.17,9.09,0.0,0.0,11.11,8.0,3.92,13.27,9.0,10.0,4.0,16.0,3.06,5.0,22.77,16.0,11.0,2.0,3.03,7.92,9.9,18.18,8.91,11.11,8.0,16.0,29.0,9.0,17.0,22.0,21.21,0.0,5.1,18.37,30.0,2.97,4.04,2.0,29.0,0.0,8.08,13.86,0.0,5.94,1.98,0.0,7.07,0.0,1.01,3.0,3.03,2.0,0.0,1.01,3.03,2.97,9.09,5.0,4.0,2.02,6.06,5.05,0.0,4.04,0.0,21.43,8.91,12.12,0.0,17.65,3.0,36.36,15.0,10.1,17.53,0.0,6.0,0.99,3.03,2.0,3.96,7.07,30.69,8.08,13.0,1.98,3.03,12.12,8.08,2.0,3.0,0.0,0.0
24,7.92,10.0,11.0,14.0,11.0,21.78,6.0,6.0,9.0,8.08,31.31,11.11,4.0,0.0,16.16,8.0,0.0,1.01,38.0,0.0,4.0,3.96,0.0,0.0,13.0,0.0,9.0,12.24,0.0,14.14,0.0,12.12,0.0,9.09,0.0,0.0,2.02,0.0,0.0,22.0,0.0,0.0,0.0,27.27,0.0,1.0,12.0,25.0,0.0,0.0,7.92,11.11,0.0,6.0,17.17,4.04,5.0,18.18,10.0,13.86,14.0,15.15,10.0,4.04,11.88,11.0,8.08,4.04,2.0,4.04,7.0,11.0,0.99,7.07,4.0,3.0,1.98,0.0,0.0,11.11,1.0,5.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,2.02,0.0,1.98,0.0,3.03,0.0,4.0,9.09,6.06,8.0,4.0,4.0,0.0,2.0,4.04,4.0,3.03,0.0,4.0,16.16,28.57,7.07,1.98,0.99,16.16,0.0,3.96,6.06,2.0,4.04,5.1,2.02,0.98,17.17,8.0,0.0,14.0,0.0,2.02,0.0,15.31,0.0,13.27,5.05,0.0,17.35,6.0,21.21,5.1
25,13.0,0.99,9.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.02,5.05,14.14,7.07,20.79,23.23,6.12,5.94,0.0,0.0,11.88,3.03,0.0,4.0,49.0,2.02,0.0,0.99,6.0,8.0,2.0,0.0,0.0,0.0,6.06,25.0,18.0,7.0,14.0,0.0,0.0,0.0,0.0,2.02,10.0,8.08,12.0,7.0,19.39,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,2.02,2.0,0.0,0.0,15.0,6.06,0.0,0.0,0.0,0.0,10.0,0.0,0.0,18.81,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,13.86,16.0,18.18,0.0,21.0,10.1,25.0,26.0,2.97,27.27,18.18,26.53,6.0,15.0,14.0,11.0,17.0,9.9,12.12,26.26,19.0,1.96,9.09,13.0,18.0,17.17,21.21,13.13,20.2,0.0,5.88,8.08,0.0,0.99,9.9,0.0,5.05,4.08,0.0,7.07,4.0,4.12,2.0,0.0,11.11,2.02,0.0,7.0,0.99,6.0,14.0,0.0,5.94,0.0,7.0,17.0,2.97,4.0
26,10.78,0.0,3.0,0.99,7.07,3.0,1.96,7.84,0.0,6.06,12.0,4.04,3.0,8.0,5.05,5.0,14.0,0.0,8.91,16.16,0.0,21.0,0.0,31.0,10.1,4.04,0.0,1.0,5.88,1.02,32.99,0.0,7.0,0.0,0.0,8.0,4.04,0.0,6.93,0.0,4.0,10.1,6.06,0.0,0.0,0.0,0.0,25.74,18.18,6.06,3.0,0.0,0.0,13.86,2.0,7.0,4.04,0.0,9.18,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,10.89,3.03,8.91,0.0,21.78,4.04,0.0,0.0,3.96,6.93,5.94,1.0,18.18,21.0,13.0,0.0,2.97,4.95,12.12,0.0,0.0,0.0,3.06,0.0,3.0,0.0,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,18.18,0.0,3.96,43.88,0.0,0.0,11.11,0.0,0.0,16.0,0.0,9.9,0.0,20.0,10.0,37.11,18.18,0.0,1.0,0.99,0.0,8.16,3.03,18.0,0.0,8.08,4.95,0.0,0.0,9.09,23.0,10.78,4.95,14.0,1.01
27,1.01,23.76,9.09,8.08,37.0,11.11,10.1,14.0,14.85,13.0,8.16,6.06,21.0,7.07,6.93,7.07,0.0,9.09,17.0,0.0,15.15,8.0,0.0,0.0,5.0,0.0,5.94,19.8,10.1,1.0,17.82,8.08,3.03,6.06,19.19,0.0,1.98,7.0,0.0,21.0,0.0,18.63,12.87,21.21,0.0,0.0,2.0,5.05,0.0,0.0,7.92,0.0,8.08,10.1,14.14,9.0,8.91,0.0,2.97,0.0,1.98,10.0,16.0,6.0,3.03,6.0,16.16,19.19,17.0,14.14,3.03,7.07,6.0,0.0,3.96,16.0,0.0,2.0,0.0,3.0,6.0,0.0,0.99,0.0,0.0,18.18,2.02,4.0,3.0,3.03,0.0,4.04,0.0,0.0,6.0,8.08,7.84,5.88,8.91,1.0,10.1,3.03,0.0,0.0,8.0,0.0,7.07,4.08,0.0,8.08,5.0,2.02,7.0,0.0,8.08,6.0,13.86,4.0,5.0,3.0,0.0,8.0,6.93,6.93,12.12,18.0,0.0,13.0,5.0,9.0,9.09,0.0,1.01,4.0,0.0,0.0,10.1,6.06,22.22,14.14
28,20.2,0.0,9.8,0.0,0.0,0.0,0.0,0.0,6.86,0.0,13.0,0.0,0.0,0.0,15.15,0.0,10.0,13.86,27.27,4.04,8.0,0.0,16.16,0.0,0.0,0.0,2.02,6.06,0.0,3.03,2.02,16.16,9.9,1.0,0.0,0.0,6.06,8.0,25.0,5.0,1.01,0.0,0.0,8.91,32.32,29.0,12.12,0.0,2.0,0.0,4.0,11.11,9.9,3.0,0.99,0.0,0.0,25.0,0.0,0.0,18.0,2.97,4.04,0.0,11.76,18.18,0.0,0.99,0.0,0.0,17.0,0.0,7.0,10.78,0.0,2.02,3.0,2.0,11.88,12.87,10.0,0.0,5.05,11.11,12.0,8.0,19.0,13.13,4.0,8.91,22.0,18.18,5.05,1.01,8.08,15.0,7.07,26.73,25.0,2.0,11.11,9.09,8.08,27.0,6.0,1.01,0.0,4.04,1.98,17.82,4.0,10.1,27.0,5.0,0.0,9.0,0.0,1.01,0.0,1.01,8.0,0.0,14.14,14.14,5.94,0.0,0.0,0.0,0.0,0.0,0.0,5.05,9.8,8.08,3.0,1.0,5.0,10.0,18.18,15.0
29,0.0,11.0,0.0,1.98,3.0,2.02,0.0,7.07,0.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,12.24,27.27,0.0,14.0,0.0,6.93,27.72,0.99,1.0,24.75,10.89,0.0,4.0,0.0,18.18,0.0,35.35,11.11,0.0,0.0,15.84,0.0,14.0,0.0,17.0,1.0,0.0,11.11,0.0,3.03,0.0,9.0,4.0,15.84,4.04,14.85,6.06,6.06,0.0,31.0,4.0,0.99,0.0,0.0,0.0,0.0,11.0,6.93,0.0,8.91,9.9,0.0,6.93,16.0,0.0,4.0,0.0,1.01,11.88,6.93,16.83,1.0,4.0,6.06,9.0,9.09,15.84,19.0,9.0,0.0,20.41,13.0,14.14,31.0,2.0,17.0,13.13,6.06,9.0,4.95,8.0,31.63,1.01,29.59,26.26,17.17,8.08,5.05,8.08,9.0,10.1,7.0,21.21,6.12,14.14,0.0,13.27,7.92,11.11,0.0,0.0,0.0,0.0,10.2,25.25,2.25,0.0,6.0,0.0,0.0,15.0,1.09,3.3,3.33,0.0,6.93,14.14,1.0,18.81,1.01,0.0,0.0,0.0,0.0
