w/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
71,9.9,0.0,15.0,5.94,9.0,14.0,14.14,4.04,8.0,6.0,1.0,3.03,0.0,7.84,5.0,10.1,21.36,13.0,21.78,12.87,9.0,0.0,9.09,0.0,31.63,13.0,0.0,0.0,11.0,53.57,8.0,12.87,12.0,0.0,6.0,0.0,14.14,0.0,9.8,20.2,18.18,5.0,21.0,1.0,11.11,21.78,0.0,4.04,0.0,8.08,11.0,12.0,13.0,0.0,0.0,1.98,1.98,12.87,16.67,0.0,14.0,14.0,4.0,11.88,4.04,11.0,1.0,11.11,4.0,5.94,8.0,0.0,3.06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.08,5.0,4.04,4.0,0.0,0.0,0.0,6.0,14.0,5.05,5.0,10.89,18.18,10.2,1.01,3.0,3.03,0.0,0.0,11.11,0.0,20.79,1.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,8.0,17.17,0.0,7.92,14.0,13.13,0.0,0.0,6.0,16.16,0.0,0.0,10.0,0.0,9.9,16.16,15.0,5.94,19.19,3.03,13.27,16.0
72,6.93,0.0,10.89,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.22,5.0,11.0,15.15,2.02,0.0,27.72,4.71,4.08,2.02,0.0,10.89,15.69,15.25,0.0,5.05,27.55,9.9,0.0,8.91,22.22,4.0,27.27,21.21,0.0,1.28,0.0,6.06,0.0,0.0,100.0,0.0,0.0,10.0,7.07,30.3,13.13,0.0,9.0,0.0,34.34,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.16,8.91,0.0,9.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78,3.0,2.02,8.0,2.0,0.0,32.0,0.0,9.0,26.0,2.0,0.0,1.01,0.0,3.03,0.0,5.0,18.0,3.06,0.0,2.02,3.03,3.0,6.06,2.02,10.0,0.0,0.0,5.0,0.0,6.06,17.0,0.0,23.23,2.97,3.92,24.24,14.0,11.0,28.57,6.06,0.0,19.19,0.0,1.02,3.0,8.91,1.98,6.0,4.04,0.0,0.0,23.23,0.0,18.0,16.16,23.23,1.0,6.0,27.0
73,3.0,19.19,0.0,4.95,5.94,6.0,9.0,23.23,0.0,11.0,13.0,2.0,1.02,0.0,0.0,11.11,3.41,52.78,55.56,40.4,0.0,0.0,0.0,2.0,1.02,0.99,15.0,0.0,5.1,1.01,0.0,0.0,0.0,11.88,8.86,5.0,7.79,35.35,26.53,0.0,11.11,2.5,1.0,6.06,0.0,7.0,19.0,9.0,4.95,3.8,0.0,10.0,12.87,4.04,3.03,0.0,11.11,0.0,1.0,1.0,0.0,0.0,10.89,10.1,0.0,0.0,10.1,0.0,4.04,22.22,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,10.89,2.94,16.83,7.07,19.19,34.0,2.02,24.24,10.1,15.15,16.16,16.16,7.14,10.0,6.0,13.27,6.06,1.01,3.06,26.26,5.0,13.13,6.06,27.45,3.0,5.0,15.84,1.0,11.0,9.0,0.0,10.1,7.07,16.16,12.75,0.0,24.49,0.0,2.0,2.0,0.0,0.0,19.19,18.0,5.0,12.0,0.0,2.02,5.05,25.74,2.0,10.0,4.04,14.29,0.0,5.05,0.0,21.78,0.0,11.22,5.05,0.0
74,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.02,0.0,6.06,0.0,10.1,0.0,10.11,5.88,4.04,23.23,12.0,9.9,27.59,0.0,25.74,30.0,3.85,1.98,6.93,4.0,6.25,18.0,34.18,0.0,8.08,0.0,1.0,2.78,13.0,5.0,4.0,9.0,0.0,0.0,20.0,2.0,1.01,23.23,6.06,9.09,26.92,22.0,1.98,0.0,2.02,0.0,0.0,3.0,0.0,0.0,2.02,7.0,0.0,0.0,14.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.07,8.0,10.2,4.95,31.31,12.12,9.0,4.04,13.86,3.03,25.0,8.0,19.0,17.17,3.03,6.06,32.32,24.24,21.21,9.9,12.0,31.31,17.0,11.11,29.0,23.76,7.0,31.31,31.31,14.0,15.84,23.0,18.0,8.91,15.15,26.26,12.87,0.0,8.91,18.81,18.0,0.0,1.02,0.0,0.99,4.04,0.0,13.13,2.0,3.0,10.0,0.0,9.8,31.31,1.01,0.0,0.0,41.41,1.0,0.0,6.06,12.87,18.18,8.0,23.0,11.0
75,0.0,15.84,0.0,9.0,7.92,18.18,10.1,21.21,0.0,35.64,11.22,7.07,17.35,15.0,2.97,2.0,5.94,5.0,3.0,0.0,0.0,23.47,2.97,18.0,0.0,0.0,4.0,1.0,3.0,6.0,2.0,0.0,6.0,35.8,0.0,8.08,3.03,11.54,2.08,15.0,2.97,0.0,17.82,0.0,4.0,15.0,6.1,0.0,9.09,0.0,0.0,5.0,3.03,24.75,5.94,10.1,16.0,0.0,11.0,10.0,0.0,0.0,23.53,10.0,0.0,0.0,33.33,30.69,14.14,14.14,2.02,19.19,12.0,0.0,21.0,9.0,12.87,19.19,2.0,6.86,9.0,18.0,22.0,5.94,6.0,23.23,6.0,7.92,12.0,6.0,10.1,14.0,5.0,1.01,0.0,1.96,0.0,0.98,2.02,0.0,0.0,0.0,0.0,17.17,5.1,47.96,0.0,0.0,10.0,4.08,0.0,23.23,0.0,2.0,5.05,18.18,15.0,9.09,0.0,1.01,14.0,5.0,8.16,1.01,4.0,14.85,2.04,3.0,9.09,5.05,6.06,0.0,2.02,4.0,3.03,0.0,1.0,15.0,3.03,8.08
76,7.0,19.0,15.0,17.65,9.9,12.75,15.15,17.0,17.17,24.24,1.01,0.0,0.0,7.92,2.97,5.05,9.0,18.0,2.02,24.39,3.0,0.0,7.0,0.0,3.57,1.96,0.0,5.0,7.07,14.0,0.0,24.0,10.0,17.0,28.28,0.0,19.0,0.0,12.5,8.08,1.01,7.07,4.0,5.05,1.0,3.03,1.0,20.0,200.0,0.0,5.0,8.0,13.13,15.0,0.0,17.82,31.0,13.86,30.0,22.0,6.93,1.98,17.82,14.14,8.0,17.82,9.9,3.96,18.0,10.0,7.0,1.0,7.0,11.11,13.0,4.0,2.0,24.51,4.04,2.97,2.0,0.0,7.07,13.27,18.0,11.88,8.08,4.0,12.0,6.0,10.0,6.06,9.09,30.0,24.75,11.11,13.13,1.0,31.0,30.0,21.0,18.0,15.15,0.0,4.95,3.03,1.0,13.0,0.0,14.85,31.0,11.88,6.86,3.0,16.0,8.91,0.0,3.03,0.0,4.0,5.0,4.0,7.0,25.0,5.1,3.0,31.68,6.0,0.0,18.0,20.0,10.0,3.03,13.13,12.0,0.0,0.0,7.14,4.0,1.0
77,22.77,0.0,31.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,6.0,11.0,300.0,300.0,0.0,9.28,2.97,10.1,2.0,7.07,17.17,18.33,4.85,20.79,16.0,9.0,10.89,4.08,1.0,10.1,18.18,12.0,6.06,0.0,4.0,0.0,5.0,0.0,3.03,0.0,5.05,1.0,0.0,0.0,4.0,26.0,0.0,5.0,0.0,2.02,12.12,13.0,12.0,0.0,12.12,0.0,0.0,19.19,0.0,0.0,27.72,19.0,0.0,0.0,10.0,8.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,34.65,0.0,0.0,14.14,1.96,3.0,9.71,12.87,9.0,8.08,1.0,1.01,13.13,2.02,7.07,1.01,1.0,4.04,3.0,14.29,2.02,14.14,0.0,15.0,0.0,8.08,1.01,4.04,7.07,1.0,19.19,1.0,11.88,12.24,3.0,2.02,5.1,8.0,0.0,1.0,28.71,4.04,9.18,7.92,11.0,21.0,12.12,2.0,0.0,9.09,2.0,1.0,12.12,17.17,9.0,5.05,8.08,0.0,7.07,17.17,0.0,14.85,9.0,7.0,12.0,9.09,21.0
78,0.0,20.79,0.0,22.22,2.0,4.04,11.11,3.96,5.0,6.06,4.04,6.0,7.0,3.03,6.19,6.0,13.13,18.81,25.25,0.0,0.0,5.0,12.12,12.12,0.0,0.0,0.0,1.98,0.99,5.05,0.0,0.0,0.0,18.0,7.07,9.0,7.07,2.0,10.0,26.14,17.17,9.18,5.05,20.0,8.0,12.0,14.0,0.0,1.01,1.0,2.02,7.0,5.1,12.12,3.0,11.11,0.0,0.0,6.93,5.94,0.0,0.0,11.0,12.0,0.0,0.99,7.07,7.0,5.05,10.0,0.0,9.0,2.04,0.0,7.92,6.93,20.0,3.96,1.0,2.0,2.0,3.03,9.09,2.0,4.9,17.17,2.02,3.0,0.0,3.03,15.15,0.0,2.97,9.0,5.0,15.0,0.0,1.96,9.09,3.03,5.0,1.0,1.01,0.0,5.15,1.01,0.0,12.12,10.0,2.02,0.0,13.0,0.0,0.0,8.0,25.25,0.0,16.16,12.75,0.0,14.14,18.0,1.0,17.17,8.0,21.21,16.0,13.13,9.89,25.74,8.08,6.93,4.95,3.0,0.0,9.09,9.0,0.0,3.0,8.0
79,23.23,5.05,15.31,0.98,1.96,14.0,6.06,3.0,26.0,0.0,3.03,2.0,5.94,10.0,6.0,4.08,19.0,0.0,2.0,6.93,15.15,1.98,8.82,12.0,9.09,13.13,3.0,11.11,12.12,13.13,7.07,18.0,11.11,0.0,4.95,2.0,9.0,5.94,1.01,2.91,4.04,20.0,4.0,1.0,7.07,6.12,2.0,8.08,7.07,18.0,6.0,5.05,6.93,10.0,9.09,8.08,7.84,5.0,23.23,6.12,14.14,1.98,3.0,3.0,8.16,8.0,5.05,2.04,22.0,0.99,1.0,8.08,3.03,14.0,16.0,6.93,0.0,1.02,20.0,0.0,5.0,0.0,10.78,18.81,8.0,1.01,13.0,12.12,16.16,9.0,1.0,11.0,14.14,5.05,10.1,9.09,8.91,22.45,10.89,8.0,18.0,21.43,21.21,0.0,16.83,0.0,14.29,15.0,0.0,1.98,8.08,5.56,14.71,15.84,15.0,9.0,3.96,3.7,38.46,10.0,0.99,3.96,8.0,20.79,22.22,14.85,9.0,11.0,11.88,0.0,6.93,10.1,9.18,9.76,17.82,43.69,11.0,17.98,23.0,5.56
80,0.98,6.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,11.11,6.86,31.0,11.11,2.0,15.15,4.04,8.08,10.89,7.0,6.93,15.31,3.0,8.08,0.0,16.16,20.2,2.97,0.0,5.0,3.03,0.0,15.31,2.02,11.11,3.06,15.15,7.07,4.0,4.0,24.0,15.0,0.0,11.22,5.0,23.23,18.37,0.0,11.11,3.03,14.0,7.07,15.15,5.94,0.0,0.0,10.0,6.12,0.0,0.0,3.03,10.1,0.0,0.0,8.74,4.9,0.0,0.99,0.0,2.04,3.03,0.0,4.95,5.1,0.0,0.0,9.0,15.0,7.0,13.86,16.83,12.0,2.0,4.04,4.0,4.9,11.0,1.0,6.0,3.06,5.05,2.0,6.0,1.01,4.04,4.0,3.06,0.0,4.0,2.02,0.0,9.9,18.0,16.0,7.92,12.0,6.86,7.0,16.16,0.0,15.0,12.0,0.0,17.58,1.01,11.0,7.14,32.56,4.04,5.94,11.76,10.1,20.41,13.0,3.96,5.05,13.13,13.0,23.47,2.02,2.0,1.0,7.84,0.0,5.0,1.0,9.0,12.12,1.0,3.26
81,2.0,6.0,0.0,25.25,2.0,4.95,7.0,6.93,0.0,4.0,15.0,0.0,0.0,3.0,4.0,9.09,0.0,4.04,0.0,17.17,0.0,3.03,16.0,2.97,18.0,0.0,5.0,6.06,17.17,6.0,6.12,0.0,11.11,8.0,11.11,7.0,10.0,2.02,20.79,4.08,10.1,3.0,19.19,13.0,4.04,12.0,16.0,3.0,10.0,10.0,2.04,10.0,1.02,9.0,1.01,10.0,7.07,0.0,6.0,22.0,0.0,0.0,12.87,8.08,0.0,0.0,11.88,19.0,1.01,11.88,1.98,9.0,17.17,0.0,10.0,13.13,9.09,4.04,16.0,3.96,1.0,0.0,0.99,4.0,6.0,0.0,1.0,5.05,0.0,0.99,4.04,7.07,11.11,10.89,7.0,1.01,1.98,5.1,5.05,12.12,16.0,1.01,8.16,9.0,9.18,0.0,6.06,5.05,0.0,4.0,8.08,0.0,2.02,11.0,8.6,8.0,14.85,4.0,9.0,3.0,12.16,2.04,15.0,7.07,3.0,7.07,17.82,0.0,0.0,2.97,5.0,8.0,8.0,4.04,4.04,2.97,3.0,9.0,14.85,6.0
82,12.75,2.0,8.91,0.98,6.93,8.0,9.09,4.0,11.0,7.0,15.15,16.16,8.08,25.25,9.0,9.9,0.0,20.2,15.15,15.15,7.0,10.1,12.12,22.77,9.0,9.0,3.0,0.0,21.0,5.0,12.0,17.0,15.0,7.0,7.0,0.0,13.13,6.06,6.12,0.99,24.0,18.18,0.0,12.0,0.0,0.0,4.04,13.13,17.35,0.0,14.14,28.28,14.85,1.0,6.0,0.0,1.0,5.0,2.97,1.0,7.0,4.04,3.0,5.05,4.0,11.11,6.06,1.0,0.0,7.07,19.0,0.0,3.0,6.0,4.0,0.99,0.0,3.0,28.71,4.04,2.02,5.0,23.76,18.0,25.0,9.09,16.0,23.23,7.84,3.0,20.0,17.0,8.0,1.01,4.04,8.0,3.03,22.22,21.21,2.97,11.11,16.0,13.0,1.0,11.0,9.0,19.0,5.94,12.0,13.13,17.17,20.0,9.0,6.06,6.06,21.21,6.06,19.0,17.17,27.0,29.41,10.1,1.01,1.01,13.0,4.95,2.02,47.19,13.0,4.04,1.01,10.0,15.84,5.05,0.0,3.0,7.14,5.1,2.0,17.0
83,0.0,20.0,2.0,4.0,11.11,6.0,12.12,3.0,0.0,9.09,0.0,7.07,0.0,3.03,6.0,8.08,10.1,3.0,0.0,17.17,5.0,11.0,11.0,6.06,15.0,14.29,4.04,13.0,5.1,5.05,0.99,1.0,9.09,13.73,10.0,3.03,5.05,0.0,11.0,9.09,3.03,0.0,7.92,6.06,9.9,6.0,16.16,10.89,11.0,8.16,8.0,25.49,31.31,5.0,17.17,2.0,4.0,0.0,4.0,14.0,7.0,5.05,1.0,17.17,3.96,8.91,7.07,8.0,4.0,5.94,0.0,2.02,7.07,0.0,8.0,6.06,18.18,17.0,1.0,12.0,28.0,16.16,5.0,0.0,8.0,12.87,15.0,5.94,8.16,12.0,15.15,5.0,4.04,19.39,18.0,3.03,31.0,6.86,3.0,12.12,14.14,13.0,9.09,7.0,21.0,1.0,15.84,19.19,4.04,2.02,12.87,0.0,0.0,0.0,4.04,7.07,7.0,0.0,8.0,7.0,26.0,22.77,17.0,14.14,10.0,3.03,20.69,0.0,0.0,1.01,3.03,11.0,1.0,16.0,15.15,7.0,8.0,9.0,33.0,1.02
84,8.91,7.92,6.06,8.0,31.68,27.0,4.0,28.28,15.0,4.0,12.12,33.66,13.13,16.0,16.47,17.35,1.0,11.76,27.27,0.0,3.0,9.0,9.09,16.83,12.87,10.0,3.96,6.06,10.89,4.0,16.33,13.0,14.14,3.0,0.99,12.87,5.0,7.07,1.02,2.0,12.87,11.11,20.0,5.0,3.0,8.08,5.05,12.12,18.18,2.0,18.0,1.98,5.0,0.99,0.0,6.93,2.0,4.95,13.0,3.03,6.06,9.09,6.93,6.0,27.27,6.0,11.0,7.0,9.9,7.07,3.96,4.95,8.0,11.22,21.21,15.0,4.95,0.98,9.9,5.05,0.0,6.93,22.22,7.07,14.29,6.0,10.0,5.1,13.0,21.21,17.82,10.2,2.0,13.73,19.39,2.0,18.0,3.92,2.02,15.84,7.07,34.0,8.0,2.0,21.21,2.0,5.05,8.0,10.0,2.0,34.34,14.0,27.27,17.17,13.86,2.0,19.0,18.18,12.0,6.93,0.0,13.27,8.08,9.09,3.06,21.0,0.0,0.0,17.17,17.05,21.05,14.85,13.27,4.0,8.0,1.0,6.0,2.0,0.0,10.0
85,6.86,2.02,3.96,18.18,11.11,10.0,26.0,3.0,3.0,11.0,27.0,19.0,1.98,6.06,25.0,3.03,10.1,12.24,8.91,6.93,0.99,12.0,9.9,0.0,12.24,5.0,1.02,41.0,4.0,28.0,2.0,3.0,0.99,16.0,8.08,0.0,36.36,5.0,9.9,7.14,13.27,15.0,0.0,31.0,0.0,10.0,11.88,1.0,15.0,19.19,7.07,5.66,0.0,9.9,4.04,0.0,8.91,4.04,18.0,5.94,2.02,7.0,40.4,13.0,11.0,2.02,12.0,8.0,1.03,8.0,12.12,4.04,2.0,1.96,0.0,0.0,17.35,21.43,0.0,12.12,11.22,9.28,21.57,6.0,0.0,9.09,11.11,1.98,0.0,0.0,14.0,1.0,3.03,0.0,0.0,0.0,1.0,4.04,0.0,3.03,14.0,0.0,0.0,0.0,1.0,15.15,0.0,0.0,3.0,2.97,1.98,0.0,10.89,7.07,1.01,2.0,0.99,1.0,0.99,6.0,13.0,29.0,8.0,6.93,21.11,0.0,0.0,19.19,4.04,0.0,0.0,0.0,6.93,6.12,11.0,26.0,9.9,4.04,2.0,5.05
86,5.15,3.96,6.0,5.05,4.04,15.0,7.92,18.18,4.04,0.0,13.13,30.51,17.33,15.48,4.0,23.33,11.11,20.0,8.08,1.0,1.02,4.04,15.0,25.25,2.94,27.27,9.9,5.05,9.09,10.89,7.0,13.0,19.19,9.09,6.0,8.0,26.0,15.0,0.0,4.0,21.0,30.3,0.99,0.99,9.18,12.0,2.04,7.07,4.0,5.05,16.0,9.0,11.11,9.18,10.0,10.0,16.0,2.02,3.0,15.15,19.19,8.91,9.0,12.0,15.0,0.99,6.06,4.0,7.0,2.0,18.0,2.97,0.0,13.0,9.09,8.0,0.0,5.0,22.22,1.01,1.0,1.0,20.2,22.0,11.11,11.11,15.0,9.0,43.43,16.0,16.33,15.0,12.12,29.0,12.87,12.0,18.0,7.07,15.15,14.0,15.0,11.22,21.0,7.0,20.79,0.0,13.13,16.83,6.0,12.12,6.0,19.8,3.03,23.0,20.0,88.24,21.78,31.0,0.0,0.98,5.05,18.37,9.0,0.0,1.02,6.9,12.0,16.0,8.08,0.0,0.0,21.21,21.78,2.97,17.0,4.0,9.09,19.8,24.24,11.0
87,19.61,4.0,18.45,4.95,0.99,2.0,13.13,12.12,13.13,7.07,44.64,0.0,0.0,225.0,14.0,1.0,24.0,9.0,28.0,13.0,3.96,11.11,14.14,6.93,6.0,16.0,0.99,1.0,0.99,2.02,9.09,6.0,6.06,12.0,10.0,2.0,29.29,1.01,10.89,7.07,6.06,27.0,9.9,8.16,0.0,9.0,22.22,1.0,9.09,17.17,17.17,15.84,20.0,6.0,4.0,9.0,1.98,36.63,6.06,2.0,6.0,5.0,9.0,10.0,7.0,15.15,0.0,6.0,10.1,20.0,5.05,7.07,16.0,14.14,5.05,11.0,14.14,12.0,2.04,19.0,28.57,22.0,4.08,8.08,0.0,10.89,2.0,0.0,0.0,7.07,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,5.05,2.0,2.0,1.98,1.02,19.19,1.0,7.92,9.09,11.22,19.19,5.0,0.0,0.99,10.78,15.15,0.0,0.0,0.0,16.16,11.0,6.06,6.93,14.29,2.0,7.37,10.0,150.0,30.3,3.0,53.85,15.15,14.14,19.0,10.1,15.15,3.03,26.0,12.12,2.0,10.1,0.99
88,1.0,6.93,1.01,9.09,6.06,4.0,2.97,3.96,2.0,4.0,15.87,10.0,0.0,0.0,17.0,16.0,11.0,12.0,6.06,9.18,6.06,16.0,13.86,3.03,8.0,9.09,4.08,0.0,6.06,0.0,11.11,0.0,21.21,8.0,16.16,6.0,0.0,6.06,6.93,7.0,2.94,16.0,7.0,5.05,28.28,6.06,0.0,28.28,9.0,12.0,20.2,11.11,6.0,8.08,4.0,3.0,9.09,2.02,16.83,18.0,11.88,6.06,9.0,6.0,2.02,4.0,4.04,11.88,3.0,10.1,10.1,4.04,3.96,8.08,4.95,6.0,0.0,0.0,18.0,5.0,0.0,0.0,11.88,24.0,24.24,2.02,8.08,8.0,9.09,10.2,19.8,19.19,19.0,4.04,23.0,34.34,9.09,17.0,14.85,30.3,23.0,10.0,21.21,0.0,20.0,0.0,6.0,15.84,4.04,12.12,7.0,8.0,7.92,7.07,15.84,0.0,0.0,8.91,19.19,26.73,7.92,10.1,10.23,22.0,3.03,12.12,3.0,8.0,0.0,3.0,4.95,4.04,24.73,31.91,10.47,23.53,22.97,28.21,51.79,19.0
89,6.86,0.0,7.77,4.0,1.0,5.0,12.0,9.09,8.0,4.04,0.0,12.12,7.92,0.0,5.0,13.0,100.0,13.13,0.0,15.15,7.0,6.06,0.99,0.0,23.0,13.0,13.0,20.0,11.0,12.0,33.0,5.05,24.24,3.0,9.0,0.0,2.0,38.38,8.08,11.11,4.0,0.0,0.0,4.04,6.0,0.0,37.37,17.17,7.07,2.0,24.0,56.86,24.24,1.01,10.1,1.98,0.0,13.13,0.0,4.04,0.0,19.0,11.11,7.92,11.0,4.04,17.65,9.09,4.95,18.81,5.05,0.0,18.18,7.92,12.12,7.07,16.0,17.17,16.16,10.1,11.11,13.86,17.0,35.35,19.0,3.96,7.07,18.0,11.0,11.88,4.04,10.1,7.07,11.11,12.0,9.0,0.99,6.86,0.0,13.86,10.78,1.0,9.09,14.0,3.0,29.59,2.0,8.08,14.14,9.09,0.0,12.0,10.1,11.88,12.0,38.38,0.0,28.0,6.9,5.38,19.39,6.0,5.88,4.0,34.34,4.0,6.0,18.33,0.0,0.0,6.06,0.99,12.5,16.95,38.46,13.79,15.79,76.47,4.0,25.0
90,5.05,18.81,10.0,20.2,14.0,7.0,8.08,22.0,10.1,24.0,8.91,8.08,4.0,16.33,28.0,0.0,0.0,11.0,3.41,14.0,5.94,4.04,0.0,4.0,21.36,13.13,0.0,6.0,0.99,4.95,0.0,0.0,9.9,5.0,0.0,5.05,0.0,8.0,18.63,26.0,8.05,2.0,2.0,18.81,14.85,17.82,6.0,8.0,29.0,0.0,3.06,0.0,6.0,16.83,18.18,17.17,3.0,1.0,23.0,27.0,0.0,5.0,10.0,12.12,12.0,0.0,18.18,22.55,14.0,6.93,6.93,14.85,6.0,7.0,14.0,19.0,19.0,2.04,7.92,8.08,2.0,6.0,5.94,22.22,16.16,0.0,23.0,9.0,3.0,17.0,17.17,21.0,4.0,21.21,3.06,14.14,19.19,24.75,13.0,21.21,30.3,15.84,28.28,10.0,23.0,12.87,24.0,30.3,11.22,24.24,46.46,3.33,18.81,6.41,31.0,14.0,4.04,3.41,0.0,2.08,8.14,14.0,10.1,0.0,4.0,8.0,0.0,0.0,6.86,12.0,22.77,10.75,0.0,0.0,2.0,5.05,0.99,0.0,5.05,7.02
91,1.94,4.04,10.0,2.0,9.9,8.08,2.0,13.0,0.0,3.96,11.0,14.14,0.0,3.0,12.0,22.22,39.8,2.02,25.25,10.89,10.0,8.0,0.0,7.07,10.0,0.0,1.01,0.0,18.37,15.84,0.0,0.99,10.1,7.0,14.29,15.0,27.27,44.44,13.0,3.03,21.21,27.27,29.29,3.03,0.0,17.17,0.0,13.13,6.06,12.12,0.0,0.0,0.0,0.99,0.0,17.82,0.0,3.03,10.1,6.93,27.0,4.95,3.0,5.94,9.0,12.12,0.0,12.24,2.02,12.87,9.09,6.06,4.04,18.0,6.93,0.0,22.0,16.67,14.14,35.64,29.0,42.57,18.18,9.0,12.24,24.0,11.22,16.0,26.8,19.39,36.36,9.0,10.1,25.0,11.0,8.0,11.11,10.2,23.0,5.0,11.0,16.83,1.96,16.16,7.14,24.24,28.57,8.91,17.0,13.0,24.24,4.0,16.16,3.03,4.26,14.0,11.88,1.02,0.0,0.0,1.52,11.88,3.03,25.74,6.0,0.0,0.0,24.24,19.19,2.86,2.94,42.11,15.0,10.1,6.0,17.0,29.29,8.82,10.1,0.0
92,1.98,33.66,0.0,35.64,19.19,9.09,16.0,9.9,5.0,30.3,0.0,16.0,12.0,6.0,0.0,4.0,19.0,20.0,1.01,0.0,0.0,29.29,23.0,0.0,5.94,18.81,34.0,46.0,2.02,18.18,19.19,0.0,12.12,3.0,14.85,2.02,5.94,4.6,7.61,12.87,0.0,7.0,11.0,0.0,28.28,10.1,0.0,10.0,3.96,16.0,11.11,0.0,0.0,17.17,33.33,27.27,25.51,11.11,9.09,17.17,6.93,1.0,33.33,43.0,2.0,0.0,13.73,27.72,10.0,7.0,5.0,16.16,19.8,10.1,7.0,8.16,4.04,42.42,4.95,14.14,12.12,9.09,5.0,16.16,14.14,19.39,7.0,0.0,10.0,10.1,1.98,6.06,1.0,8.08,8.08,15.15,9.09,1.0,6.93,0.0,23.23,2.0,0.0,24.24,0.0,17.0,4.0,0.0,0.0,5.0,4.0,10.89,0.0,4.08,1.0,24.75,16.16,3.0,16.0,22.0,3.96,27.0,25.0,9.0,0.0,23.0,16.16,17.82,3.03,0.0,0.0,0.0,18.81,12.0,0.99,15.15,26.26,35.71,0.0,10.0
93,10.0,3.96,31.68,16.0,13.0,15.0,13.13,18.0,32.32,15.84,5.05,0.0,19.51,16.83,13.27,0.0,9.0,31.0,6.0,28.57,16.33,3.0,15.0,18.0,2.02,11.88,12.0,1.0,0.0,8.16,8.08,13.13,2.97,17.17,0.0,0.0,0.0,39.39,9.2,13.86,16.0,6.0,27.0,26.8,16.16,27.27,15.0,7.07,3.0,0.0,9.09,10.2,8.91,21.0,22.0,4.0,17.82,3.96,30.0,18.18,38.38,53.61,10.0,8.0,22.0,38.38,25.0,17.0,34.34,20.0,6.06,18.18,33.0,12.0,2.02,14.0,2.04,16.83,0.0,8.08,4.0,10.0,1.96,0.0,2.97,29.0,7.07,2.0,8.08,0.0,4.04,0.0,0.0,0.0,1.0,9.9,0.0,4.0,11.0,1.98,0.0,0.0,17.0,9.0,3.0,7.14,3.0,0.99,6.06,1.0,0.0,14.85,0.99,10.89,3.96,17.65,27.27,39.0,2.04,23.0,22.0,29.7,0.0,2.02,0.0,42.42,6.06,3.0,21.0,47.0,34.0,0.0,3.03,2.0,3.03,1.98,5.05,2.0,8.08,14.14
