op_w_rlat,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.073,0.166,0.078,0.03,0.053,0.041,0.023,0.083,0.037,0.024,0.072,0.046,0.055,0.043,0.059,0.059,0.052,0.038,0.061,0.029,0.08,0.049,0.059,0.037,0.071,0.07,0.061,0.096,0.039,0.033,0.032,0.052,0.048,0.044,0.041,0.047,0.057,0.04,0.034,0.035
1,0.193,0.176,0.173,0.095,0.173,0.167,0.051,0.117,0.146,0.277,0.067,0.075,0.164,0.064,0.166,0.102,0.071,0.092,0.159,0.104,0.142,0.068,0.093,0.182,0.167,0.073,0.074,0.263,0.087,0.171,0.068,0.068,0.099,0.083,0.074,0.081,0.084,0.11,0.111,0.055
2,0.169,0.163,0.421,0.131,0.089,0.196,0.07,0.068,0.334,0.702,0.036,0.067,0.32,0.061,0.275,0.08,0.042,0.052,0.127,0.068,0.043,0.07,0.089,0.372,0.169,0.063,0.063,0.486,0.054,0.177,0.05,0.044,0.047,0.054,0.045,0.047,0.045,0.057,0.081,0.045
3,0.11,0.188,0.259,0.218,0.162,0.09,0.028,0.064,0.184,0.867,0.051,0.065,0.067,0.078,0.116,0.059,0.057,0.069,0.154,0.042,0.043,0.036,0.042,0.246,0.06,0.039,0.039,0.313,0.071,0.123,0.036,0.04,0.046,0.085,0.052,0.047,0.046,0.051,0.078,0.038
4,0.171,0.075,0.052,0.123,0.869,0.106,0.02,0.096,0.2,0.83,0.031,0.07,0.049,0.069,0.105,0.079,0.05,0.06,0.058,0.082,0.038,0.041,0.056,0.176,0.131,0.046,0.061,0.077,0.088,0.131,0.056,0.092,0.157,0.114,0.035,0.043,0.043,0.133,0.088,0.028
5,0.215,0.212,0.186,0.338,0.69,0.12,0.262,0.042,0.215,0.755,0.168,0.024,0.052,0.062,0.028,0.011,0.024,0.032,0.051,0.037,0.016,0.025,0.018,0.023,0,0.019,0.044,0.033,0,0.117,0.11,0.028,0.067,0.09,0.048,0.042,0.047,0.109,0.064,0.041
6,0.139,0.09,0.056,0.054,0.136,0.141,0.086,0.037,0.279,0.496,0.089,0.021,0,0.103,0.086,0.021,0.04,0.072,0.103,0.017,0.075,0.057,0.116,0.074,1.201,0.078,0.024,0.068,1.313,0.042,0.114,0.081,0.098,0.175,0.357,0.073,0.14,0.193,0.029,0.174
7,0.04,0.031,0.031,0.029,0.101,0.053,0.213,0.082,0.111,0.421,0.041,0.033,0.979,0.04,0.101,0.036,0.029,0.037,0.026,0.017,0.038,0.112,0.037,0.065,0.794,0.097,0.079,0.12,0.366,0.044,0.07,0.02,0.06,0.047,0.062,0.017,0.024,0,0.09,0.053
8,0.03,0.011,0.011,0.009,0.008,0.013,0.043,0.014,0.086,0.405,0.019,0.02,0.466,0.016,0.139,0.014,0.016,0.023,0.012,0.025,0.012,0.019,0.013,0.063,0.3,0.015,0.011,0.018,0.02,0.017,0.017,0.015,0.017,0.02,0.017,0.015,0.023,0,0.029,0.016
9,0.004,0.005,0.004,0.004,0.033,0.004,0.027,0.004,0,0.156,0.007,0.005,0.016,0.008,0.005,0.005,0.004,0.005,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.017,0.005,0.006,0.005,0.004,0.004,0.008,0,0.014,0.023
10,0.005,0.006,0.005,0.006,0.007,0.005,0.004,0.004,0,0.088,0.006,0.007,0.008,0.005,0.006,0.005,0.005,0.007,0.005,0.004,0.006,0.006,0.048,0.005,0.005,0.053,0.005,0.005,0.005,0.057,0.005,0.005,0.006,0.003,0.006,0.005,0.007,0,0.006,0.009
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4.728,0.016,1.554,2.603,2.332,2.501,1.544,2.032,0,6.193,1.067,0.858,1.136,1.609,0.69,1.4,0.346,2.48,1.485,1.41,2.278,0.009,0.013,1.933,2.392,3.459,0.812,3.206,1.637,1.364,0.011,0.012,0.012,0.014,0.009,0.015,0.012,8.682,0.014,0.012
16,0,0.004,0.036,0.006,0.005,0.004,0.005,0.01,0,1.19,0.096,0.034,0.004,0.143,0.03,0.005,0.081,0.048,0.061,0.028,0.099,0.004,0.074,0.004,0.031,1.435,0.004,0.051,3.232,0,0.004,0.004,0.042,0.186,0,0.077,0.042,3.649,0,0.004
17,0,0.462,0.365,0.153,0.262,0.003,0.483,0.005,0,0.248,1.076,0.815,0.392,0,0.634,0.203,0.545,0.262,1.033,0.674,0.007,0.006,0.007,0.005,0.005,0.005,0.71,0.004,0.006,8.732,0.449,0.003,0.772,1.702,0,0.211,0.575,3.528,0,0.004
18,0,0.006,0.006,0.006,0.008,0.005,0.005,0.007,5.535,0.006,4.434,2.452,3.533,0,1.319,1.88,2.834,1.041,0.005,0.737,0.006,2.86,4.449,3.945,2.389,0.701,1.322,1.593,0.749,0,2.548,1.538,0.005,0,0,2.979,1.215,5.212,0,2.665
