rxpck/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.61,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,6.06,6.06,6.06,6.06,6.12,6.0,6.0,0.0,6.12,6.0,6.0,6.06,6.0,6.06,6.0,6.06,5.94,6.0,6.06,6.0,0.0,0.0,6.0,0.0,0.0,6.12,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.22,0.0,13.33,7.41,0.0,5.94,2.27,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48,16.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.01,0.0,0.0,1.0,1.02,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.98,0.0,1.0,1.0,0.0,0.0,16.85,17.24,0.0,0.0,3.57,3.45,1.0,1.0,3.26,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,13.04,0.0,21.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.36,0.0,0.0,0.0,23.61,26.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,1.01,1.0,1.01,1.01,0.99,1.01,1.01,1.0,1.0,1.02,0.0,1.02,1.02,1.0,0.99,1.0,1.01,0.99,1.0,0.0,1.0,1.0,1.01,1.0,0.99,1.0,1.0,1.01,1.0,1.0,1.01,1.02,6.45,0.0,0.0,1.0,14.14,1.0,18.18,20.51,0.0,0.0,7.06,8.24,1.0,1.01,25.35,18.37,3.45,3.3,20.43,23.81,0.0,0.99,0.0,0.0,1.01,0.99,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,21.21,6.93,0.0,93.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,34.69,50.0,0.0,0.0,0.0,0.0,22.58,23.6,23.88,22.73,23.33,23.08,0.0,0.0,0.0,15.0,0.0,0.0,9.52,22.06,0.0,0.0,0.0,0.0,0.0,10.1,18.07,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,9.09,8.0,3.7,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,19.61,20.45,200.0,14.14,8.08,1.0,2.97,1.0,1.01,0.0,0.0,1.01,60.0,0.0
7,0.0,20.0,14.0,14.0,14.29,19.8,20.2,21.43,20.41,13.86,30.43,20.0,7.0,20.0,50.0,7.0,25.29,27.78,22.39,35.29,14.0,25.86,21.13,0.0,30.91,30.91,9.09,7.07,6.06,30.91,22.73,14.0,0.0,0.0,5.1,6.0,0.0,0.0,27.59,24.19,0.0,6.67,14.0,26.79,18.56,7.87,0.0,22.39,25.0,22.06,24.59,29.73,5.94,9.09,0.0,9.0,9.0,0.0,0.0,0.0,0.0,7.92,8.91,0.0,0.0,0.0,8.91,9.0,8.82,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.41,20.2,20.2,20.0,14.14,14.14,14.14,14.0,11.0,14.0,8.0,7.92,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.86,14.14,17.14,0.0,18.37,7.0,8.08,0.0,28.07,15.15,15.0,34.04,7.32,15.15,0.0,19.8,9.09,6.06,20.0,14.0,41.67,5.49,0.0,35.9,45.45,5.56,18.18,65.38
8,19.23,0.0,5.88,7.0,6.0,0.0,0.0,0.0,0.0,7.0,6.93,0.0,14.0,0.0,8.16,13.0,0.0,21.43,22.58,13.21,6.0,12.77,9.21,25.86,13.46,8.11,0.0,22.58,23.81,0.0,7.07,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,24.59,0.0,6.06,7.78,20.79,0.0,22.06,8.86,8.14,6.82,8.97,0.0,1.0,11.0,5.94,11.11,11.11,20.2,20.2,20.2,20.0,12.0,12.12,20.0,19.8,20.41,11.0,11.11,11.11,20.0,15.15,20.0,20.2,8.91,18.81,20.41,20.41,0.0,0.0,0.0,0.0,6.0,6.06,6.06,6.0,8.91,5.94,12.12,11.11,1.01,21.21,20.2,19.8,20.0,20.2,20.2,22.22,21.21,0.0,21.21,21.43,21.0,21.0,21.78,21.21,21.21,20.79,21.0,21.0,21.21,21.21,6.06,7.69,0.0,0.0,14.85,20.0,19.8,20.2,40.0,7.14,7.14,7.07,8.54,19.39,7.07,0.0,0.0,20.0,0.0,0.0,0.0,8.97,18.37,107.14,7.59,2.02,29.03,20.0,7.07
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,7.0,0.0,15.0,6.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,6.12,0.0,0.0,23.44,6.0,6.12,5.94,0.0,0.0,21.21,22.11,21.21,21.43,21.21,20.2,0.0,0.0,7.41,0.0,0.0,0.0,0.0,22.0,7.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.99,1.0,0.99,1.0,1.01,1.0,0.99,1.0,1.01,1.0,1.01,0.99,20.0,1.01,0.99,1.01,1.01,0.99,0.99,0.0,0.0,20.2,1.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,6.12,0.0,0.0,0.0,0.0,1.28,0.0,0.0,1.05,19.8,0.0,1.01,0.0,3.03,1.0,0.0,8.16,0.99,20.0,9.09,1.0,9.9,7.84,0.0,20.2
