op_out_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
11,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454959202,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
12,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
13,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
14,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
15,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
16,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
17,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
18,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
19,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
20,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
21,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
