op_out_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
100,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
101,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
102,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
103,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
104,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
105,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
106,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
107,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
108,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
109,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
110,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
111,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
112,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
113,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
114,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
115,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
116,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
117,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
118,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
119,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
120,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
121,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
122,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
123,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
124,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
125,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
126,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
127,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
128,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
129,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
130,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
131,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
132,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
133,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
134,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
135,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
136,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
137,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
138,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
139,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
140,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
141,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
142,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
143,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
144,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
145,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
146,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
147,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
148,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
149,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
150,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
151,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
152,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
153,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
154,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
155,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
156,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
157,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
158,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
159,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
160,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
161,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
162,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
163,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
164,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
