w/s,aceph01,aceph02,aceph03,aceph04
0,82.0,53.6,56.7,48.2
1,86.8,24.1,66.0,68.8
2,45.1,48.2,78.2,70.2
3,91.0,93.2,139.6,161.4
4,105.8,170.0,178.4,149.2
5,167.9,185.6,184.3,159.7
6,185.7,243.8,193.6,192.6
7,186.4,273.8,219.7,159.3
8,177.8,208.6,147.6,191.2
9,220.8,219.6,154.3,162.0
10,205.5,157.0,142.2,189.9
11,165.3,142.6,191.2,195.5
12,168.3,108.5,237.6,190.8
13,211.1,159.0,228.4,205.3
14,156.7,137.8,264.9,230.8
15,133.7,170.3,259.7,157.9
16,240.8,237.5,230.6,137.0
17,180.1,190.4,138.0,129.0
18,204.5,220.9,106.0,116.4
19,232.9,124.7,102.6,202.1
20,227.5,164.9,149.9,198.9
21,203.1,146.0,143.3,204.9
22,252.2,211.5,230.3,230.5
23,201.5,227.7,140.0,227.0
24,216.6,253.5,205.6,231.5
25,269.9,203.2,146.3,285.9
26,267.9,213.6,102.0,291.9
27,194.0,208.8,226.8,269.2
28,243.8,234.6,207.2,167.8
29,191.4,264.0,157.4,164.4
30,131.6,240.0,150.4,154.3
31,196.3,279.5,185.4,151.2
32,252.7,264.9,190.0,166.7
33,165.3,248.4,140.3,159.9
34,186.9,214.6,183.0,250.9
35,142.0,181.7,193.9,206.0
36,166.6,205.6,234.3,147.1
37,120.2,194.7,254.7,160.1
38,269.5,188.5,370.0,141.0
39,213.3,218.4,243.4,111.3
40,166.7,190.4,193.8,231.6
41,180.0,128.6,175.4,287.7
42,162.6,106.9,239.0,179.9
43,144.3,125.2,249.3,116.4
44,160.2,155.8,234.951,92.4
45,173.8,140.8,248.6,130.5
46,241.5,248.3,152.6,176.1
47,196.1,147.0,134.1,204.3
48,161.2,131.6,150.0,172.0
49,136.6,83.7,161.1,249.4
50,141.0,62.7,178.4,121.5
51,140.9,127.7,188.7,142.1
52,173.7,196.6,197.7,194.9
53,165.6,229.3,145.2,160.5
54,192.6,235.7,156.9,217.4
55,156.7,170.0,54.2,206.8
56,210.2,129.8,81.1,194.9
57,140.0,110.3,216.3,185.4
