kbinact,client01,client02,client03,client04
127,845744.0,1070788.0,1348844.0,1436424.0
128,845744.0,1070784.0,1348860.0,1436424.0
129,845748.0,1070704.0,1348860.0,1436424.0
130,845756.0,1070712.0,1348864.0,1436428.0
131,845764.0,1070792.0,1348868.0,1436436.0
132,845772.0,1070796.0,1348876.0,1436440.0
133,845772.0,1070796.0,1348876.0,1436436.0
134,845768.0,1070800.0,1348884.0,1436436.0
135,845768.0,1070804.0,1348888.0,1436448.0
136,845784.0,1070812.0,1348892.0,1436456.0
137,845784.0,1070820.0,1348896.0,1436488.0
138,845788.0,1070828.0,1348896.0,1436488.0
139,845788.0,1070828.0,1348892.0,1436492.0
140,845800.0,1070836.0,1348892.0,1436496.0
141,845792.0,1070844.0,1348904.0,1436500.0
142,845796.0,1070844.0,1348908.0,1436500.0
143,845796.0,1070860.0,1348908.0,1436512.0
144,845796.0,1070860.0,1348908.0,1436512.0
145,845800.0,1070880.0,1348908.0,1436520.0
146,845820.0,1070888.0,1348940.0,1436528.0
147,845824.0,1070896.0,1348948.0,1436528.0
148,845828.0,1070904.0,1348952.0,1436528.0
149,845820.0,1070908.0,1348964.0,1436528.0
150,845820.0,1070916.0,1348972.0,1436536.0
151,845824.0,1070924.0,1348972.0,1436540.0
152,845836.0,1070932.0,1348972.0,1436544.0
153,845844.0,1070936.0,1348972.0,1436544.0
154,845840.0,1070936.0,1348976.0,1436572.0
155,845860.0,1070936.0,1348972.0,1436568.0
156,845860.0,1070940.0,1348972.0,1436568.0
157,845860.0,1070940.0,1348980.0,1436580.0
158,845860.0,1070944.0,1348984.0,1436580.0
159,845860.0,1070932.0,1348988.0,1436592.0
160,845824.0,1070932.0,1348988.0,1436592.0
161,845832.0,1070948.0,1348996.0,1436604.0
162,845868.0,1070952.0,1348996.0,1436604.0
163,845876.0,1070956.0,1349004.0,1436600.0
164,845880.0,1070956.0,1349004.0,1436600.0
165,845884.0,1070956.0,1349008.0,1436600.0
166,845884.0,1070976.0,1349008.0,1436612.0
167,845880.0,1070980.0,1349008.0,1436612.0
168,845880.0,1070976.0,1349036.0,1436616.0
169,845884.0,1070980.0,1349056.0,1436620.0
170,845900.0,1070992.0,1349056.0,1436624.0
171,845912.0,1070984.0,1349056.0,1436640.0
172,845904.0,1070996.0,1349060.0,1436636.0
173,845904.0,1071008.0,1349064.0,1436636.0
174,845904.0,1071016.0,1349064.0,1436636.0
175,845904.0,1071024.0,1349056.0,1436636.0
176,845908.0,1071024.0,1349056.0,1436644.0
177,845912.0,1071024.0,1349064.0,1436656.0
178,845932.0,1071032.0,1349064.0,1436656.0
179,845940.0,1071040.0,1349088.0,1436656.0
180,845940.0,1071048.0,1349084.0,1436660.0
181,845936.0,1071064.0,1349092.0,1436664.0
182,845940.0,1071068.0,1349088.0,1436668.0
183,845936.0,1071064.0,1349096.0,1436668.0
184,845936.0,1071068.0,1349092.0,1436660.0
185,845956.0,1071080.0,1349092.0,1436668.0
186,845956.0,1071088.0,1349096.0,1436668.0
187,845956.0,1071100.0,1349096.0,1436672.0
188,845956.0,1071096.0,1349096.0,1436680.0
189,845956.0,1071096.0,1349112.0,1436676.0
190,845968.0,1071104.0,1349112.0,1436680.0
191,845976.0,1071112.0,1349112.0,1436684.0
192,845980.0,1071116.0,1349104.0,1436688.0
193,845980.0,1071120.0,1349124.0,1436688.0
194,845980.0,1071128.0,1349124.0,1436688.0
195,845980.0,1071136.0,1349124.0,1436692.0
196,845984.0,1071148.0,1349132.0,1436692.0
197,845984.0,1071144.0,1349144.0,1436692.0
198,846000.0,1071144.0,1349140.0,1436696.0
199,846012.0,1071152.0,1349148.0,1436728.0
200,846020.0,1071152.0,1349152.0,1436728.0
201,846016.0,1071168.0,1349152.0,1436744.0
202,846016.0,1071172.0,1349156.0,1436748.0
203,846020.0,1071176.0,1349152.0,1436748.0
204,846020.0,1071188.0,1349152.0,1436748.0
205,846024.0,1071184.0,1349168.0,1436748.0
206,846036.0,1071200.0,1349172.0,1436760.0
207,846312.0,1071200.0,1349172.0,1436768.0
208,846312.0,1071200.0,1349176.0,1436768.0
209,846312.0,1071208.0,1349180.0,1436768.0
210,846316.0,1071200.0,1349180.0,1436772.0
211,846324.0,1071208.0,1349180.0,1436772.0
212,846332.0,1071212.0,1349184.0,1436800.0
213,846336.0,1071212.0,1349188.0,1436800.0
214,846336.0,1071212.0,1349196.0,1436808.0
215,846344.0,1071216.0,1349204.0,1436816.0
216,846344.0,1071212.0,1349208.0,1436816.0
217,846348.0,1071212.0,1349208.0,1436820.0
218,846348.0,1071216.0,1349212.0,1436816.0
219,846348.0,1071216.0,1349216.0,1436820.0
220,846360.0,1071220.0,1349216.0,1436824.0
221,846368.0,1071232.0,1349224.0,1436828.0
222,846372.0,1071232.0,1349216.0,1436844.0
223,846372.0,1071248.0,1349220.0,1436848.0
224,846368.0,1071264.0,1349224.0,1436844.0
225,846380.0,1071264.0,1349224.0,1436848.0
226,846388.0,1071264.0,1349224.0,1436848.0
227,846396.0,1071264.0,1349224.0,1436848.0
228,846388.0,1071264.0,1349216.0,1436852.0
229,846388.0,1071272.0,1349236.0,1436856.0
230,846392.0,1071312.0,1349236.0,1436860.0
231,846400.0,1071320.0,1349244.0,1436860.0
232,846400.0,1071320.0,1349248.0,1436860.0
233,846404.0,1071312.0,1349248.0,1436860.0
234,846404.0,1071316.0,1349248.0,1436864.0
235,846420.0,1071316.0,1349248.0,1436868.0
236,846424.0,1071312.0,1349252.0,1436872.0
237,846420.0,1071316.0,1349252.0,1436884.0
238,846420.0,1071320.0,1349248.0,1436884.0
239,846424.0,1071336.0,1349260.0,1436880.0
240,846428.0,1071344.0,1349264.0,1436908.0
241,846432.0,1071344.0,1349268.0,1436924.0
242,846440.0,1071348.0,1349276.0,1436932.0
243,846436.0,1071356.0,1349296.0,1436932.0
244,846432.0,1071360.0,1349296.0,1436944.0
245,846440.0,1071364.0,1349296.0,1436940.0
246,846444.0,1071364.0,1349304.0,1436952.0
247,846452.0,1071372.0,1349304.0,1436948.0
248,846452.0,1071372.0,1349304.0,1436948.0
249,846460.0,1071376.0,1349324.0,1436952.0
250,846460.0,1071380.0,1349324.0,1436956.0
251,846472.0,1071396.0,1349324.0,1436956.0
252,846468.0,1071416.0,1349324.0,1436968.0
253,846468.0,1071408.0,1349320.0,1436968.0
254,846468.0,1071408.0,1349320.0,1436968.0
255,846484.0,1071416.0,1349328.0,1436968.0
256,846484.0,1071420.0,1349324.0,1436968.0
257,846500.0,1071432.0,1349336.0,1436976.0
258,846500.0,1071436.0,1349336.0,1436972.0
259,846496.0,1071428.0,1349336.0,1436972.0
260,846504.0,1071436.0,1349336.0,1436972.0
261,846508.0,1071460.0,1349344.0,1437012.0
262,846516.0,1071456.0,1349344.0,1437012.0
263,846512.0,1071452.0,1349348.0,1437012.0
264,846516.0,1071456.0,1349368.0,1437016.0
265,846524.0,1071452.0,1349364.0,1437020.0
266,846532.0,1071452.0,1349364.0,1437024.0
267,846532.0,1071460.0,1349364.0,1437036.0
268,846528.0,1071460.0,1349368.0,1437036.0
269,846528.0,1071464.0,1349376.0,1437036.0
270,846528.0,1071480.0,1349372.0,1437044.0
271,846528.0,1071484.0,1349376.0,1437044.0
272,846556.0,1071496.0,1349380.0,1437060.0
273,846556.0,1071496.0,1349384.0,1437060.0
274,846548.0,1071500.0,1349384.0,1437060.0
275,846552.0,1071508.0,1349392.0,1437060.0
276,846552.0,1071504.0,1349392.0,1437060.0
277,846556.0,1071524.0,1349392.0,1437064.0
278,846560.0,1071536.0,1349400.0,1437096.0
279,846568.0,1071536.0,1349408.0,1437096.0
280,846568.0,1071540.0,1349416.0,1437096.0
281,846580.0,1071544.0,1349412.0,1437096.0
282,846580.0,1071552.0,1349420.0,1437096.0
283,846580.0,1071560.0,1349428.0,1437112.0
284,846580.0,1071560.0,1349436.0,1437112.0
285,846584.0,1071556.0,1349436.0,1437112.0
286,846592.0,1071556.0,1349436.0,1437104.0
287,846604.0,1071560.0,1349436.0,1437112.0
288,846600.0,1071560.0,1349440.0,1437116.0
289,846604.0,1071564.0,1349448.0,1437116.0
290,846604.0,1071564.0,1349448.0,1437116.0
291,846608.0,1071572.0,1349448.0,1437120.0
292,846608.0,1071580.0,1349464.0,1437124.0
293,846632.0,1071580.0,1349468.0,1437132.0
294,846632.0,1071584.0,1349472.0,1437136.0
295,846648.0,1071580.0,1349472.0,1437136.0
296,846640.0,1071580.0,1349468.0,1437136.0
297,846644.0,1071584.0,1349472.0,1437148.0
298,846644.0,1071588.0,1349472.0,1437152.0
299,846640.0,1071592.0,1349472.0,1437192.0
300,846640.0,1071624.0,1349472.0,1437192.0
301,846664.0,1071628.0,1349476.0,1437196.0
302,846664.0,1071648.0,1349476.0,1437200.0
303,846668.0,1071656.0,1349480.0,1437200.0
304,846664.0,1071668.0,1349480.0,1437200.0
305,846680.0,1071668.0,1349480.0,1437204.0
306,846680.0,1071668.0,1349488.0,1437204.0
307,846680.0,1071676.0,1349492.0,1437208.0
308,846680.0,1071676.0,1349496.0,1437212.0
309,846680.0,1071680.0,1349508.0,1437208.0
310,846684.0,1071680.0,1349508.0,1437212.0
311,846688.0,1071684.0,1349524.0,1437212.0
312,846688.0,1071692.0,1349524.0,1437212.0
313,846692.0,1071704.0,1349532.0,1437216.0
314,846692.0,1071712.0,1349536.0,1437212.0
315,846700.0,1071708.0,1349536.0,1437220.0
316,846692.0,1071720.0,1349536.0,1437224.0
317,846712.0,1071720.0,1349544.0,1437224.0
318,846708.0,1071740.0,1349540.0,1437224.0
319,846708.0,1071728.0,1349540.0,1437260.0
320,846720.0,1071728.0,1349540.0,1437256.0
321,846724.0,1071716.0,1349536.0,1437256.0
322,846724.0,1071712.0,1349536.0,1437256.0
323,846732.0,1071716.0,1349540.0,1437260.0
324,846728.0,1071716.0,1349564.0,1437260.0
325,846752.0,1071732.0,1349572.0,1437264.0
326,846748.0,1071728.0,1349576.0,1437260.0
327,846748.0,1071736.0,1349576.0,1437264.0
328,846748.0,1071736.0,1349572.0,1437268.0
329,846740.0,1071740.0,1349576.0,1437268.0
330,846748.0,1071748.0,1349584.0,1437268.0
331,846760.0,1071756.0,1349580.0,1437264.0
332,846760.0,1071756.0,1349588.0,1437276.0
333,846752.0,1071756.0,1349592.0,1437276.0
334,846760.0,1071764.0,1349592.0,1437276.0
335,846772.0,1071784.0,1349600.0,1437276.0
336,846776.0,1071796.0,1349604.0,1437276.0
337,846780.0,1071804.0,1349604.0,1437288.0
338,846776.0,1071808.0,1349604.0,1437292.0
339,846772.0,1071804.0,1349604.0,1437292.0
340,846772.0,1071804.0,1349604.0,1437296.0
341,846784.0,1071804.0,1349604.0,1437296.0
342,846788.0,1071812.0,1349600.0,1437304.0
343,846788.0,1071816.0,1349624.0,1437316.0
344,846792.0,1071816.0,1349628.0,1437316.0
345,846788.0,1071808.0,1349640.0,1437316.0
346,846808.0,1071816.0,1349640.0,1437364.0
347,846812.0,1071832.0,1349640.0,1437364.0
348,846808.0,1071840.0,1349636.0,1437364.0
349,846808.0,1071836.0,1349636.0,1437364.0
350,846808.0,1071836.0,1349644.0,1437372.0
351,846816.0,1071832.0,1349644.0,1437372.0
352,846828.0,1071844.0,1349644.0,1437376.0
353,846836.0,1071844.0,1349648.0,1437388.0
354,846836.0,1071840.0,1349648.0,1437388.0
355,846836.0,1071852.0,1349648.0,1437392.0
356,846844.0,1071852.0,1349648.0,1437396.0
357,846844.0,1071852.0,1349648.0,1437404.0
358,846844.0,1071852.0,1349648.0,1437404.0
359,846844.0,1071856.0,1349684.0,1437404.0
360,846856.0,1071856.0,1349696.0,1437416.0
361,846864.0,1071856.0,1349696.0,1437412.0
362,846864.0,1071864.0,1349696.0,1437416.0
363,846860.0,1071868.0,1349696.0,1437420.0
364,846864.0,1071884.0,1349704.0,1437424.0
365,846864.0,1071884.0,1349704.0,1437424.0
366,846860.0,1071884.0,1349720.0,1437424.0
367,846868.0,1071892.0,1349720.0,1437420.0
368,846880.0,1071896.0,1349724.0,1437428.0
369,846876.0,1071892.0,1349724.0,1437424.0
370,846884.0,1071896.0,1349728.0,1437428.0
371,846892.0,1071904.0,1349728.0,1437428.0
372,846896.0,1071908.0,1349728.0,1437432.0
373,846896.0,1071912.0,1349728.0,1437436.0
374,846896.0,1071912.0,1349732.0,1437436.0
375,846900.0,1071916.0,1349736.0,1437440.0
376,846916.0,1071912.0,1349736.0,1437444.0
377,846920.0,1071928.0,1349736.0,1437444.0
378,846916.0,1071928.0,1349756.0,1437444.0
379,846912.0,1071936.0,1349752.0,1437452.0
380,846916.0,1071940.0,1349752.0,1437456.0
381,846920.0,1071940.0,1349752.0,1437452.0
382,846920.0,1071944.0,1349752.0,1437448.0
383,846924.0,1071964.0,1349760.0,1437448.0
384,846924.0,1071972.0,1349768.0,1437460.0
385,846948.0,1071976.0,1349776.0,1437468.0
386,846948.0,1071984.0,1349776.0,1437516.0
387,846948.0,1071984.0,1349780.0,1437516.0
388,846948.0,1072000.0,1349780.0,1437520.0
389,846948.0,1071996.0,1349784.0,1437528.0
390,846952.0,1072004.0,1349784.0,1437536.0
391,846948.0,1072000.0,1349796.0,1437536.0
392,846948.0,1071992.0,1349796.0,1437536.0
393,846964.0,1072004.0,1349796.0,1437544.0
394,846960.0,1072004.0,1349796.0,1437544.0
395,846964.0,1072000.0,1349804.0,1437552.0
396,846960.0,1072000.0,1349804.0,1437556.0
397,846972.0,1071996.0,1349804.0,1437556.0
398,846972.0,1072000.0,1349804.0,1437560.0
399,846972.0,1072004.0,1349804.0,1437588.0
