w_await,aceph01,aceph02,aceph03,aceph04
187,0.076,0.035,0.043,0.047
188,0.049,0.061,0.017,0.096
189,0.06,0.043,0.071,0.073
190,0.026,0.048,0.085,0.093
191,0.059,0.067,0.051,0.078
192,0.0,0.211,0.0,0.0
193,0.047,0.139,0.07,0.06
194,0.042,0.043,0.071,0.058
195,0.05,0.048,0.034,0.049
196,0.017,0.051,0.038,0.026
197,0.04,0.167,0.15,0.017
198,0.029,0.047,0.046,0.077
199,0.051,0.045,0.066,0.049
200,0.033,0.048,0.091,0.071
201,0.056,0.063,0.063,0.023
202,0.059,0.096,0.049,0.026
203,0.05,0.056,0.083,0.053
204,0.057,0.04,0.065,0.019
205,0.071,0.045,0.047,0.05
206,0.048,0.021,0.07,0.039
207,0.043,0.064,0.082,0.044
208,0.039,0.057,0.065,0.096
209,0.071,0.075,0.048,0.058
210,0.088,0.0,0.027,0.027
211,0.05,0.078,0.054,0.046
212,0.024,0.051,0.042,0.049
213,0.12,0.024,0.0,0.086
214,0.06,0.0,0.069,0.088
215,0.0,0.065,0.068,0.035
216,0.077,0.08,0.045,0.052
217,0.035,0.048,0.059,0.082
218,0.066,0.082,0.02,0.055
219,0.0,0.0,0.0,0.0
220,0.055,0.059,0.056,0.049
221,0.073,0.064,0.047,0.061
222,0.069,0.07,0.052,0.073
223,0.05,0.04,0.063,0.042
224,0.0,0.0,0.0,0.029
225,0.104,0.074,0.019,0.064
226,0.029,0.0,0.101,0.0
227,0.042,0.037,0.006,0.056
228,0.014,0.053,0.042,0.036
229,0.0,0.057,0.028,0.0
230,0.05,0.037,0.067,0.078
231,0.04,0.092,0.078,0.043
232,0.16,0.0,0.151,0.156
233,0.097,0.08,0.041,0.052
234,0.038,0.027,0.094,0.063
235,0.049,0.071,0.077,0.05
236,0.083,0.058,0.048,0.027
237,0.069,0.077,0.04,0.058
238,0.075,0.056,0.091,0.047
239,0.034,0.08,0.013,0.031
240,0.094,0.046,0.045,0.038
241,0.074,0.056,0.065,0.083
242,0.046,0.055,0.066,0.059
243,0.0,0.052,0.029,0.022
244,0.061,0.047,0.064,0.078
245,0.056,0.041,0.069,0.089
246,0.072,0.056,0.045,0.061
247,0.052,0.088,0.022,0.048
248,0.0,0.0,0.0,0.0
249,0.036,0.016,0.067,0.062
250,0.04,0.035,0.075,0.066
251,0.052,0.062,0.06,0.033
252,0.047,0.026,0.04,0.047
253,0.0,0.0,0.0,0.0
254,0.053,0.079,0.044,0.039
255,0.062,0.053,0.037,0.035
256,0.032,0.047,0.026,0.047
257,0.048,0.037,0.046,0.072
258,0.049,0.082,0.026,0.047
259,0.035,0.021,0.059,0.051
260,0.04,0.037,0.0,0.03
261,0.063,0.006,0.057,0.03
262,0.029,0.051,0.066,0.059
263,0.018,0.025,0.02,0.065
264,0.072,0.043,0.084,0.025
265,0.038,0.036,0.029,0.065
266,0.057,0.062,0.076,0.057
267,0.044,0.038,0.038,0.075
268,0.033,0.044,0.072,0.074
269,0.063,0.075,0.079,0.425
270,0.094,0.044,0.051,0.052
271,0.031,0.036,0.036,0.061
272,0.068,0.034,0.044,0.054
273,0.047,0.088,0.018,0.056
274,0.072,0.082,0.024,0.058
275,0.081,0.075,0.078,0.053
276,0.036,0.048,0.043,0.055
277,0.054,0.055,0.029,0.048
278,0.097,0.088,0.048,0.139
279,0.049,0.061,0.064,0.12
280,0.0,0.0,0.4,0.01
281,0.056,0.045,0.043,0.027
282,0.051,0.077,0.061,0.038
283,0.091,0.096,0.092,0.073
284,0.037,0.069,0.062,0.052
285,0.022,0.043,0.077,0.096
286,0.076,0.056,0.031,0.037
287,0.076,0.064,0.046,0.051
288,0.092,0.081,0.049,0.021
289,0.054,0.083,0.047,0.063
290,0.06,0.104,0.071,0.072
291,0.04,0.064,0.054,0.061
292,0.053,0.03,0.163,0.021
293,0.045,0.049,0.087,0.079
294,0.041,0.088,0.048,0.027
295,0.054,0.068,0.026,0.124
296,0.05,0.088,0.057,0.037
297,0.027,0.111,0.051,0.083
298,0.022,0.079,0.063,0.031
299,0.064,0.049,0.056,0.065
300,0.063,0.04,0.033,0.131
301,0.0,0.023,0.031,0.098
302,0.044,0.044,0.028,0.056
303,0.046,0.078,0.053,0.069
304,0.06,0.089,0.041,0.068
305,0.064,0.077,0.065,0.045
306,0.054,0.045,0.031,0.077
307,0.045,0.062,0.044,0.077
308,0.031,0.103,0.06,0.044
309,0.07,0.135,0.072,0.074
310,0.0,0.1,0.0,0.0
311,0.047,0.063,0.067,0.07
312,0.034,0.06,0.075,0.043
313,0.085,0.086,0.038,0.022
314,0.044,0.042,0.048,0.047
315,0.029,0.051,0.079,0.05
316,0.036,0.041,0.06,0.039
317,0.023,0.045,0.065,0.063
318,0.0,0.0,0.0,0.0
319,0.061,0.06,0.05,0.053
320,0.043,0.074,0.055,0.045
321,0.059,0.062,0.077,0.046
322,0.047,0.061,0.086,0.023
323,0.054,0.024,0.118,0.027
324,0.033,0.024,0.0,0.024
325,0.099,0.038,0.101,0.072
326,0.037,0.042,0.055,0.06
327,0.066,0.041,0.068,0.076
328,0.045,0.049,0.069,0.039
329,0.054,0.033,0.049,0.06
330,0.044,0.068,0.044,0.032
331,0.072,0.035,0.079,0.031
332,0.091,0.12,0.033,0.043
333,0.103,0.02,0.069,0.036
334,0.046,0.124,0.019,0.023
335,0.032,0.064,0.059,0.071
336,0.064,0.025,0.089,0.061
337,0.048,0.05,0.032,0.03
338,0.07,0.06,0.057,0.039
339,0.053,0.047,0.0,0.062
340,0.071,0.01,0.056,0.098
341,0.062,0.078,0.062,0.084
342,0.077,0.098,0.008,0.015
343,0.056,0.053,0.05,0.092
344,0.091,0.053,0.07,0.069
345,0.063,0.066,0.042,0.067
346,0.059,0.058,0.037,0.055
347,0.032,0.022,0.092,0.123
348,0.133,0.103,0.072,0.033
349,0.105,0.168,0.083,0.137
350,0.101,0.036,0.072,0.041
351,0.049,0.076,0.035,0.071
352,0.041,0.039,0.044,0.071
353,0.024,0.0,0.048,0.1
354,0.077,0.057,0.065,0.079
355,0.056,0.036,0.014,0.042
356,0.064,0.046,0.071,0.038
357,0.112,0.072,0.084,0.051
358,0.074,0.056,0.05,0.043
359,0.067,0.067,0.0,0.0
360,0.077,0.095,0.083,0.022
361,0.077,0.049,0.051,0.057
362,0.133,0.0,0.031,0.0
363,0.0,0.056,0.058,0.071
364,0.061,0.042,0.005,0.146
365,0.053,0.058,0.077,0.046
366,0.059,0.082,0.0,0.022
367,0.054,0.058,0.046,0.117
368,0.039,0.049,0.143,0.071
369,0.077,0.4,0.0,0.157
370,0.042,0.062,0.032,0.042
371,0.043,0.071,0.047,0.03
372,0.058,0.047,0.062,0.06
373,0.06,0.052,0.06,0.072
374,0.117,0.069,0.026,0.015
375,0.069,0.084,0.052,0.053
376,0.08,0.044,0.043,0.036
377,0.018,0.059,0.102,0.054
378,0.032,0.051,0.026,0.066
379,0.095,0.056,0.02,0.025
380,0.063,0.033,0.037,0.036
381,0.06,0.062,0.052,0.082
382,0.023,0.0,0.044,0.0
383,0.057,0.052,0.06,0.08
384,0.049,0.073,0.05,0.0
385,0.089,0.047,0.06,0.037
386,0.085,0.038,0.059,0.069
387,0.01,0.073,0.023,0.036
388,0.056,0.052,0.06,0.079
389,0.048,0.028,0.0,0.043
390,0.096,0.064,0.048,0.06
391,0.08,0.053,0.045,0.037
392,0.108,0.067,0.093,0.093
393,0.058,0.049,0.074,0.059
394,0.025,0.038,0.095,0.032
395,0.043,0.064,0.035,0.04
396,0.0,0.07,0.067,0.097
397,0.057,0.053,0.039,0.042
398,0.033,0.056,0.044,0.048
399,0.013,0.046,0.067,0.05
