kbcached,client01,client02,client03,client04
127,743608.0,1121136.0,1273196.0,1478980.0
128,743768.0,1121292.0,1273284.0,1479180.0
129,743916.0,1121408.0,1273440.0,1479280.0
130,744088.0,1121592.0,1273468.0,1479336.0
131,744240.0,1121716.0,1273720.0,1479440.0
132,744360.0,1121744.0,1273832.0,1479596.0
133,744588.0,1121932.0,1273980.0,1479704.0
134,744700.0,1122052.0,1274124.0,1479840.0
135,744916.0,1122156.0,1274204.0,1479968.0
136,745024.0,1122424.0,1274316.0,1480100.0
137,745104.0,1122440.0,1274424.0,1480228.0
138,745340.0,1122572.0,1274536.0,1480420.0
139,745408.0,1122748.0,1274700.0,1480604.0
140,745572.0,1122832.0,1274892.0,1480732.0
141,745756.0,1122980.0,1274956.0,1480856.0
142,745912.0,1123136.0,1275084.0,1480976.0
143,746072.0,1123196.0,1275212.0,1481092.0
144,746276.0,1123400.0,1275336.0,1481208.0
145,746392.0,1123596.0,1275480.0,1481344.0
146,746576.0,1123656.0,1275548.0,1481436.0
147,746732.0,1123896.0,1275676.0,1481588.0
148,746900.0,1123936.0,1275872.0,1481728.0
149,747124.0,1124064.0,1276020.0,1481848.0
150,747228.0,1124200.0,1276148.0,1481972.0
151,747388.0,1124344.0,1276284.0,1482108.0
152,747556.0,1124424.0,1276384.0,1482236.0
153,747752.0,1124616.0,1276540.0,1482364.0
154,747876.0,1124776.0,1276624.0,1482496.0
155,748044.0,1124936.0,1276736.0,1482648.0
156,748232.0,1125044.0,1276804.0,1482752.0
157,748380.0,1125200.0,1276972.0,1482908.0
158,748540.0,1125316.0,1277208.0,1483052.0
159,748604.0,1125388.0,1277336.0,1483120.0
160,748868.0,1125524.0,1277464.0,1483216.0
161,748928.0,1125668.0,1277556.0,1483368.0
162,749100.0,1125784.0,1277644.0,1483512.0
163,749260.0,1125964.0,1277856.0,1483636.0
164,749424.0,1126040.0,1277980.0,1483752.0
165,749592.0,1126224.0,1278108.0,1483880.0
166,749812.0,1126312.0,1278176.0,1484024.0
167,749916.0,1126520.0,1278380.0,1484148.0
168,750072.0,1126584.0,1278440.0,1484256.0
169,750236.0,1126712.0,1278568.0,1484404.0
170,750460.0,1126796.0,1278624.0,1484536.0
171,750628.0,1126992.0,1278812.0,1484676.0
172,750800.0,1127208.0,1278892.0,1484816.0
173,750960.0,1127400.0,1279092.0,1484944.0
174,751120.0,1127472.0,1279224.0,1485052.0
175,751228.0,1127536.0,1279280.0,1485164.0
176,751440.0,1127552.0,1279292.0,1485324.0
177,751548.0,1127812.0,1279620.0,1485428.0
178,751732.0,1127956.0,1279748.0,1485568.0
179,751896.0,1128140.0,1279880.0,1485668.0
180,752068.0,1128220.0,1279960.0,1485820.0
181,752216.0,1128364.0,1280084.0,1485952.0
182,752376.0,1128500.0,1280272.0,1486128.0
183,752536.0,1128576.0,1280396.0,1486260.0
184,752596.0,1128760.0,1280456.0,1486332.0
185,752756.0,1128844.0,1280520.0,1486512.0
186,752980.0,1128956.0,1280652.0,1486652.0
187,753156.0,1129104.0,1280796.0,1486800.0
188,753316.0,1129240.0,1280984.0,1486840.0
189,753480.0,1129368.0,1281112.0,1486960.0
190,753640.0,1129460.0,1281244.0,1487100.0
191,753804.0,1129720.0,1281372.0,1487228.0
192,753904.0,1129860.0,1281500.0,1487352.0
193,754080.0,1129864.0,1281632.0,1487488.0
194,754248.0,1130052.0,1281768.0,1487604.0
195,754408.0,1130188.0,1281828.0,1487752.0
196,754572.0,1130408.0,1282044.0,1487876.0
197,754776.0,1130540.0,1282160.0,1488020.0
198,754920.0,1130548.0,1282284.0,1488092.0
199,755060.0,1130732.0,1282420.0,1488308.0
200,755128.0,1130812.0,1282548.0,1488472.0
201,755396.0,1131008.0,1282680.0,1488572.0
202,755556.0,1131136.0,1282808.0,1488716.0
203,755744.0,1131272.0,1282940.0,1488832.0
204,755808.0,1131380.0,1283076.0,1488972.0
205,755944.0,1131552.0,1283208.0,1489052.0
206,756032.0,1131716.0,1283336.0,1489236.0
207,756500.0,1131836.0,1283464.0,1489404.0
208,756664.0,1131976.0,1283596.0,1489524.0
209,756820.0,1132108.0,1283696.0,1489668.0
210,756992.0,1132212.0,1283860.0,1489780.0
211,757152.0,1132308.0,1283992.0,1489940.0
212,757316.0,1132444.0,1284080.0,1490024.0
213,757480.0,1132576.0,1284200.0,1490100.0
214,757648.0,1132712.0,1284360.0,1490288.0
215,757816.0,1132860.0,1284516.0,1490412.0
216,757976.0,1132988.0,1284640.0,1490548.0
217,758140.0,1133128.0,1284772.0,1490604.0
218,758300.0,1133340.0,1284896.0,1490736.0
219,758300.0,1133388.0,1284908.0,1490880.0
220,758480.0,1133516.0,1285096.0,1490996.0
221,758540.0,1133668.0,1285228.0,1491128.0
222,758912.0,1133796.0,1285356.0,1491252.0
223,759068.0,1133952.0,1285492.0,1491388.0
224,759152.0,1134132.0,1285548.0,1491516.0
225,759292.0,1134296.0,1285740.0,1491644.0
226,759452.0,1134340.0,1285864.0,1491760.0
227,759720.0,1134476.0,1285992.0,1491888.0
228,759784.0,1134608.0,1286052.0,1492028.0
229,759972.0,1134764.0,1286220.0,1492136.0
230,760116.0,1134884.0,1286276.0,1492272.0
231,760280.0,1135036.0,1286468.0,1492320.0
232,760392.0,1135168.0,1286668.0,1492564.0
233,760600.0,1135304.0,1286800.0,1492744.0
234,760764.0,1135436.0,1286928.0,1492860.0
235,760936.0,1135576.0,1287056.0,1493008.0
236,761000.0,1135720.0,1287132.0,1493132.0
237,761268.0,1135784.0,1287264.0,1493208.0
238,761428.0,1135972.0,1287320.0,1493340.0
239,761592.0,1136036.0,1287516.0,1493432.0
240,761752.0,1136176.0,1287640.0,1493576.0
241,761912.0,1136324.0,1287760.0,1493780.0
242,762080.0,1136456.0,1287892.0,1493868.0
243,762260.0,1136596.0,1288048.0,1493908.0
244,762336.0,1136664.0,1288176.0,1494108.0
245,762632.0,1136864.0,1288336.0,1494224.0
246,762800.0,1137004.0,1288424.0,1494368.0
247,762904.0,1137140.0,1288556.0,1494500.0
248,763044.0,1137276.0,1288668.0,1494660.0
249,763124.0,1137404.0,1288820.0,1494796.0
250,763292.0,1137556.0,1288952.0,1494996.0
251,763456.0,1137688.0,1289024.0,1495060.0
252,763644.0,1137820.0,1289196.0,1495208.0
253,763828.0,1137956.0,1289344.0,1495272.0
254,763968.0,1138068.0,1289484.0,1495412.0
255,764164.0,1138220.0,1289612.0,1495528.0
256,764324.0,1138360.0,1289668.0,1495664.0
257,764492.0,1138504.0,1289752.0,1495808.0
258,764560.0,1138580.0,1289808.0,1495980.0
259,764716.0,1138704.0,1290032.0,1496036.0
260,764816.0,1138848.0,1290100.0,1496236.0
261,764928.0,1139040.0,1290324.0,1496372.0
262,765320.0,1139052.0,1290524.0,1496512.0
263,765484.0,1139244.0,1290664.0,1496628.0
264,765596.0,1139440.0,1290720.0,1496792.0
265,765756.0,1139516.0,1290848.0,1496868.0
266,765824.0,1139648.0,1290904.0,1496892.0
267,766128.0,1139792.0,1291112.0,1497148.0
268,766260.0,1139924.0,1291244.0,1497276.0
269,766320.0,1140048.0,1291372.0,1497392.0
270,766512.0,1140192.0,1291500.0,1497540.0
271,766640.0,1140332.0,1291616.0,1497652.0
272,766808.0,1140464.0,1291712.0,1497784.0
273,766976.0,1140672.0,1291848.0,1497932.0
274,767204.0,1140768.0,1291992.0,1498052.0
275,767368.0,1140872.0,1292036.0,1498180.0
276,767496.0,1141020.0,1292292.0,1498236.0
277,767688.0,1141140.0,1292352.0,1498408.0
278,767844.0,1141304.0,1292552.0,1498512.0
279,767948.0,1141408.0,1292684.0,1498652.0
280,768112.0,1141548.0,1292816.0,1498788.0
281,768284.0,1141680.0,1292944.0,1498892.0
282,768456.0,1141828.0,1293080.0,1498952.0
283,768616.0,1141968.0,1293208.0,1499148.0
284,768776.0,1142036.0,1293284.0,1499296.0
285,768968.0,1142236.0,1293412.0,1499440.0
286,769148.0,1142368.0,1293600.0,1499552.0
287,769280.0,1142484.0,1293724.0,1499620.0
288,769392.0,1142560.0,1293776.0,1499824.0
289,769652.0,1142680.0,1293988.0,1499928.0
290,769712.0,1142896.0,1294116.0,1499984.0
291,769880.0,1142944.0,1294248.0,1500068.0
292,770040.0,1143104.0,1294312.0,1500264.0
293,770148.0,1143220.0,1294440.0,1500320.0
294,770368.0,1143376.0,1294580.0,1500520.0
295,770480.0,1143532.0,1294644.0,1500600.0
296,770704.0,1143652.0,1294780.0,1500864.0
297,770864.0,1143808.0,1294904.0,1500988.0
298,771028.0,1143888.0,1295036.0,1501192.0
299,771192.0,1144088.0,1295164.0,1501292.0
300,771352.0,1144144.0,1295296.0,1501444.0
301,771516.0,1144392.0,1295492.0,1501472.0
302,771676.0,1144476.0,1295560.0,1501724.0
303,771844.0,1144612.0,1295696.0,1501864.0
304,772012.0,1144736.0,1295852.0,1501996.0
305,772172.0,1144872.0,1296012.0,1502140.0
306,772336.0,1145052.0,1296140.0,1502168.0
307,772492.0,1145168.0,1296272.0,1502268.0
308,772656.0,1145228.0,1296336.0,1502464.0
309,772724.0,1145420.0,1296476.0,1502588.0
310,772888.0,1145564.0,1296624.0,1502720.0
311,773052.0,1145680.0,1296796.0,1502852.0
312,773228.0,1145756.0,1296924.0,1502956.0
313,773388.0,1145976.0,1297000.0,1503112.0
314,773544.0,1146056.0,1297132.0,1503236.0
315,773708.0,1146172.0,1297316.0,1503364.0
316,773868.0,1146300.0,1297428.0,1503492.0
317,774036.0,1146432.0,1297520.0,1503620.0
318,774204.0,1146584.0,1297652.0,1503772.0
319,774364.0,1146624.0,1297808.0,1503864.0
320,774528.0,1146820.0,1297940.0,1504068.0
321,774688.0,1146956.0,1297992.0,1504156.0
322,774848.0,1147092.0,1298156.0,1504328.0
323,775012.0,1147300.0,1298280.0,1504396.0
324,775148.0,1147344.0,1298420.0,1504552.0
325,775344.0,1147508.0,1298556.0,1504672.0
326,775512.0,1147604.0,1298688.0,1504792.0
327,775676.0,1147820.0,1298764.0,1504916.0
328,775836.0,1147884.0,1298948.0,1504980.0
329,775896.0,1148060.0,1299016.0,1505100.0
330,776052.0,1148148.0,1299212.0,1505244.0
331,776224.0,1148328.0,1299268.0,1505384.0
332,776484.0,1148496.0,1299428.0,1505516.0
333,776500.0,1148608.0,1299592.0,1505640.0
334,776668.0,1148740.0,1299664.0,1505772.0
335,776824.0,1148892.0,1299720.0,1505908.0
336,776984.0,1149020.0,1299916.0,1506040.0
337,777200.0,1149164.0,1299984.0,1506172.0
338,777364.0,1149228.0,1300168.0,1506300.0
339,777528.0,1149340.0,1300244.0,1506424.0
340,777692.0,1149484.0,1300436.0,1506556.0
341,777832.0,1149628.0,1300504.0,1506692.0
342,777972.0,1149764.0,1300708.0,1506840.0
343,778188.0,1149904.0,1300908.0,1506956.0
344,778348.0,1150032.0,1300972.0,1507072.0
345,778468.0,1150128.0,1301096.0,1507204.0
346,778620.0,1150304.0,1301292.0,1507340.0
347,778792.0,1150444.0,1301400.0,1507492.0
348,779016.0,1150524.0,1301460.0,1507608.0
349,779172.0,1150696.0,1301620.0,1507752.0
350,779328.0,1150832.0,1301748.0,1507884.0
351,779492.0,1150976.0,1301876.0,1508000.0
352,779652.0,1151196.0,1302012.0,1508140.0
353,779660.0,1151252.0,1302152.0,1508260.0
354,779844.0,1151380.0,1302280.0,1508424.0
355,780060.0,1151472.0,1302368.0,1508512.0
356,780220.0,1151652.0,1302472.0,1508576.0
357,780376.0,1151792.0,1302676.0,1508716.0
358,780496.0,1151936.0,1302736.0,1508840.0
359,780696.0,1152052.0,1302936.0,1509008.0
360,780860.0,1152204.0,1302948.0,1509148.0
361,781032.0,1152296.0,1303184.0,1509244.0
362,781104.0,1152480.0,1303212.0,1509392.0
363,781368.0,1152612.0,1303448.0,1509484.0
364,781508.0,1152744.0,1303584.0,1509536.0
365,781684.0,1152844.0,1303720.0,1509744.0
366,781844.0,1152940.0,1303852.0,1509824.0
367,782008.0,1153080.0,1303912.0,1510000.0
368,782172.0,1153216.0,1303984.0,1510112.0
369,782248.0,1153344.0,1304220.0,1510308.0
370,782404.0,1153480.0,1304260.0,1510436.0
371,782672.0,1153612.0,1304504.0,1510572.0
372,782736.0,1153832.0,1304568.0,1510692.0
373,782992.0,1153964.0,1304644.0,1510812.0
374,783052.0,1154092.0,1304896.0,1510992.0
375,783216.0,1154244.0,1304960.0,1511140.0
376,783376.0,1154300.0,1305088.0,1511220.0
377,783548.0,1154444.0,1305164.0,1511352.0
378,783708.0,1154704.0,1305292.0,1511444.0
379,783772.0,1154696.0,1305468.0,1511596.0
380,784040.0,1154836.0,1305608.0,1511756.0
381,784196.0,1154968.0,1305684.0,1511876.0
382,784356.0,1155112.0,1305872.0,1511996.0
383,784520.0,1155252.0,1305944.0,1512128.0
384,784680.0,1155320.0,1306076.0,1512196.0
385,784844.0,1155528.0,1306188.0,1512316.0
386,784912.0,1155592.0,1306388.0,1512496.0
387,785092.0,1155796.0,1306524.0,1512676.0
388,785344.0,1155928.0,1306584.0,1512788.0
389,785504.0,1155984.0,1306644.0,1512984.0
390,785664.0,1156188.0,1306836.0,1513104.0
391,785828.0,1156260.0,1306904.0,1513228.0
392,785888.0,1156400.0,1307108.0,1513288.0
393,786004.0,1156556.0,1307164.0,1513428.0
394,786272.0,1156680.0,1307364.0,1513544.0
395,786340.0,1156812.0,1307424.0,1513676.0
396,786500.0,1156996.0,1307628.0,1513832.0
397,786668.0,1157084.0,1307828.0,1513936.0
398,786824.0,1157216.0,1307844.0,1514128.0
399,786984.0,1157412.0,1307964.0,1514248.0
