kbmemfree,client01,client02,client03,client04
0,100272060.0,28259648.0,27095808.0,35936060.0
1,100205012.0,28233128.0,27076616.0,35905692.0
2,100165888.0,28214028.0,27059776.0,35897512.0
3,100160040.0,28181964.0,27047860.0,35926508.0
4,100189152.0,28176804.0,27044168.0,35921476.0
5,100189852.0,28173352.0,27041872.0,35918844.0
6,100190540.0,28168512.0,27039884.0,35917252.0
7,100192220.0,28166312.0,27039424.0,35914652.0
8,100194660.0,28166512.0,27038760.0,35912032.0
9,100162588.0,28161628.0,27038520.0,35901268.0
10,100158348.0,28166172.0,27035628.0,35898792.0
11,100156264.0,28166552.0,27028740.0,35895140.0
12,100170296.0,28165500.0,27027284.0,35893812.0
13,100155504.0,28166324.0,27027680.0,35884584.0
14,100176612.0,28164296.0,27028416.0,35883888.0
15,100187980.0,28168152.0,27028488.0,35883320.0
16,100190216.0,28166500.0,27030052.0,35883992.0
17,100191988.0,28167268.0,27030380.0,35883160.0
18,100194280.0,28166756.0,27030624.0,35882828.0
19,100197068.0,28170416.0,27030408.0,35883448.0
20,100168544.0,28170512.0,27029884.0,35883620.0
21,100163080.0,28170936.0,27031420.0,35883004.0
22,100160736.0,28171344.0,27030276.0,35882456.0
23,100195716.0,28171248.0,27029956.0,35893708.0
24,100198844.0,28171764.0,27030104.0,35893800.0
25,100198420.0,28171664.0,27028696.0,35891780.0
26,100198876.0,28169448.0,27029080.0,35890152.0
27,100199188.0,28162252.0,27017828.0,35877424.0
28,100164132.0,28161992.0,27009928.0,35872084.0
29,100144152.0,28156644.0,27008776.0,35874976.0
30,100180740.0,28156832.0,27009276.0,35873100.0
31,100181372.0,28157248.0,27009340.0,35871780.0
32,100181500.0,28157088.0,27007548.0,35871200.0
33,100184340.0,28157848.0,27007672.0,35868704.0
34,100184888.0,28157500.0,27008184.0,35865704.0
35,100154612.0,28157544.0,27009208.0,35860776.0
36,100145088.0,28158112.0,27008472.0,35859624.0
37,100153232.0,28158392.0,27008440.0,35858912.0
38,100176952.0,28158120.0,27009772.0,35857732.0
39,100179080.0,28157988.0,27012312.0,35857652.0
40,100184744.0,28157552.0,27014404.0,35860268.0
41,100186428.0,28157820.0,27013844.0,35861440.0
42,100187500.0,28157692.0,27015808.0,35861016.0
43,100154568.0,28156784.0,27017196.0,35848520.0
44,100152504.0,28156928.0,27017676.0,35847908.0
45,100159908.0,28156944.0,27018316.0,35847700.0
46,100187348.0,28156240.0,27018536.0,35847744.0
47,100187884.0,28156064.0,27018192.0,35847992.0
48,100187392.0,28155756.0,27018772.0,35848372.0
49,100188828.0,28155220.0,27019484.0,35847980.0
50,100188832.0,28155076.0,27019860.0,35847804.0
51,100154080.0,28154596.0,27019560.0,35845816.0
52,100179436.0,28154604.0,27019048.0,35846012.0
53,100188760.0,28154696.0,27019600.0,35854940.0
54,100190712.0,28154892.0,27020304.0,35855020.0
55,100191204.0,28154580.0,27024192.0,35853376.0
56,100192768.0,28164392.0,27023640.0,35850556.0
57,100193192.0,28164768.0,27021488.0,35850192.0
58,100157168.0,28164884.0,27021008.0,35847996.0
59,100175712.0,28164484.0,27020380.0,35846560.0
60,100185660.0,28164728.0,27020728.0,35846708.0
61,100184344.0,28165148.0,27043976.0,35846036.0
62,100184912.0,28165288.0,27046620.0,35844684.0
