%irq,client01,client02,client03,client04
0,0.0,0.0,0.5,0.63
1,0.0,0.0,0.25,0.3
2,0.0,0.0,0.2,0.2
3,0.0,0.0,0.53,0.18
4,0.0,0.0,0.53,0.43
5,0.0,0.0,0.4,0.43
6,0.0,0.0,0.43,0.43
7,0.0,0.0,0.48,0.4
8,0.0,0.03,0.48,0.45
9,0.0,0.0,0.28,0.23
10,0.0,0.0,0.05,0.15
11,0.0,0.0,0.13,0.08
12,0.0,0.0,0.05,0.05
13,0.0,0.0,0.05,0.03
14,0.0,0.0,0.03,0.05
15,0.0,0.0,0.03,0.03
16,0.0,0.0,0.18,0.03
17,0.0,0.0,0.33,0.18
18,0.0,0.0,0.05,0.28
19,0.0,0.0,0.08,0.05
20,0.0,0.0,0.1,0.08
21,0.0,0.0,0.05,0.08
22,0.0,0.0,0.13,0.05
23,0.0,0.0,0.08,0.05
24,0.0,0.0,0.2,0.05
25,0.0,0.0,0.25,0.1
26,0.0,0.0,0.13,0.25
27,0.0,0.0,0.03,0.08
28,0.0,0.0,0.15,0.05
29,0.0,0.0,0.18,0.2
30,0.0,0.0,0.08,0.15
31,0.0,0.0,0.15,0.08
32,0.0,0.0,0.25,0.15
33,0.0,0.03,0.05,0.3
34,0.0,0.0,0.03,0.05
35,0.0,0.0,0.07,0.05
36,0.0,0.0,0.1,0.05
37,0.0,0.0,0.1,0.28
38,0.0,0.0,0.23,0.08
39,0.0,0.0,0.08,0.25
40,0.0,0.0,0.05,0.08
41,0.0,0.0,0.13,0.08
42,0.0,0.0,0.33,0.13
43,0.0,0.0,0.13,0.23
44,0.0,0.0,0.1,0.38
45,0.0,0.0,0.15,0.2
46,0.0,0.0,0.28,0.13
47,0.0,0.0,0.03,0.3
48,0.0,0.0,0.18,0.05
49,0.0,0.0,0.38,0.1
50,0.03,0.0,0.18,0.1
51,0.0,0.0,0.03,0.1
52,0.0,0.0,0.08,0.05
53,0.0,0.0,0.1,0.05
54,0.0,0.0,0.35,0.1
55,0.0,0.0,0.33,0.33
56,0.0,0.0,0.2,0.13
57,0.0,0.0,0.28,0.08
58,0.0,0.0,0.23,0.18
59,0.0,0.0,0.13,0.13
60,0.0,0.0,0.1,0.05
61,0.0,0.0,0.1,0.05
62,0.0,0.0,0.15,0.08
63,0.0,0.0,0.28,0.08
64,0.0,0.0,0.25,0.1
65,0.0,0.03,0.15,0.1
66,0.0,0.0,0.08,0.1
67,0.0,0.0,0.08,0.03
68,0.0,0.0,0.13,0.1
69,0.0,0.03,0.08,0.1
70,0.0,0.0,0.23,0.15
71,0.0,0.0,0.1,0.18
72,0.0,0.0,0.1,0.23
73,0.0,0.0,0.03,0.15
74,0.0,0.0,0.05,0.08
75,0.0,0.0,0.1,0.05
76,0.0,0.0,0.18,0.18
77,0.0,0.0,0.28,0.13
78,0.0,0.0,0.13,0.3
79,0.0,0.0,0.13,0.15
80,0.0,0.0,0.13,0.05
81,0.0,0.0,0.1,0.08
82,0.0,0.0,0.15,0.13
83,0.0,0.0,0.15,0.13
84,0.0,0.0,0.05,0.1
85,0.0,0.0,0.15,0.1
86,0.0,0.0,0.1,0.28
87,0.0,0.0,0.18,0.1
88,0.0,0.0,0.18,0.18
89,0.0,0.0,0.25,0.13
90,0.0,0.0,0.08,0.25
