svctm,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,20.0,23.26,40.0,27.78,23.81,35.71,30.3,12.82,21.74,17.54,29.41,19.23,47.62,0.0,25.0,35.71,43.5,34.34,35.77,24.37,27.03,55.56,18.87,33.2,67.05,71.43,124.5,121.27,80.61,72.95,35.71,12.2,50.74,41.67,63.29,125.0,69.3,67.71,24.76,40.0,17.86,62.5,26.32,20.0,65.76,59.14,19.23,54.53,25.0,37.73,55.56,52.63,111.11,33.33,80.22,33.33,25.64,31.25,24.39,43.48,25.0,19.23,18.87,15.87,11.11,20.83,22.73,18.52,13.16,14.71,58.82,43.48,16.67,23.26,35.71,22.22,23.26,21.28,23.26,26.32,23.26,25.64,17.86,33.33,29.41,26.32,16.95,43.48,16.39,26.32,55.56,66.67,28.57,28.57,27.03,47.62,26.32,50.2,33.33,20.0,19.61,29.41,24.39,30.3,25.64,22.73,17.54,37.04,18.52,27.03,12.82,43.65,25.52,45.45,27.03,55.56,37.04,16.95,34.48,17.54,20.83,47.62,37.04,25.64,38.62,30.42,23.26,45.45,125.0,33.47,30.3,10.24,14.75,25.0,45.45,41.67,66.93,22.73,33.33,40.0
1,23.81,62.5,18.87,23.81,22.22,34.48,25.0,28.57,27.03,16.67,33.33,47.62,55.56,55.56,25.0,90.91,23.9,38.23,39.37,39.67,30.3,45.33,20.0,23.26,30.3,250.0,76.92,90.55,43.3,83.33,32.26,38.46,33.33,63.29,0.0,0.0,0.0,50.0,25.95,26.55,16.13,58.82,22.22,47.2,62.5,45.45,25.0,18.9,22.13,0.0,40.49,100.0,62.5,25.0,41.83,20.0,66.67,43.48,25.64,45.45,45.45,21.28,45.45,22.73,30.3,17.54,29.41,25.0,23.81,9.09,33.33,38.46,16.39,27.89,37.04,23.81,25.64,37.04,25.64,43.48,26.32,30.3,29.41,37.04,16.95,35.71,21.74,35.71,32.26,28.57,18.87,45.45,50.0,29.41,90.91,333.33,27.78,71.14,27.03,33.33,23.26,37.04,32.26,38.46,21.74,26.32,27.03,100.0,24.39,19.23,35.71,66.67,37.12,25.64,40.0,90.91,22.22,14.55,32.26,14.93,23.26,41.67,66.67,20.83,39.84,333.33,142.86,76.92,0.0,62.5,32.26,22.73,12.82,28.57,47.62,31.25,24.9,15.15,41.67,20.41
2,31.25,45.45,18.52,30.3,31.25,31.25,38.46,32.26,27.78,15.62,45.45,41.67,28.57,83.33,45.45,35.71,37.04,83.33,25.64,32.26,21.28,40.0,26.32,35.71,55.56,27.03,47.62,166.67,45.45,55.56,43.48,31.25,22.73,62.25,0.0,50.0,0.0,26.32,23.26,41.78,32.26,50.0,35.71,85.0,23.26,31.25,16.13,50.0,38.4,45.45,166.0,29.41,142.86,45.45,125.0,26.32,45.45,38.46,71.43,58.82,10.87,34.62,25.64,30.3,30.3,22.22,32.26,27.78,22.73,18.52,50.0,33.33,23.81,20.83,35.71,32.26,20.0,31.25,41.67,27.78,25.64,83.33,43.48,27.03,27.78,27.78,33.33,50.0,12.5,45.45,32.26,20.41,32.26,33.33,34.48,25.0,32.26,23.35,62.5,21.74,35.71,35.71,111.11,43.48,25.0,24.39,47.62,31.25,38.62,71.43,55.56,32.26,24.39,10.64,38.46,35.71,29.41,83.33,11.36,13.04,28.57,30.3,31.25,45.45,32.39,27.03,28.57,45.45,71.43,27.03,71.43,22.73,41.67,125.0,16.95,41.67,27.89,50.0,43.48,43.48
3,28.57,52.63,18.52,41.67,47.62,34.48,47.62,32.26,22.22,20.0,29.53,27.78,14.93,20.83,25.64,58.82,20.83,45.45,28.57,55.56,32.26,35.71,25.0,22.22,55.56,62.5,21.28,22.22,23.81,27.78,34.48,50.0,142.86,100.0,25.0,38.46,125.0,19.23,20.41,34.48,50.0,40.0,58.82,16.95,17.86,76.92,27.78,26.32,40.0,76.92,23.81,31.25,23.81,76.92,200.8,71.43,142.86,41.67,111.11,83.33,30.3,28.57,20.41,41.67,20.0,16.95,25.0,28.57,25.64,32.26,32.26,38.46,21.74,25.64,83.33,31.25,28.57,47.62,34.48,16.67,21.74,25.64,34.48,58.82,23.81,20.41,52.63,25.64,35.71,23.81,32.26,17.86,76.92,71.71,52.63,62.5,33.33,17.54,29.41,47.62,29.41,27.78,55.56,47.81,27.78,41.67,20.0,40.0,26.32,31.25,24.39,33.47,15.38,125.0,83.33,90.91,52.63,45.45,37.04,21.28,34.48,47.62,55.56,71.43,29.41,28.57,45.45,100.0,166.67,27.78,28.57,19.61,28.57,34.48,32.26,27.03,22.73,38.46,29.41,21.74
4,17.86,62.75,31.25,29.41,41.67,47.62,38.46,32.26,21.74,32.26,30.3,17.54,32.8,17.6,55.56,25.42,35.86,37.04,20.41,111.11,29.41,76.92,71.43,52.63,100.0,111.11,33.33,27.03,66.67,32.26,50.0,142.86,100.0,45.45,71.43,111.11,83.33,21.28,23.81,31.25,33.33,41.04,83.33,32.26,30.3,37.04,16.95,33.33,111.11,62.5,34.48,40.89,116.31,33.33,30.18,31.25,28.57,38.46,71.43,62.5,27.03,27.03,26.32,43.48,55.56,22.73,37.04,14.71,35.71,27.03,40.0,28.57,37.04,37.04,29.41,31.25,14.93,25.64,25.0,43.48,31.25,43.48,27.03,40.0,29.41,22.22,28.57,31.25,45.45,30.3,27.78,34.48,31.25,21.28,71.43,125.0,31.25,33.33,18.87,25.0,37.04,23.81,23.26,37.04,37.04,45.45,27.78,26.32,76.92,32.26,26.32,41.67,34.48,66.67,66.93,41.67,32.26,66.67,26.32,34.48,21.28,190.0,56.22,28.57,28.57,51.64,31.25,100.0,333.33,27.78,28.57,22.73,20.41,90.91,37.19,33.33,26.32,27.78,40.0,55.78
5,16.95,16.95,22.22,33.33,30.3,32.26,90.91,26.32,25.0,33.33,25.0,34.0,0.0,175.0,66.67,197.33,33.33,35.71,28.57,45.45,31.25,34.48,30.3,31.25,17.93,52.63,32.26,26.42,90.91,58.82,62.5,33.33,30.3,71.43,200.8,66.67,250.0,62.5,32.26,43.48,66.67,0.0,41.67,21.28,90.91,30.3,45.45,29.41,100.0,52.63,21.74,333.33,23.81,32.26,25.64,43.48,250.0,55.56,52.63,33.33,31.25,27.78,41.67,55.56,34.48,66.67,32.39,16.39,26.32,27.78,24.39,30.3,62.5,35.71,83.33,55.56,41.83,62.5,37.04,18.87,26.32,29.41,31.25,19.23,35.71,27.78,27.03,23.26,47.62,27.03,28.57,26.32,50.0,30.3,55.56,45.45,27.03,23.81,19.23,45.45,21.74,32.26,43.48,25.0,47.62,32.26,25.64,50.0,28.57,30.3,35.71,18.87,62.5,50.0,33.33,47.62,76.97,65.6,26.24,40.0,71.43,500.0,86.46,27.78,15.38,500.0,169.33,124.89,87.2,124.67,24.39,35.71,24.39,15.62,35.71,28.57,29.89,18.87,42.32,29.41
6,62.5,41.67,25.0,58.82,22.22,55.56,55.56,35.71,13.33,34.48,0.0,154.0,0.0,15.15,0.0,62.5,25.64,29.41,27.03,38.46,30.3,76.92,90.91,25.05,45.45,194.29,33.42,47.43,35.71,52.52,47.62,31.25,38.46,25.0,47.62,158.86,125.0,47.62,22.22,34.48,15.62,0.0,37.04,55.56,139.78,35.71,47.62,43.48,27.89,45.45,28.57,0.0,213.67,24.39,24.39,37.04,20.83,24.39,55.56,50.2,66.67,27.03,31.25,25.0,52.63,29.41,30.3,31.25,21.28,19.23,43.48,37.04,29.41,40.0,71.43,43.48,21.65,18.87,166.67,20.0,27.78,52.63,58.82,50.2,142.86,45.45,62.75,23.81,83.33,41.67,22.22,43.48,26.32,71.43,166.67,62.5,34.48,100.0,250.0,0.0,111.11,0.0,0.0,20.0,45.45,26.32,200.0,76.92,28.57,47.62,90.91,254.67,66.67,30.3,20.0,90.35,500.0,614.0,409.33,90.91,38.46,71.43,166.67,30.3,43.48,0.0,0.0,0.0,0.0,0.0,0.0,76.92,35.71,82.67,76.92,35.71,0.0,37.83,1228.0,66.71
7,18.52,58.82,28.57,200.8,26.32,83.33,58.82,62.5,45.45,142.86,41.67,125.0,0.0,0.0,0.0,0.0,62.06,80.0,47.27,173.33,37.04,172.73,218.4,157.33,128.44,83.33,187.43,253.33,253.33,100.0,26.32,30.3,72.57,250.0,126.67,200.0,85.23,252.0,182.67,55.56,90.91,0.0,35.71,27.03,31.25,54.43,18.87,49.45,40.0,41.04,24.39,0.0,0.0,35.71,188.5,55.56,250.0,33.33,333.33,83.33,40.0,28.57,22.22,23.26,21.28,45.45,13.7,23.81,22.22,15.62,28.57,41.67,41.67,38.46,71.43,52.63,142.86,15.38,0.0,47.62,17.54,45.45,0.0,66.4,58.82,26.32,142.29,0.0,0.0,0.0,0.0,333.33,0.0,200.0,0.0,200.0,111.11,125.0,0.0,0.0,200.0,200.0,0.0,29.41,0.0,142.86,0.0,0.0,55.56,250.0,71.43,0.0,27.78,56.19,37.38,0.0,0.0,333.33,500.0,169.33,84.67,0.0,0.0,41.67,204.0,0.0,0.0,0.0,62.5,0.0,0.0,142.86,102.18,100.0,0.0,16.13,0.0,0.0,166.67,333.33
8,31.25,24.39,25.64,0.0,0.0,167.33,125.0,250.0,66.67,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43,0.0,0.0,0.0,55.56,32.26,134.0,1004.0,37.04,0.0,0.0,0.0,0.0,125.0,56.17,24.39,43.27,762.0,0.0,34.48,0.0,0.0,133.5,157.14,43.36,0.0,41.67,64.47,0.0,52.89,22.98,82.77,90.67,12.81,48.0,0.0,0.0,200.0,21.74,90.91,0.0,17.24,0.0,500.0,55.56,45.45,111.11,200.0,66.67,38.46,500.0,45.45,66.67,76.92,47.62,0.0,0.0,27.03,0.0,0.0,250.0,166.67,0.0,250.0,1000.0,0.0,0.0,0.0,41.67,0.0,251.0,24.39,0.0,0.0,250.0,0.0,0.0,55.56,0.0,0.0,142.86,66.67,0.0,0.0,250.0,500.0,0.0,333.33,0.0,0.0,500.0,0.0,35.71,14.49,0.0,0.0,99.27,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.28,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1000.0,250.0,43.48,0.0,0.0,166.67,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92,0.0,0.0,0.0,500.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,0.0,0.0,55.56,0.0,0.0,0.0,0.0,536.0,46.61,0.0,500.0,19.93,0.0,0.0,43.04,0.0,119.56,0.0,56.63,0.0,0.0,0.0,1282.0,0.0,0.0,333.33,0.0,0.0,45.45,1000.0,0.0,200.0,90.91,0.0,0.0,1000.0,0.0,200.0,111.11,0.0,0.0,71.43,0.0,0.0,0.0,58.82,0.0,0.0,71.43,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46,0.0,0.0,34.48,0.0,0.0,0.0,142.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
