%ifutil,client01,client02,client03,client04
0,7.0,5.85,3.43,3.76
1,5.54,3.27,13.3,16.74
2,15.93,4.11,4.93,2.23
3,4.01,16.8,2.82,2.06
4,3.11,3.99,2.98,2.29
5,2.94,3.14,2.33,2.54
6,2.75,2.81,2.51,2.52
7,2.87,3.08,2.98,2.56
8,2.61,2.87,3.81,2.34
9,3.61,4.1,9.17,15.56
10,15.52,2.6,4.14,2.63
11,0.58,7.37,5.3,1.42
12,0.38,8.78,13.29,14.26
13,13.85,2.37,4.99,1.44
14,0.24,15.93,3.5,4.45
15,0.01,3.5,2.1,3.55
16,0.0,2.1,2.38,2.1
17,0.02,1.52,2.47,2.24
18,1.97,3.6,0.34,2.41
19,0.16,0.23,1.1,0.2
20,3.43,1.13,10.6,14.07
21,11.79,1.32,3.73,1.45
22,0.13,10.52,3.54,1.65
23,0.4,5.13,0.32,1.46
24,0.44,0.37,0.91,0.39
25,0.99,0.92,1.38,0.76
26,1.17,1.35,0.39,1.32
27,0.48,0.31,0.0,0.21
28,0.1,0.0,15.42,13.76
29,14.5,14.33,0.74,1.75
30,1.27,2.17,0.22,0.65
31,0.15,0.2,0.87,0.18
32,0.53,0.7,1.18,0.93
33,1.46,1.66,1.05,1.55
34,0.32,1.06,2.14,1.06
35,1.72,0.03,9.72,13.89
36,12.52,5.51,4.0,0.25
37,0.97,9.98,0.3,1.59
38,0.49,0.39,1.44,0.19
39,1.07,1.58,0.12,1.46
40,0.56,0.14,0.13,0.14
41,0.24,0.08,0.82,0.19
42,0.37,0.54,8.34,0.65
43,11.21,1.95,6.75,15.82
44,6.47,5.88,3.38,2.41
45,1.35,10.75,0.91,0.77
46,0.39,0.81,1.46,0.74
47,1.19,1.63,1.05,1.79
48,0.31,0.0,1.1,1.05
49,0.51,2.36,2.13,1.09
50,2.24,2.54,10.44,0.92
51,11.9,0.71,4.48,15.01
52,4.15,13.87,0.41,0.0
53,0.0,0.22,0.49,0.37
54,0.48,0.54,1.94,0.46
55,1.59,1.83,1.88,1.76
56,1.87,1.76,1.84,1.47
57,1.75,2.11,11.56,10.37
58,11.89,1.75,6.13,7.21
59,4.73,15.23,1.42,0.97
60,1.27,1.44,0.74,1.58
61,0.23,0.67,3.24,0.59
62,0.31,3.22,5.91,3.13
63,0.05,5.54,3.57,5.43
64,1.82,3.51,3.39,8.88
65,6.37,1.93,15.15,9.13
66,10.43,16.82,0.14,3.0
67,0.26,0.23,0.52,0.13
68,0.08,0.55,0.83,0.63
69,0.8,0.76,1.0,0.55
70,0.59,1.55,1.29,1.37
71,1.29,0.93,6.41,7.47
72,13.18,2.81,9.89,9.59
73,3.63,9.02,0.27,0.84
74,0.48,5.95,1.07,0.17
75,0.04,0.0,0.49,0.0
76,0.63,0.92,1.33,0.84
77,0.19,1.17,1.39,1.24
78,1.39,1.78,0.51,1.66
79,1.34,0.6,0.77,0.53
80,0.11,0.83,10.3,9.64
81,11.32,0.79,4.66,5.83
82,4.34,14.24,1.01,0.53
83,0.13,0.95,0.51,0.84
84,0.86,0.46,1.55,0.36
