op,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,267873,218476,239553,238365,210546,247685,177068,290868,230529,301702,189382,234760,256280,285337,301930,236591,234939,283993,259289,283161,230315,255588,269437,304334,296750,261626,205777,315991,251622,271749,237654,214548,260686,300046,245882,259277,238518,277615,369142,212669
1,267875,218478,239554,238367,210547,247687,177069,290869,230532,301704,189383,234761,256281,285338,301932,236592,234940,283994,259291,283163,230316,255589,269438,304335,296751,261627,205778,315994,251623,271750,237655,214549,260688,300047,245883,259278,238520,277617,369144,212671
2,267875,218478,239554,238368,210547,247689,177070,290869,230532,301706,189384,234762,256284,285341,301932,236593,234940,283995,259291,283163,230316,255590,269438,304335,296753,261627,205779,315994,251624,271750,237655,214550,260688,300048,245883,259279,238521,277618,369145,212671
3,267876,218478,239554,238368,210547,247689,177070,290869,230533,301707,189385,234762,256286,285342,301933,236593,234940,283996,259292,283164,230316,255590,269438,304336,296755,261628,205779,315994,251624,271751,237655,214551,260689,300049,245884,259280,238521,277618,369146,212671
4,267876,218478,239554,238368,210547,247689,177070,290870,230533,301707,189386,234762,256286,285343,301933,236593,234940,283996,259292,283166,230317,255590,269438,304336,296756,261629,205779,315995,251624,271751,237656,214554,260689,300051,245884,259281,238522,277618,369146,212671
5,267878,218478,239554,238368,210547,247690,177070,290873,230535,301707,189386,234762,256287,285343,301934,236593,234941,283996,259292,283166,230318,255592,269438,304336,296757,261629,205780,316000,251626,271751,237659,214556,260690,300051,245884,259281,238522,277618,369149,212671
6,267879,218480,239555,238370,210548,247691,177071,290874,230536,301709,189387,234764,256287,285344,301935,236595,234941,283998,259294,283168,230319,255592,269439,304337,296759,261630,205782,316001,251626,271752,237659,214558,260691,300052,245885,259282,238525,277620,369150,212673
7,267880,218480,239555,238371,210548,247693,177072,290874,230536,301711,189388,234764,256291,285347,301935,236595,234941,283998,259295,283168,230319,255593,269439,304337,296760,261630,205782,316001,251627,271752,237659,214558,260692,300053,245885,259284,238525,277621,369151,212673
8,267880,218480,239555,238371,210630,247693,177072,290875,230537,301712,189389,234764,256292,285349,301936,236595,234941,283999,259295,283169,230319,255593,269439,304338,296761,261632,205782,316001,251627,271753,237659,214562,260692,300054,245886,259284,238526,277621,369152,212673
9,267881,218480,239555,238371,210837,247693,177072,290877,230537,301712,189390,234993,256292,285349,301936,236724,234941,283999,259295,283171,230321,255593,269439,304338,296762,261632,205782,316004,251628,271753,237661,214563,260692,300056,245886,259285,238526,277621,369152,212673
10,267882,218481,239555,238371,210993,247768,177110,290879,230539,301713,189390,235254,256293,285349,301937,236904,234942,284000,259480,283173,230322,255595,269440,304339,296763,261632,205783,316007,251629,271753,237663,214565,260693,300056,246035,259285,238527,277622,369155,212876
11,267883,218617,239556,238587,211102,247955,177225,290879,230728,301715,189392,235433,256294,285352,301938,237026,235148,284001,259638,283173,230322,255596,269440,304573,296765,261633,205785,316008,251629,271964,237663,214566,260865,300057,246284,259461,238529,277623,369156,213007
12,268184,218829,239650,238827,211204,248084,177317,291027,230921,301803,189668,235582,256470,285452,302110,237151,235415,284260,259853,283219,230533,255979,269827,304973,296990,262152,205906,316157,251770,272200,237770,214914,261291,300418,246399,259702,238835,277813,369419,213139
13,268436,218988,239781,238995,211382,248279,177443,291324,231069,301944,189906,235695,256720,285710,302383,237284,235528,284586,260020,283452,230768,256185,270065,305164,297184,262366,206156,316354,252165,272440,238024,215126,261430,300768,246539,259832,239044,278064,369864,213262
14,268734,219189,239918,239149,211485,248478,177558,291517,231299,302093,189987,235798,256988,285857,302584,237395,235695,284770,260169,283581,230878,256375,270203,305439,297380,262518,206270,316606,252364,272583,238132,215240,261572,300909,246685,259956,239163,278221,370062,213383
15,268939,219328,240176,239314,211618,248593,177623,291715,231493,302291,190149,235907,257229,286083,302751,237507,235837,284939,260284,283739,230995,256601,270358,305728,297611,262638,206365,316982,252487,272765,238267,215358,261738,301109,246788,260084,239319,278419,370363,213495
16,269096,219442,240324,239416,211689,248724,177695,291925,231612,302433,190270,236053,257375,286240,302972,237656,235950,285121,260382,283917,231126,256749,270510,305897,297744,262784,206483,317282,252585,272927,238398,215554,261868,301279,246938,260211,239442,278638,370580,213588
17,269215,219530,240465,239517,211699,248870,177769,292063,231716,302592,190349,236141,257457,286357,303101,237754,236047,285239,260534,284089,231250,256851,270642,306060,297744,262899,206587,317449,252585,273071,238518,215651,261977,301402,247082,260345,239552,278782,370775,213712
18,269351,219665,240579,239661,211717,248958,177846,292154,231824,302780,190418,236157,257457,286506,303247,237764,236197,285354,260645,284210,231397,257016,270809,306249,297922,263069,206681,317619,252751,273200,238626,215734,262084,301625,247193,260467,239682,278921,370951,213810
19,269502,219732,240695,239727,211717,248971,177860,292333,231859,302949,190535,236176,257654,286660,303409,237778,236288,285514,260666,284339,231513,257134,270942,306352,298136,263207,206814,317833,253038,273322,238751,215816,262194,301775,247204,260573,239794,278921,371134,213825
20,269601,219739,240767,239735,211717,248981,177871,292427,231859,303157,190617,236176,257855,286792,303556,237778,236302,285652,260680,284489,231597,257212,271018,306364,298291,263295,206883,317928,253137,273337,238842,215910,262217,301943,247222,260596,239888,278921,371335,213841
21,269616,219753,240779,239750,211717,248981,177871,292445,231859,303252,190625,236176,257871,286811,303583,237778,236325,285666,260680,284516,231610,257225,271031,306388,298308,263306,206899,317948,253148,273353,238858,215930,262242,301962,247222,260614,239908,278921,371364,213841
