op,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
22,269638,219755,240790,239751,211718,248983,177872,292469,231859,303367,190636,236177,257894,286827,303610,237779,236326,285679,260680,284534,231631,257242,271056,306389,298331,263321,206914,317973,253162,273354,238877,215947,262243,301987,247222,260614,239926,278921,371407,213843
23,269638,219755,240791,239753,211776,248985,177873,292469,231859,303370,190638,236178,257896,286831,303610,237780,236326,285680,260682,284534,231631,257243,271056,306389,298333,263321,206916,317973,253163,273354,238877,215948,262244,301988,247223,260616,239927,278921,371408,213843
24,269639,219755,240791,239753,211807,248985,177873,292469,231859,303371,190638,236244,257899,286832,303611,237850,236326,285681,260683,284535,231631,257243,271056,306390,298335,263322,206916,317973,253163,273355,238877,215949,262245,301990,247224,260617,239927,278921,371409,213843
25,269639,219755,240791,239753,211818,249065,177929,292470,231859,303371,190640,236267,257899,286833,303611,237882,236326,285681,260738,284536,231632,257243,271056,306390,298336,263323,206916,317974,253163,273355,238877,215952,262245,301992,247270,260618,239928,278921,371410,213878
26,269640,219816,240791,239828,211846,249091,177946,292473,231859,303371,190640,236280,257899,286833,303611,237893,236384,285681,260763,284537,231633,257245,271056,306464,298337,263323,206917,317979,253165,273406,238880,215954,262305,301992,247270,260670,239928,278921,371412,213900
27,269691,219843,240849,239852,211853,249096,177958,292569,231859,303430,190693,236307,257973,286900,303680,237923,236422,285737,260770,284624,231728,257289,271108,306491,298417,263394,206968,318065,253215,273406,238941,215995,262333,302050,247271,260714,239977,278950,371466,213908
28,269691,219860,240872,239863,211865,249123,177979,292606,231859,303503,190714,236316,257996,286931,303714,237933,236433,285779,260794,284654,231758,257314,271137,306495,298455,263435,206997,318095,253262,273449,238974,216015,262348,302080,247271,260723,240016,279274,371466,213937
29,269691,219886,240885,239881,211881,249126,177984,292618,232072,303519,190718,236325,258005,286931,303732,237949,236460,285786,260798,284674,231767,257324,271148,306527,298467,263445,207002,318101,253268,273449,238983,216022,262370,302095,247271,260768,240034,279287,371470,213945
30,269691,219887,240922,239885,211908,249126,177993,292649,232099,303554,190750,236340,258040,286931,303764,237972,236465,285818,260805,284703,231789,257346,271178,306536,298509,263469,207019,318126,253296,273449,239016,216047,262377,302098,247271,260775,240055,279351,371470,213958
31,269691,219906,240926,239898,211949,249163,178006,292655,232111,303567,190759,236370,258048,286942,303771,238005,236478,285833,260813,284719,231798,257360,271188,306555,298524,263477,207027,318139,253302,273449,239027,216052,262381,302098,247271,260785,240064,279356,371470,213969
32,269726,219924,240935,239922,211954,249185,178032,292670,232132,303579,190767,236422,258061,286942,303787,238058,236497,285844,260813,284731,231809,257377,271191,306572,298537,263490,207037,318157,253315,273533,239035,216060,262408,302098,247277,260807,240075,279364,371529,213990
33,269726,219947,240953,239962,211954,249202,178060,292693,232172,303597,190778,236431,258081,286942,303818,238068,236533,285872,260813,284750,231823,257391,271191,306614,298554,263506,207053,318170,253323,273553,239050,216076,262441,302162,247442,260828,240089,279383,371529,213990
34,269862,219990,240978,240008,212019,249243,178060,292719,232215,303632,190798,236431,258125,286942,303849,238068,236563,285919,260813,284782,231862,257425,271234,306673,298598,263535,207061,318232,253352,273613,239076,216101,262478,302224,247485,260828,240111,279424,371718,213992
35,269928,219994,241041,240018,212025,249243,178060,292773,232225,303693,190857,236467,258160,287089,303849,238128,236568,285962,260813,284835,231911,257464,271250,306684,298649,263575,207062,318319,253417,273647,239119,216136,262494,302264,247485,260828,240150,279475,371769,213992
36,269944,219996,241053,240020,212040,249296,178060,292792,232228,303710,190863,236467,258171,287120,303849,238134,236569,285972,260988,284849,231929,257480,271250,306685,298668,263589,207079,318352,253430,273647,239141,216150,262495,302282,247540,260828,240162,279504,371818,214070
37,269944,220047,241053,240084,212081,249307,178060,292792,232289,303712,190865,236467,258173,287123,303849,238154,236612,285973,260997,284849,231929,257481,271250,306748,298670,263589,207079,318352,253431,273717,239141,216151,262564,302283,247546,260828,240163,279505,371819,214074
38,270040,220047,241107,240086,212108,249317,178150,292885,232296,303804,190925,236467,258251,287221,303849,238192,236619,286012,261017,284890,231974,257530,271259,306757,298737,263636,207172,318418,253467,273734,239198,216196,262576,302361,247570,260828,240223,279581,371903,214094
39,270040,220069,241107,240102,212109,249372,178186,292887,232310,303814,190933,236467,258258,287229,303849,238192,236641,286025,261049,284890,231980,257534,271357,306782,298748,263654,207186,318433,253485,273757,239207,216200,262602,302370,247601,260828,240232,279590,371920,214109
40,270068,220109,241111,240136,212120,249419,178198,292910,232337,303837,190954,236475,258278,287261,303849,238192,236685,286058,261084,284890,231995,257563,271382,306822,298765,263669,207201,318478,253508,273808,239231,216223,262631,302394,247637,261028,240252,279610,371953,214146
41,270133,220136,241111,240167,212144,249420,178200,292946,232367,303909,191001,236475,258307,287305,303862,238235,236718,286107,261087,284891,232025,257602,271420,306868,298799,263702,207233,318491,253542,273845,239247,216247,262646,302427,247638,261065,240282,279647,371995,214149
42,270152,220136,241111,240170,212165,249427,178209,292984,232368,303937,191026,236490,258346,287339,304091,238262,236720,286141,261097,284891,232062,257641,271455,306868,298842,263741,207255,318491,253585,273845,239273,216281,262646,302469,247646,261068,240316,279690,372049,214152
43,270154,220149,241111,240177,212206,249457,178226,292985,232379,303938,191027,236619,258349,287341,304094,238278,236723,286142,261123,284891,232062,257641,271455,306880,298844,263742,207255,318491,253586,273854,239273,216284,262646,302471,247679,261082,240316,279691,372050,214193
44,270165,220185,241111,240207,212215,249505,178253,292992,232406,303948,191033,236698,258354,287346,304097,238330,236740,286146,261146,284891,232065,257647,271461,306910,298852,263754,207263,318491,253597,273895,239280,216295,262659,302484,247710,261109,240325,279709,372062,214231
45,270198,220208,241111,240245,212218,249575,178291,293013,232434,303987,191062,236706,258386,287387,304146,238347,236762,286171,261187,285076,232096,257682,271502,306910,298884,263782,207295,318491,253642,273927,239307,216323,262696,302502,247767,261150,240341,279734,372117,214290
46,270218,220257,241118,240300,212274,249586,178297,293013,232476,304033,191079,236707,258404,287401,304170,238351,236775,286197,261212,285102,232096,257723,271557,306994,298922,263807,207318,318491,253683,273984,239330,216344,262781,302545,247773,261187,240374,279767,372155,214297
47,270271,220264,241318,240305,212332,249590,178297,293013,232487,304086,191111,236747,258427,287466,304263,238400,236777,286270,261217,285160,232096,257773,271601,307016,298958,263842,207355,318491,253705,274012,239368,216390,262790,302613,247778,261209,240434,279789,372222,214302
48,270276,220269,241327,240308,212361,249645,178331,293013,232487,304104,191121,236815,258427,287470,304272,238477,236777,286277,261268,285177,232104,257799,271620,307025,298983,263862,207373,318509,253705,274018,239372,216397,262794,302624,247812,261213,240443,279789,372246,214329
49,270278,220321,241331,240364,212370,249712,178380,293013,232487,304105,191122,236857,258427,287479,304292,238536,236777,286288,261355,285181,232104,257807,271623,307050,298989,263866,207381,318548,253705,274041,239377,216402,262844,302637,247893,261253,240446,279789,372255,214396
50,270346,220413,241398,240442,212422,249754,178413,293042,232569,304168,191178,236871,258427,287533,304349,238554,236815,286343,261403,285216,232106,257824,271643,307144,299007,263884,207394,318754,253712,274081,239424,216439,262923,302682,247946,261345,240482,279797,372310,214451
51,270435,220438,241492,240498,212422,249761,178420,293300,232650,304246,191232,236955,258632,287644,304442,238632,236983,286446,261422,285308,232193,257900,271721,307232,299106,263971,207470,318864,253852,274081,239520,216520,262990,302787,247963,261402,240557,279797,372461,214465
52,270459,220447,241535,240512,212447,249833,178481,293342,232670,304304,191258,236955,258683,287692,304490,238632,236997,286446,261494,285375,232208,257926,271787,307259,299192,264029,207554,318946,253918,274081,239569,216557,263009,302860,248033,261414,240623,279802,372554,214513
53,270481,220511,241555,240582,212531,249833,178481,293354,232745,304310,191264,237005,258698,287692,304500,238672,237069,286506,261494,285396,232332,257926,271819,307325,299216,264050,207570,318971,253942,274081,239586,216569,263089,302879,248033,261493,240630,279802,372577,214514
54,270537,220513,241619,240583,212550,249873,178506,293465,232748,304394,191319,237093,258774,287692,304608,238746,237070,286584,261533,285491,232390,257926,271867,307359,299272,264104,207611,319036,254011,274276,239661,216608,263090,302963,248059,261493,240709,279858,372643,214544
55,270537,220553,241620,240634,212550,249956,178563,293465,232782,304397,191321,237105,258775,287692,304608,238766,237116,286585,261624,285491,232414,257926,271907,307371,299308,264140,207639,319071,254037,274318,239661,216609,263141,302964,248059,261554,240710,279858,372643,214604
56,270602,220628,241671,240713,212570,249956,178573,293523,232852,304429,191349,237105,258827,287692,304655,238766,237193,286623,261632,285548,232426,257926,271919,307461,299313,264148,207643,319084,254042,274414,239687,216645,263229,303027,248059,261652,240740,280112,372644,214620
57,270643,220641,241748,240734,212624,249956,178573,293639,232872,304429,191403,237125,258911,287889,304760,238786,237215,286706,261632,285638,232490,258134,271997,307534,299394,264227,207714,319168,254100,274493,239761,216725,263249,303125,248059,261679,240828,280313,372650,214620
58,270709,220641,241766,240734,212672,249956,178600,293661,232874,304429,191410,237167,258930,287932,304789,238834,237216,286730,261660,285658,232515,258193,272030,307534,299462,264291,207759,319273,254165,274493,239781,216743,263250,303151,248072,261679,240848,280345,372650,214630
59,270710,220664,241767,240758,212739,249961,178640,293662,232897,304429,191411,237233,258930,287933,304790,238882,237237,286732,261661,285660,232516,258195,272030,307535,299463,264292,207760,319276,254166,274493,239782,216744,263270,303152,248207,261705,240851,280347,372650,214664
60,270731,220703,241794,240820,212798,249961,178668,293685,232945,304429,191434,237278,258958,287962,304819,238954,237286,286754,261767,285681,232516,258196,272030,307550,299465,264292,207762,319277,254167,274513,239804,216760,263329,303169,248267,261753,240866,280367,372650,214696
61,270780,220756,241851,240878,212851,249993,178701,293731,233012,304532,191493,237351,259007,288047,304893,238992,237337,286824,261821,285739,232535,258220,272068,307657,299498,264311,207772,319310,254189,274585,239849,216813,263393,303245,248309,261829,240914,280423,372662,214699
62,270853,220756,241911,240927,212869,250213,178735,293805,233048,304769,191544,237408,259061,288108,304943,239011,237380,286880,261888,285798,232624,258301,272160,307763,299593,264402,207836,319421,254260,274691,239914,216854,263447,303327,248386,261829,240970,280499,372662,214699
63,270900,220760,241953,240998,212876,250284,178789,293870,233110,304835,191569,237421,259127,288177,304943,239011,237447,286936,261962,285863,232699,258400,272261,307815,299685,264495,207909,319531,254334,274734,239956,216896,263514,303399,248433,261835,241015,280562,373082,214799
64,270956,220835,242019,241038,212883,250295,178810,293954,233154,304913,191632,237422,259193,288247,304972,239015,237486,286996,261977,285919,232741,258444,272303,307821,299744,264533,207945,319585,254381,274809,240029,216937,263591,303492,248446,261961,241088,280649,373230,214865
65,271015,220907,242064,241056,212922,250302,178814,294007,233184,304983,191681,237436,259253,288310,305142,239015,237497,287065,261986,285920,232776,258496,272349,307837,299816,264585,207986,319615,254452,274882,240086,216937,263613,303549,248449,261961,241139,280706,373311,214871
66,271025,220917,242064,241061,212980,250306,178819,294026,233191,304999,191695,237446,259263,288327,305160,239108,237501,287081,262002,285920,232819,258538,272396,307837,299872,264635,208022,319615,254498,274894,240101,216995,263622,303575,248459,261963,241159,280725,373342,214884
67,271037,220919,242064,241066,213000,250359,178867,294029,233198,305011,191696,237446,259267,288333,305177,239189,237520,287087,262061,285920,232830,258546,272406,307837,299894,264648,208033,319615,254509,274916,240115,216995,263630,303581,248518,262067,241168,280729,373356,214919
68,271042,220974,242064,241122,213009,250442,178907,294040,233246,305025,191710,237446,259285,288351,305191,239226,237570,287106,262134,285920,232844,258564,272415,307904,299914,264661,208045,319615,254518,274939,240121,216995,263678,303589,248587,262142,241183,280740,373372,214982
69,271111,221019,242156,241186,213026,250476,178936,294056,233295,305085,191752,237450,259334,288405,305259,239230,237642,287162,262171,285920,232876,258594,272437,308080,299945,264695,208070,319615,254537,275004,240176,217059,263679,303661,248620,262216,241245,280810,373447,215013
70,271179,221054,242213,241217,213048,250488,178938,294056,233322,305159,191786,237478,259403,288466,305342,239248,237686,287246,262178,286011,232924,258662,272518,308127,300039,264744,208134,319655,254588,275084,240230,217119,263679,303727,248621,262252,241254,280890,373543,215017
71,271217,221057,242249,241220,213074,250504,178950,294056,233328,305195,191819,237609,259435,288505,305392,239261,237694,287285,262185,286189,232924,258691,272549,308163,300061,264797,208154,319916,254616,275103,240277,217143,263679,303759,248642,262263,241348,280932,373600,215026
72,271225,221075,242256,241236,213109,250527,178956,294056,233341,305202,191823,237649,259442,288515,305401,239298,237704,287293,262213,286200,232987,258708,272571,308169,300061,264816,208174,319954,254637,275103,240286,217151,263679,303770,248667,262277,241359,280940,373610,215042
73,271241,221086,242280,241253,213151,250557,178975,294085,233363,305223,191835,237691,259456,288537,305416,239345,237718,287303,262257,286212,232994,258709,272573,308217,300063,264818,208176,319956,254637,275139,240311,217166,263679,303795,248714,262296,241376,280949,373625,215072
74,271250,221122,242286,241293,213152,250597,178996,294085,233381,305251,191839,237736,259456,288555,305440,239391,237718,287330,262289,286229,233022,258742,272615,308239,300063,264845,208202,320006,254637,275157,240324,217182,263854,303815,248745,262352,241393,280970,373664,215096
75,271290,221145,242332,241298,213152,250643,179056,294085,233381,305286,191867,237770,259456,288603,305480,239421,237776,287374,262339,286294,233022,258768,272655,308304,300065,264872,208231,320054,254665,275197,240358,217222,263920,303853,248808,262391,241422,280970,373716,215130
76,271329,221190,242371,241298,213152,250667,179074,294193,233381,305329,191891,237771,259456,288631,305520,239423,237822,287411,262365,286336,233085,258818,272701,308358,300078,264920,208271,320145,254766,275238,240397,217254,263994,303876,248838,262445,241452,280970,373772,215152
77,271383,221218,242413,241402,213152,250676,179076,294430,233387,305386,191917,237798,259586,288685,305594,239445,237844,287467,262373,286383,233108,258867,272764,308404,300275,264958,208314,320216,254808,275278,240450,217305,264025,303876,248845,262485,241505,280970,373845,215160
78,271407,221220,242440,241405,213152,250701,179097,294466,233387,305420,191942,237799,259619,288716,305642,239445,237851,287506,262399,286421,233156,258875,272801,308412,300307,264967,208345,320275,254839,275281,240484,217332,264027,303890,248869,262488,241529,280987,373886,215176
79,271412,221240,242443,241433,213272,250704,179097,294474,233533,305429,191944,237865,259622,288723,305646,239508,237886,287514,262401,286427,233159,258875,272806,308451,300312,265007,208348,320280,254841,275302,240485,217334,264054,303891,248873,262513,241537,280987,373894,215184
80,271442,221240,242463,241433,213289,250763,179139,294502,233543,305460,191977,237911,259655,288743,305670,239555,237891,287542,262454,286448,233172,258875,272835,308456,300336,265025,208359,320306,254858,275316,240509,217370,264055,303891,248918,262520,241557,280987,373918,215235
81,271443,221301,242463,241510,213318,250812,179176,294509,233600,305463,191979,237938,259656,288743,305672,239570,237950,287544,262501,286453,233176,258875,272837,308528,300341,265033,208369,320320,254869,275319,240515,217373,264108,303891,248930,262563,241560,280987,373929,215288
82,271485,221346,242524,241578,213334,250817,179187,294621,233640,305464,192023,237971,259739,288815,305735,239598,237990,287611,262526,286521,233251,258875,272904,308597,300424,265118,208409,320394,254932,275319,240563,217426,264163,303977,248930,262628,241603,281227,374016,215299
83,271485,221354,242555,241590,213359,250842,179216,294664,233647,305464,192052,237979,259791,288882,305813,239612,238013,287611,262550,286565,233285,259034,272947,308599,300495,265168,208460,320444,254977,275319,240612,217475,264183,304140,248996,262638,241655,281322,374017,215328
84,271485,221380,242565,241630,213372,250842,179225,294672,233681,305464,192072,238028,259808,288912,305849,239644,238045,287664,262560,286592,233285,259036,272950,308639,300496,265172,208462,320447,254977,275490,240625,217489,264223,304151,248996,262667,241670,281326,374032,215339
85,271485,221391,242601,241643,213385,250842,179250,294719,233697,305464,192100,238040,259827,288924,305875,239661,238062,287727,262560,286625,233336,259081,272979,308661,300547,265197,208496,320476,255005,275520,240647,217516,264234,304192,248996,262681,241710,281382,374032,215364
86,271485,221403,242608,241689,213432,250842,179272,294742,233736,305464,192109,238057,259840,288924,305893,239670,238096,287743,262560,286638,233350,259110,273000,308690,300572,265220,208497,320503,255025,275557,240648,217521,264275,304199,248996,262748,241719,281403,374154,215381
87,271659,221403,242645,241697,213472,250842,179287,294777,233743,305491,192140,238110,259909,288924,305922,239721,238103,287791,262560,286682,233396,259151,273052,308712,300601,265258,208497,320560,255046,275584,240658,217551,264298,304267,248996,262765,241752,281454,374197,215390
88,271665,221403,242652,241716,213504,250862,179324,294798,233757,305706,192154,238125,259925,288924,305922,239749,238112,287811,262561,286695,233411,259158,273068,308734,300634,265279,208497,320581,255066,275608,240658,217556,264311,304288,249122,262769,241762,281460,374203,215411
89,271689,221408,242673,241749,213541,250862,179348,294825,233799,305739,192162,238157,259938,289022,305922,239787,238163,287824,262721,286714,233435,259169,273095,308783,300653,265296,208497,320606,255096,275667,240725,217577,264357,304307,249159,262770,241774,281477,374239,215411
90,271749,221408,242712,241788,213554,251021,179380,294887,233820,305820,192191,238189,259979,289089,305935,239802,238185,287876,262787,286783,233486,259221,273151,308811,300725,265349,208610,320659,255152,275695,240781,217611,264391,304367,249195,262770,241807,281521,374326,215491
91,271792,221408,242745,241823,213590,251084,179407,294933,233864,305866,192226,238193,260000,289112,305935,239806,238217,287911,262823,286814,233508,259256,273176,308811,300762,265392,208643,320715,255189,275734,240817,217632,264426,304415,249243,262770,241834,281548,374369,215521
92,271821,221488,242775,241857,213619,251097,179417,294966,233885,305917,192260,238196,260041,289163,305935,239814,238249,287940,262848,286866,233550,259303,273232,308811,300798,265429,208673,320768,255224,275771,240847,217659,264478,304462,249266,262789,241870,281600,374428,215547
93,271869,221579,242781,241867,213684,251153,179452,294997,233907,305972,192296,238196,260078,289203,305952,239906,238270,287982,262870,286866,233594,259342,273275,308811,300833,265468,208696,320784,255259,275808,240883,217661,264501,304506,249303,262789,241908,281646,374477,215574
94,271881,221630,242781,241908,213722,251188,179472,295025,233941,306002,192308,238311,260107,289225,306115,239971,238299,288019,262933,286866,233616,259365,273296,308811,300875,265501,208715,320803,255304,275838,240893,217661,264540,304525,249328,262991,241934,281673,374518,215604
95,271938,221667,242790,241944,213739,251263,179536,295074,233975,306052,192332,238396,260138,289274,306195,240018,238343,288047,262989,286866,233645,259404,273336,308814,300920,265533,208745,320803,255337,275897,240926,217750,264597,304569,249403,263039,241964,281719,374562,215668
96,271973,221734,242923,242017,213741,251309,179560,295081,234040,306102,192375,238422,260186,289322,306285,240039,238392,288110,263037,286866,233690,259450,273393,308839,300974,265589,208778,320920,255377,275952,240961,217777,264636,304625,249449,263089,241980,281760,374629,215702
97,272048,221779,242995,242047,213794,251325,179570,295081,234089,306203,192419,238431,260252,289384,306352,240053,238429,288152,263059,286930,233753,259525,273467,308995,301039,265637,208825,320992,255414,276015,241015,217817,264636,304680,249467,263154,242054,281818,374717,215727
98,272113,221793,243045,242047,213829,251329,179577,295081,234108,306266,192448,238480,260292,289436,306422,240103,238454,288207,263070,287093,233779,259567,273509,309219,301039,265684,208844,321061,255414,276045,241057,217842,264636,304733,249480,263173,242091,281877,374795,215731
99,272143,221793,243067,242047,213873,251375,179620,295081,234112,306288,192464,238536,260315,289458,306465,240153,238464,288235,263121,287139,233779,259589,273533,309230,301046,265713,208877,321098,255416,276061,241082,217862,264650,304763,249527,263183,242113,281902,374840,215761
100,272149,221861,243072,242047,213947,251412,179660,295081,234150,306294,192471,238594,260319,289468,306481,240195,238478,288252,263178,287167,233779,259600,273554,309295,301046,265722,208894,321111,255416,276105,241095,217874,264789,304775,249591,263240,242134,281920,374852,215800
