txkB/s,aceph01,aceph02,aceph03,aceph04
181,557.95,518.4,643.04,3823.59
182,1519.87,1370.78,1723.49,572.67
183,1987.21,2457.37,1940.66,2097.62
184,1077.05,1176.05,1083.71,2449.34
185,3241.44,4524.97,3707.16,1374.23
186,2951.86,4322.93,5814.59,3956.14
187,1419.07,949.38,1039.18,3125.76
188,651.03,827.75,690.76,1466.98
189,2637.49,3036.96,3899.45,766.16
190,4721.65,3719.65,5270.42,3507.6
191,2138.46,1390.47,1725.14,3631.41
192,552.13,726.83,771.26,1407.49
193,3440.98,5401.69,3704.73,554.1
194,4807.98,5094.71,4604.6,3212.06
195,1814.39,1867.6,1679.19,5670.47
196,494.94,852.38,555.43,1742.31
197,2063.48,2094.38,2373.11,715.74
198,1033.16,1270.06,1227.79,2463.1
199,3461.7,3135.85,3694.07,1864.91
200,1095.39,1152.34,1689.77,3899.85
201,2807.96,4701.92,4825.24,1029.24
202,1278.31,1216.39,1113.11,2679.71
203,216.78,318.83,192.64,806.12
204,3673.33,2718.72,2470.09,289.96
205,1750.46,1442.59,2002.83,3192.93
206,2695.66,2117.11,2413.57,2758.88
207,1834.39,1947.42,2355.93,4057.5
208,766.59,809.37,1127.54,1804.29
209,1557.57,1159.62,2269.65,956.66
210,169.8,289.59,282.52,1672.97
211,5071.48,6215.78,4493.01,216.09
212,191.99,231.82,173.09,5547.4
213,780.43,691.14,543.28,266.86
214,955.59,781.29,1082.53,1140.05
215,2598.87,3605.92,2227.54,1248.04
216,5022.74,5217.85,4792.09,3138.7
217,1220.34,1596.53,2151.11,4537.99
218,1143.05,1648.69,1839.03,1573.63
219,1364.95,1692.78,1897.34,1558.02
220,2186.74,1463.13,1377.71,1685.92
221,4065.99,4724.74,6097.16,1325.25
222,5249.54,4993.31,5008.54,5616.2
223,1402.66,1912.18,2772.94,3696.83
224,1297.31,1059.65,1128.19,1669.56
225,2326.73,2099.56,2469.81,878.46
226,364.6,324.06,630.46,1945.88
227,3391.12,3483.77,3100.32,395.15
228,960.48,1366.89,1220.88,4750.86
229,2761.82,1900.42,2326.21,2529.61
230,1421.96,1781.35,2005.19,1861.35
231,1479.17,1864.57,2674.21,2325.1
232,247.02,210.11,299.72,1713.93
233,3098.78,2508.71,2850.25,209.96
234,3428.1,4050.36,3059.03,2959.86
235,3212.23,3839.81,3334.65,2893.68
236,1587.62,1242.82,1418.78,4443.05
237,1807.26,1650.08,2352.15,1627.96
238,3501.94,3129.04,3034.37,1773.59
239,2147.63,1204.7,1147.98,4535.01
240,2496.1,2321.58,3807.45,1501.74
241,1924.72,1452.53,1974.78,2473.58
242,2829.49,4058.33,2970.11,1784.98
243,889.3,1302.76,792.08,2782.23
244,2629.44,2422.73,2100.0,975.99
245,2785.93,2515.83,4367.04,3635.63
246,4608.03,7249.86,5651.65,2741.58
247,779.5,799.31,1091.9,5716.94
248,272.17,362.99,292.77,1221.6
249,3725.68,2599.06,3517.73,479.76
250,3707.23,4176.86,4564.01,3426.53
251,3584.62,4576.31,5081.56,5106.66
252,1398.19,1083.56,1146.88,3409.77
253,530.13,696.2,625.87,1050.2
254,3965.8,5354.44,4738.65,586.81
255,1983.41,1690.37,1539.68,3403.14
256,1033.45,1315.66,1210.93,1413.79
257,1259.7,1226.33,1308.5,1032.92
258,1817.82,2026.19,2187.49,1448.53
259,2724.76,2316.12,1965.01,3156.08
260,520.57,1050.7,589.76,1643.88
261,2513.98,2955.19,4040.22,428.35
262,712.86,1005.7,1023.27,3684.16
263,1828.74,2424.01,1859.46,1885.37
264,3297.0,2849.63,2976.19,1580.37
265,2674.71,2419.69,2909.48,3256.72
266,1119.34,1231.99,1445.77,4131.5
267,1400.55,1855.89,2051.99,1837.38
268,1320.67,2108.45,2631.21,1750.04
269,2479.77,1947.76,2230.75,1693.75
270,1671.04,1339.81,1628.6,2371.43
271,3400.2,3527.65,2968.91,1655.68
272,1892.05,2029.72,1829.67,3895.39
273,2625.56,3185.18,2219.96,1592.03
274,275.05,386.23,425.79,3057.54
275,3067.0,3956.5,3729.18,394.85
276,2362.26,3043.31,4300.58,2911.05
277,2995.14,2695.76,2319.26,2802.4
278,3740.69,3595.96,3219.12,3269.11
279,563.72,512.85,658.61,4508.55
280,930.34,839.32,1305.44,764.69
281,4824.92,4236.76,4801.38,874.13
282,2604.63,2795.46,2507.92,4208.96
283,2288.23,3209.59,3283.36,1971.47
284,2909.17,3277.26,2577.23,2547.3
285,871.85,1168.59,1218.52,1989.02
286,1017.24,642.86,696.97,1081.28
287,4451.03,4042.78,3748.52,644.59
288,2342.71,3211.64,3365.86,5432.21
289,1025.75,1253.73,1514.19,2285.05
290,2646.33,3853.93,4951.35,1123.97
291,1331.81,1968.7,2139.94,3799.38
292,957.91,1351.43,1345.54,2871.71
293,1779.88,2064.99,1919.76,1541.95
294,3295.07,2539.73,2557.07,1672.44
295,2028.85,1631.54,1510.41,2398.96
296,3724.97,2920.23,3046.37,1441.02
297,2223.74,2023.44,3358.69,4686.63
298,2002.81,1757.69,1782.03,3014.13
299,5659.94,4723.77,5261.64,2665.81
300,901.08,1279.39,972.32,5021.31
301,711.73,733.11,699.18,1022.8
302,1144.13,1570.31,1269.39,1235.66
303,2001.17,2928.11,1988.77,1985.26
304,3643.29,4578.38,5418.11,2476.58
305,2050.36,1325.49,1420.17,4186.84
306,2374.32,2922.51,2826.97,1334.58
307,4001.73,4935.34,5403.82,2338.19
308,1161.45,1365.7,1669.58,5272.43
309,316.31,615.62,357.47,1281.62
310,1486.58,1477.14,1788.63,479.23
311,4542.05,3895.62,4620.74,1278.82
312,4418.86,5195.65,5615.45,3434.68
313,2475.36,1811.76,1740.93,5330.03
314,5794.4,5826.77,5039.15,1743.05
315,1429.26,1662.0,2349.62,6216.8
316,2845.28,3049.94,3248.09,1352.83
317,172.74,135.1,89.1,4679.76
318,668.31,446.91,486.93,116.57
319,1713.72,2215.62,3456.73,644.3
320,2089.27,4057.95,3124.6,3327.33
321,3315.95,3028.26,3831.66,2539.08
322,688.75,789.04,1002.3,3142.98
323,994.21,1390.89,1287.23,1547.93
324,519.77,797.06,843.28,1304.64
325,383.05,582.74,635.93,1130.05
326,5170.3,2519.91,3467.01,705.64
327,778.49,1821.26,885.17,3731.57
328,3934.9,3015.9,3177.73,902.14
329,1514.69,1237.52,1419.45,3142.26
330,3558.04,3909.57,4327.28,1819.11
331,4855.47,4345.78,3669.93,3229.07
332,3267.56,3627.24,3592.88,4425.57
333,229.26,271.76,215.39,3470.67
334,4055.15,4767.68,5768.15,384.53
335,3650.45,6090.99,4290.51,4508.74
336,1176.56,1382.23,2048.24,4921.73
337,1488.31,1634.4,1775.59,1227.2
338,4290.28,3542.73,2946.14,1896.27
339,1272.5,1462.02,1679.82,3188.95
340,178.67,267.83,270.3,1452.02
341,1786.67,2529.3,2095.31,199.54
342,2575.57,2275.83,2553.21,2739.48
343,3609.9,2433.14,2129.31,2492.11
344,4966.19,6203.48,6563.7,2602.86
345,2312.59,2740.54,2181.15,4851.85
346,185.09,182.91,166.91,3725.72
347,973.72,1004.7,790.22,288.74
