kbactive,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,112144.0,110284.0,111456.0,111492.0,111332.0,111688.0,111172.0,110604.0,112152.0,111876.0,111000.0,111740.0,111600.0,111604.0,111596.0,111796.0,111724.0,111240.0,111768.0,111332.0,112064.0,111404.0,111672.0,111444.0,111608.0,111488.0,111172.0,111476.0,111920.0,111228.0,111680.0,112056.0,111240.0,112000.0,111936.0,111924.0,112064.0,110204.0,111412.0,111520.0,111476.0,110216.0,112280.0,111116.0,109652.0,112100.0,110580.0,111572.0,112192.0,107268.0,109572.0,112324.0,111252.0,111200.0,111612.0,110028.0,111096.0,111388.0,111964.0,111132.0,111716.0,111740.0,112160.0,110908.0,111952.0,111040.0,111416.0,111828.0,111228.0,112320.0,111176.0,111788.0,110528.0,111980.0,111388.0,109312.0,111536.0,111688.0,111720.0,112344.0,111400.0,111708.0,109448.0,112164.0,110288.0,109492.0,111380.0,112288.0,111888.0,110296.0,111808.0,110264.0,111328.0,112348.0,111848.0,111560.0,111220.0,112284.0,109052.0,112372.0,112104.0,112664.0,109772.0,112428.0,112276.0,111828.0,111448.0,112192.0,112032.0,112968.0,111848.0,110876.0,111312.0,111548.0,109456.0,111668.0,111484.0,111524.0,105844.0,111440.0,111532.0,105568.0,111352.0,111356.0,111380.0,111348.0,111268.0,111816.0,112456.0,110004.0,110864.0,111436.0,112220.0,111128.0,111324.0,111104.0,111524.0,111168.0,111396.0,112348.0
1,112152.0,110292.0,111456.0,111500.0,111332.0,111696.0,111192.0,110612.0,112160.0,111876.0,111000.0,111740.0,111612.0,111604.0,111604.0,111804.0,111724.0,111248.0,111768.0,111340.0,112072.0,111404.0,111672.0,111460.0,111616.0,111488.0,111184.0,111492.0,111928.0,111228.0,111680.0,112060.0,111240.0,112008.0,111936.0,111936.0,112072.0,110208.0,111412.0,111536.0,111488.0,110240.0,112280.0,111108.0,109652.0,112100.0,110588.0,111572.0,112192.0,107272.0,109584.0,112348.0,111252.0,111216.0,111600.0,110020.0,111104.0,111396.0,111964.0,111144.0,111732.0,111756.0,112168.0,110916.0,111952.0,111056.0,111424.0,111836.0,111236.0,112208.0,111184.0,111796.0,110536.0,111972.0,111388.0,109324.0,111548.0,111688.0,111728.0,112352.0,111404.0,111724.0,109308.0,112172.0,110296.0,109508.0,111388.0,112296.0,111900.0,110316.0,111816.0,110272.0,111180.0,112356.0,111856.0,111548.0,111228.0,112292.0,109064.0,112372.0,112112.0,112672.0,109780.0,112420.0,112276.0,111816.0,111448.0,112208.0,112040.0,112976.0,111708.0,110876.0,111312.0,111556.0,109472.0,111684.0,111484.0,111532.0,105852.0,111448.0,111540.0,105588.0,111368.0,111360.0,111388.0,111360.0,111280.0,111832.0,112456.0,110024.0,110876.0,111296.0,112080.0,111136.0,111324.0,111104.0,111532.0,111168.0,111396.0,112356.0
2,112160.0,110300.0,111472.0,111500.0,111348.0,111704.0,111192.0,110620.0,112168.0,111892.0,111016.0,111760.0,111620.0,111628.0,111604.0,111812.0,111740.0,111248.0,111784.0,111348.0,112080.0,111424.0,111688.0,111460.0,111624.0,111504.0,111184.0,111496.0,111928.0,111232.0,111696.0,112072.0,111256.0,112016.0,111948.0,111948.0,112084.0,110216.0,111428.0,111536.0,111496.0,110248.0,112296.0,111116.0,109688.0,112116.0,110596.0,111588.0,112200.0,107272.0,109584.0,112348.0,111272.0,111216.0,111612.0,110028.0,111116.0,111396.0,111980.0,111144.0,111588.0,111764.0,112180.0,110916.0,111968.0,111056.0,111436.0,111844.0,111236.0,112220.0,111192.0,111804.0,110540.0,111980.0,111404.0,109324.0,111556.0,111708.0,111740.0,112372.0,111412.0,111724.0,109320.0,112184.0,110304.0,109516.0,111400.0,112296.0,111788.0,110328.0,111832.0,110292.0,111192.0,112364.0,111868.0,111564.0,111240.0,112304.0,109072.0,112392.0,112124.0,112684.0,109792.0,112424.0,112296.0,111816.0,111456.0,112220.0,112048.0,112976.0,111720.0,110896.0,111180.0,111564.0,109484.0,111684.0,111504.0,111548.0,105720.0,111308.0,111548.0,105592.0,111368.0,111360.0,111408.0,111376.0,111292.0,111848.0,112476.0,110032.0,110888.0,111296.0,112088.0,111144.0,111340.0,111120.0,111540.0,111188.0,111416.0,112368.0
3,112168.0,110308.0,111472.0,111520.0,111348.0,111716.0,111204.0,110620.0,112188.0,111780.0,111016.0,111760.0,111620.0,111628.0,111632.0,111812.0,111740.0,111252.0,111784.0,111360.0,112092.0,111424.0,111688.0,111480.0,111636.0,111512.0,111208.0,111504.0,111948.0,111248.0,111696.0,112084.0,111256.0,112016.0,111948.0,111956.0,112084.0,110228.0,111428.0,111552.0,111496.0,111508.0,112296.0,111124.0,109536.0,112116.0,110596.0,111596.0,112212.0,107292.0,109604.0,115468.0,114800.0,111232.0,111624.0,110036.0,111116.0,111412.0,111988.0,111160.0,111600.0,111764.0,112192.0,110936.0,111976.0,111072.0,111448.0,111852.0,111252.0,112228.0,111204.0,111816.0,110552.0,111988.0,111416.0,109340.0,111564.0,111708.0,111752.0,112372.0,111424.0,111736.0,109332.0,112192.0,110304.0,109528.0,111408.0,112316.0,111776.0,110336.0,111840.0,110292.0,111200.0,112364.0,111876.0,111564.0,111240.0,112312.0,109072.0,112392.0,112132.0,112692.0,109792.0,112436.0,112296.0,111832.0,111476.0,112228.0,112048.0,112996.0,111720.0,110896.0,111180.0,111420.0,109492.0,111708.0,111516.0,111412.0,105732.0,111324.0,111560.0,105604.0,111384.0,111384.0,111408.0,111384.0,111292.0,111856.0,112488.0,110040.0,110892.0,111308.0,112100.0,111152.0,111340.0,111120.0,111552.0,111196.0,111416.0,112376.0
4,112180.0,110320.0,111492.0,111520.0,111368.0,111724.0,111220.0,110640.0,112196.0,111760.0,111036.0,111784.0,111492.0,111644.0,111632.0,111824.0,111760.0,111272.0,111808.0,111368.0,112100.0,111444.0,111708.0,111480.0,111644.0,111524.0,111208.0,111520.0,111956.0,111256.0,111712.0,112084.0,111276.0,112028.0,111968.0,111968.0,112096.0,110240.0,111444.0,111552.0,111520.0,110272.0,112316.0,111124.0,109548.0,112140.0,110616.0,111608.0,112220.0,107292.0,109604.0,112376.0,111272.0,111232.0,111624.0,110048.0,111136.0,111412.0,112000.0,111168.0,111608.0,111780.0,112200.0,110936.0,111988.0,111084.0,111456.0,111864.0,111252.0,112240.0,111212.0,111828.0,110428.0,112000.0,111416.0,109352.0,111576.0,111724.0,111756.0,112388.0,111432.0,111744.0,109340.0,112200.0,110324.0,109536.0,111416.0,112324.0,111784.0,110344.0,111848.0,110300.0,111208.0,112384.0,111884.0,111572.0,111256.0,112320.0,109088.0,112408.0,112140.0,112700.0,109808.0,112440.0,112312.0,111840.0,111476.0,112236.0,112068.0,112996.0,111736.0,112096.0,111200.0,111428.0,109492.0,111716.0,111516.0,111420.0,105740.0,111332.0,111560.0,106396.0,112180.0,111384.0,111420.0,111620.0,111548.0,111864.0,112488.0,110288.0,111636.0,111324.0,112108.0,111164.0,111360.0,111140.0,111560.0,111196.0,111424.0,112384.0
5,112192.0,110328.0,111500.0,111536.0,111376.0,111732.0,111220.0,110640.0,112204.0,111768.0,111048.0,112316.0,111500.0,115732.0,111652.0,111844.0,111772.0,111280.0,111808.0,111376.0,112100.0,111444.0,111716.0,117712.0,111652.0,111532.0,111224.0,112800.0,123848.0,111268.0,111724.0,112092.0,111276.0,112044.0,111968.0,111968.0,112120.0,110252.0,111456.0,111572.0,111532.0,110284.0,112316.0,111144.0,109560.0,112152.0,110624.0,111608.0,112240.0,107308.0,109620.0,112384.0,111288.0,111252.0,111640.0,110048.0,111136.0,111432.0,112008.0,111176.0,111616.0,111788.0,112208.0,110952.0,111988.0,111092.0,111464.0,111864.0,111268.0,112240.0,111220.0,111828.0,110420.0,112000.0,111432.0,109360.0,111584.0,111724.0,111764.0,112396.0,111440.0,111760.0,109348.0,112208.0,110336.0,109544.0,111424.0,112332.0,111792.0,110344.0,111848.0,110312.0,111208.0,112392.0,111892.0,111580.0,111256.0,112332.0,109088.0,112408.0,112140.0,112708.0,109816.0,112452.0,112312.0,111848.0,111484.0,112244.0,112076.0,113012.0,111744.0,110924.0,111200.0,111436.0,109508.0,112988.0,111532.0,112352.0,106524.0,111332.0,111576.0,105612.0,111412.0,111400.0,111436.0,111420.0,111324.0,112096.0,112728.0,110064.0,112112.0,111324.0,112116.0,111172.0,111360.0,111140.0,111572.0,111216.0,111444.0,112392.0
6,112200.0,110336.0,111508.0,111536.0,111384.0,111740.0,111236.0,110656.0,112212.0,111768.0,111056.0,111816.0,113032.0,111676.0,111656.0,112992.0,111772.0,111280.0,111832.0,111384.0,112116.0,111460.0,111724.0,111508.0,111660.0,111532.0,123096.0,112436.0,113152.0,111268.0,111724.0,112104.0,111288.0,112056.0,112812.0,113400.0,112132.0,110260.0,111456.0,111572.0,111544.0,111516.0,112332.0,111144.0,110092.0,113356.0,110632.0,111624.0,112248.0,107316.0,109628.0,113124.0,112532.0,111252.0,116612.0,110064.0,111148.0,111440.0,112008.0,111184.0,111624.0,111796.0,112216.0,110960.0,112004.0,111092.0,111472.0,111880.0,111276.0,112256.0,111228.0,111840.0,110432.0,112020.0,111432.0,109360.0,111592.0,111740.0,111772.0,112396.0,111448.0,111760.0,109356.0,112216.0,110344.0,109544.0,111432.0,112332.0,111800.0,111088.0,111864.0,110312.0,111224.0,112400.0,111900.0,111596.0,111272.0,112344.0,109104.0,112424.0,112160.0,112716.0,109828.0,112460.0,112328.0,111860.0,111504.0,112244.0,112076.0,113020.0,111752.0,110932.0,111216.0,111444.0,110252.0,111744.0,112084.0,123188.0,107032.0,111348.0,111588.0,105636.0,111412.0,111400.0,111436.0,111416.0,111324.0,111884.0,113288.0,121908.0,110920.0,111336.0,112656.0,111180.0,111384.0,111156.0,111572.0,111224.0,111668.0,112400.0
7,112208.0,110344.0,112852.0,123336.0,122780.0,111748.0,111236.0,110656.0,112212.0,112988.0,112344.0,111840.0,111520.0,111692.0,115740.0,111888.0,111812.0,115376.0,113092.0,112780.0,113316.0,123336.0,112932.0,111516.0,116688.0,116260.0,111256.0,111552.0,111980.0,116300.0,113000.0,113308.0,111304.0,112064.0,112000.0,112004.0,112132.0,110268.0,111496.0,123460.0,111556.0,110308.0,115112.0,115248.0,109584.0,112176.0,110640.0,112828.0,116980.0,108512.0,115172.0,112396.0,111324.0,112024.0,123528.0,110792.0,111884.0,111448.0,112024.0,111192.0,111632.0,112536.0,112952.0,110960.0,112004.0,111108.0,112208.0,112616.0,112012.0,112256.0,111868.0,111848.0,110436.0,112020.0,111448.0,109372.0,111600.0,111740.0,111780.0,112432.0,111456.0,121652.0,119276.0,121436.0,117820.0,110316.0,112336.0,113076.0,112528.0,110368.0,111872.0,110328.0,111232.0,112408.0,111908.0,111596.0,111280.0,112352.0,109120.0,112424.0,112168.0,112716.0,109836.0,112468.0,112332.0,111864.0,111504.0,112260.0,112092.0,113020.0,111752.0,122784.0,123112.0,112768.0,109524.0,111744.0,111560.0,111456.0,105772.0,111356.0,112496.0,117476.0,118156.0,112200.0,111668.0,123204.0,111336.0,111888.0,112528.0,110080.0,110940.0,112520.0,113384.0,111608.0,111384.0,112408.0,111604.0,111232.0,111464.0,113296.0
8,112228.0,110352.0,111524.0,111556.0,111408.0,111756.0,111252.0,110676.0,112228.0,111784.0,111064.0,111836.0,112668.0,111688.0,111696.0,113240.0,111812.0,111304.0,111864.0,111404.0,112132.0,111480.0,111748.0,119104.0,111688.0,111556.0,111256.0,112840.0,113260.0,112464.0,111756.0,112132.0,111316.0,112064.0,112008.0,112012.0,112140.0,110276.0,111480.0,111608.0,117748.0,110308.0,112340.0,111164.0,109584.0,112176.0,111924.0,111648.0,112276.0,107344.0,109668.0,112420.0,111328.0,111268.0,111676.0,110088.0,111164.0,111448.0,112024.0,111200.0,111636.0,111820.0,112232.0,110960.0,112024.0,111108.0,111488.0,111896.0,111292.0,112296.0,111252.0,111856.0,110448.0,112764.0,111448.0,109380.0,111608.0,111760.0,111792.0,112428.0,111472.0,111796.0,109380.0,112236.0,110364.0,109560.0,111452.0,112348.0,111816.0,110380.0,111880.0,110340.0,111240.0,112420.0,111920.0,111616.0,111280.0,112352.0,109124.0,112444.0,112184.0,112740.0,109852.0,112476.0,112340.0,111872.0,111512.0,112260.0,112116.0,113028.0,111780.0,110956.0,111232.0,123324.0,109528.0,122356.0,111556.0,111464.0,105780.0,111356.0,111616.0,105656.0,111448.0,111440.0,111468.0,111464.0,111344.0,111900.0,112528.0,110088.0,110952.0,112604.0,112140.0,111188.0,112784.0,111176.0,111596.0,112492.0,111476.0,112424.0
9,112224.0,110364.0,111524.0,111568.0,111408.0,111768.0,111252.0,110676.0,112236.0,111808.0,111108.0,111836.0,111544.0,111688.0,112668.0,111888.0,111800.0,111316.0,111864.0,114468.0,112132.0,114432.0,111748.0,111544.0,111688.0,111568.0,112524.0,111588.0,112004.0,111324.0,111756.0,112136.0,111324.0,112092.0,112008.0,112024.0,112180.0,110296.0,111480.0,111620.0,111580.0,110332.0,112204.0,111180.0,109600.0,112188.0,110664.0,111648.0,112280.0,107348.0,109664.0,112420.0,111344.0,111288.0,112772.0,110088.0,111164.0,111468.0,112044.0,111200.0,111652.0,111832.0,112244.0,110976.0,112028.0,111124.0,111500.0,111896.0,111292.0,112280.0,111256.0,111868.0,110452.0,112036.0,111468.0,109392.0,111616.0,111768.0,111804.0,112428.0,111484.0,111792.0,109388.0,112248.0,110376.0,109584.0,111464.0,112372.0,111828.0,110416.0,111892.0,110348.0,111252.0,112428.0,111928.0,111624.0,111304.0,112372.0,109124.0,112452.0,112184.0,112748.0,109852.0,112492.0,112356.0,111888.0,111536.0,112280.0,112120.0,112908.0,111780.0,110956.0,111232.0,111472.0,109528.0,111776.0,111568.0,111464.0,105792.0,111372.0,111616.0,105656.0,111448.0,111436.0,111468.0,111452.0,111360.0,111900.0,112540.0,110088.0,110964.0,111360.0,112152.0,111204.0,111396.0,111196.0,112324.0,111244.0,111484.0,112432.0
