%iowait,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
211,87.0,87.0,87.0,84.16,84.16,100.0,98.0,99.0,97.06,95.0,99.0,12.0,99.0,97.0,98.0,79.0,98.99,97.98,98.99,98.02,96.97,98.0,98.0,96.08,98.0,98.99,100.0,71.72,99.0,75.25,97.06,75.0,98.0,99.0,98.0,98.0,98.99,98.99,98.99,98.0,98.99,97.03,66.34,78.79,94.95,98.0,98.99,98.0,63.64,99.0,99.0,99.0,98.0,70.0,98.0,68.0,76.0,75.0,75.76,76.53,76.0,75.76,73.74,75.0,73.27,75.76,75.0,76.53,74.26,74.0,75.25,76.77,72.0,96.0,84.69,71.0,71.57,98.99,98.0,97.03,98.99,100.0,98.0,99.0,98.0,98.99,97.03,98.99,98.0,98.0,98.0,99.0,98.0,97.98,97.0,98.0,100.0,100.0,98.0,97.03,98.99,98.0,97.98,97.98,98.0,98.0,98.0,98.99,98.0,98.0,98.99,79.8,96.08,71.43,99.0,97.03,100.0,98.99,98.0,98.0,99.0,97.03,98.02,94.95,97.0,98.0,93.55,100.0,98.99,89.0,98.0,93.0,98.0,97.03,82.0,98.02,98.99,98.0,98.0,71.57
212,86.14,99.0,99.0,99.0,100.0,99.0,100.0,100.0,99.0,98.02,92.42,83.33,98.99,93.75,98.02,98.0,98.98,97.03,100.0,97.98,100.0,63.64,98.0,98.0,97.03,98.0,98.0,99.0,97.03,98.99,98.99,98.02,98.0,98.0,100.0,99.0,98.0,98.0,98.0,62.38,100.0,100.0,100.0,82.83,98.99,91.0,99.0,98.99,97.98,98.0,98.0,98.99,100.0,98.0,77.78,100.0,98.99,100.0,99.0,100.0,100.0,99.0,100.0,99.0,99.0,99.0,100.0,98.02,98.02,100.0,99.0,99.0,98.02,71.72,99.0,100.0,97.03,98.0,98.0,98.99,98.99,98.99,97.03,97.03,97.03,98.0,100.0,98.0,97.03,98.99,98.99,98.0,98.99,98.99,98.02,97.03,97.03,98.0,99.0,98.0,98.0,98.99,98.0,98.0,98.0,98.98,98.0,99.0,98.99,98.99,98.0,98.0,78.0,98.0,79.41,98.99,98.0,65.66,98.99,97.03,71.0,94.32,98.99,98.99,93.22,96.84,23.33,98.02,98.0,99.0,98.99,74.0,97.0,97.98,85.86,98.99,98.99,98.99,98.0,98.0
213,99.0,98.02,99.0,99.0,99.0,98.02,99.0,99.01,97.06,99.0,0.0,97.98,98.0,74.75,100.0,98.0,98.0,98.99,97.03,99.0,100.0,98.0,100.0,90.91,98.99,98.0,98.99,98.0,98.99,100.0,98.02,99.0,98.0,98.99,98.0,98.99,99.0,99.0,98.99,97.0,99.0,98.02,100.0,98.99,98.0,64.36,62.0,81.82,99.0,100.0,98.99,98.02,99.0,99.01,98.0,99.0,100.0,99.0,99.0,100.0,99.0,99.01,100.0,100.0,99.01,99.0,99.0,99.0,100.0,98.02,99.0,100.0,99.0,98.99,99.0,99.0,97.03,98.99,98.99,100.0,98.0,100.0,100.0,98.99,97.03,97.03,98.0,98.99,98.0,99.0,98.0,98.0,98.99,98.02,98.99,100.0,99.0,98.0,98.0,97.06,99.0,98.99,98.99,98.0,98.0,99.0,98.02,98.0,100.0,97.03,98.99,97.03,88.0,98.0,86.87,98.0,53.03,98.99,98.0,70.71,98.99,0.0,98.99,97.03,0.0,75.82,99.0,98.99,99.0,97.03,98.99,98.99,99.0,98.0,98.99,98.99,98.99,98.99,98.0,98.99
214,99.01,98.02,100.0,99.01,99.0,99.0,99.0,98.02,97.06,98.02,92.08,98.99,88.06,98.99,97.03,98.99,98.99,97.0,98.0,98.99,99.0,97.03,98.99,60.61,99.0,98.0,98.99,98.0,98.02,98.99,76.29,99.0,98.99,98.0,93.0,97.03,98.99,98.99,62.0,98.0,98.99,60.0,99.0,98.99,98.99,100.0,98.0,79.8,100.0,97.03,91.92,78.0,78.79,99.0,99.0,100.0,100.0,99.0,100.0,99.01,99.0,100.0,99.0,100.0,97.03,99.0,99.0,100.0,99.0,99.0,100.0,99.0,100.0,99.01,99.0,99.0,97.03,98.99,98.0,97.03,98.99,98.02,99.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,98.99,98.99,98.99,98.99,98.99,99.0,98.0,98.99,98.99,100.0,98.99,98.99,98.99,98.0,98.99,98.0,98.0,98.99,98.0,98.0,99.0,98.0,98.0,98.99,98.0,95.92,98.02,98.99,98.99,97.03,97.06,84.0,98.0,98.02,89.0,98.99,98.0,98.02,94.74,98.02,100.0,98.0,97.98,99.0,98.0,86.3,97.03,98.99,64.52,98.0
215,98.0,99.0,97.06,98.99,99.0,100.0,99.0,99.0,100.0,100.0,98.99,98.99,76.0,98.0,100.0,98.02,62.0,98.0,53.06,98.99,99.01,98.0,99.0,98.99,97.03,98.99,64.29,98.99,100.0,100.0,98.0,100.0,98.99,100.0,78.0,73.0,98.0,98.99,98.99,98.99,92.93,98.0,100.0,98.99,99.0,97.98,98.0,100.0,98.02,92.0,65.0,98.98,98.0,100.0,98.99,99.0,99.0,99.0,99.01,99.0,100.0,99.01,99.0,97.06,99.01,100.0,100.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,98.02,100.0,99.0,98.0,100.0,98.99,98.02,98.99,98.99,100.0,97.03,98.99,98.0,99.0,99.0,98.99,99.0,98.99,98.99,99.0,98.99,98.0,98.99,98.0,98.0,98.0,98.99,99.0,99.0,99.0,97.06,100.0,98.99,99.0,99.0,100.0,99.0,97.03,97.0,98.0,99.0,63.75,98.99,98.99,99.0,97.0,97.03,96.08,95.96,98.99,98.99,98.0,98.99,98.02,0.0,97.98,98.0,98.0,98.99,96.04,98.99,56.67,62.5,89.33,75.0,98.99
216,98.04,98.02,99.01,100.0,99.0,99.01,99.0,98.99,99.0,100.0,99.0,98.0,98.0,98.99,92.45,98.0,97.98,91.0,98.0,64.0,98.99,98.99,91.0,97.03,63.0,98.02,97.98,98.02,64.0,98.0,98.0,99.0,69.7,97.06,99.0,100.0,73.0,73.0,97.03,98.0,65.66,98.99,99.0,98.0,98.99,97.03,98.99,98.0,98.99,67.0,98.0,98.02,98.0,99.0,99.0,100.0,100.0,99.01,100.0,99.0,100.0,99.0,100.0,100.0,98.02,99.0,98.02,99.0,100.0,99.0,99.0,100.0,100.0,99.0,100.0,98.02,97.03,99.0,98.02,97.03,98.0,98.99,99.0,96.08,98.02,98.0,100.0,98.99,98.0,74.0,98.0,99.0,98.0,98.99,97.03,98.0,100.0,98.02,71.72,98.99,98.99,98.0,97.98,100.0,98.0,97.03,97.03,98.99,98.0,99.0,98.0,97.03,97.03,98.99,97.03,99.0,98.0,98.99,98.99,99.0,97.03,98.0,0.0,98.99,98.99,98.0,98.02,98.99,89.0,99.0,100.0,98.99,93.94,99.0,98.0,99.01,43.75,3.85,98.99,98.99
217,99.0,99.01,100.0,99.0,100.0,98.99,98.99,97.06,99.0,100.0,98.99,98.0,98.0,99.0,54.0,98.04,96.08,64.0,98.02,98.0,100.0,99.0,70.0,97.03,98.0,64.29,100.0,98.99,98.0,100.0,98.99,100.0,98.02,72.0,100.0,98.0,99.0,98.0,98.0,98.0,99.0,98.99,99.0,99.0,59.6,99.0,98.0,97.0,91.09,98.0,98.99,98.0,99.0,99.0,98.0,100.0,100.0,100.0,99.0,100.0,99.01,99.0,99.0,99.01,100.0,99.01,100.0,99.01,99.0,100.0,98.02,98.02,99.0,99.0,100.0,99.01,99.0,71.0,70.71,68.32,71.72,86.87,71.0,70.0,70.59,72.28,72.73,72.28,73.74,98.0,74.75,74.0,74.75,75.0,74.75,76.53,68.0,72.45,97.03,70.3,72.0,76.53,71.29,71.0,73.74,73.0,74.75,73.27,74.75,75.51,74.75,90.16,97.03,98.02,98.99,98.0,98.02,97.06,0.0,98.99,98.99,99.0,86.0,57.75,99.0,99.0,98.99,93.1,98.99,91.18,94.12,98.02,62.92,38.3,98.0,98.0,97.03,100.0,98.02,97.18
218,99.0,65.69,67.33,66.34,63.64,62.38,84.0,62.0,60.0,61.39,99.0,93.62,98.99,98.99,98.99,51.02,99.0,98.0,98.0,98.0,69.0,98.99,98.0,100.0,98.99,98.0,98.99,66.0,98.99,75.0,99.0,70.0,100.0,98.99,98.0,100.0,98.0,98.99,98.99,92.0,99.0,98.99,73.0,60.61,98.0,98.0,99.0,100.0,66.67,100.0,98.0,99.0,100.0,73.0,100.0,74.75,74.0,75.76,75.0,74.0,74.75,66.34,65.69,66.67,66.34,64.29,64.0,70.0,62.63,61.62,67.0,70.71,70.0,98.04,84.16,75.0,68.69,98.0,100.0,98.0,98.0,98.0,98.99,97.98,98.99,98.0,98.0,97.0,97.98,98.0,98.99,97.98,98.0,97.0,97.0,97.03,98.99,97.98,98.0,98.0,98.0,98.0,98.98,96.08,97.03,98.99,98.99,98.0,97.0,98.99,100.0,61.96,98.0,25.0,98.0,98.0,98.0,100.0,79.0,98.99,95.15,97.0,98.0,33.33,99.0,99.0,100.0,74.0,99.0,16.67,22.58,95.16,98.99,88.64,65.38,98.02,98.0,98.0,98.99,0.0
219,69.0,98.99,100.0,99.0,98.02,99.0,99.0,97.06,99.0,98.02,99.0,16.13,96.08,94.34,98.0,98.0,96.12,97.06,99.0,98.0,100.0,63.37,98.99,99.0,98.0,98.0,96.12,95.05,99.0,98.99,98.99,100.0,98.02,98.99,99.0,98.0,98.99,98.02,97.03,65.66,97.98,99.01,100.0,97.98,98.99,98.0,93.94,98.99,99.0,97.03,95.74,97.03,99.0,98.02,97.03,99.0,96.08,98.02,98.02,100.0,99.0,98.02,98.02,99.0,100.0,99.0,100.0,98.0,99.0,97.06,98.99,100.0,99.0,73.47,100.0,100.0,98.99,98.98,98.99,98.0,97.98,98.99,98.99,99.0,95.1,98.0,98.98,100.0,97.03,98.0,97.98,98.99,98.99,98.99,98.02,98.0,98.99,98.0,100.0,96.08,98.0,98.0,98.99,100.0,97.98,98.0,98.99,100.0,98.99,98.0,97.98,99.0,94.34,81.52,86.44,98.99,98.0,11.43,100.0,97.0,57.81,98.02,98.0,98.99,98.0,98.0,76.0,98.99,99.0,100.0,100.0,63.22,98.0,96.04,57.89,98.99,99.0,99.0,98.02,87.88
220,98.99,99.01,98.02,98.02,100.0,98.02,99.0,99.0,99.0,100.0,67.69,85.0,98.99,49.21,98.99,98.99,98.99,97.96,99.0,99.0,98.02,100.0,98.02,97.03,97.33,99.0,98.99,98.99,99.0,98.02,91.0,99.0,98.65,99.0,98.02,99.0,98.0,98.0,91.92,98.0,100.0,98.99,99.0,98.99,98.0,63.0,65.66,60.61,98.99,97.03,98.0,100.0,98.99,98.99,79.8,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,98.99,98.99,99.0,98.02,98.02,98.99,99.0,98.02,100.0,100.0,98.99,98.02,98.0,99.0,97.0,100.0,98.0,100.0,97.06,98.02,97.03,98.99,100.0,98.0,99.0,98.02,98.0,98.99,98.99,99.0,98.0,98.99,96.08,98.99,98.99,98.99,98.99,98.99,98.0,63.04,97.98,41.3,99.0,50.85,98.99,98.02,70.25,99.0,87.88,98.02,100.0,89.29,90.91,98.99,97.06,98.0,98.0,98.99,98.99,98.99,100.0,99.0,98.0,99.0,98.0,100.0,98.02
