kbbuffers,aceph01,aceph02,aceph03,aceph04
167,6424.0,720.0,1000.0,732.0
168,6456.0,720.0,1000.0,732.0
169,6488.0,720.0,1008.0,732.0
170,6520.0,728.0,1008.0,732.0
171,6552.0,728.0,1008.0,740.0
172,6568.0,728.0,1008.0,740.0
173,6584.0,728.0,1008.0,740.0
174,6600.0,728.0,1016.0,740.0
175,6632.0,736.0,1016.0,740.0
176,6664.0,736.0,1016.0,748.0
177,6696.0,736.0,1016.0,748.0
178,6728.0,736.0,1016.0,748.0
179,6760.0,736.0,1024.0,748.0
180,6792.0,744.0,1024.0,748.0
181,6824.0,744.0,1024.0,756.0
182,6856.0,744.0,1024.0,756.0
183,6888.0,744.0,1024.0,756.0
184,6924.0,744.0,1032.0,756.0
185,6956.0,752.0,1032.0,756.0
186,6980.0,752.0,1032.0,764.0
187,6996.0,752.0,1032.0,764.0
188,7020.0,752.0,1032.0,764.0
189,7036.0,752.0,1040.0,764.0
190,7068.0,760.0,1040.0,764.0
191,7100.0,760.0,1040.0,772.0
192,7132.0,760.0,1040.0,772.0
193,7164.0,760.0,1040.0,772.0
194,7196.0,760.0,1048.0,772.0
195,7228.0,768.0,1048.0,772.0
196,7260.0,768.0,1048.0,780.0
197,7292.0,768.0,1048.0,780.0
198,7324.0,768.0,1048.0,780.0
199,7356.0,768.0,1056.0,780.0
200,7388.0,776.0,1056.0,780.0
201,7420.0,776.0,1056.0,788.0
202,7436.0,776.0,1056.0,788.0
203,7436.0,776.0,1056.0,788.0
204,7468.0,776.0,1064.0,788.0
205,7500.0,784.0,1064.0,788.0
206,7532.0,784.0,1064.0,796.0
207,7564.0,784.0,1064.0,796.0
208,7596.0,784.0,1064.0,796.0
209,7628.0,784.0,1072.0,796.0
210,7660.0,792.0,1072.0,796.0
211,7692.0,792.0,1072.0,804.0
212,7776.0,792.0,1072.0,804.0
213,7992.0,792.0,1072.0,804.0
214,8024.0,792.0,1080.0,804.0
215,8040.0,800.0,1080.0,804.0
216,8056.0,800.0,1080.0,812.0
217,8088.0,800.0,1080.0,812.0
