stat_bytes_used,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,304605380608,305251061760,296981401600,283624763392,301785567232,327117119488,230391357440,325779132416,294838648832,334585597952,256906457088,290107113472,282677489664,335689883648,353776332800,267464396800,290718572544,263165255680,342009901056,301177630720,285257551872,287513530368,322214739968,330238128128,289291075584,270973947904,296929972224,377325805568,276361588736,317343678464,269530087424,274422788096,301302710272,318072381440,307477639168,294186414080,287021572096,346434994176,342330392576,264122376192
11,304605380608,305251061760,296981401600,283624763392,301785567232,327117119488,230391357440,325779132416,294838648832,334585597952,256906457088,290107113472,282677489664,335689883648,353776332800,267464396800,290718572544,263165255680,342009901056,301177602048,285257551872,287513530368,322214739968,330238128128,289291075584,270973947904,296929972224,377325768704,276361588736,317343645696,269530087424,274422788096,301302710272,318072381440,307477639168,294186414080,287021547520,346434973696,342330392576,264122376192
12,304605347840,305251061760,296981401600,283625836544,301785567232,327117119488,230391357440,325779193856,294838648832,334585597952,256906457088,290107113472,282677489664,335689883648,353780563968,267464396800,290718572544,263165255680,342009901056,301177602048,285257551872,287513530368,322214739968,330230358016,289291075584,270973947904,296929972224,377325768704,276361588736,317343645696,269530087424,274422788096,301306904576,318072381440,307477639168,294186414080,287021547520,346434973696,342330392576,264122376192
13,304605347840,305251061760,296981401600,283625836544,301785567232,327117119488,230391336960,325779193856,294838628352,334585597952,256906457088,290107113472,282677489664,335689883648,353780563968,267464396800,290718572544,263165255680,342009901056,301177602048,285257551872,287513530368,322209599488,330230358016,289292148736,270973947904,296929972224,377325768704,276361588736,317343645696,269524496384,274422788096,301306904576,318072381440,307477639168,294186414080,287021547520,346434973696,342330392576,264122376192
14,304605347840,305251061760,296981401600,283625836544,301785567232,327118147584,230391336960,325779132416,294838628352,334585597952,256906428416,290107113472,282677489664,335689883648,353780563968,267464396800,290718572544,263165255680,342009901056,301177602048,285257523200,287513530368,322209599488,330231164928,289292148736,270973947904,296929972224,377325768704,276361588736,317343645696,269524496384,274422788096,301306904576,318072381440,307477639168,294186414080,287021547520,346434973696,342330392576,264122376192
15,304605347840,305251061760,296981401600,283625836544,301785567232,327118147584,230391336960,325779132416,294838628352,334585597952,256906428416,290107113472,282677489664,335689846784,353780563968,267464396800,290718572544,263166304256,342009901056,301177602048,285257523200,287513530368,322209599488,330231164928,289292148736,270978179072,296929972224,377325768704,276365791232,317343645696,269524496384,274427019264,301306904576,318073409536,307477639168,294186414080,287023673344,346434973696,342330392576,264122376192
16,304605347840,305251061760,296981364736,283625836544,301785538560,327118147584,230391336960,325779132416,294838628352,334585597952,256906428416,290107113472,282677489664,335689846784,353780563968,267464396800,290718572544,263166304256,342009901056,301177602048,285257523200,287513530368,322209599488,330231164928,289292124160,270978179072,296929972224,377325768704,276365791232,317343645696,269524496384,274427019264,301306904576,318073409536,307477639168,294186377216,287023673344,346438152192,342330392576,264122376192
17,304605347840,305255256064,296981364736,283625811968,301785538560,327118147584,230391336960,325779132416,294838628352,334585597952,256906428416,290107113472,282677489664,335689846784,353780563968,267468627968,290718572544,263166304256,342009901056,301177602048,285257523200,287513530368,322209599488,330231164928,289292124160,270978179072,296929972224,377325768704,276365791232,317343645696,269524496384,274427019264,301306904576,318073409536,307477639168,294186377216,287023673344,346438152192,342330392576,264122376192
18,304605347840,305255256064,296981364736,283625811968,301785538560,327118147584,230391336960,325779132416,294840225792,334585597952,256906428416,290107113472,282677489664,335689846784,353780563968,267468627968,290718572544,263166304256,342009901056,301177602048,285261754368,287513530368,322209599488,330231164928,289292124160,270978142208,296929972224,377325768704,276365791232,317343645696,269526622208,274427019264,301306904576,318073409536,307477639168,294186377216,287023673344,346438152192,342330392576,264122376192
19,304605347840,305255256064,296981364736,283625811968,301785538560,327118147584,230391336960,325781258240,294840225792,334585597952,256906428416,290107113472,282677489664,335689846784,353780563968,267468627968,290718572544,263166304256,342009901056,301177602048,285261754368,287513530368,322209599488,330231164928,289292124160,270978142208,296929972224,377325768704,276365791232,317343645696,269526622208,274427019264,301306904576,318073409536,307477639168,294186377216,287023673344,346438152192,342330392576,264122376192
