%util,aceph01,aceph02,aceph03,aceph04
0,0.84,0.92,1.2,1.4
1,1.4,1.0,1.32,0.88
2,1.28,1.04,1.32,1.2
3,1.08,1.36,1.96,1.28
4,1.16,1.12,1.52,1.32
5,1.24,1.0,1.24,1.0
6,0.96,1.2,1.24,1.2
7,1.48,0.68,1.92,1.12
8,0.92,1.04,1.2,1.08
9,1.28,1.44,1.08,0.84
10,1.12,0.96,1.04,1.24
11,0.12,0.08,0.2,0.16
12,0.04,0.28,0.16,0.28
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.24,0.44,0.16,0.52
18,0.76,0.68,0.68,0.64
19,0.0,0.0,0.04,0.0
20,0.0,0.0,0.12,0.08
21,0.48,0.2,0.36,0.32
22,0.08,0.0,0.0,0.04
23,0.12,0.08,0.08,0.16
24,0.2,0.16,0.16,0.36
25,0.56,0.2,0.28,0.24
26,0.52,0.72,0.44,0.36
27,0.32,0.2,0.16,0.48
28,0.0,0.0,0.0,0.0
29,0.44,0.16,0.24,0.2
30,0.56,0.28,0.56,0.4
31,0.12,0.04,0.08,0.04
32,0.24,0.04,0.28,0.24
33,0.84,0.88,0.64,0.52
34,0.04,0.0,0.04,0.0
35,0.0,0.0,0.0,0.04
36,0.12,0.12,0.08,0.04
37,0.48,0.64,0.44,0.4
38,0.2,0.24,0.2,0.24
39,0.24,0.44,0.28,0.32
40,0.12,0.04,0.16,0.12
41,0.0,0.0,0.08,0.0
42,0.12,0.16,0.32,0.2
43,0.8,0.44,0.8,0.6
44,0.56,1.24,0.674,0.92
45,0.52,0.36,0.24,0.4
46,0.08,0.08,0.08,0.12
47,0.76,0.64,0.56,0.8
48,0.0,0.0,0.0,0.0
49,0.44,0.24,0.6,0.48
50,0.52,0.92,0.76,1.2
51,0.4,0.88,0.24,0.24
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.08,0.0
54,0.2,0.28,0.12,0.28
55,0.92,1.04,0.96,0.8
56,0.44,0.88,0.8,0.6
57,0.64,0.36,0.56,0.8
58,1.08,0.76,0.8,0.68
59,0.56,0.4,0.36,0.44
60,0.44,0.36,0.12,0.28
61,0.16,0.08,0.04,0.04
62,0.28,0.16,0.16,0.28
63,0.32,0.24,0.28,0.32
64,0.4,0.36,0.52,0.6
65,0.6,0.76,0.8,0.44
66,0.24,0.4,0.32,0.24
67,0.04,0.08,0.04,0.04
68,0.08,0.04,0.08,0.08
69,0.4,0.32,0.24,0.24
70,0.32,0.28,0.28,0.36
71,0.72,0.56,0.76,0.24
72,0.56,0.48,0.32,0.32
73,0.52,0.44,0.36,0.28
74,0.12,0.16,0.16,0.16
75,0.0,0.0,0.0,0.0
76,0.52,0.2,0.48,0.32
77,0.16,0.4,0.4,0.52
78,0.48,0.72,0.52,1.0
79,0.24,0.52,0.4,0.24
80,0.04,0.16,0.28,0.12
81,0.12,0.2,0.52,0.56
82,0.08,0.28,0.2,0.16
83,0.32,0.2,0.04,0.2
84,0.32,0.08,0.12,0.12
85,0.04,0.12,0.4,0.08
86,0.4,0.28,0.56,0.48
87,0.28,0.24,0.36,0.12
88,0.52,0.68,0.4,0.28
89,0.2,0.16,0.28,0.4
90,0.32,0.4,0.68,0.44
91,0.24,0.2,0.08,0.04
92,0.24,0.08,0.56,0.92
93,0.52,0.32,0.36,0.48
94,0.16,0.76,0.28,0.32
95,0.32,0.88,0.4,0.32
96,0.28,0.6,0.24,0.52
97,0.12,0.08,0.2,0.24
98,0.2,0.16,0.2,0.24
99,0.8,0.88,0.52,0.88
100,0.24,0.28,0.6,0.24
101,0.44,0.555,0.44,0.32
102,1.16,0.92,1.2,0.44
103,0.12,0.04,0.04,0.04
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,1.48,0.96,1.2,1.28
107,0.36,0.28,0.16,0.32
108,0.04,0.16,0.04,0.04
109,0.68,0.64,0.56,0.72
110,0.16,0.16,0.24,0.04
111,0.0,0.12,0.04,0.08
112,0.16,0.04,0.12,0.12
113,0.32,0.36,0.52,0.56
114,1.08,0.92,0.76,0.8
115,0.04,0.08,0.16,0.0
116,0.16,0.28,0.16,0.2
117,0.08,0.12,0.08,0.16
118,0.12,0.16,0.4,0.2
119,0.36,0.64,0.52,0.56
120,0.24,0.04,0.24,0.12
121,0.2,0.2,0.44,0.28
122,0.28,0.6,0.6,0.32
123,0.16,0.4,0.28,0.4
124,0.64,0.6,0.52,0.56
125,0.4,0.48,0.48,0.32
126,0.28,0.48,0.64,0.4
127,0.32,0.32,0.32,0.6
128,0.28,0.4,0.44,0.6
129,0.4,0.16,0.4,0.32
130,0.2,0.16,0.28,0.16
131,0.44,0.68,1.08,0.4
132,0.2,0.32,0.44,0.24
133,0.48,0.56,0.4,0.4
134,0.48,0.2,0.24,0.16
135,0.48,0.44,0.32,0.64
136,0.32,0.12,0.48,0.32
137,0.04,0.04,0.2,0.08
138,0.52,0.36,0.36,0.48
139,0.0,0.04,0.0,0.0
140,0.8,0.6,0.96,0.56
141,0.08,0.08,0.24,0.2
142,0.72,0.2,0.4,0.28
143,0.28,0.08,0.24,0.2
144,0.08,0.12,0.16,0.04
145,0.24,0.28,0.04,0.12
146,0.12,0.12,0.04,0.04
147,0.8,0.56,0.72,1.08
148,0.28,0.24,0.32,0.36
149,0.28,0.44,0.12,0.2
150,0.28,0.72,0.2,0.16
151,0.4,0.36,0.44,0.36
152,0.0,0.04,0.16,0.04
153,0.52,0.4,0.52,0.4
154,0.44,0.56,0.4,0.44
155,0.12,0.12,0.08,0.24
156,0.2,0.04,0.04,0.04
157,0.4,0.4,0.72,0.52
158,0.8,0.48,1.08,0.96
159,0.48,0.48,0.52,0.16
160,0.52,0.44,0.56,0.44
161,0.32,0.36,0.4,0.56
162,0.76,0.56,0.6,0.48
163,0.68,0.48,0.28,0.44
164,0.24,0.28,0.12,0.72
165,0.36,0.28,0.2,0.4
166,0.48,0.32,0.12,0.44
167,0.4,0.44,0.28,0.56
168,0.2,0.4,0.44,0.24
169,0.28,0.28,0.52,0.36
170,0.24,0.28,0.4,0.2
171,0.68,0.12,0.24,0.36
172,0.28,0.24,0.36,0.2
173,0.24,0.68,0.72,0.32
174,0.16,0.16,0.12,0.36
175,0.32,0.24,0.32,0.12
176,0.16,0.16,0.36,0.24
177,0.28,0.08,0.24,0.48
178,0.358,0.32,0.56,0.28
179,0.52,0.16,0.4,0.24
180,0.56,0.76,0.48,0.56
181,0.24,0.28,0.36,0.36
182,0.12,0.08,0.08,0.04
183,0.6,0.36,0.32,0.4
184,0.32,0.2,0.12,0.2
185,0.44,0.84,0.56,0.76
186,0.6,0.72,0.84,0.52
187,0.28,0.12,0.199,0.16
188,0.12,0.16,0.04,0.24
189,0.32,0.24,0.44,0.32
190,0.2,0.36,0.68,0.64
191,0.92,0.8,0.72,0.84
192,0.0,0.08,0.0,0.0
193,0.12,0.635,0.32,0.24
194,0.56,0.56,0.8,0.8
195,0.72,0.4,0.4,0.48
196,0.04,0.16,0.08,0.08
197,0.04,0.12,0.24,0.04
198,0.12,0.24,0.28,0.36
199,0.32,0.28,0.44,0.44
200,0.36,0.4,0.84,0.64
201,0.32,0.52,0.4,0.16
202,0.28,0.32,0.24,0.12
203,0.24,0.16,0.16,0.16
204,0.08,0.04,0.08,0.04
205,1.0,0.48,0.48,0.52
206,0.08,0.04,0.16,0.12
207,0.28,0.44,0.4,0.4
208,0.28,0.36,0.4,0.6
209,0.24,0.28,0.28,0.24
210,0.08,0.0,0.04,0.04
211,0.4,0.92,0.48,0.44
212,0.2,0.52,0.28,0.32
213,0.2,0.04,0.0,0.24
214,0.08,0.0,0.08,0.2
215,0.0,0.2,0.36,0.12
216,1.08,1.24,0.72,0.68
217,0.32,0.4,0.68,0.76
218,0.28,0.28,0.2,0.2
219,0.0,0.0,0.0,0.0
220,0.4,0.36,0.44,0.32
221,0.52,0.56,0.44,0.68
222,0.64,0.88,0.68,0.84
223,0.64,0.56,0.88,0.6
224,0.0,0.0,0.0,0.12
225,0.88,0.48,0.16,0.48
226,0.04,0.0,0.08,0.0
227,0.2,0.2,0.04,0.397
228,0.12,0.48,0.4,0.44
229,0.0,0.12,0.12,0.04
230,0.48,0.24,0.48,0.64
231,0.28,0.64,0.76,0.32
232,0.08,0.0,0.12,0.12
233,0.48,0.4,0.2,0.28
234,0.16,0.12,0.44,0.4
235,0.68,1.0,1.04,0.8
236,0.36,0.2,0.2,0.12
237,0.24,0.24,0.12,0.2
238,0.84,0.6,0.84,0.6
239,0.32,0.4,0.08,0.2
240,0.24,0.24,0.48,0.24
241,0.16,0.16,0.2,0.2
242,0.48,0.76,0.44,0.6
243,0.0,0.16,0.04,0.04
244,0.44,0.28,0.44,0.44
245,0.24,0.16,0.36,0.32
246,1.12,0.88,0.76,0.88
247,0.52,0.48,0.2,0.52
248,0.0,0.0,0.0,0.0
249,0.16,0.08,0.32,0.2
250,0.48,0.4,0.92,0.8
251,0.4,0.56,0.44,0.24
252,0.56,0.24,0.44,0.52
253,0.0,0.0,0.0,0.0
254,0.48,0.76,0.4,0.32
255,0.44,0.56,0.28,0.2
256,0.16,0.12,0.08,0.12
257,0.24,0.2,0.24,0.44
258,0.28,0.44,0.16,0.36
259,0.2,0.08,0.2,0.2
260,0.12,0.12,0.0,0.08
261,0.2,0.04,0.32,0.08
262,0.24,0.48,0.56,0.8
263,0.08,0.12,0.08,0.24
264,0.52,0.24,0.52,0.24
265,0.2,0.12,0.12,0.28
266,0.4,0.56,0.68,0.56
267,0.2,0.24,0.16,0.32
268,0.24,0.28,0.64,0.6
269,0.2,0.28,0.24,0.12
270,0.64,0.2,0.2,0.28
271,0.24,0.24,0.24,0.4
272,0.68,0.44,0.4,0.56
273,0.2,0.4,0.08,0.24
274,0.28,0.32,0.08,0.32
275,0.16,0.2,0.2,0.2
276,0.48,0.8,0.76,0.8
277,0.52,0.4,0.24,0.44
278,0.64,0.6,0.32,0.88
279,0.32,0.36,0.44,0.68
280,0.0,0.0,0.04,0.04
281,0.32,0.28,0.4,0.12
282,0.6,1.04,0.6,0.4
283,0.24,0.2,0.4,0.2
284,0.4,0.8,0.68,0.44
285,0.12,0.16,0.28,0.32
286,0.2,0.16,0.16,0.12
287,0.68,0.6,0.44,0.52
288,0.48,0.4,0.24,0.16
289,0.44,0.64,0.48,0.48
290,0.44,0.72,0.8,0.4
291,0.32,0.64,0.56,0.84
292,0.12,0.08,0.32,0.08
293,0.08,0.08,0.16,0.16
294,0.4,0.68,0.44,0.24
