kbcommit,client01,client02,client03,client04
0,46924940.0,40886440.0,50376476.0,41685200.0
1,47610516.0,41490756.0,50630864.0,41976204.0
2,47903352.0,41850080.0,50872132.0,42062556.0
3,48022540.0,42057316.0,51086116.0,42133396.0
4,48034036.0,42100132.0,51185584.0,42169372.0
5,48034036.0,42144824.0,51250340.0,42183764.0
6,48034036.0,42335292.0,51271928.0,42183764.0
7,48034036.0,42468196.0,51293124.0,42190960.0
8,48034036.0,42474364.0,51314072.0,42296544.0
9,48185008.0,42585276.0,51337136.0,42540800.0
10,48221452.0,42577076.0,51343576.0,42540800.0
11,48229416.0,42577076.0,51554016.0,42598172.0
12,48316008.0,42627648.0,51554016.0,42598172.0
13,48271376.0,42635104.0,51554016.0,42672152.0
14,48300848.0,42667108.0,51554016.0,42712356.0
15,48300848.0,42633424.0,51543792.0,42712356.0
16,48300848.0,42698976.0,51550232.0,42718796.0
17,48300848.0,42698976.0,51550232.0,42718796.0
18,48300848.0,42698976.0,51550232.0,42718796.0
19,48287960.0,42692368.0,51550232.0,42718796.0
20,48275564.0,42684172.0,51550232.0,42718796.0
21,48285356.0,42684172.0,51550232.0,42700384.0
22,48297208.0,42684172.0,51544120.0,42706828.0
23,48282356.0,42684172.0,51557524.0,42706828.0
24,48282356.0,42689988.0,51557524.0,42706828.0
25,48282356.0,42689988.0,51577604.0,42772868.0
26,48282356.0,42731792.0,51724984.0,42779300.0
27,48282356.0,42854468.0,52100172.0,43079984.0
28,48505232.0,42854468.0,52207216.0,43392428.0
29,48772404.0,42903256.0,52215412.0,43392428.0
30,48740704.0,42903256.0,52223220.0,43400236.0
31,48740704.0,42903256.0,52223220.0,43400236.0
32,48740704.0,42903256.0,52286456.0,43400236.0
33,48740704.0,42927452.0,52286456.0,43406680.0
34,48740704.0,42927452.0,52286456.0,43406680.0
35,48737884.0,42933184.0,52292888.0,43406680.0
36,48787484.0,42933184.0,52292888.0,43406680.0
37,48781964.0,42938888.0,52292888.0,43406680.0
38,48781964.0,42932996.0,52284692.0,43406680.0
39,48781964.0,42932996.0,52291124.0,43406680.0
40,48781964.0,42932996.0,52266524.0,43395040.0
41,48768712.0,42932996.0,52266524.0,43338348.0
42,48768712.0,42938724.0,52266524.0,43338348.0
43,48757272.0,42938724.0,52266524.0,43338348.0
44,48794512.0,42938724.0,52265740.0,43338348.0
45,48781320.0,42930524.0,52232956.0,43314936.0
46,48767872.0,42930524.0,52211748.0,43314936.0
47,48767872.0,42930524.0,52195356.0,43314936.0
48,48767872.0,42930524.0,52195356.0,43321448.0
49,48767872.0,42930524.0,52187160.0,43321448.0
50,48748976.0,42928824.0,52187160.0,43321448.0
51,48728564.0,42928824.0,52178964.0,43329252.0
52,48744176.0,42928824.0,52178964.0,43329252.0
53,48714088.0,42928824.0,52178964.0,43329252.0
54,48714088.0,42928824.0,52170768.0,43335684.0
55,48700540.0,42893672.0,52131312.0,43170204.0
56,48700540.0,42850128.0,52114920.0,43163552.0
57,48700540.0,42850128.0,52139508.0,43155356.0
58,48664868.0,42850128.0,52139508.0,43155356.0
59,48727832.0,42850128.0,52145996.0,43155356.0
60,48709260.0,42845168.0,52145996.0,43155356.0
61,48697248.0,42845168.0,52137800.0,43155356.0
62,48697248.0,42845168.0,52131108.0,43161796.0
63,48697248.0,42845168.0,52131108.0,43178216.0
