stat_bytes_avail,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
312,694898843648,694253121536,702527557632,715884191744,697724305408,672385138688,769118560256,673732976640,704665989120,664927703040,742600380416,709402652672,716832509952,663823454208,645727805440,732051599360,708791189504,736338432000,657497038848,698331701248,714252447744,711996469248,677290815488,669271080960,710221836288,728536195072,702585937920,622185938944,723147235328,682166988800,729978810368,725083402240,698210353152,681430315008,692024389632,705322323968,712486256640,653073973248,657176444928,735383343104
313,694898843648,694260039680,702527557632,715882065920,697724305408,672385138688,769118560256,673732976640,704665989120,664927703040,742600380416,709402652672,716832509952,663823454208,645727805440,732051599360,708791189504,736338432000,657497038848,698331701248,714248216576,711996469248,677290815488,669271080960,710221836288,728536195072,702584365056,622181707776,723147235328,682166988800,729985441792,725083402240,698210353152,681430315008,692024389632,705322323968,712486289408,653073973248,657176444928,735390552064
314,694898843648,694260039680,702527574016,715882065920,697724305408,672385138688,769118584832,673732997120,704665989120,664926629888,742600380416,709402652672,716832509952,663823454208,645727805440,732049502208,708791189504,736338432000,657497038848,698331701248,714248216576,711996469248,677290815488,669270405120,710219730944,728536195072,702584365056,622181707776,723147235328,682166988800,729985441792,725083402240,698210353152,681430315008,692024389632,705322323968,712486289408,653073973248,657176444928,735390552064
315,694898843648,694260039680,702527574016,715882094592,697724305408,672391770112,769118584832,673732997120,704665989120,664926629888,742600380416,709402689536,716832509952,663823454208,645727805440,732049502208,708791189504,736338432000,657497038848,698331701248,714248216576,711996469248,677290815488,669270405120,710219730944,728531963904,702584365056,622181707776,723147235328,682166988800,729985441792,725083439104,698210353152,681430315008,692024389632,705322323968,712486289408,653073973248,657176444928,735390552064
316,694898843648,694260039680,702527574016,715882094592,697724305408,672391770112,769118584832,673732997120,704665989120,664926629888,742600380416,709402689536,716832509952,663823454208,645727805440,732049502208,708791226368,736338432000,657497038848,698331701248,714248216576,711996469248,677290815488,669270405120,710219730944,728532000768,702584365056,622181707776,723143004160,682166484992,729985441792,725083439104,698210353152,681430315008,692024389632,705322323968,712486289408,653074001920,657176444928,735390552064
317,694898843648,694259232768,702527574016,715882094592,697724305408,672391245824,769118584832,673732997120,704665989120,664926629888,742600380416,709402689536,716832509952,663823454208,645727805440,732049502208,708791226368,736338432000,657497038848,698331701248,714248216576,711996469248,677290815488,669270405120,710219763712,728532000768,702584365056,622181707776,723143004160,682166484992,729985441792,725083439104,698210353152,681430315008,692024389632,705322323968,712486289408,653074001920,657176444928,735390552064
318,694898843648,694259232768,702527574016,715882094592,697724305408,672391245824,769118584832,673731923968,704666017792,664926629888,742600380416,709402689536,716828278784,663823454208,645727805440,732049502208,708791226368,736338432000,657497038848,698331701248,714248216576,711996469248,677290815488,669277716480,710219763712,728532000768,702584365056,622181744640,723143004160,682166484992,729985441792,725083439104,698210385920,681430315008,692024389632,705322323968,712486289408,653074001920,657176444928,735389499392
319,694898843648,694259232768,702533668864,715882094592,697724305408,672391245824,769118584832,673731923968,704666017792,664926654464,742600380416,709402689536,716828278784,663823454208,645727805440,732049502208,708791226368,736338432000,657497038848,698331701248,714248216576,711996469248,677290815488,669277716480,710219763712,728532000768,702584365056,622181744640,723143004160,682166484992,729984917504,725083439104,698210385920,681430315008,692024389632,705329225728,712486289408,653074001920,657176444928,735389499392
320,694898843648,694259232768,702533668864,715882094592,697724305408,672391245824,769118584832,673731923968,704666017792,664926654464,742599675904,709402689536,716828278784,663823454208,645727805440,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711996469248,677290815488,669277212672,710219763712,728532000768,702584365056,622181744640,723143041024,682165411840,729984917504,725083439104,698210385920,681430315008,692024389632,705329225728,712486289408,653074001920,657176444928,735389499392
321,694898843648,694259232768,702532616192,715882094592,697724305408,672391245824,769118584832,673731923968,704666017792,664926654464,742599675904,709402689536,716828278784,663822794752,645727805440,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711996469248,677290815488,669276139520,710219763712,728532000768,702584365056,622181744640,723143041024,682165411840,729984917504,725083439104,698210385920,681430315008,692024389632,705329225728,712486289408,653074001920,657176444928,735389499392
322,694898843648,694259253248,702532616192,715882094592,697724305408,672391245824,769118584832,673731948544,704666017792,664926654464,742607015936,709402689536,716828278784,663822794752,645727805440,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711996469248,677290815488,669276139520,710219763712,728532000768,702582239232,622181744640,723143041024,682165411840,729984917504,725083439104,698210385920,681430315008,692024389632,705329225728,712486289408,653074001920,657176444928,735389499392
323,694898843648,694259253248,702532616192,715882094592,697724305408,672390193152,769118584832,673731948544,704666017792,664926654464,742607015936,709402689536,716828315648,663822794752,645727805440,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711996469248,677290815488,669276139520,710219763712,728532000768,702582239232,622181744640,723143041024,682165411840,729984917504,725083439104,698210385920,681430315008,692024389632,705329225728,712486289408,653074001920,657175601152,735389499392
324,694898843648,694259253248,702532616192,715882094592,697724305408,672390193152,769118584832,673731948544,704666017792,664924528640,742606491648,709402689536,716828315648,663822794752,645726175232,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711996469248,677290815488,669276139520,710219763712,728532000768,702582239232,622181744640,723143041024,682165411840,729983889408,725083439104,698210385920,681436446720,692024389632,705328439296,712486289408,653074001920,657175339008,735389499392
325,694898843648,694259253248,702532616192,715882094592,697724305408,672390193152,769118584832,673731948544,704666017792,664924528640,742606491648,709402689536,716828315648,663830351872,645726175232,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711992274944,677290815488,669276139520,710219763712,728532000768,702582239232,622181744640,723143041024,682165411840,729983889408,725083439104,698210385920,681436446720,692024389632,705328439296,712486289408,653074001920,657175339008,735389523968
326,694898843648,694259253248,702532616192,715882094592,697724305408,672390193152,769118584832,673731948544,704666017792,664924528640,742606491648,709402689536,716828315648,663830351872,645726175232,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711992274944,677290815488,669276139520,710219763712,728532000768,702582239232,622181744640,723143041024,682163310592,729983889408,725083439104,698210385920,681436446720,692024389632,705328439296,712486289408,653074001920,657175339008,735389523968
327,694898843648,694258180096,702532640768,715882094592,697724305408,672390193152,769118584832,673729822720,704661786624,664924528640,742606491648,709402689536,716828315648,663829565440,645726175232,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711992274944,677290815488,669276164096,710219763712,728532000768,702582239232,622181744640,723143041024,682163310592,729983889408,725083439104,698210385920,681436446720,692024389632,705328439296,712486289408,653069807616,657175339008,735389523968
328,694898843648,694258180096,702532640768,715882094592,697724305408,672390193152,769116487680,673729822720,704661786624,664924557312,742606491648,709402689536,716828315648,663829565440,645726175232,732049502208,708791226368,736338432000,657497038848,698331701248,714248253440,711992274944,677290815488,669276164096,710219763712,728532000768,702582239232,622181744640,723143041024,682163310592,729983889408,725083439104,698210385920,681436446720,692024389632,705328439296,712486289408,653069807616,657182547968,735389523968
329,694898843648,694258180096,702532640768,715882094592,697731207168,672390193152,769116487680,673729822720,704661786624,664924557312,742606491648,709402689536,716828315648,663829565440,645732872192,732049502208,708791226368,736345063424,657497038848,698331701248,714248253440,711992274944,677290815488,669276164096,710219763712,728532000768,702582239232,622181744640,723143041024,682163310592,729983889408,725083439104,698210385920,681435398144,692024389632,705327411200,712486289408,653069807616,657182547968,735389523968
330,694905499648,694258180096,702532640768,715882094592,697731207168,672390193152,769116487680,673729822720,704661823488,664924557312,742605438976,709402689536,716828315648,663829585920,645732872192,732049502208,708791226368,736345063424,657496801280,698331701248,714248253440,711992274944,677290815488,669276164096,710219763712,728532000768,702582239232,622181744640,723143041024,682163310592,729983889408,725083439104,698210385920,681435398144,692024389632,705327411200,712482058240,653069807616,657182547968,735387398144
331,694905499648,694258180096,702532640768,715882094592,697731207168,672390193152,769116487680,673729822720,704661823488,664924557312,742605438976,709402689536,716828315648,663829585920,645732872192,732049502208,708791226368,736345063424,657503703040,698331701248,714248253440,711992274944,677302099968,669276164096,710219763712,728532000768,702582267904,622181744640,723143041024,682163310592,729983889408,725083439104,698210385920,681435398144,692031348736,705327411200,712482058240,653069807616,657182547968,735387398144
332,694905499648,694256107520,702532640768,715882094592,697731207168,672390193152,769116487680,673729822720,704661823488,664924557312,742605438976,709402689536,716828315648,663829585920,645732872192,732049502208,708791226368,736345083904,657503703040,698331701248,714248253440,711992274944,677302099968,669276164096,710219763712,728532000768,702582267904,622181744640,723143041024,682163310592,729983889408,725083439104,698206191616,681435398144,692031348736,705327411200,712482058240,653069807616,657182547968,735387398144
