%usr,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,18.0,0.0,1.01,1.98,21.21,0.0,0.0,0.0,10.2,1.01,1.0,0.0,1.01,0.0,0.0,1.0,0.0,0.0,13.86,0.0,0.0,15.0,0.0,0.0,0.0,1.05,11.11,1.0,0.0,0.99,0.99,0.99,0.0,0.0,2.15,1.0,0.0,1.0,0.99,1.0,0.0,0.0,0.0,0.99,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.01,0.0,0.0,0.0,0.99,0.0,1.01,1.01,1.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.92,0.0,0.0,0.0,1.01,0.0,0.99,0.0,0.0,0.98,0.0,1.0,0.0,0.0,0.98,0.0,0.0,0.99,1.01,1.0,0.0,0.0,1.98,0.0,6.25,0.0,0.99,0.99,1.01,1.0,41.38,0.0,0.0,0.0,1.01,0.0,0.99,2.02,36.84,23.88,3.06,1.0
224,0.0,10.0,14.0,10.0,11.0,13.13,4.04,14.0,17.17,14.71,0.99,0.0,1.01,0.0,1.01,13.0,0.0,19.19,0.0,21.0,12.75,0.0,12.87,0.99,19.19,0.0,0.99,0.0,21.43,1.01,0.99,12.87,1.01,0.99,0.0,0.0,13.13,15.31,1.98,0.0,1.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.99,12.12,10.1,8.0,8.0,10.1,10.2,14.14,15.15,13.13,13.0,13.0,15.0,15.15,18.0,13.86,13.13,13.0,15.0,1.0,4.04,11.0,0.0,17.82,15.15,17.65,14.0,3.06,13.13,13.86,14.14,16.16,11.0,3.03,2.0,14.85,2.0,2.04,3.03,4.08,3.03,9.0,10.89,10.1,6.12,9.0,7.07,5.0,5.0,6.0,6.06,6.93,6.0,5.15,10.1,10.2,8.0,2.0,1.01,1.0,0.0,0.0,0.0,0.0,29.27,0.0,0.0,0.98,17.72,0.0,1.0,0.0,1.01,11.11,0.99,0.0,1.01,0.0,48.65,15.71,0.0,1.0,4.0,5.19,0.99,0.0
225,14.14,3.92,2.02,7.77,5.88,2.97,1.0,0.0,1.96,3.03,0.0,0.99,0.0,0.0,0.0,1.01,0.0,1.98,2.0,0.0,3.03,0.98,1.01,0.0,0.99,24.24,0.0,0.0,1.0,1.0,0.0,3.03,0.0,11.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,14.0,0.0,1.01,0.99,17.35,0.0,0.0,2.0,0.0,6.93,1.0,4.95,7.0,4.04,6.0,4.04,4.95,8.0,2.97,5.94,8.0,6.06,5.0,1.0,5.0,5.94,4.0,5.0,3.03,13.0,0.0,3.0,13.86,0.0,0.0,0.0,1.0,1.0,0.99,1.01,1.01,0.99,2.02,14.0,10.0,0.0,15.0,11.88,13.13,10.0,12.12,7.07,7.92,7.0,1.0,7.0,5.0,9.09,11.0,9.09,9.09,8.08,11.11,12.0,4.04,5.05,9.0,15.12,0.0,15.0,0.0,0.0,0.99,0.0,37.5,1.01,0.0,0.0,0.0,11.11,0.0,0.0,1.0,1.0,1.01,14.14,14.29,1.01,2.02,42.86,0.99,1.01,1.0,0.0,1.0,22.58
226,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.01,15.0,1.0,1.0,1.01,0.0,1.0,0.98,0.0,1.01,0.0,1.01,1.0,1.0,1.0,0.0,1.0,19.8,1.0,15.0,0.99,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.61,0.0,1.0,0.0,19.19,0.0,1.0,0.0,0.0,3.0,1.01,1.01,0.0,0.0,1.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.97,2.0,0.0,0.99,0.98,0.0,1.01,0.0,0.0,0.0,1.0,1.0,0.99,0.0,0.0,1.01,0.99,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.99,0.0,0.0,0.99,0.0,1.01,0.0,1.98,0.0,0.99,1.0,1.0,0.0,0.99,1.52,0.99,0.99,0.99,1.0,0.0,4.17,0.0,25.86,25.42,1.0,1.0,16.9,0.0,0.0,35.71,1.0,0.0,1.98,1.0,30.91,0.99,2.02,32.0,0.0,1.01,1.01,0.0,6.82
227,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.99,1.0,20.2,1.98,0.0,0.98,1.96,1.01,3.03,1.01,1.01,12.24,1.0,1.0,1.01,0.99,0.0,1.0,0.0,19.39,1.0,1.0,0.0,1.0,0.0,0.99,1.0,21.21,1.01,1.01,0.0,0.0,0.99,0.99,0.0,1.01,1.0,0.0,1.0,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.99,1.01,0.99,0.0,0.0,0.0,0.99,1.0,1.01,0.99,1.0,1.0,2.0,0.99,1.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.99,0.0,0.0,1.0,1.0,1.01,0.0,17.65,0.0,17.71,0.0,13.0,14.14,1.01,2.0,1.0,15.15,1.0,1.0,11.11,13.13,5.62,0.0,1.0,0.0,1.0,1.56,1.0,1.0,1.0,0.99,0.0,1.01,0.99,1.0
228,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.0,1.02,0.0,1.0,1.01,1.98,0.0,0.0,1.0,1.98,1.0,0.0,1.0,1.98,1.0,1.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.98,1.0,1.01,0.0,1.0,0.0,0.0,1.01,16.0,1.98,19.8,0.0,0.0,0.99,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.99,0.99,0.99,0.99,0.0,1.01,0.0,0.0,0.0,0.0,0.98,1.01,0.0,0.0,0.99,0.98,0.99,0.99,1.05,1.01,2.0,1.0,0.0,0.0,1.01,0.0,0.0,0.0,1.01,1.01,1.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.14,0.0,0.0,1.0,1.0,1.02,0.0,0.0,0.0,0.0,1.01,20.2,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.01,0.0,1.01,0.99,1.01,0.0,0.0,0.0,1.0,1.01,0.0,0.0,0.0,0.99,1.01,51.85,51.85,0.0,1.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.99,0.0,0.99,0.0,0.0,1.0,0.0,0.99,0.0,0.99,0.0,1.01,1.98,1.98,1.0,0.99,0.0,0.0,0.99,1.01,1.0,0.0,1.01,1.0,0.0,1.01,0.0,0.0,0.0,0.98,0.0,0.0,0.99,0.0,0.0,0.99,1.01,0.99,1.0,1.0,0.0,1.01,0.0,0.99,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.99,0.0,1.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.99,0.0,21.0,1.01,0.0,14.29,1.0
230,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.98,1.0,0.0,1.01,1.0,1.01,22.0,1.96,0.0,0.0,0.0,0.99,1.0,2.97,0.0,0.0,1.0,0.0,16.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.06,20.0,0.0,0.99,2.02,1.0,1.0,0.0,2.0,18.37,21.21,1.98,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.99,0.99,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.01,0.0,0.0,0.0,1.0,0.0,0.99,1.01,0.0,1.0,1.0,0.0,0.98,1.0,0.0,1.0,0.0,0.0,1.01,0.99,1.0,0.0,0.0,0.99,0.0,0.0,12.75,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13,1.0,0.0,0.0,2.0,0.0,0.0,0.0,18.18,1.0,2.0,2.0
231,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.99,0.0,0.0,1.0,1.0,7.02,0.99,1.01,0.0,21.36,0.0,0.99,0.0,7.07,0.0,0.0,0.0,0.0,0.0,33.33,1.0,0.0,0.0,14.14,1.01,1.0,15.0,1.0,0.0,0.99,0.0,17.0,1.0,1.0,0.0,0.0,0.0,1.01,1.01,0.0,0.99,1.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,10.1,10.0,0.0,0.0,0.0,0.99,1.01,0.0,1.0,0.0,1.01,13.13,1.0,1.0,0.0,0.0,0.0,0.0,0.99,1.0,12.87,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.84,0.98,0.0,1.01,1.01,0.0,0.99,0.0,0.0,0.0,20.2,0.0,1.01,0.99,0.0,13.86,0.0,0.0
232,0.0,14.0,15.84,18.18,20.2,18.81,8.91,20.59,20.0,18.18,0.0,0.0,0.0,1.01,9.0,36.36,0.0,20.0,0.99,22.0,14.29,1.0,15.0,1.01,22.77,0.98,1.0,0.0,2.35,1.0,0.0,13.13,1.0,0.0,0.0,0.99,15.31,11.11,0.0,1.0,1.01,0.0,11.0,0.0,6.06,0.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,13.13,1.01,14.0,14.0,14.14,12.12,13.13,14.0,20.41,20.0,22.22,20.2,18.18,21.0,16.16,18.81,24.0,20.0,16.0,19.19,0.0,14.0,14.85,13.13,0.0,3.96,4.9,14.14,3.03,15.0,12.12,12.0,14.14,12.24,15.0,16.0,0.0,13.0,14.85,15.15,13.13,11.0,13.13,17.0,11.11,1.01,13.0,13.0,10.1,12.24,10.0,10.0,7.07,10.0,9.18,11.88,13.0,11.0,0.99,0.0,0.97,0.0,0.99,0.0,1.0,14.0,1.01,1.98,0.0,0.0,13.0,1.0,1.0,0.0,21.43,0.0,6.67,5.88,1.0,2.02,17.82,0.0,1.0,1.01,1.0,0.0,17.65
