txpck/s,aceph01,aceph02,aceph03,aceph04
235,5989.0,5585.0,5434.0,4700.0
236,3679.0,3201.0,3344.0,6261.0
237,3162.0,3237.0,3710.0,3793.0
238,5500.0,5432.0,5431.0,3233.0
239,3214.0,2586.0,2646.0,6545.0
240,4793.0,4155.0,5182.0,2851.0
241,3476.0,2992.0,3667.0,4783.0
242,4628.0,5527.0,4984.0,3410.0
243,2139.0,2252.0,2141.0,4751.0
244,5219.0,5026.0,4647.0,2231.0
245,4541.0,4351.0,5686.0,5330.0
246,7686.0,9167.0,8249.0,4152.0
247,2133.0,2256.0,2376.0,8497.0
248,1077.0,1147.0,1033.0,2940.0
249,5275.0,4814.0,5400.0,1212.0
250,6282.0,6631.0,6907.0,5427.0
251,5587.13,6362.0,6574.0,7344.0
252,3127.0,2514.0,2705.0,5640.0
253,1680.0,1764.0,1532.0,2858.0
254,6121.0,6784.0,6816.0,1651.0
255,3736.0,3577.0,3332.0,5901.0
256,2442.0,2473.0,2361.0,3376.0
257,3486.0,3203.0,3406.0,2220.0
258,3284.0,3421.0,3534.0,3649.0
259,4134.0,4166.0,3849.0,4257.0
260,1587.0,1812.0,1612.0,3676.0
261,4623.0,5177.0,5494.0,1516.0
262,2359.0,2634.0,2544.0,5597.0
263,3505.0,3886.0,3252.0,3297.0
264,5181.0,4858.0,5195.0,3120.0
265,4319.0,3804.0,4255.0,5182.0
266,3124.0,2883.0,3320.0,4761.0
267,3869.0,4081.0,3964.0,3868.0
268,3088.0,3829.0,3949.0,4148.0
269,3599.0,3468.0,3811.0,3710.0
270,2886.0,2445.0,2979.0,4066.0
271,5936.0,5415.0,5260.0,3222.0
272,3658.0,4186.0,4251.0,5562.0
273,4297.0,4384.0,3889.0,3592.0
274,1069.0,1430.0,1358.0,4561.0
275,5138.0,5601.0,5390.0,1313.0
276,4994.0,5092.0,5543.0,5290.0
277,5040.0,4659.0,4705.0,4617.0
278,5923.0,5900.0,6115.0,5214.0
279,1431.0,1372.0,1474.0,6448.0
280,2846.0,2453.0,2675.0,1555.0
281,7080.0,6475.0,6834.0,2864.0
282,4409.0,4367.0,4125.0,6595.0
283,4407.0,4427.0,4496.0,3848.0
284,4231.0,4611.0,4715.0,4538.0
285,2450.0,2624.0,2312.0,3552.0
286,1961.0,1978.0,1955.0,2507.0
287,7630.0,6568.0,6608.0,1855.0
288,4005.0,4512.0,4569.0,7894.0
289,2849.0,2969.0,2766.0,4218.0
290,4662.0,5513.0,6093.0,2629.0
291,3230.0,3717.0,3752.0,5504.0
292,2560.0,2763.0,2930.0,4224.0
293,3437.0,3653.0,3736.0,2910.0
294,4926.0,4408.0,4389.0,3596.0
295,3124.0,2924.0,2859.0,4133.0
296,5891.0,5052.47,5106.0,3054.0
297,4851.0,4404.0,5550.0,6214.0
298,3509.0,3415.0,3148.0,5172.0
299,8179.0,7323.0,7912.0,3996.0
300,1908.0,1937.0,1790.0,7756.0
301,2036.0,1602.0,1832.0,2066.0
302,2714.0,3002.0,2792.0,1959.0
303,3852.0,4197.0,3600.0,3309.0
304,5931.0,6677.0,7065.0,4121.0
305,3757.0,2960.0,3161.0,6143.0
306,4203.0,4446.0,4442.0,3115.0
307,6953.0,7561.0,7895.0,3779.0
308,3073.0,2892.0,2872.0,7918.0
309,1530.0,1543.0,1378.0,2933.0
310,2505.0,2512.0,3002.0,1516.0
311,6551.0,6603.0,6987.0,2518.0
312,6940.0,6953.0,7605.0,5944.0
313,4545.55,3459.0,3439.0,7209.0
314,8225.0,7944.0,7654.0,3626.0
315,2899.0,3161.0,3224.0,8854.0
316,4980.0,5497.0,5616.0,2776.0
317,1704.0,1377.0,942.0,6144.0
318,1107.0,863.0,1146.0,1215.0
319,4186.0,4469.0,5380.0,1412.0
320,4376.0,5892.0,5186.0,5265.0
321,5214.0,4995.0,5422.0,4837.0
322,2152.0,1705.0,1917.0,4915.0
323,2871.0,2832.0,2808.0,2464.0
324,1975.0,2573.0,2468.0,2998.0
325,1498.0,2037.0,1969.0,2208.0
326,6917.0,5182.0,6097.0,2226.0
327,2179.0,2672.0,2105.0,5662.0
328,5424.0,4698.0,4941.0,2413.0
329,3728.0,3557.0,3332.0,5110.0
330,5742.0,5997.0,5945.0,3636.0
331,6744.0,6264.0,5918.0,5480.0
332,5309.0,5697.0,5635.0,6235.0
333,2047.0,1730.0,1409.0,5403.0
334,6307.0,7064.0,7200.0,1885.0
335,6272.0,7382.0,6775.0,6231.0
336,2644.0,3110.0,3361.0,6913.0
337,3852.0,3399.0,3794.0,3061.0
338,5854.0,5372.0,5316.0,3972.0
339,3019.0,3312.0,3007.0,5340.0
340,902.0,862.0,852.0,2789.0
341,3622.0,4221.0,3756.0,911.0
342,4461.0,3956.0,4168.0,4237.0
343,4783.0,4249.0,4281.0,3964.0
344,7818.0,8688.0,8918.0,4461.0
345,4315.0,4479.0,3990.0,7543.0
346,665.0,755.0,613.0,5078.0
347,2600.0,2217.0,2336.0,665.0
348,1069.0,921.0,993.0,2518.0
349,4342.0,3723.0,4663.0,1253.0
350,3977.0,4646.0,4266.0,4155.0
351,6145.0,5896.0,6807.0,4499.0
352,4414.0,4038.0,4682.0,5602.0
353,2218.0,1948.0,1800.0,4047.0
354,6431.0,6898.0,6414.0,1731.0
355,5209.0,4839.0,5007.0,7499.0
356,3533.0,3229.0,3653.0,5016.0
357,1898.0,1395.0,1687.0,3731.0
358,2702.0,2228.0,2196.0,1472.0
359,2064.0,2360.0,1935.0,2120.0
360,8994.0,9690.0,9556.0,1925.0
361,3487.0,3651.0,3209.0,9312.0
362,1969.0,2405.0,2067.0,3430.0
363,1175.0,1043.0,1127.0,2426.0
364,3638.0,3603.0,3694.06,1060.0
365,2632.0,3336.0,2644.0,3683.0
366,2475.0,2247.0,2318.0,2766.0
367,5778.0,6914.0,7127.0,2267.0
368,2871.0,2562.0,2523.0,6528.0
369,2096.0,1564.0,1788.0,2453.0
370,5938.0,6203.0,6866.0,1459.0
371,8554.0,8204.0,8368.0,6119.0
372,6674.0,6438.0,6783.0,8636.0
373,5072.0,4977.0,5459.0,6942.0
374,1187.0,1341.0,1565.0,4752.0
375,6439.0,7154.0,6638.0,1039.0
376,5100.0,4755.0,4695.0,6164.0
377,3265.0,3791.0,3637.0,5080.0
378,1557.0,1403.0,1587.0,3298.0
379,3493.0,3261.0,3526.0,1814.0
380,4630.0,4969.0,4298.0,3206.0
381,4172.0,4805.0,5365.0,5043.0
382,1171.0,1058.0,1469.0,4850.0
383,2975.0,2721.0,3104.0,1080.0
384,3448.0,2562.0,3150.0,2740.0
385,8027.0,7708.0,7444.0,3501.0
386,4319.0,5974.0,4899.0,7502.0
387,3163.0,3412.0,3468.0,5596.0
388,4903.0,4054.0,4537.0,3163.0
389,2042.0,1750.0,1606.0,4066.0
390,8032.0,8405.0,7600.0,1862.0
391,3446.0,3167.0,3967.0,8371.0
392,3629.0,3818.0,3945.0,3126.0
393,3052.0,2895.0,3995.0,4014.0
394,5025.0,5813.0,5368.0,3175.0
395,2767.0,3354.0,2748.0,4969.0
396,2988.0,3132.0,2899.0,2985.0
397,5434.0,5471.0,5694.0,3035.0
398,3358.0,3278.0,3795.0,4926.0
399,1569.0,1544.0,1856.0,2939.0
