op_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0
2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0
4,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
7,0,0,0,0,0.024,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0
8,0.0,0,0,0,0.05,0,0,0.0,0,0,0.0,0.013,0,0,0,0.021,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0
9,0.0,0.0,0,0,0.043,0.025,0.018,0.0,0.0,0.0,0,0.037,0.0,0,0.0,0.074,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.014,0,0.0,0.0,0.0,0.005
10,0.0,0.031,0.0,0.006,0.101,0.061,0.044,0,0.006,0.0,0.0,0.048,0.0,0.0,0.0,0.058,0.009,0.0,0.076,0,0,0.0,0,0.01,0.0,0.0,0.0,0.0,0,0.008,0,0.0,0.018,0.0,0.044,0.015,0.0,0.0,0.0,0.054
11,0.014,0.152,0.034,0.047,0.292,0.091,0.057,0.021,0.058,0.012,0.013,0.109,0.02,0.034,0.023,0.08,0.037,0.007,0.056,0.016,0.021,0.009,0.011,0.044,0.02,0.01,0.029,0.036,0.014,0.055,0.017,0.009,0.038,0.012,0.044,0.049,0.006,0.011,0.008,0.052
12,0.053,0.074,0.083,0.06,0.057,0.144,0.027,0.04,0.055,0.096,0.031,0.1,0.052,0.038,0.047,0.091,0.037,0.046,0.089,0.063,0.058,0.048,0.046,0.119,0.058,0.04,0.032,0.068,0.027,0.066,0.035,0.045,0.058,0.044,0.07,0.054,0.05,0.048,0.041,0.053
13,0.029,0.085,0.265,0.301,0.047,0.281,0.017,0.04,0.045,0.103,0.03,0.047,0.053,0.045,0.13,0.02,0.073,0.039,0.083,0.055,0.056,0.044,0.079,0.166,0.049,0.061,0.058,0.05,0.037,0.116,0.057,0.05,0.06,0.053,0.085,0.084,0.044,0.041,0.055,0.047
14,0.087,0.03,0.313,0.129,0.064,0.055,0.197,0.058,0.04,0.231,0.048,0.044,0.058,0.086,0.18,0.022,0.095,0.073,0.069,0.057,0.081,0.05,0.058,0.147,0.047,0.082,0.043,0.039,0.056,0.101,0.058,0.057,0.139,0.103,0.067,0.1,0.088,0.067,0.08,0.06
15,0.081,0.154,0.063,0.287,0.007,0.161,0.078,0.049,0.097,0.546,0.072,0.048,0.076,0.08,0.118,0.04,0.046,0.077,0.099,0.108,0.083,0.064,0.069,0.03,0.094,0.106,0.071,0.045,0.053,0.098,0.078,0.066,0.081,0.125,0.315,0.084,0.096,0.098,0.118,0.155
16,0.147,0.106,0.099,0.096,0.024,0.059,0.216,0.032,0.225,0.453,0.171,0.053,0.045,0.087,0.056,0.017,0.046,0.035,0.046,0.07,0.097,0.051,0.065,0.085,0,0.068,0.048,0.059,0,0.047,0.072,0.036,0.144,0.052,0.131,0.12,0.085,0.065,0.111,0.081
