avgqu-sz,aceph01,aceph02,aceph03,aceph04
176,0.001,0.001,0.002,0.001
177,0.001,0.0,0.0,0.005
178,0.002,0.002,0.004,0.003
179,0.004,0.0,0.004,0.001
180,0.004,0.006,0.004,0.005
181,0.002,0.002,0.002,0.001
182,0.0,0.0,0.0,0.0
183,0.004,0.003,0.002,0.003
184,0.002,0.002,0.001,0.001
185,0.003,0.008,0.005,0.007
186,0.006,0.006,0.008,0.005
187,0.002,0.0,0.001,0.001
188,0.0,0.001,0.0,0.001
189,0.003,0.001,0.002,0.003
190,0.001,0.002,0.004,0.005
191,0.009,0.009,0.005,0.009
192,0.0,0.0,0.0,0.0
193,0.0,0.005,0.002,0.001
194,0.005,0.005,0.006,0.008
195,0.006,0.002,0.003,0.004
196,0.0,0.001,0.0,0.0
197,0.0,0.001,0.001,0.0
198,0.0,0.001,0.001,0.001
199,0.002,0.002,0.002,0.003
200,0.002,0.004,0.009,0.006
201,0.002,0.005,0.003,0.001
202,0.002,0.002,0.001,0.001
203,0.002,0.002,0.001,0.001
204,0.0,0.0,0.0,0.0
205,0.011,0.004,0.004,0.003
206,0.0,0.0,0.0,0.0
207,0.001,0.002,0.004,0.002
208,0.001,0.003,0.004,0.006
209,0.002,0.003,0.002,0.002
210,0.0,0.0,0.0,0.0
211,0.002,0.009,0.004,0.004
212,0.0,0.006,0.002,0.004
213,0.0,0.0,0.0,0.002
214,0.0,0.0,0.0,0.002
215,0.0,0.0,0.004,0.0
216,0.01,0.013,0.007,0.006
217,0.003,0.002,0.004,0.007
218,0.003,0.002,0.002,0.001
219,0.0,0.0,0.0,0.0
220,0.004,0.003,0.004,0.002
221,0.005,0.005,0.002,0.006
222,0.005,0.009,0.005,0.008
223,0.005,0.004,0.009,0.006
224,0.0,0.0,0.0,0.001
225,0.009,0.005,0.0,0.003
226,0.0,0.0,0.0,0.0
227,0.0,0.001,0.0,0.003
228,0.001,0.003,0.003,0.004
229,0.0,0.001,0.001,0.0
230,0.004,0.002,0.005,0.007
231,0.001,0.007,0.006,0.001
232,0.001,0.0,0.0,0.001
233,0.004,0.002,0.001,0.002
234,0.001,0.001,0.003,0.003
235,0.006,0.011,0.011,0.008
236,0.002,0.001,0.002,0.001
237,0.0,0.001,0.001,0.001
238,0.008,0.005,0.009,0.005
239,0.002,0.003,0.0,0.001
240,0.002,0.003,0.003,0.001
241,0.001,0.0,0.0,0.001
242,0.004,0.007,0.003,0.005
243,0.0,0.001,0.0,0.0
244,0.004,0.001,0.004,0.002
245,0.002,0.0,0.002,0.001
246,0.011,0.01,0.006,0.009
247,0.005,0.003,0.0,0.005
248,0.0,0.0,0.0,0.0
249,0.001,0.0,0.002,0.002
250,0.004,0.004,0.009,0.009
251,0.003,0.005,0.004,0.0
252,0.005,0.002,0.003,0.004
253,0.0,0.0,0.0,0.0
254,0.003,0.007,0.004,0.003
255,0.004,0.006,0.002,0.001
256,0.001,0.0,0.001,0.0
257,0.001,0.001,0.002,0.004
258,0.001,0.002,0.001,0.003
259,0.001,0.0,0.001,0.001
260,0.0,0.0,0.0,0.0
261,0.002,0.0,0.004,0.0
262,0.002,0.004,0.005,0.007
263,0.0,0.0,0.0,0.0
264,0.005,0.002,0.005,0.001
265,0.002,0.0,0.0,0.001
266,0.003,0.005,0.006,0.005
267,0.001,0.001,0.001,0.002
268,0.0,0.001,0.005,0.005
269,0.001,0.002,0.001,0.0
270,0.006,0.001,0.001,0.002
271,0.001,0.002,0.002,0.003
272,0.007,0.003,0.004,0.006
273,0.002,0.003,0.0,0.001
274,0.001,0.003,0.0,0.004
275,0.001,0.001,0.002,0.002
276,0.005,0.008,0.007,0.007
277,0.005,0.002,0.002,0.004
278,0.006,0.006,0.002,0.008
279,0.001,0.002,0.004,0.004
280,0.0,0.0,0.0,0.0
281,0.002,0.002,0.002,0.0
282,0.005,0.011,0.004,0.004
283,0.002,0.0,0.003,0.001
284,0.004,0.009,0.007,0.004
285,0.0,0.001,0.001,0.003
286,0.001,0.0,0.001,0.0
287,0.007,0.005,0.003,0.004
288,0.004,0.004,0.001,0.0
289,0.003,0.005,0.003,0.004
290,0.003,0.007,0.006,0.003
291,0.003,0.006,0.005,0.008
292,0.0,0.0,0.001,0.0
293,0.0,0.0,0.0,0.0
294,0.002,0.007,0.004,0.002
295,0.0,0.0,0.0,0.002
296,0.006,0.01,0.006,0.006
297,0.0,0.004,0.002,0.003
298,0.0,0.004,0.003,0.001
299,0.006,0.004,0.005,0.005
300,0.003,0.002,0.001,0.006
301,0.0,0.0,0.0,0.002
302,0.001,0.001,0.001,0.002
303,0.0,0.001,0.0,0.001
304,0.007,0.01,0.005,0.006
305,0.004,0.007,0.003,0.003
306,0.001,0.002,0.0,0.002
307,0.005,0.006,0.008,0.011
308,0.001,0.003,0.003,0.002
309,0.0,0.004,0.001,0.001
310,0.0,0.0,0.0,0.0
311,0.004,0.005,0.007,0.004
312,0.003,0.007,0.009,0.005
313,0.007,0.008,0.001,0.001
314,0.007,0.004,0.007,0.007
315,0.001,0.004,0.006,0.001
316,0.001,0.002,0.005,0.002
317,0.002,0.001,0.002,0.004
318,0.0,0.0,0.0,0.0
319,0.005,0.004,0.004,0.004
320,0.001,0.006,0.002,0.001
321,0.001,0.001,0.004,0.002
322,0.003,0.003,0.007,0.001
323,0.003,0.0,0.004,0.0
324,0.0,0.0,0.0,0.0
325,0.002,0.001,0.001,0.0
326,0.003,0.002,0.002,0.003
327,0.005,0.002,0.003,0.004
328,0.002,0.002,0.003,0.001
329,0.002,0.002,0.004,0.003
330,0.001,0.003,0.002,0.0
331,0.007,0.004,0.007,0.003
332,0.012,0.011,0.003,0.006
333,0.002,0.001,0.001,0.0
334,0.002,0.001,0.001,0.0
335,0.004,0.01,0.01,0.012
336,0.003,0.003,0.004,0.004
337,0.001,0.001,0.0,0.001
338,0.009,0.003,0.005,0.001
339,0.0,0.0,0.0,0.0
340,0.002,0.0,0.001,0.003
341,0.002,0.002,0.002,0.004
342,0.001,0.001,0.0,0.0
