rxkB/s,aceph01,aceph02,aceph03,aceph04
0,13039.6,12220.3,12982.5,9155.9
1,11765.4,11779.3,12044.6,12845.3
2,11052.1,10839.2,11003.6,11763.4
3,12279.9,11912.6,12360.6,10764.7
4,12427.0,11476.5,12173.5,12247.0
5,10762.5,10292.2,10607.7,12120.6
6,10664.9,10837.8,10917.5,10264.9
7,10575.0,10991.9,11196.2,10751.0
8,11773.2,11926.2,10930.3,10986.5
9,11109.5,9766.46,10584.6,11636.6
10,5068.01,5019.32,4921.99,10594.2
11,1014.15,971.89,1097.55,4771.71
12,1882.19,1788.23,1775.28,934.04
13,393.41,137.21,154.55,1867.89
14,283.83,90.18,45.55,169.84
15,261.61,137.12,139.99,77.52
16,162.29,112.6,133.9,168.66
17,7441.67,6912.68,7106.64,149.53
18,3594.3,3283.52,3350.52,6980.6
19,1404.5,1122.2,1097.89,2796.27
20,2341.38,2037.52,2296.36,1084.66
21,1670.63,1910.32,2097.4,2297.96
22,1374.84,1287.55,1246.69,1781.39
23,2027.83,1743.12,1769.1,1137.74
24,3123.15,2814.22,2885.13,1769.63
25,3538.42,3473.32,3611.68,2662.08
26,4393.33,3724.67,4116.73,3385.48
27,867.58,893.09,822.68,4329.89
28,2328.07,1995.92,2000.33,876.62
29,5699.86,5779.84,5256.21,2104.26
30,354.75,213.46,198.5,5646.16
31,2260.8,2538.95,2289.95,161.23
32,4249.48,3724.94,3804.05,2245.34
33,4327.63,3913.09,4298.33,3518.44
34,351.44,137.11,166.82,3996.27
35,1081.5,878.28,974.94,141.11
36,2937.76,2692.12,3104.8,1030.41
37,3505.86,2891.32,3535.6,2742.13
38,3575.31,3397.35,3284.61,3189.3
39,3647.45,3388.49,3506.9,3485.61
40,1176.89,994.04,1016.12,3332.27
41,2324.03,2083.01,1950.38,1059.21
42,3615.33,3670.12,3305.02,2202.73
43,7249.29,7417.04,7526.04,3537.52
44,5267.94,5002.05,5416.96,7853.53
45,3581.94,3320.53,3263.93,5194.3
46,4604.16,4115.72,4644.94,3482.0
47,4361.05,4203.38,3823.31,4232.62
48,1209.15,943.68,1077.64,4127.2
49,7713.97,7099.1,7326.18,1072.29
50,7394.57,6764.34,6582.19,6927.01
51,1495.43,1329.44,1446.76,6836.17
52,184.88,149.59,152.64,1316.12
53,2413.04,2120.56,2174.35,157.43
54,4336.52,4044.73,4405.19,2149.99
55,7741.63,7593.89,7711.42,3920.73
56,7865.95,7239.45,7733.91,7629.54
57,2648.82,2783.12,2604.16,6990.61
58,5941.47,5643.73,6174.72,2699.88
59,6549.4,6077.26,6451.67,6058.52
60,1575.58,1200.38,1215.29,6281.54
61,657.84,555.3,534.56,1151.98
62,1299.11,1268.05,1307.26,578.15
63,5806.62,5601.12,5248.37,1044.71
64,6330.92,5492.17,5711.73,5577.7
65,4308.0,4129.88,4067.05,6161.97
66,2311.86,2321.25,2436.15,4203.87
67,261.4,209.89,263.12,2263.51
68,4062.61,3369.88,3569.78,235.39
69,344.54,152.84,109.35,3740.81
70,5356.49,4925.56,5164.57,138.74
71,4158.39,4475.3,4431.45,5133.27
72,5658.99,5508.49,5258.54,4725.04
73,2922.67,2753.64,2922.75,5652.87
74,425.88,211.33,141.66,2974.42
75,2534.12,2507.67,2798.51,160.22
76,842.6,793.33,805.04,2598.68
77,5278.8,4811.82,5035.85,748.54
78,6695.84,7122.93,6912.62,4742.05
79,747.44,533.72,492.67,6927.38
80,4421.7,3760.26,3722.49,476.49
81,2080.12,1776.52,1815.51,4169.06
82,1328.59,1295.06,1208.06,1628.34
83,4456.62,4557.67,4878.2,966.09
84,1306.65,1522.21,1572.59,4637.85
85,3366.46,3125.71,3082.35,1309.03
86,4395.68,4421.09,4202.99,3061.49
87,3231.42,3021.61,3529.62,4231.27
88,4414.21,4570.84,4373.29,3413.75
89,1313.51,986.58,959.84,4408.02
90,5090.19,5149.48,5295.87,1172.74
91,1878.43,1534.87,1825.19,5067.18
92,5664.66,5662.27,5735.8,1661.0
93,2465.54,2330.55,2290.72,5161.07
94,8935.71,7578.07,8825.77,2407.87
95,5565.16,5071.61,4707.09,8029.81
96,1703.07,1340.84,1669.79,4978.26
97,909.21,961.77,939.72,1546.73
98,4866.62,4966.33,5126.71,887.97
99,6789.35,6837.18,6501.27,4594.75
100,816.42,644.91,640.28,6584.11
101,9611.95,9528.07,9428.85,671.57
102,4939.04,4641.04,4870.85,9668.38
103,464.69,231.69,232.98,4854.3
104,396.93,170.3,141.63,237.96
105,6600.61,6137.7,6289.19,169.91
106,6620.36,6297.62,6688.73,6184.47
107,1794.71,1754.89,1803.61,5386.44
108,3118.29,2872.58,2877.38,1878.35
109,4100.62,3995.53,4186.35,3069.51
110,1096.91,773.1,695.03,3459.91
111,1578.35,1398.9,1516.72,841.39
112,131.6,127.35,126.26,1616.88
113,9381.22,8493.62,8712.77,176.72
114,3107.57,3629.37,3609.53,8684.52
115,2980.2,3149.95,3185.6,3740.08
116,983.31,889.22,709.03,3093.79
117,1448.65,1378.48,1236.96,715.62
118,5373.91,5261.66,5094.07,1167.44
119,3192.12,3130.76,3030.43,5229.02
120,2564.86,2505.19,2336.38,3150.71
121,3084.59,2887.77,2967.44,2342.28
122,5576.16,4847.0,6058.47,2719.64
123,2460.67,2073.39,2075.13,5689.6
124,6812.29,6366.9,6925.82,2131.41
125,2473.01,1867.51,2168.89,6619.7
126,4715.69,4247.13,4427.11,2142.9
127,5078.82,5188.67,5298.2,4197.48
128,4418.93,4250.38,4327.08,4967.6
129,2034.7,1961.04,1909.1,3770.64
130,3422.7,2765.92,2538.11,1932.96
131,4871.45,4958.79,4815.24,3057.08
132,7866.11,7590.91,7717.64,5203.93
133,2043.06,1894.73,1964.35,7989.4
134,2895.33,2740.25,3093.45,1863.24
135,3088.09,2619.98,3071.5,2976.76
136,2316.42,2100.13,2274.41,2741.14
137,4492.5,4216.59,4387.46,1992.03
138,948.42,759.2,848.08,4069.48
139,4384.71,4078.7,3916.86,783.54
140,5118.99,4912.22,5092.95,4037.83
141,3493.62,2959.52,2776.09,4701.25
142,3233.1,3885.89,3851.93,3109.15
143,1479.41,1502.97,1503.89,3764.6
144,2548.36,2451.49,2555.94,1535.84
145,963.03,775.62,714.64,2535.06
146,5850.03,4999.97,5618.04,778.8
147,5604.73,5931.57,5617.46,5177.78
