%util,aceph01,aceph02,aceph03,aceph04
0,26.32,16.88,21.88,23.32
1,28.44,22.76,22.28,17.84
2,24.68,11.6,36.64,29.68
3,26.36,28.0,50.84,43.8
4,32.68,59.08,59.56,51.24
5,37.04,71.68,64.6,55.36
6,66.12,90.44,67.72,77.24
7,81.04,99.8,64.76,69.6
8,85.0,90.6,64.04,70.8
9,79.36,80.0,65.52,65.92
10,79.88,79.72,57.24,67.12
11,73.96,64.44,58.8,71.24
12,74.56,39.0,78.32,74.28
13,71.52,38.2,90.0,70.0
14,55.8,46.16,90.0,69.8
15,50.0,52.96,95.68,62.24
16,64.2,61.32,93.84,56.48
17,51.44,60.0,49.88,49.4
18,52.24,67.64,40.0,34.4
19,67.32,56.8,29.64,46.4
20,50.0,37.44,25.44,49.24
21,49.56,45.52,40.0,56.04
22,65.24,57.92,65.88,53.12
23,60.4,47.24,54.44,68.6
24,50.0,57.16,40.64,70.36
25,61.28,44.56,43.24,67.52
26,60.76,42.56,30.0,69.96
27,51.76,55.76,43.88,74.64
28,61.16,62.32,55.12,59.8
29,55.0,67.76,53.48,38.92
30,40.0,54.84,46.8,33.2
31,45.56,50.0,56.04,35.12
32,65.0,52.16,28.72,46.48
33,42.36,69.68,33.6,52.92
34,50.08,68.56,54.0,71.2
35,47.48,63.52,51.6,77.24
36,32.76,54.8,53.72,32.64
37,30.0,50.0,75.68,27.2
38,59.28,47.32,67.32,31.2
39,63.32,49.0,58.76,40.0
40,55.68,55.84,57.52,38.8
41,46.16,54.72,48.88,80.84
42,38.2,30.6,54.4,54.72
43,40.0,31.44,65.24,35.2
44,40.88,34.4,57.624,21.44
45,60.16,47.56,54.44,37.4
46,82.12,68.88,43.72,49.08
47,72.36,73.64,47.0,70.24
48,62.72,48.0,50.32,63.16
49,36.48,37.68,48.32,63.52
50,40.0,27.96,66.4,41.04
51,33.36,27.84,77.48,30.56
52,47.0,48.96,58.24,47.44
53,44.52,64.68,37.32,60.0
54,64.56,66.96,40.32,55.84
55,57.16,62.08,32.64,63.08
56,44.12,33.28,22.72,70.08
57,50.0,39.88,55.76,58.0
58,50.6,46.64,62.0,52.32
59,58.16,53.12,66.8,72.96
60,70.92,66.28,61.44,65.72
61,70.72,88.76,64.0,52.84
62,60.0,88.52,36.04,42.4
63,37.84,47.72,38.36,46.12
64,28.64,48.92,49.44,30.0
65,31.76,50.36,56.4,39.16
66,51.32,53.72,62.52,47.72
67,56.96,46.92,78.28,60.2
68,62.24,64.16,69.36,63.12
69,62.56,48.68,53.76,67.2
70,50.52,24.04,57.2,63.6
71,38.04,38.44,46.88,46.44
72,35.2,43.16,50.28,43.0
73,49.32,35.04,51.16,45.52
74,56.6,55.56,38.32,31.72
75,64.88,61.56,43.6,30.72
76,59.32,57.0,54.8,53.44
77,36.36,27.96,58.44,43.4
78,30.0,33.92,47.04,43.92
79,30.12,28.76,60.0,61.76
80,54.92,36.76,51.8,50.16
81,79.4,44.92,47.2,40.44
82,78.24,67.28,30.76,49.72
83,70.84,49.16,35.88,68.0
84,41.68,40.44,35.12,65.6
85,41.56,40.0,40.84,56.8
86,40.24,44.24,60.28,62.4
87,38.96,62.68,54.32,66.04
88,44.6,72.64,50.48,53.76
89,66.24,66.32,46.64,40.0
90,40.04,50.0,48.88,44.72
91,38.36,56.8,42.04,37.4
92,49.24,58.32,43.76,44.32
93,41.8,51.84,48.28,58.24
