%guest,client01,client02,client03,client04
0,3.61,4.58,1.86,1.78
1,1.35,2.22,11.19,28.26
2,26.22,2.51,12.79,0.98
3,1.2,17.51,1.96,1.2
4,0.91,7.57,1.93,1.58
5,0.9,1.72,1.68,1.58
6,1.08,1.72,1.83,1.5
7,1.08,1.98,1.83,1.65
8,0.98,2.05,1.81,1.55
9,0.99,2.0,6.34,17.58
10,22.12,1.7,6.55,5.95
11,1.08,10.03,10.87,2.75
12,0.88,13.23,16.16,23.5
13,21.37,1.83,5.98,3.2
14,1.06,22.12,1.25,1.48
15,0.95,1.63,1.43,1.43
16,0.75,1.5,1.5,1.5
17,0.7,1.51,1.6,1.43
18,0.78,1.55,1.55,1.55
19,0.65,1.38,1.45,1.33
20,3.54,1.46,9.14,17.66
21,19.06,1.49,4.0,2.18
22,0.85,13.15,10.04,5.75
23,0.75,9.99,1.55,1.48
24,0.85,1.56,1.45,0.63
25,0.88,1.51,1.6,1.03
26,0.71,1.66,1.5,1.53
27,0.73,1.41,1.38,1.43
28,0.88,1.48,24.59,27.04
29,27.15,18.22,1.88,2.05
30,0.96,8.23,1.4,1.58
31,0.78,1.46,1.6,1.55
32,0.7,1.54,1.55,1.58
33,0.8,1.62,1.5,1.7
34,0.78,1.36,1.5,1.53
35,1.25,1.38,14.95,27.66
36,26.98,6.54,8.01,1.9
37,1.01,17.34,1.73,1.75
38,0.8,1.86,1.55,1.48
39,0.81,1.64,1.43,1.68
40,0.75,1.31,1.45,1.6
41,0.78,1.5,1.55,1.43
42,0.98,1.61,4.26,1.7
43,5.8,1.74,10.2,28.2
44,22.85,6.17,10.26,2.01
45,1.01,17.28,1.53,1.75
46,0.85,1.98,1.53,1.58
47,0.81,1.72,1.5,1.7
48,0.8,1.48,1.5,1.63
49,0.73,1.59,1.68,0.8
50,0.88,1.97,8.82,0.43
51,8.52,1.67,15.44,27.5
52,18.75,23.78,1.7,1.85
53,0.88,1.76,1.58,1.5
54,0.85,1.46,1.65,1.58
55,0.93,1.62,1.63,1.85
56,0.81,1.64,1.53,1.08
57,0.88,1.57,9.77,5.28
58,9.55,1.55,15.45,21.09
59,15.1,24.17,1.68,0.9
60,0.93,1.89,1.43,0.9
61,0.78,1.66,1.68,1.13
62,0.9,1.61,1.6,1.3
63,0.75,1.38,1.63,1.18
64,0.98,1.61,2.21,3.35
65,4.71,1.61,22.97,21.91
66,17.74,23.5,1.75,1.93
67,0.85,1.71,1.58,0.62
68,0.83,1.41,0.98,1.05
69,0.9,1.38,0.53,1.38
70,0.78,1.36,1.38,1.53
71,0.81,1.46,2.13,2.0
72,16.86,1.72,19.26,26.68
73,9.9,11.24,1.2,1.88
74,0.9,11.66,2.98,1.5
75,0.93,1.35,1.55,1.43
76,0.85,1.66,1.43,1.73
77,0.85,1.56,1.6,1.45
78,0.88,1.77,1.65,1.65
79,0.91,1.44,1.5,1.28
80,0.85,1.38,8.51,11.93
81,12.53,1.46,15.87,14.96
82,9.69,23.17,1.65,1.83
83,0.9,1.99,1.63,1.53
84,0.8,1.54,0.93,1.45
85,0.88,1.51,1.1,1.5
86,0.9,1.59,1.58,1.6
87,0.8,1.66,24.04,16.32
88,25.96,5.95,2.15,13.34
89,1.21,20.22,1.63,1.63
90,0.83,1.62,1.58,1.68
91,0.88,1.51,1.58,1.43
92,0.81,1.59,1.75,1.73
93,0.85,1.69,1.6,1.55
94,0.93,1.59,13.97,28.01
95,26.42,10.58,4.23,1.93
96,1.21,12.38,5.53,0.98
97,0.98,1.81,1.43,0.75
98,0.9,1.56,1.7,1.45
99,0.86,1.6,1.58,1.78
100,0.73,1.36,1.58,1.6
101,0.78,1.62,1.86,1.7
102,1.08,1.87,13.75,28.77
103,25.65,2.56,9.07,1.85
104,0.88,19.13,2.35,1.45
105,0.7,1.61,1.6,1.58
106,1.06,1.69,1.53,1.78
107,0.85,1.71,0.65,1.58
108,0.78,1.33,1.08,1.53
109,0.85,1.69,2.55,1.68
110,1.76,1.41,22.54,27.47
111,24.79,22.85,1.65,1.88
112,0.83,1.83,1.4,1.48
113,0.98,1.66,1.58,1.6
114,0.96,1.9,1.45,1.8
115,0.83,1.49,1.58,1.53
116,0.8,1.56,3.61,6.34
117,8.27,1.54,9.32,18.84
118,13.63,2.54,13.26,0.75
119,1.13,19.21,1.58,3.66
120,0.8,2.3,1.43,1.53
121,0.85,1.63,1.68,1.5
122,0.88,1.47,1.58,1.58
123,0.98,1.64,1.63,1.65
124,0.95,1.57,5.84,1.55
125,6.8,1.71,20.92,27.53
126,20.27,24.31,1.7,1.8
127,1.08,2.04,1.6,1.65
128,0.93,1.59,1.25,1.6
129,0.88,1.61,0.78,1.63
130,0.88,1.38,0.8,1.53
131,0.86,1.7,1.1,6.04
132,7.34,1.79,20.45,15.0
133,15.01,9.31,1.73,2.88
134,0.93,13.75,1.53,4.03
135,0.88,1.71,1.53,1.58
136,0.8,1.58,1.5,1.63
137,0.98,1.66,1.65,1.45
138,0.88,1.69,1.45,1.63
139,0.65,1.48,22.93,26.95
140,25.21,20.77,1.8,2.11
141,1.16,4.3,1.53,1.68
142,0.93,1.56,1.58,1.75
143,0.88,1.66,1.53,1.48
144,0.68,1.53,1.68,1.68
145,0.9,1.51,2.93,1.6
146,5.85,1.58,10.38,26.95
147,20.61,4.13,11.28,1.98
148,0.93,18.72,1.68,1.63
149,0.83,1.97,1.48,1.48
150,0.75,1.54,1.58,1.53
151,0.83,1.42,1.58,1.53
152,0.75,1.48,1.55,0.98
153,0.83,1.79,1.63,1.08
154,4.48,1.67,20.39,21.4
155,17.39,10.95,1.73,2.08
156,0.95,11.79,1.63,3.98
157,1.1,1.82,1.7,1.58
158,1.1,1.67,1.58,1.48
159,0.85,1.59,1.63,1.63
160,0.76,1.54,1.68,1.73
161,0.9,1.62,14.0,20.76
162,19.35,1.7,2.58,3.98
163,3.29,9.34,6.71,2.88
164,0.88,13.36,1.65,1.88
165,0.75,1.66,1.38,0.43
166,0.78,1.49,1.43,1.38
167,0.88,1.61,1.48,1.45
168,0.78,1.51,1.58,1.6
169,0.8,1.56,7.78,16.09
170,26.08,1.49,7.71,13.65
171,1.33,14.84,10.21,1.65
172,0.83,8.07,1.68,1.6
173,1.01,1.79,1.45,1.58
174,0.85,1.56,1.58,1.63
175,0.88,1.41,1.55,1.6
176,0.85,1.38,1.6,1.5
177,0.91,1.61,12.01,26.88
178,25.6,1.74,9.53,2.36
179,1.01,11.93,4.03,1.55
180,0.9,11.06,1.63,1.85
181,0.78,1.71,1.5,1.58
182,0.85,1.56,1.45,1.45
183,0.9,1.79,1.63,1.7
184,0.8,1.56,1.65,1.58
185,0.9,1.87,23.26,28.25
186,25.85,23.86,2.03,2.08
187,0.93,2.06,1.45,1.55
