rxpck/s,client01,client02,client03,client04
0,25161.0,21438.0,18900.0,19520.0
1,16350.0,14374.0,11028.7,15958.0
2,14844.0,13052.0,12624.2,10334.0
3,13782.0,15185.0,14778.2,8382.0
4,11337.0,10250.0,14256.0,10403.0
5,9623.0,9957.0,10524.0,11165.0
6,8400.0,8434.0,11332.0,10684.0
7,8655.0,9306.0,12947.0,11012.0
8,8130.0,8709.0,12111.0,10204.0
9,10099.0,9260.0,9572.0,9630.0
10,9068.0,7543.0,1004.0,7117.0
11,2782.0,1917.0,3471.0,2509.0
12,2789.0,2494.0,1271.0,2317.0
13,3117.0,241.0,286.0,313.0
14,2746.0,1347.0,74.0,144.0
15,148.0,75.0,82.0,70.0
16,67.0,70.0,5020.0,69.0
17,102.0,2907.0,6578.0,4576.0
18,5917.0,4925.0,1370.0,6179.0
19,786.0,658.0,479.0,842.0
20,2134.0,492.0,5217.0,1412.0
21,5061.0,2952.0,867.0,2929.0
22,1349.0,1209.0,2978.0,1072.0
23,2454.0,1757.0,1551.0,1662.0
24,1357.0,1242.0,4169.0,1729.0
25,2766.0,2959.0,5873.0,3438.0
26,3604.0,3953.0,1881.0,5662.0
27,1882.0,1236.0,65.0,1085.0
28,942.0,67.0,6286.0,1458.0
29,5037.0,4831.0,3541.0,4852.0
30,5130.0,2542.0,989.0,3094.0
31,376.0,645.0,3448.0,821.0
32,1670.0,1969.0,5369.0,3606.0
33,4114.0,4879.0,138.0,6828.0
34,1330.0,275.0,263.0,245.0
35,1354.0,134.0,1806.0,1483.0
36,3065.0,1277.0,5878.0,1103.0
37,4268.0,5102.0,1106.0,6449.0
38,2062.0,1413.0,6122.0,1184.0
39,3209.0,4579.0,879.0,6159.0
40,1862.0,813.0,578.0,865.0
41,833.0,328.0,3434.0,869.0
42,1183.0,1641.0,9018.0,2694.0
43,6133.0,5420.0,5111.0,9422.0
44,7365.0,6534.0,3148.0,10060.0
45,5218.0,3552.0,3301.0,3588.0
46,1882.0,2166.0,6280.0,2978.0
47,3432.0,5001.0,77.0,7622.0
48,1177.0,122.0,4515.0,115.0
49,1412.0,3577.0,8950.0,4471.0
50,6630.0,7145.0,3790.0,4689.0
51,6938.0,2520.0,716.0,6398.0
52,3686.0,1490.0,1530.0,69.0
53,127.0,525.0,2199.0,1416.0
54,1459.0,1593.0,8397.0,2080.0
55,4784.0,5488.0,7977.0,7442.0
56,5577.0,5151.0,3756.0,6415.0
57,5586.0,3563.0,8807.0,3446.0
58,5497.0,5359.0,6901.0,8325.0
59,6935.0,5582.0,1908.0,4367.0
60,4142.0,1535.0,1678.0,2375.0
61,798.0,976.0,1906.0,1055.0
62,926.0,1308.0,4013.0,1463.0
63,253.0,1719.0,6273.0,2273.0
64,5359.0,4208.0,6127.0,3928.0
65,6628.0,4861.0,5201.0,5371.0
66,6809.0,4191.0,599.0,2730.0
67,1471.0,701.0,2130.0,628.0
68,284.0,1483.0,2262.0,2442.0
69,2486.0,1470.0,3038.0,1077.0
70,1575.0,3401.0,5553.0,4210.0
71,4162.0,3070.0,4854.0,3513.0
72,5616.0,4940.0,4737.0,6877.0
73,5622.0,3439.0,502.0,3636.0
74,3114.0,1197.0,844.0,945.0
75,350.0,63.0,2221.0,52.0
76,1949.0,2742.0,3945.0,3584.0
77,544.0,2328.0,6088.0,3652.0
78,4404.0,5250.0,2394.0,7080.0
79,4329.0,2142.0,2993.0,2612.0
80,750.0,2113.0,2880.0,2925.0
81,4157.0,2512.0,2132.0,3381.0
82,5695.0,2896.0,4218.0,1938.0
83,594.0,2756.0,2498.0,3535.0
84,2998.0,1773.0,2307.0,1830.0
85,988.0,1611.0,5707.0,2027.0
86,2519.0,4148.0,1563.0,6446.0
87,2486.0,1181.0,6455.0,2272.0
88,6481.0,4499.0,2941.0,4810.0
89,4456.0,2792.0,6510.0,2511.0
90,2260.0,4881.0,967.0,6336.0
91,2158.0,784.0,5564.0,782.0
92,1825.0,3528.0,4283.0,5175.0
93,3789.0,3572.0,5414.0,4355.0
94,3142.0,4257.0,4917.0,7926.0
95,8121.0,4918.0,3210.0,5821.0
96,6112.88,3966.0,1410.0,3144.0
97,1735.0,1028.0,2795.0,1631.0
98,164.0,1821.0,7207.0,2401.0
99,4989.0,5339.0,2320.0,8913.0
100,3136.0,1919.0,5258.0,2163.0
101,2219.0,3870.0,8502.0,6898.0
102,8046.0,6447.0,1251.0,10561.0
103,4059.0,676.0,500.0,240.0
104,1635.0,1295.0,3316.0,103.0
105,770.0,1753.0,9515.0,1870.0
106,6542.0,7060.0,2195.0,8303.0
107,3777.0,2435.0,1686.0,2350.0
108,1455.0,1137.0,4691.0,1592.0
109,2142.0,3579.0,1724.0,6983.0
110,4762.0,1202.0,2136.0,2618.0
111,3780.0,2520.0,227.0,1507.0
112,1424.0,325.75,6169.0,278.0
113,1101.0,3712.0,6116.0,6033.0
114,6215.0,5181.0,1837.0,6568.0
115,1419.0,1380.0,3166.0,1854.0
116,2334.0,1701.0,1609.0,4214.0
117,2480.0,1180.0,3018.0,1148.0
