%idle,aceph01,aceph02,aceph03,aceph04
0,0.25,0.88,0.5,18.0
1,0.12,0.5,0.25,3.13
2,0.13,0.25,0.76,7.1
3,0.13,0.5,0.88,12.93
4,0.12,3.78,1.25,3.26
5,0.0,3.81,8.46,4.22
6,0.12,2.98,6.23,3.05
7,1.77,1.77,0.25,5.19
8,1.77,0.88,0.63,5.05
9,1.15,1.75,3.39,9.12
10,10.31,19.01,37.69,10.97
11,18.64,49.75,26.33,22.93
12,24.78,57.68,18.51,30.85
13,37.86,63.48,51.58,29.46
14,37.75,53.08,38.42,35.66
15,42.95,46.6,30.29,29.54
16,44.95,46.62,28.55,39.7
17,20.43,14.36,16.35,30.36
18,22.46,34.38,36.42,15.06
19,32.92,47.83,53.02,30.2
20,25.16,43.91,39.42,38.2
21,28.45,31.09,34.88,33.46
22,24.56,43.05,41.41,40.32
23,17.46,32.54,43.35,28.84
24,31.17,33.75,39.14,24.18
25,16.45,41.2,39.14,19.06
26,25.7,27.02,30.96,17.09
27,43.18,37.86,48.12,23.2
28,43.3,27.72,35.43,28.14
29,30.06,28.37,21.38,38.84
30,43.0,34.38,37.22,33.75
31,27.83,46.23,40.4,54.61
32,32.1,45.39,38.42,36.97
33,31.33,30.76,32.91,29.51
34,48.04,43.47,42.16,29.44
35,55.79,46.52,29.43,38.59
36,46.29,33.96,38.34,29.57
37,38.32,32.03,27.59,45.84
38,34.74,38.44,31.3,42.22
39,32.44,29.31,34.34,41.04
40,42.12,42.1,42.73,40.61
41,50.76,50.31,31.97,43.47
42,46.18,47.18,18.26,42.16
43,18.63,32.39,24.49,44.76
44,19.38,26.32,26.02,37.04
45,31.26,32.08,37.69,28.71
46,31.48,21.5,35.78,33.25
47,30.7,27.49,16.69,24.0
48,35.62,48.5,45.49,25.25
49,19.7,34.43,20.08,32.87
50,31.69,25.22,9.66,16.79
51,48.41,51.77,43.86,32.4
52,34.98,46.14,51.12,56.88
53,31.73,42.14,46.59,37.47
54,30.26,37.55,32.37,22.39
55,17.31,24.37,23.55,36.2
56,18.5,19.8,22.7,10.18
57,37.79,23.99,30.77,12.63
58,18.51,20.63,19.5,28.59
59,9.81,22.53,19.15,17.25
60,27.66,25.12,38.07,13.05
61,40.08,24.69,48.11,23.81
62,57.87,39.67,45.4,35.18
63,34.66,25.75,20.96,49.05
64,31.27,26.56,12.74,38.56
65,28.99,25.88,15.94,33.08
66,29.28,31.82,19.42,32.95
67,35.01,29.61,24.06,48.36
68,32.79,32.34,30.53,46.85
69,45.39,66.25,40.2,35.5
70,30.05,42.79,39.17,39.45
71,25.13,34.81,28.81,24.46
72,29.99,24.0,11.94,29.13
73,19.08,30.2,44.07,40.41
74,29.29,35.46,51.89,43.43
75,33.29,44.35,40.3,54.05
76,42.03,48.42,38.41,46.73
77,36.09,37.34,35.14,58.98
78,20.38,34.74,21.93,32.1
79,61.54,56.38,47.37,21.63
80,35.28,33.92,40.91,45.85
81,26.23,40.53,49.87,44.04
82,27.4,32.24,50.5,46.9
83,18.72,30.86,41.68,33.12
84,37.64,44.58,51.52,27.11
85,30.84,40.05,36.16,35.2
86,30.72,41.98,28.3,25.67
87,48.25,25.61,29.18,19.82
88,21.54,16.62,22.65,39.59
89,32.0,26.36,29.99,30.93
90,21.58,18.75,28.97,56.76
91,46.45,29.99,36.51,28.59
92,25.0,29.82,35.29,43.29
93,47.79,31.05,43.18,20.08
94,18.08,5.49,19.52,29.12
95,28.75,31.05,17.39,16.73
96,51.45,51.08,26.16,29.53
97,49.11,49.75,37.69,40.53
98,33.25,38.63,34.89,47.05
99,26.18,26.74,12.6,39.64
100,40.0,33.38,36.87,41.52
101,5.19,11.27,5.19,55.03
102,23.89,32.83,14.78,24.02
103,32.83,55.64,41.33,38.73
104,44.97,47.04,44.42,51.18
105,26.44,24.59,38.17,54.73
106,23.77,41.55,19.17,28.3
107,28.79,43.05,42.93,25.79
108,31.44,33.55,30.47,30.09
109,29.69,42.14,21.89,30.03
110,35.19,40.35,35.68,24.2
111,41.18,33.17,41.79,33.92
112,39.85,40.55,37.05,52.41
113,12.65,17.22,26.14,46.67
114,19.11,35.97,44.88,12.75
115,35.26,41.09,41.68,20.17
116,19.42,43.91,42.23,26.29
117,36.18,39.9,40.93,32.29
118,28.31,21.42,28.75,33.12
119,39.02,25.61,32.7,25.95
120,47.84,34.12,43.4,40.6
121,51.77,26.84,39.19,42.53
122,34.81,14.65,35.7,51.4
123,41.2,37.26,50.57,42.64
124,14.87,17.87,12.95,49.5
125,24.81,42.66,18.96,32.87
126,23.77,30.66,20.93,53.35
127,22.46,30.5,32.32,40.68
128,24.4,38.61,30.11,30.65
129,27.35,37.67,38.41,15.72
130,36.19,28.95,42.91,37.61
131,27.26,33.04,20.23,31.71
132,10.15,16.17,18.32,29.55
133,35.08,32.28,24.68,20.33
