svctm,aceph01,aceph02,aceph03,aceph04
0,2.71,2.419,3.515,3.304
1,5.563,5.771,3.474,3.215
2,3.262,2.565,4.306,3.22
3,2.34,3.298,3.11,2.142
4,2.874,3.004,3.363,2.956
5,1.972,3.495,2.935,2.671
6,3.803,4.202,3.42,3.813
7,4.557,4.195,2.713,3.909
8,4.803,5.518,4.169,3.05
9,3.367,3.0,4.011,4.222
10,4.059,4.249,3.648,3.485
11,3.765,7.247,2.534,3.115
12,4.461,2.045,3.353,3.52
13,2.75,1.447,3.913,3.241
14,3.353,2.315,3.658,3.013
15,2.253,1.979,4.344,2.857
16,2.274,16.966,4.462,3.312
17,12.907,2.033,8.317,19.403
18,1.942,2.9,1.57,1.677
19,3.685,4.833,1.438,1.314
20,1.251,1.272,0.629,2.663
21,1.48,3.958,1.375,3.917
22,2.829,2.7,2.345,1.862
23,5.727,1.806,16.733,3.737
24,1.278,3.188,1.427,3.438
25,1.74,3.023,3.799,3.614
26,1.702,0.974,0.886,2.183
27,2.257,3.005,1.158,3.283
28,2.179,2.365,24.82,3.141
29,8.191,7.394,5.875,1.83
30,1.503,1.843,2.343,0.872
31,1.149,0.978,5.802,1.19
32,3.457,1.732,41.304,2.598
33,1.92,3.513,1.165,3.368
34,2.125,2.451,4.006,2.648
35,16.36,33.179,1.669,7.604
36,4.035,1.719,1.372,2.485
37,0.749,1.292,2.517,0.689
38,1.673,1.899,2.279,0.802
39,3.998,2.379,3.205,2.681
40,3.719,2.594,4.125,0.901
41,1.906,15.802,6.275,5.958
42,3.18,1.817,1.587,7.414
43,1.133,1.525,1.995,2.406
44,1.622,1.103,2.707,0.617
45,2.732,3.064,1.673,1.322
46,10.316,2.746,1.917,2.253
47,4.176,5.84,2.401,3.782
48,3.338,2.684,2.2,3.975
49,1.507,2.476,3.683,8.47
50,1.191,1.973,3.283,2.084
51,1.099,2.388,3.873,0.919
52,1.852,1.5,2.225,1.495
53,14.183,8.068,1.705,2.89
54,2.687,4.875,2.215,3.625
55,5.355,4.238,3.406,3.0
56,1.208,1.787,1.064,3.31
57,3.043,2.671,2.522,2.676
58,2.465,1.563,2.402,1.646
59,2.65,1.906,4.065,3.081
60,3.519,2.896,2.68,3.534
61,3.315,4.135,2.604,2.729
62,3.0,4.763,6.79,4.194
63,2.744,4.12,1.545,2.079
64,1.067,1.729,2.946,2.455
65,2.681,2.286,1.764,1.069
66,1.286,2.03,2.799,2.034
67,4.397,1.843,3.391,4.763
68,2.359,1.823,16.582,6.441
69,4.532,4.609,2.597,2.567
70,7.464,2.579,2.281,7.793
71,1.991,1.246,2.602,2.463
72,1.011,3.961,2.596,2.523
73,2.603,1.724,2.161,2.725
74,1.811,3.3,1.019,1.123
75,6.773,8.807,1.718,3.551
76,2.618,3.891,4.134,3.182
77,11.107,1.133,3.574,4.429
78,0.607,2.206,3.419,1.442
79,0.679,1.195,2.621,4.802
80,1.336,1.72,4.107,2.302
81,5.292,4.295,2.932,1.422
82,3.139,2.606,1.773,1.326
83,5.916,7.04,1.223,4.076
84,1.82,1.629,2.968,2.533
85,1.106,0.958,1.851,5.274
86,1.331,1.496,4.355,2.146
87,1.32,4.036,4.813,3.184
88,2.837,3.775,2.072,2.916
89,3.792,4.119,1.996,1.408
90,3.771,1.96,2.313,1.732
91,1.603,1.577,1.168,2.932
92,1.832,2.127,1.85,1.185
93,2.941,2.389,2.89,3.049
94,2.027,2.724,3.462,2.509
95,2.33,3.914,2.161,1.877
96,4.673,3.659,1.35,2.702
97,1.694,1.511,2.117,3.338
98,2.163,1.322,2.454,3.523
99,3.405,2.096,5.204,2.761
100,2.793,2.085,2.709,1.462
101,1.767,3.26,3.057,1.478
102,3.36,2.736,2.99,3.333
103,1.742,12.212,3.315,2.306
104,1.642,3.746,2.143,19.054
105,18.243,15.72,2.222,24.643
106,2.789,1.946,1.505,2.254
107,2.05,1.68,1.739,1.793
108,1.651,2.533,2.184,2.742
109,1.935,3.116,2.518,4.311
110,1.393,2.88,4.885,5.025
111,3.97,3.515,6.971,3.113
112,2.953,5.11,2.452,1.431
113,1.476,1.641,4.173,1.686
114,1.274,1.913,0.894,1.572
115,3.077,1.469,0.473,2.117
116,2.921,2.198,1.767,3.586
117,1.839,4.477,4.794,9.16
118,12.777,3.009,5.896,3.895
119,2.769,4.449,4.602,2.947
120,2.912,2.038,1.836,1.277
121,2.875,1.915,1.516,1.285
122,2.769,2.044,0.917,1.647
123,2.652,3.112,1.845,0.845
