kbmemused,client01,client02,client03,client04
122,31754384.0,29454676.0,38874840.0,30037452.0
123,31753564.0,29454260.0,38875796.0,30043960.0
124,31752192.0,29453768.0,38878264.0,30045588.0
125,31789360.0,29453616.0,38879644.0,30049360.0
126,31775856.0,29453192.0,38879812.0,30050436.0
127,31755316.0,29453476.0,38880472.0,30051960.0
128,31755132.0,29453220.0,38880328.0,30052432.0
129,31755392.0,29431876.0,38880164.0,30053076.0
130,31754352.0,29425000.0,38880188.0,30052932.0
131,31753484.0,29426208.0,38865432.0,30054424.0
132,31788644.0,29427232.0,38869132.0,30056024.0
133,31794344.0,29428300.0,38871040.0,30065648.0
134,31765560.0,29429076.0,38872472.0,30065300.0
135,31759360.0,29429504.0,38873636.0,30065576.0
136,31758668.0,29431272.0,38873032.0,30066712.0
137,31756392.0,29431728.0,38873500.0,30066744.0
138,31755456.0,29432348.0,38872940.0,30065988.0
139,31777892.0,29440800.0,38875288.0,30067616.0
140,31790428.0,29441640.0,38876152.0,30068556.0
141,31758372.0,29442104.0,38870948.0,30068504.0
142,31756504.0,29442900.0,38872588.0,30068804.0
143,31755620.0,29442040.0,38873912.0,30063180.0
144,31753472.0,29443064.0,38874616.0,30063220.0
145,31752188.0,29442976.0,38876208.0,30066420.0
146,31785680.0,29442964.0,38877740.0,30067908.0
147,31785836.0,29443408.0,38879488.0,30069048.0
148,31787428.0,29444240.0,38880092.0,30069416.0
149,31752664.0,29454592.0,38880512.0,30069496.0
150,31752740.0,29454176.0,38881036.0,30070420.0
151,31752636.0,29454564.0,38882672.0,30071064.0
152,31750880.0,29455472.0,38882608.0,30071696.0
153,31750204.0,29454916.0,38883228.0,30078556.0
154,31778492.0,29454720.0,38886524.0,30083056.0
155,31786620.0,29454856.0,38887700.0,30084560.0
156,31751936.0,29454812.0,38887364.0,30085484.0
157,31750384.0,29454804.0,38887668.0,30085644.0
158,31750436.0,29455200.0,38887892.0,30087044.0
159,31748344.0,29465088.0,38887892.0,30086724.0
160,31748568.0,29465400.0,38888148.0,30086868.0
161,31767228.0,29465184.0,38889556.0,30088688.0
162,31779012.0,29464556.0,38890772.0,30089296.0
163,31782352.0,29463788.0,38892852.0,30087560.0
164,31763296.0,29464680.0,38893632.0,30086736.0
165,31749396.0,29464728.0,38893528.0,30089044.0
166,31748056.0,29465776.0,38892644.0,30090920.0
167,31746840.0,29466268.0,38892668.0,30092092.0
168,31745544.0,29465508.0,38892168.0,30092876.0
169,31743912.0,29455716.0,38892392.0,30094416.0
170,31785072.0,29452352.0,38892736.0,30096124.0
171,31777944.0,29452852.0,38891760.0,30097120.0
172,31748280.0,29453948.0,38891508.0,30097556.0
173,31745008.0,29454508.0,38890956.0,30097044.0
174,31745252.0,29456340.0,38890224.0,30098212.0
175,31744832.0,29456464.0,38888800.0,30098160.0
176,31743824.0,29457520.0,38888320.0,30098676.0
177,31761820.0,29457928.0,38889224.0,30099764.0
178,31779692.0,29459452.0,38889144.0,30100600.0
179,31779764.0,29463504.0,38888788.0,30101508.0
180,31746604.0,29463324.0,38888568.0,30101812.0
181,31745600.0,29463504.0,38888080.0,30102268.0
182,31745328.0,29463784.0,38886060.0,30101936.0
183,31743128.0,29463888.0,38884824.0,30100620.0
184,31742892.0,29464732.0,38883100.0,30102448.0
185,31764296.0,29464804.0,38883364.0,30104028.0
186,31783128.0,29465304.0,38883932.0,30104652.0
187,31747912.0,29465268.0,38883576.0,30105032.0
188,31747940.0,29465776.0,38883316.0,30104056.0
189,31747096.0,29458772.0,38882600.0,30102948.0
190,31744364.0,29454832.0,38882692.0,30102696.0
191,31742800.0,29458284.0,38859852.0,30101564.0
192,31775800.0,29459168.0,38862356.0,30101556.0
193,31762460.0,29460396.0,38863984.0,30100228.0
194,31744152.0,29459972.0,38866208.0,30100464.0
195,31744740.0,29460952.0,38864916.0,30097356.0
196,31743992.0,29463652.0,38865480.0,30098292.0
197,31742800.0,29464444.0,38866900.0,30097200.0
198,31741152.0,29464832.0,38869372.0,30097120.0
199,31777344.0,29465672.0,38871524.0,30098380.0
200,31756896.0,29466552.0,38872436.0,30099060.0
201,31747244.0,29466136.0,38856092.0,30098480.0
202,31746324.0,29466080.0,38855268.0,30098392.0
203,31744940.0,29467100.0,38859040.0,30097712.0
204,31743664.0,29467084.0,38861012.0,30097620.0
205,31742756.0,29468336.0,38863200.0,30098412.0
206,31786660.0,29468192.0,38862960.0,30098884.0
207,31753020.0,29468900.0,38865516.0,30098380.0
208,31750224.0,29468332.0,38865120.0,30098780.0
209,31750864.0,29469660.0,38866788.0,30097368.0
210,31748572.0,29469716.0,38867164.0,30096908.0
211,31747372.0,29470108.0,38880988.0,30097464.0
212,31769640.0,29470128.0,38882732.0,30096708.0
