%idle,client01,client02,client03,client04
0,84.81,83.79,86.62,92.12
1,93.87,93.14,33.31,59.59
2,67.16,93.19,44.39,60.32
3,94.94,78.42,93.43,52.8
4,96.09,89.24,93.4,94.66
5,95.95,90.81,94.64,94.73
6,97.08,92.58,94.08,94.71
7,97.06,94.68,93.5,94.66
8,97.26,94.98,93.91,94.71
9,95.78,94.67,62.45,40.85
10,71.72,95.07,37.23,50.51
11,97.46,88.87,73.06,72.7
12,96.38,85.28,81.61,72.62
13,74.62,97.34,92.12,53.78
14,95.88,76.7,97.7,74.31
15,96.37,94.49,97.62,97.57
16,98.57,94.46,96.14,97.45
17,98.69,96.98,95.62,96.52
18,97.98,96.58,96.8,95.81
19,98.04,97.56,97.3,97.35
20,93.28,97.06,66.68,36.7
21,77.94,96.74,38.28,44.45
22,97.64,85.88,78.65,84.27
23,97.56,88.88,97.02,94.44
24,98.32,97.48,96.29,64.36
25,94.8,94.22,95.79,74.96
26,98.31,92.82,96.92,96.07
27,98.44,97.63,97.4,97.27
28,96.89,97.69,70.11,69.58
29,67.38,79.72,95.97,95.77
30,81.23,85.33,97.35,96.47
31,97.19,89.68,96.42,97.32
32,98.47,97.28,95.94,96.52
33,98.01,96.26,97.42,95.52
34,98.42,97.99,97.42,97.47
35,93.29,93.34,33.88,68.69
36,69.6,87.37,49.45,97.1
37,96.81,80.8,97.05,95.62
38,98.24,97.33,95.94,97.22
39,98.16,96.49,97.4,95.79
40,89.39,93.38,97.27,97.17
41,98.32,90.17,96.62,97.35
42,98.2,97.33,90.72,96.59
43,90.57,96.01,26.03,67.57
44,73.43,91.8,52.25,94.51
45,89.97,77.41,96.72,96.37
46,98.04,91.57,95.89,96.72
47,98.21,96.31,97.42,95.59
48,98.39,97.92,96.34,97.27
49,98.44,96.74,94.96,80.78
50,95.85,94.13,89.11,45.03
51,87.47,96.9,83.36,63.31
52,77.53,75.31,96.92,97.15
53,98.52,97.29,96.82,97.17
54,98.32,97.46,95.21,97.02
55,92.13,93.6,94.79,95.11
56,98.11,92.64,96.07,76.97
57,97.93,96.89,86.37,49.01
58,86.29,96.4,81.72,55.83
59,80.31,73.49,96.77,75.18
60,87.85,93.34,97.17,80.44
61,97.54,92.23,96.47,91.59
62,98.55,97.29,96.12,97.42
63,98.47,97.53,95.74,88.99
64,97.66,96.44,95.29,36.61
65,80.72,91.94,73.25,37.08
66,76.35,66.45,97.1,91.16
67,98.07,97.18,96.79,64.9
68,98.5,97.68,83.83,78.05
69,98.09,97.61,56.58,97.37
70,84.6,92.5,88.43,96.54
71,91.9,86.42,54.03,95.87
72,78.96,96.48,34.04,70.26
73,87.34,87.3,44.59,96.02
74,97.04,87.46,74.85,97.27
75,84.79,93.95,96.92,97.6
76,92.88,85.75,96.54,96.19
77,98.35,97.5,95.79,96.62
78,97.86,96.09,96.64,95.41
79,97.89,97.45,96.34,93.27
80,95.78,96.35,88.55,52.36
81,84.78,97.33,80.31,53.83
82,86.14,75.58,96.17,96.67
83,98.47,96.55,96.64,96.52
84,98.12,97.43,79.11,96.87
85,93.06,93.93,74.69,97.05
86,98.02,92.24,97.07,95.29
87,98.27,97.54,72.78,81.2
88,68.5,92.13,95.99,84.36
89,96.32,78.5,95.59,96.59
90,87.7,93.02,97.15,95.79
91,98.04,94.09,96.09,97.52
92,98.52,97.0,96.07,96.02
93,97.91,96.77,96.02,96.19
94,97.01,96.54,48.06,68.74
95,54.99,83.15,38.9,95.57
96,94.25,83.86,93.17,91.02
97,98.07,97.24,96.84,76.67
98,98.17,97.41,95.34,92.72
99,97.61,96.57,96.89,94.74
100,86.66,91.72,96.02,96.9
101,96.4,87.18,94.96,95.59
102,95.75,95.5,29.35,64.3
103,70.4,96.69,43.23,96.95
104,97.54,79.84,95.92,97.47
105,81.89,91.44,94.96,97.02
106,92.88,86.19,96.9,94.91
107,98.04,97.05,74.24,96.82
108,98.49,97.61,72.28,97.02
109,98.27,96.66,95.69,95.59
