wMB/s,aceph01,aceph02,aceph03,aceph04
0,1.593,1.505,1.538,1.559
1,1.613,1.62,1.661,1.709
2,1.688,1.708,1.776,1.652
3,1.695,1.703,1.73,1.684
4,1.6,1.605,1.689,1.663
5,1.684,1.619,1.523,1.685
6,1.61,1.517,1.339,1.568
7,1.603,1.51,1.867,1.624
8,1.482,1.559,1.589,1.392
9,1.62,1.639,1.635,1.41
10,1.364,1.429,1.443,1.261
11,0.185,0.227,0.217,0.162
12,0.265,0.278,0.28,0.255
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.297,0.333,0.353,0.483
18,0.988,1.123,1.035,1.278
19,0.048,0.063,0.156,0.063
20,0.112,0.075,0.079,0.08
21,0.729,0.42,0.474,0.355
22,0.043,0.07,0.055,0.031
23,0.167,0.156,0.213,0.212
24,0.299,0.235,0.301,0.294
25,0.768,0.414,0.481,0.642
26,0.608,0.681,0.626,0.678
27,0.327,0.219,0.302,0.239
28,0.0,0.0,0.0,0.0
29,0.405,0.581,0.447,0.377
30,0.573,0.485,0.714,0.734
31,0.158,0.105,0.155,0.115
32,0.279,0.148,0.224,0.206
33,1.002,1.051,0.979,1.198
34,0.051,0.041,0.014,0.039
35,0.01,0.008,0.013,0.01
36,0.115,0.146,0.105,0.13
37,0.506,0.903,0.542,0.583
38,0.296,0.381,0.248,0.349
39,0.795,0.576,0.661,0.621
40,0.227,0.207,0.308,0.232
41,0.075,0.081,0.137,0.086
42,0.251,0.246,0.357,0.312
43,1.105,0.887,1.086,0.885
44,1.199,1.399,0.992,1.077
45,0.517,0.434,0.511,0.562
46,0.192,0.223,0.158,0.175
47,1.14,1.001,1.228,1.147
48,0.001,0.0,0.0,0.0
49,0.554,0.461,0.541,0.622
50,1.07,1.273,1.371,1.054
51,0.59,0.73,0.59,0.505
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.04,0.0
54,0.253,0.287,0.295,0.358
55,1.26,0.964,1.204,1.151
56,0.773,0.965,0.929,0.87
57,0.697,0.648,0.695,0.794
58,1.12,1.015,0.99,0.95
59,0.714,0.619,0.573,0.714
60,0.557,0.363,0.331,0.449
61,0.156,0.129,0.12,0.246
62,0.209,0.185,0.184,0.319
63,0.268,0.334,0.331,0.325
64,0.662,0.665,0.717,0.657
65,0.854,0.865,1.079,0.834
66,0.478,0.572,0.539,0.531
67,0.104,0.097,0.128,0.102
68,0.156,0.242,0.164,0.162
69,0.362,0.415,0.289,0.309
70,0.385,0.34,0.46,0.623
71,0.764,0.667,0.726,0.607
72,0.704,0.851,0.809,0.605
73,0.525,0.523,0.479,0.409
