rxpck/s,aceph01,aceph02,aceph03,aceph04
0,12667.0,12991.0,13600.0,13084.0
1,11778.0,11589.0,12158.0,13965.0
2,9861.0,9419.0,10132.0,11892.0
3,10886.0,10841.0,11118.0,9161.0
4,11054.0,10240.0,11238.0,10541.0
5,10077.0,8690.0,8444.0,10485.0
6,10831.0,9091.0,9450.0,9185.0
7,9309.0,8999.0,10187.0,9733.0
8,10731.0,10055.0,10891.0,9328.0
9,8556.0,8937.0,9195.0,9460.0
10,5076.0,4950.0,4857.0,8069.0
11,1859.0,1676.0,1745.0,4541.0
12,2157.0,2133.0,2241.0,1749.0
13,1891.0,1318.0,1456.0,2312.0
14,815.0,781.0,465.0,1565.0
15,1576.0,1246.0,1220.0,685.0
16,1292.0,1064.0,1271.0,1549.0
17,6082.0,5944.0,6115.0,1445.0
18,4125.0,3742.0,3895.0,6040.0
19,2168.0,1896.0,2010.0,3954.0
20,2973.0,2699.0,2363.0,1994.0
21,2996.0,2566.0,2717.0,2322.0
22,1732.0,1664.0,1660.0,2285.0
23,2669.0,2201.0,2955.0,1750.0
24,3640.0,3243.0,3470.0,2637.0
25,4930.0,3901.0,3990.0,3399.0
26,4613.0,4009.0,4389.0,4068.0
27,2105.0,1762.0,1764.0,4269.0
28,2181.0,2349.0,2172.0,2134.0
29,5874.0,5330.0,5857.0,2155.0
30,1474.0,1619.0,1356.0,5752.0
31,2790.0,2565.0,2590.0,1310.0
32,4096.0,3359.0,3702.0,2627.0
33,4691.0,4821.0,4556.0,3949.0
34,1134.0,685.0,748.0,4388.0
35,1914.0,1585.0,1848.0,690.0
36,3424.0,3670.0,3281.0,1797.0
37,3949.0,4137.0,3990.0,3463.0
38,4063.0,3755.0,3364.0,3838.0
39,4563.0,4045.54,4106.0,3694.0
40,1948.0,1631.0,1686.0,4077.0
41,2236.0,2042.0,2803.0,1981.0
42,3676.0,3752.0,3997.0,2225.0
43,7302.0,7007.0,6936.0,3582.0
44,5460.0,5535.0,5064.0,7139.0
45,3639.0,3067.0,3264.0,4951.0
46,5170.0,4386.0,4834.0,3220.0
47,3866.0,4196.0,4354.0,4933.0
48,1484.0,1277.0,1497.0,3791.0
49,6256.0,5951.0,6145.0,1442.0
50,6529.0,7010.0,7059.0,6786.0
51,2200.0,2345.0,2156.0,5784.0
52,1732.0,1411.0,1427.0,1951.0
53,2670.0,3037.0,2737.0,1458.0
54,4436.0,3950.0,4489.0,2481.0
55,6892.0,6245.0,6719.0,3938.0
56,7113.0,7124.0,7388.0,6799.0
57,3357.0,3840.0,3559.0,7334.0
58,6133.0,5825.0,5733.0,3560.0
59,6251.0,5473.0,5626.0,5772.0
60,2491.0,1874.0,1958.0,6295.0
61,1407.0,1030.0,1117.0,2018.0
62,2376.0,2694.0,2436.0,1294.0
