subop_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.017,0.124,0.038,0.021,0.022,0.023,0.007,0.041,0.008,0.011,0.019,0.01,0.014,0.017,0.034,0.014,0.013,0.013,0.021,0.005,0.017,0.012,0.013,0.018,0.031,0.022,0.018,0.04,0.026,0.008,0.004,0.007,0.009,0.045,0.006,0.013,0.01,0.017,0.009,0.011
1,0.069,0.178,0.08,0.054,0.039,0.039,0.014,0.038,0.042,0.096,0.016,0.029,0.063,0.019,0.057,0.034,0.017,0.026,0.066,0.037,0.046,0.016,0.023,0.066,0.049,0.018,0.017,0.056,0.037,0.044,0.013,0.014,0.024,0.018,0.017,0.013,0.016,0.036,0.026,0.009
2,0.032,0.047,0.241,0.057,0.025,0.092,0.028,0.027,0.023,0.101,0.009,0.018,0.049,0.02,0.167,0.032,0.007,0.02,0.036,0.017,0.01,0.019,0.026,0.111,0.027,0.019,0.027,0.05,0.022,0.038,0.004,0.004,0.006,0.007,0.005,0.004,0.005,0.01,0.015,0.005
3,0.045,0.082,0.314,0.317,0.095,0.146,0.006,0.023,0.022,0.256,0.017,0.012,0.018,0.025,0.165,0.008,0.018,0.025,0.042,0.011,0.006,0.007,0.015,0.231,0.024,0.013,0.005,0.028,0.032,0.033,0.004,0.005,0.006,0.046,0.011,0.005,0.007,0.02,0.031,0.008
4,0.064,0.02,0.097,0.119,0.349,0.338,0.004,0.03,0.047,0.559,0.003,0.006,0.006,0.014,0.046,0.005,0.004,0.006,0.008,0.009,0.012,0.004,0.009,0.163,0.027,0.008,0.004,0.02,0.013,0.027,0.003,0.022,0.125,0.049,0.007,0.004,0.006,0.049,0.02,0.005
5,0.081,0.015,0.04,0.008,0.054,0.043,0.005,0.024,0.007,0.471,0.004,0.006,0.003,0.006,0.005,0.003,0.006,0.004,0.004,0.008,0.002,0.002,0.002,0.003,0,0.002,0.002,0.002,0,0.048,0.003,0.003,0.005,0.067,0.004,0.003,0.004,0.027,0.01,0.003
6,0.04,0.017,0.011,0.006,0.008,0.151,0.016,0.015,0.018,0.512,0.002,0.004,0,0.004,0.004,0.003,0.002,0.003,0.003,0.002,0.022,0.007,0.017,0.056,0.597,0.004,0.008,0.012,0.952,0.011,0.002,0.002,0.003,0.008,0.008,0.003,0.003,0.005,0.009,0.002
7,0.02,0.011,0.009,0.015,0.015,0.026,0.003,0.007,0.021,0.528,0.013,0.016,0.568,0.013,0.103,0.014,0.005,0.015,0.008,0.005,0.004,0.003,0.009,0.03,0.24,0.007,0.008,0.02,0.299,0.015,0.002,0.002,0.003,0.005,0.003,0.003,0.002,0,0.008,0.002
8,0.019,0.002,0.003,0.003,0.002,0.005,0.044,0.003,0.009,0.494,0.003,0.004,0.014,0.006,0.065,0.004,0.003,0.004,0.003,0.009,0.003,0.004,0.005,0.03,0.125,0.003,0.003,0.006,0.005,0.006,0.002,0.002,0.002,0.005,0.002,0.002,0.002,0,0.015,0.002
9,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0,0.918,0.002,0.002,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.095,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0,0.001,0.002
