op_queue_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
25,0,6426,0,0,0,0,321296,0,0,0,6426,0,0,0,321293,0,0,0,324862,0,0,0,321289,0,0,0,144946,0,0,0,0,0,0,0,0,324869,0,0,0,321295
26,0,6426,6426,0,0,6426,321296,0,0,0,6426,321294,0,0,321293,0,0,0,324862,0,0,0,321289,0,0,0,0,0,0,0,0,0,6426,0,0,324869,0,0,0,321295
27,0,328445,196348,0,0,0,321296,0,0,0,0,321294,19277,0,321293,0,0,0,0,321293,0,0,19277,0,0,0,0,115665,0,6425,0,0,0,0,0,324869,0,6426,0,0
28,0,328445,202774,0,0,0,321296,0,0,0,0,321294,0,0,321293,6426,0,0,0,321293,0,0,0,0,0,0,0,321293,0,0,0,0,0,0,0,324869,0,0,0,0
29,0,0,324865,0,0,0,0,0,0,0,0,321294,0,0,321293,74262,0,0,0,321293,0,0,0,0,0,0,0,321296,0,0,0,0,167069,0,0,324869,0,0,0,0
30,0,0,324865,0,0,0,0,0,6426,6426,0,321294,0,0,96388,321299,0,0,6425,321292,0,0,0,0,0,0,0,321293,0,0,0,0,324864,0,0,0,6426,0,0,0
31,0,0,324865,0,0,0,0,102813,0,0,0,321294,0,0,0,321299,0,0,0,321292,0,0,0,6426,0,0,0,321293,0,0,0,0,324864,0,0,0,6426,0,0,0
32,0,0,324865,0,0,0,0,102813,0,0,0,321294,0,0,0,321299,0,0,0,321292,0,0,0,6426,0,0,0,321293,0,0,0,0,324863,0,0,0,6426,0,0,0
33,0,0,324865,0,0,0,0,192776,0,0,0,32129,0,0,0,314874,0,0,0,321292,0,0,0,6426,0,0,0,321293,0,0,0,0,324865,0,0,0,6426,0,0,0
34,0,0,324865,0,0,0,0,321292,6426,0,6426,0,0,0,0,0,6426,0,0,0,321293,6426,0,321293,6425,0,0,321293,0,0,0,0,321287,0,0,0,6426,0,0,0
