rxkB/s,client01,client02,client03,client04
194,1102.67,1049.84,1060.44,1125.39
195,950.01,758.36,189.13,767.88
196,263.68,239.7,295.59,267.27
197,80.4,317.41,219.92,260.4
198,459.85,312.28,1164.03,311.36
199,796.27,608.54,611.53,1105.59
200,1315.87,703.88,613.83,605.02
201,358.53,706.38,306.48,537.47
202,535.56,312.26,159.37,255.2
203,245.14,189.43,359.96,172.37
204,36.34,256.05,635.5,271.53
205,907.32,826.28,594.76,1051.28
206,900.51,471.1,488.63,514.57
207,943.27,749.67,290.75,846.17
208,641.29,315.94,353.88,386.93
209,162.14,379.71,11.69,526.85
210,142.25,15.55,824.56,22.15
211,313.69,777.34,398.38,1010.72
212,1069.96,472.95,457.6,746.18
213,523.96,313.51,168.16,149.38
214,404.87,260.32,452.27,116.93
215,214.58,495.46,1421.9,460.49
216,903.29,1139.13,474.51,1403.39
217,1023.68,610.28,289.09,529.07
218,280.8,269.38,93.23,313.89
219,208.45,96.22,721.91,343.77
220,926.27,604.66,1008.26,717.22
221,907.58,981.79,919.92,1095.86
222,875.2,981.6,1039.14,988.84
223,1358.01,873.28,31.83,984.05
224,25.93,28.69,644.84,48.91
225,430.46,634.3,110.21,635.32
226,309.77,68.0,831.46,383.36
227,876.58,604.79,614.55,912.87
228,886.03,838.7,297.68,619.76
229,252.48,166.05,456.46,205.22
230,741.5,632.21,459.05,530.68
231,600.1,603.49,54.6,616.18
232,103.56,43.97,320.21,100.4
233,312.79,435.72,589.25,460.62
234,679.31,518.73,1030.93,907.71
235,1429.1,1261.97,566.52,1264.42
236,715.29,456.68,220.69,331.24
237,492.14,232.54,864.45,148.3
238,593.84,1151.79,275.15,1281.69
239,788.28,359.76,398.85,363.07
240,439.99,572.95,172.78,616.08
241,469.79,218.76,993.44,256.58
242,897.5,1071.22,269.75,1324.71
243,994.06,326.49,687.84,24.63
244,354.69,643.85,455.85,703.19
245,540.0,425.29,1279.84,401.12
246,1051.12,1195.27,574.26,1548.53
247,1107.11,645.24,85.0,639.44
248,34.84,41.08,750.77,317.33
249,560.85,609.48,1019.35,401.14
250,1385.21,1085.47,790.92,756.98
251,1073.95,763.23,736.55,780.99
252,1025.92,756.54,53.42,777.69
253,146.87,83.53,815.06,44.76
254,364.96,913.31,561.71,780.98
255,785.15,660.01,161.55,521.64
256,314.48,115.27,571.13,148.57
257,663.56,426.61,648.94,745.11
258,832.06,827.65,560.98,530.29
259,345.23,375.4,110.74,443.79
260,483.1,118.92,219.48,59.67
261,127.71,359.22,815.7,315.65
262,705.99,765.76,365.85,893.98
263,112.88,243.72,934.81,455.82
264,984.86,726.8,426.04,574.94
265,693.32,325.99,577.73,315.56
266,932.14,810.55,388.74,663.4
267,673.07,478.65,709.12,359.72
268,359.4,546.52,320.8,662.47
269,454.83,336.41,315.87,561.98
270,359.46,336.1,644.28,267.66
271,417.35,585.9,845.26,679.89
272,945.11,663.43,889.62,1062.79
273,977.89,734.15,118.01,499.73
274,708.38,139.27,331.67,108.37
275,207.34,355.53,951.83,481.11
276,1035.36,1139.3,734.72,1032.64
277,618.6,733.4,646.3,584.87
278,618.5,657.81,373.17,950.51
279,982.2,310.45,193.33,558.98
280,356.54,213.32,728.46,112.95
281,611.53,829.56,785.51,757.72
282,1247.71,788.94,433.26,893.64
283,216.41,493.73,711.41,427.49
284,712.55,770.93,484.76,805.0
285,259.15,508.64,132.44,443.61
286,99.6,133.11,1434.86,391.99
287,939.21,1091.61,365.96,1159.77
288,1006.3,603.94,603.57,373.9
289,730.53,554.16,624.76,447.98
290,615.08,609.83,800.01,575.86
291,883.72,812.43,301.34,1061.36
292,289.86,171.33,371.54,195.5
293,240.72,366.94,761.33,734.95
294,1100.44,895.12,218.81,649.21
295,654.16,380.07,1143.26,88.74
296,716.75,1022.67,637.17,1135.21
297,478.37,496.85,421.9,654.87
298,603.89,619.39,952.36,542.99
299,558.58,887.35,329.98,1052.23
300,953.67,280.86,202.15,281.32
301,332.04,253.74,611.84,525.77
302,740.48,384.1,210.54,223.54
303,567.36,499.92,1150.58,321.88
304,885.75,1021.56,772.08,1164.47
305,791.2,728.87,316.91,830.97
306,244.93,353.17,1143.75,368.97
307,851.01,994.62,404.7,1184.57
308,614.63,407.51,497.78,656.79
309,916.81,310.98,70.37,408.62
310,342.89,236.55,817.67,21.23
311,673.85,753.79,1416.73,869.38
312,763.73,1192.84,401.14,1450.19
313,862.07,463.41,1496.75,426.78
314,874.36,1228.98,476.45,1327.99
315,993.76,452.13,843.51,299.18
316,403.99,621.21,601.08,1133.59
317,1293.88,548.73,5.86,395.36
318,306.32,85.82,747.39,6.11
319,383.98,638.1,649.75,745.97
320,457.9,428.48,582.85,654.14
321,575.06,333.8,472.77,519.13
322,526.11,710.28,466.77,412.44
323,399.79,463.27,265.28,675.49
324,598.56,121.57,216.33,244.59
325,394.01,357.21,696.14,75.95
326,482.32,673.98,481.37,771.9
327,612.62,465.17,597.46,500.56
328,390.98,553.6,604.63,551.51
329,657.62,547.31,598.12,618.5
330,166.17,550.24,926.33,573.95
331,1256.4,838.85,1570.05,1141.09
332,1626.47,1452.92,41.0,1217.86
333,706.42,104.13,581.84,44.9
334,81.23,516.16,1485.53,581.52
335,1541.16,1306.57,440.17,1374.36
336,583.81,320.09,381.12,447.1
337,436.53,379.2,1171.42,414.18
338,902.73,720.04,317.93,1443.14
339,802.56,345.38,194.42,215.78
340,492.59,380.86,482.85,148.42
341,151.35,429.39,521.53,649.55
342,372.09,329.23,361.8,405.36
343,523.38,337.83,1536.68,406.18
344,837.94,1464.99,712.96,1713.01
345,734.96,646.67,394.85,782.09
346,873.22,295.69,366.84,489.93
347,641.44,477.48,65.04,123.85
348,141.74,112.84,208.36,114.92
349,42.41,144.53,567.53,123.91
350,648.01,664.7,1260.46,562.12
351,803.59,1180.9,578.53,1433.41
352,620.0,506.07,308.52,909.02
353,560.55,199.87,1066.04,232.0
354,924.46,1060.54,822.78,565.36
355,1078.35,713.42,270.36,764.72
356,635.18,353.5,388.14,491.1
357,441.85,285.15,218.98,409.42
358,211.66,189.31,96.65,216.18
359,73.95,55.0,1219.26,56.1
360,861.37,1035.98,1034.73,1311.91
361,1683.4,1053.22,140.96,1037.96
362,346.9,300.74,195.54,38.57
363,370.73,209.54,153.48,227.29
364,139.31,124.83,548.35,155.08
365,370.76,362.77,148.94,593.06
366,217.61,140.7,1274.94,98.82
367,743.01,1185.46,278.31,1188.77
368,894.41,379.71,191.97,623.07
369,563.32,36.6,927.91,29.81
370,632.98,1075.43,966.99,818.06
371,1140.89,919.54,1349.72,913.74
372,1426.44,1337.45,1070.88,1383.9
373,961.17,948.7,123.2,972.05
374,294.99,138.12,476.98,140.56
375,313.3,462.82,928.17,562.61
376,1246.22,1044.1,937.75,1149.01
377,896.68,525.25,153.87,690.9
378,511.22,306.79,328.64,109.74
379,320.19,342.96,631.62,165.53
380,611.79,615.13,892.8,542.96
381,854.13,997.11,32.16,816.67
382,291.16,110.66,377.48,39.49
383,239.42,376.34,36.19,396.15
384,114.82,71.48,1192.4,228.07
385,1223.38,1397.52,922.21,1085.19
386,1277.99,1174.62,316.47,1095.39
387,789.06,477.14,688.68,171.87
388,556.93,706.6,175.71,627.18
389,483.89,246.6,973.78,184.74
390,335.8,1008.19,529.98,832.75
391,1076.03,636.61,439.6,687.27
392,381.55,416.99,610.6,453.97
393,827.56,453.12,591.7,588.47
394,994.56,931.52,897.8,405.69
395,754.24,604.43,143.06,712.66
396,123.58,115.72,814.54,121.14
397,366.72,767.51,633.92,728.98
398,697.52,616.18,191.6,617.94
399,389.92,237.03,415.64,240.1
