avgrq-sz,aceph01,aceph02,aceph03,aceph04
0,76.427,139.643,173.48,196.472
1,147.299,147.005,179.629,174.102
2,167.317,166.713,71.474,19.087
3,50.61,97.077,76.124,22.242
4,72.565,24.265,57.247,53.468
5,29.287,19.631,25.492,18.402
6,21.746,15.509,18.763,18.495
7,23.885,14.675,15.389,14.312
8,14.725,89.983,94.471,11.095
9,19.272,13.384,68.55,35.628
10,87.672,19.742,15.86,9.218
11,10.999,46.994,13.932,25.056
12,9.155,10.214,12.381,83.3
13,20.917,9.118,13.855,6.868
14,77.9,4.994,8.386,14.854
15,7.033,5.737,11.493,8.331
16,9.727,32.986,10.283,7.247
17,9.988,6.404,36.728,47.078
18,8.621,9.883,4.203,6.831
19,8.819,7.036,5.177,6.776
20,6.846,6.72,5.363,12.654
21,7.317,9.075,4.831,9.195
22,10.455,7.178,10.047,8.879
23,14.603,16.655,28.219,10.845
24,6.478,9.451,18.687,45.499
25,9.027,7.315,7.374,10.435
26,9.858,6.375,3.943,11.393
27,8.896,9.899,7.823,9.675
28,8.573,9.403,23.51,6.939
29,24.098,57.523,11.074,9.453
30,6.417,8.256,7.559,5.705
31,6.237,6.321,11.507,7.275
32,8.875,9.986,18.376,42.494
33,12.553,10.998,5.383,11.157
34,9.109,7.537,9.198,10.931
35,19.248,49.171,9.38,10.769
36,15.814,9.038,7.15,22.912
37,3.794,6.257,10.052,5.129
38,8.969,8.738,10.862,5.165
39,13.602,8.282,10.833,5.357
40,10.378,10.991,10.722,7.616
41,9.152,26.115,13.268,12.758
42,9.088,47.091,8.718,21.046
43,4.974,6.123,9.119,39.282
44,7.937,6.193,24.581,3.134
45,9.251,49.932,7.947,5.331
46,17.564,12.223,8.384,8.744
47,11.011,10.878,7.62,12.781
48,11.474,9.4,6.623,12.523
49,7.368,72.332,53.429,16.398
50,5.059,79.919,10.092,6.808
51,6.611,54.209,11.164,9.994
52,5.671,7.138,9.103,7.698
53,23.891,26.32,8.168,6.489
54,7.999,10.269,10.442,18.275
55,15.821,40.115,7.875,12.859
56,8.631,158.522,3.895,9.36
57,5.082,80.866,10.85,12.123
58,8.081,8.075,10.455,9.161
59,35.443,14.047,10.896,10.158
60,90.606,10.113,10.13,10.92
61,7.558,13.164,8.179,7.125
62,6.188,11.237,17.659,16.159
63,12.04,25.922,4.521,5.622
