subop_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,160689542480,188362221619,163016225002,154777400618,186707674936,195790072251,133869926603,166381722457,173312299387,167784668248,159696879332,162200819953,144872942900,182069279754,186639230313,134460760034,160145767004,102930351636,201318134523,145210149428,160474180920,147985710068,172208723693,161699959981,125749182341,126265985599,188935784301,205127566634,138939251407,166989482433,138912391982,166466140708,157737601671,154812868699,172177592429,152141961875,158965478005,194651892855,135706624793,147598240542
1,160689800629,188362621032,163016468540,154777614936,186708045125,195790296307,133870101954,166381888064,173312416288,167784785151,159697254390,162201160916,144873157213,182069498946,186639590757,134461047423,160145956972,102930497759,201318451124,145210305296,160474497518,147986046166,172209147454,161700145079,125749401524,126266326561,188936149611,205128039104,138939455986,166989730840,138912747553,166466447577,157737913402,154813131729,172177894424,152142200544,158965653359,194652160751,135706795275,147598445118
2,160690492283,188363527017,163017281960,154778345562,186708970595,195791562724,133870754656,166382682018,173313341756,167785642431,159698009370,162201881802,144873663775,182070278285,186640452903,134461729346,160146765550,102930892302,201319152518,145211133356,160475237886,147986684260,172209912178,161700978012,125750044479,126266935426,188937021486,205129027874,138940103815,166990364046,138913336929,166467319475,157738721961,154813881853,172178620189,152142926296,158966301191,194652964451,135707447979,147599224470
3,160691237524,188364213818,163017837230,154779012867,186709745062,195792259247,133871358649,166383388300,173314125965,167786368195,159698720517,162202670884,144874374907,182071067365,186641061768,134462304119,160147325710,102931301454,201320345861,145211712997,160475914934,147987263898,172210652546,161701426136,125750546176,126267480957,188937800814,205130002027,138940761390,166991201820,138913858097,166467884505,157739360043,154814505331,172179258277,152143510790,158966944157,194653826598,135708003259,147600028170
4,160692124018,188365373096,163018903944,154779787345,186710563367,195793043454,133872152605,166384245578,173315095266,167787157285,159699441405,162203494053,144874935047,182071871056,186641987220,134462864276,160148080709,102931798284,201321251821,145212399798,160476572494,147987926349,172211261398,161702302901,125751184260,126268143399,188938677551,205130907991,138941272841,166991956793,138914574107,166468600533,157739905575,154815162906,172180071720,152144241410,158967616345,194654693607,135708612122,147600690613
5,160692742613,188366128078,163019731980,154780576427,186711566766,195793959167,133872839400,166385156437,173316118148,167787844078,159700060007,162204273391,144875631578,182072601679,186642937032,134463604660,160148728546,102932256145,201322006799,145213164525,160477069316,147988432926,172211923833,161703033534,125751637250,126268674334,188939515327,205131784732,138941662511,166992789700,138915105024,166469292207,157740655685,154815976344,172180875416,152144825906,158968312884,194655794426,135709196629,147601362800
6,160693234562,188366819745,163020423621,154781039159,186712229198,195794490087,133873287517,166385648395,173316498076,167788472429,159700605543,162204877373,144875957918,182073122862,186643472831,134464043044,160149283837,102932611716,201322805606,145213714940,160477765838,147988924888,172212615473,161703657015,125751637250,126269127333,188940206981,205132607898,138941662511,166993593368,138915694405,166469769556,157741215830,154816434206,172181377118,152145459112,158968941228,194656520180,135709649626,147602054475
7,160693760614,188367418871,163020876608,154781555473,186712828311,195795152522,133873798959,166386052681,173317053359,167789047197,159701194914,162205539809,144875957918,182073834004,186644120654,134464505782,160149887838,102932977027,201323584938,145214260482,160478496465,147989592204,172213380185,161704392525,125752660131,126269711843,188940961955,205133323912,138942846133,166994221703,138916269166,166470461231,157741814939,154817028455,172182156461,152146150754,158969486766,194657202094,135710268232,147602561057
8,160694442522,188368198219,163021543914,154782198426,186713734287,195795892886,133874227600,166386841766,173317671962,167789699899,159702057067,162206324019,144877224329,182074681539,186645089948,134465202323,160150715902,102933410537,201324437335,145214844989,160479144285,147990069553,172214008525,161705113428,125753147218,126270189184,188941877675,205134346779,138943532935,166994811063,138916868276,166471128548,157742379959,154817617833,172182916318,152146720626,158970056659,194657202094,135710774808,147603174796
9,160694905252,188368646343,163021928709,154782549127,186714216505,195796487122,133874802373,166387323977,173317808347,167790581534,159702436995,162206781885,144877691929,182075231942,186645679325,134465509193,160151168904,102933770978,201325187437,145215371047,160479563179,147990522548,172214368966,161705605393,125753532015,126270481443,188942379363,205134945893,138943893384,166995268906,138917443039,166471752031,157742959589,154818416665,172183603106,152147300249,158970587588,194657202094,135711257023,147603808014
