%sys,aceph01,aceph02,aceph03,aceph04
378,2.54,2.14,2.67,3.41
379,4.65,3.4,3.57,2.5
380,4.99,5.65,5.58,4.77
381,4.7,4.87,6.68,4.7
382,2.64,2.27,2.15,4.55
383,4.59,2.66,3.99,1.76
384,3.27,1.77,3.03,3.88
385,8.83,6.48,7.55,4.57
386,5.06,6.62,5.04,7.54
387,4.35,3.91,5.26,6.66
388,5.07,4.04,4.56,3.29
389,2.53,1.9,1.88,5.01
390,10.8,9.34,8.43,2.01
391,3.3,3.51,4.8,8.76
392,3.02,4.09,4.04,2.04
393,3.27,2.28,2.89,4.27
394,5.35,6.53,4.15,3.78
395,2.93,4.05,3.91,4.85
396,3.31,3.16,3.41,3.64
397,8.08,5.72,6.38,3.92
398,3.94,4.02,5.26,5.26
399,2.9,2.15,2.53,2.91
