kbmemfree,aceph01,aceph02,aceph03,aceph04
0,24480500.0,24561000.0,24347132.0,24515300.0
1,24483704.0,24541844.0,24325940.0,24437884.0
2,24455684.0,24503032.0,24304032.0,24431392.0
3,24414868.0,24462332.0,24252780.0,24413516.0
4,24432116.0,24463060.0,24257432.0,24370272.0
5,24402420.0,24442696.0,24244420.0,24359664.0
6,24349128.0,24427512.0,24224304.0,24359104.0
7,24348856.0,24401288.0,24170576.0,24343036.0
8,24363032.0,24357464.0,24188708.0,24328552.0
9,24335320.0,24376312.0,24183752.0,24290016.0
10,24342200.0,24389784.0,24173976.0,24315076.0
11,24343128.0,24395056.0,24169324.0,24302144.0
12,24340796.0,24402656.0,24171760.0,24288264.0
13,24336032.0,24402744.0,24175952.0,24293304.0
14,24356124.0,24404608.0,24175468.0,24298556.0
15,24356204.0,24406228.0,24183180.0,24302604.0
16,24364872.0,24411620.0,24205748.0,24304800.0
17,24352120.0,24413180.0,24200844.0,24308888.0
18,24324664.0,24402488.0,24196500.0,24309308.0
19,24353184.0,24367964.0,24170460.0,24310608.0
20,24357224.0,24409764.0,24195088.0,24280400.0
21,24356496.0,24406896.0,24196484.0,24305460.0
22,24354668.0,24406396.0,24195272.0,24309112.0
23,24352496.0,24405852.0,24196032.0,24308952.0
24,24350288.0,24404408.0,24197944.0,24306320.0
25,24346628.0,24402192.0,24195340.0,24310248.0
26,24344168.0,24395800.0,24189728.0,24305468.0
27,24341272.0,24396784.0,24188612.0,24303060.0
28,24343968.0,24394984.0,24189348.0,24301184.0
29,24336536.0,24394356.0,24184468.0,24304588.0
30,24296384.0,24392356.0,24180776.0,24294404.0
31,24277240.0,24376524.0,24185788.0,24291308.0
32,24308404.0,24356396.0,24175564.0,24293956.0
33,24328936.0,24383524.0,24136180.0,24276204.0
34,24326332.0,24382296.0,24183188.0,24244964.0
35,24326256.0,24384644.0,24182924.0,24294500.0
36,24324848.0,24384692.0,24182448.0,24298004.0
37,24318584.0,24380756.0,24177944.0,24298108.0
38,24314488.0,24378616.0,24174016.0,24295756.0
39,24308544.0,24372660.0,24170348.0,24292380.0
40,24306904.0,24375012.0,24166440.0,24285872.0
41,24315516.0,24380856.0,24169212.0,24286008.0
42,24278972.0,24365212.0,24167052.0,24285704.0
43,24306396.0,24360376.0,24158160.0,24280576.0
44,24294588.0,24363736.0,24155780.0,24244000.0
45,24288432.0,24362356.0,24152416.0,24271744.0
46,24295112.0,24360468.0,24131732.0,24263660.0
47,24288388.0,24355856.0,24093308.0,24256708.0
48,24291272.0,24356552.0,24148168.0,24251928.0
49,24286216.0,24347796.0,24141988.0,24251756.0
50,24276704.0,24340648.0,24134632.0,24254608.0
51,24272828.0,24337128.0,24128076.0,24244576.0
52,24264900.0,24307912.0,24137152.0,24240436.0
53,24223708.0,24337900.0,24140968.0,24241604.0
54,24270316.0,24339972.0,24137316.0,24228560.0
55,24266140.0,24332488.0,24131004.0,24226640.0
56,24256056.0,24310540.0,24115220.0,24231632.0
57,24250484.0,24316600.0,24097800.0,24225508.0
58,24242800.0,24309940.0,24114336.0,24233420.0
59,24218776.0,24303268.0,24107292.0,24224044.0
60,24231336.0,24301288.0,24103496.0,24216964.0
61,24179272.0,24301108.0,24109396.0,24221860.0
62,24237796.0,24301612.0,24106360.0,24203140.0
63,24238056.0,24257280.0,24107228.0,24195576.0
64,24230400.0,24292208.0,24099380.0,24225608.0
65,24227864.0,24290024.0,24099528.0,24220736.0
66,24226220.0,24283076.0,24093788.0,24212268.0
67,24229228.0,24288380.0,24046892.0,24211840.0
68,24227268.0,24289624.0,24096720.0,24212556.0
69,24223500.0,24289924.0,24093524.0,24217328.0
70,24220052.0,24292720.0,24091120.0,24216028.0
71,24217856.0,24287344.0,24084380.0,24215252.0
72,24177444.0,24282012.0,24090300.0,24215156.0
73,24192208.0,24277176.0,24093948.0,24211880.0
74,24196340.0,24274736.0,24091808.0,24207396.0
75,24165276.0,24244424.0,24065324.0,24207568.0
76,24216816.0,24277564.0,24048816.0,24179776.0
77,24221740.0,24278052.0,24094872.0,24213148.0
78,24213888.0,24271796.0,24079556.0,24212204.0
79,24208348.0,24265452.0,24070692.0,24206772.0
80,24203604.0,24265648.0,24069588.0,24202072.0
81,24197192.0,24263200.0,24073108.0,24201624.0
82,24196776.0,24262968.0,24069552.0,24200236.0
83,24196820.0,24267140.0,24066444.0,24199188.0
84,24196460.0,24264588.0,24065856.0,24194920.0
85,24194744.0,24259800.0,24063096.0,24195644.0
86,24179788.0,24240264.0,24057528.0,24191508.0
87,24146284.0,24198828.0,24042520.0,24184800.0
88,24183828.0,24216652.0,24033632.0,24166936.0
89,24181364.0,24239716.0,24051712.0,24139276.0
90,24177216.0,24236140.0,24047448.0,24185840.0
91,24172516.0,24234736.0,24044616.0,24180708.0
92,24169876.0,24230428.0,24041552.0,24178940.0
93,24165340.0,24230940.0,24036320.0,24174428.0
94,24148008.0,24222088.0,24033980.0,24170188.0
95,24096268.0,24223968.0,24031152.0,24162928.0
