op_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
37,0.011,0.008,0.288,0.414,0.004,0.003,0,0,0,0.009,0.002,0,0,0.008,5.074,0.008,0,0.862,0.006,0.567,0,0.006,0.01,0.007,0.008,0.006,0.007,7.47,0,0.006,0.007,0.004,0.011,2.004,0.009,0.006,0.007,0,0.464,0.006
38,0.352,0.028,1.61,0.414,0.55,0.231,0.162,7.386,0,0.646,0.766,0.694,0,0.692,0.084,0.846,0,0.429,0.571,0.909,4.802,0.006,0.005,0.306,0.671,0.498,0.007,3.005,3.03,0.128,0.486,0.654,1.102,0.174,0.54,1.193,0.171,3.538,0.12,0.492
39,0.236,0.149,0.685,0.405,0.117,0.214,0.274,1.95,1.423,0.449,0.217,0.456,1.777,0.135,0.026,0.286,4.457,0.173,0.097,0.339,3.059,0.433,0.229,0.068,0.315,0.472,0.128,1.189,0.996,0.009,0.056,0.308,0.415,0.036,0.219,0.498,0.22,0,0.491,0.105
40,0.18,0.008,0.413,0.186,0.386,0.27,0.184,0.966,0.482,0.238,0.142,0.264,0.071,0.061,0.027,0.311,1.171,0,0.006,0.314,2.293,0.919,0.04,0.484,0.506,0.209,0.385,0.311,0.383,0,0.097,0.007,0.171,0.132,0.008,0.156,0.132,6.46,0.038,0.078
41,0.943,0.007,0.8,0.115,0.295,0.005,0.005,0.195,0.42,0.006,0.003,0.005,0.005,0,0.006,0.006,0.005,0.999,0.004,0.006,1.072,0,0.019,0.373,0.39,0.167,0.055,0.547,0.193,0,0.163,0.242,0.005,0.132,0.004,0.106,0.559,0,0.06,0.005
42,0.611,0.024,0.354,0.368,0.475,0.311,0.68,0.997,0.423,0.458,0.311,0.449,0.418,0,0.511,0.235,0.853,0.21,0.402,0.309,0.911,0,0.007,0.741,0.421,0.519,0.198,0.571,1.387,0,0.208,0.006,0.127,0.128,0.263,0.182,0.433,6.555,0.007,0.006
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.006,0.007,0.007,0.006,0.007,0.008,0.009,1.86,0,0,0,0,0,0,0,0,0,0.003
44,0.476,0.006,0.26,0.247,0.082,0.3,0.292,0.171,0.136,0.441,0.013,0.097,0.094,0,0.035,0.079,0.057,0.143,0.061,0.056,0.006,0,0.126,0.143,0.005,0.005,0.006,0.321,0.004,1.992,0.005,0.005,0.036,0.079,0.005,0.081,0.005,3.888,1.64,0.005
45,0.323,0.741,0.338,0.159,0.368,0.157,0.412,0.205,0.31,0,0.316,0.072,0.058,2.344,0.317,0.084,0.042,0.195,0.125,0.048,0.355,2.797,0.183,0.231,0.068,0.173,0.119,0.103,0.09,0.384,0.321,0.205,0.502,0.367,0,0.556,0.196,0.585,3.139,0.364
46,0.844,0.005,0.023,0.006,0.005,0,0.005,0.005,0.006,0,0.004,0.055,0.199,0.135,0.051,0.094,0.112,0.11,0.142,0.105,0.023,0.183,0.052,0.258,0.246,0.534,0.365,0.573,0.57,0.832,0.021,0.014,0.013,0.149,0,0.138,0.005,0.065,0,0.005
