op_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
97,2.337,0.006,0.118,0.004,0.294,0.004,0.004,0.154,0.005,0,0.003,0.004,0.005,1.388,0.005,0.005,0.004,1.645,0.005,0.118,0.326,0.003,0.005,0.059,0.007,0,0.424,0.305,0.479,0.004,0.245,0.316,0.005,0,0.004,0.21,0.417,0.053,0.433,0.198
98,0,0.211,0.606,0.234,0.026,0.291,0.34,0.387,1.785,0,0.513,0.414,1.858,0,0.364,0.199,0.252,0.677,0.901,0.702,0.62,0.401,0.283,0.095,0.204,2.674,0.209,0.008,0.006,0.253,0.005,0.141,0.237,7.08,0.715,0.005,0.024,2.07,0.005,0.447
99,0,0.101,0.061,0.005,0.077,0.051,0.021,0.009,0.076,3.242,0.136,0.111,2.392,0,0.049,0.052,0.016,0.104,0.186,0.421,0.006,0.176,0.128,0.009,0.67,0.192,0.053,0.243,0.15,1.122,0.04,0.005,0.09,2.896,0,0.081,0.032,0.006,0.158,0.005
100,0,2.554,0.894,0.007,0.009,1.466,1.017,1.344,2.516,0,0,0.014,0.005,8.018,0,0,0,0,0,0,5.224,0.008,3.845,5.474,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0
101,0,0,0,0.006,0.004,0.01,0.385,0.11,2.187,0,0.006,0.007,0.005,5.231,0.007,0.007,0.006,0.005,0.005,0.005,1.676,0.663,0.826,1.834,1.617,1.434,0.498,2.169,2.156,1.457,1.225,0.959,0.169,1.308,0,0.006,0.005,0.006,0,0.004
102,7.04,0.309,0.187,0.055,0.01,0.153,0.211,0.17,0.171,7.504,0.717,0.406,1.262,7.248,0.821,0.256,0.567,0.943,0.747,0.407,1.04,0.486,0.718,0.739,0.436,0.91,0.683,1.813,0.617,1.399,0.243,0.682,0.572,2.91,1.624,1.432,0.336,1.262,1.521,0.147
103,2.179,0,0.007,0.006,0.185,0,0.072,0.075,0.153,4.422,0,0.456,0.206,2.616,0,0.006,0.332,0.053,0.137,0.428,1.509,0.51,3.264,0.022,0.775,0.591,0.01,0.934,0.224,0.13,0.08,0.228,0.491,0.567,0.333,0.089,0.749,0.595,1.163,1.578
104,2.613,0,0.28,0.223,0.353,1.541,0.252,0.23,0.607,1.326,2.004,0.075,0.091,0.747,0,0.369,0.386,0.134,0,0.332,0.203,0.027,0.901,0.342,0.254,0.203,1.885,0.302,0.177,0.375,0.615,0.09,0.606,0.309,0.09,0,0.606,0.125,2.605,0
105,0.004,0,0.004,0.004,0.324,0,0.092,0.628,0.038,0.087,0,0.047,0.25,0.004,0,0.004,0.062,0.005,0,0.158,0.004,0.004,1.658,0.051,0.004,0.004,0,0.005,0.292,1.032,0.004,0.005,0.004,0.005,0.004,3.145,0.307,0.004,1.156,0
106,2.961,0,0.285,0.352,0.754,0,0.005,0.005,0.858,3.086,1.521,0.618,1.102,2.805,0,0.69,0.41,0.693,0,0.505,0.061,0.483,0,1.614,0.683,0.644,0,0.777,0.83,0.26,0.005,0.003,0.004,0.005,0.004,3.433,0.004,0.005,0.006,2.408
107,1.421,2.268,0.825,0.193,0.775,4.21,0.502,0.552,0.299,0.798,0.26,0.418,0.277,1.354,6.496,0.519,0.377,0.623,2.13,0.166,0.421,0.504,1.005,0.731,0.703,0.531,2.143,0.527,0.213,1.031,0.538,0.522,1.092,0.677,1.037,0,0.996,0.794,1.27,1.234
108,0.124,0.705,0.35,0.16,0.199,2.624,1.173,0.047,0.006,0.918,0.778,0.085,0.228,1.49,5.609,0,0.168,0.149,0.421,0,0.37,0.816,1.587,0.826,0.732,0.754,0.315,0,0.792,0.587,1.137,2.967,0.405,0.71,0.43,4.407,0.725,0.822,0.728,1.034
109,0.263,0.89,0,0.254,0.533,1.993,0.98,0.213,0.349,0.272,0.19,0.405,0.534,0.101,0,2.016,0.519,0.224,0.662,0,0.157,0.301,0.594,0.372,0.058,0.285,0.319,1.383,0.214,0.094,0.391,1.811,0.112,0.244,0.006,3.578,0.099,0.004,0.161,0.016
110,0.045,0.892,0,0.65,0.144,2.013,0.041,0.391,1.117,0.204,0.04,0.03,0.036,0.007,6.107,0,0.065,0.016,0.158,3.258,0.214,0.69,0.913,0.412,0.432,0.559,0.177,0.076,0.892,0.006,0.377,0,0.41,0.308,0.111,2.353,0.607,0.499,0.306,0.529
111,0.135,0.428,0,0.564,0.686,0.639,0.005,0.082,0.213,0.007,0.005,0.006,0.232,0.304,0.699,0,0.319,0.186,0.005,1.785,0.108,0.01,0.278,0,0.007,0.211,0.082,0.853,0.051,0.278,0.026,1.572,0.01,0.011,0.011,0.01,0,0.059,0.006,0.008
112,0.14,0.613,2.1,0.348,0.301,0.427,0.753,0.444,0.24,0.069,0.065,2.544,0.323,0.214,1.946,3.148,0.353,0.568,0.205,0.928,0.331,0.319,0.212,0,0.029,0.507,0.381,1.786,0.105,0.247,0.23,0.835,0.319,0.464,0.527,0.755,0,0.388,0.558,0.392
113,0.136,0.429,0.355,0.08,0.301,0.177,0.322,0,0.216,0.453,0.004,1.214,0.005,0.006,0.279,1.453,0.004,0.005,0.006,0.005,0,0.147,0.456,4.294,0.144,0.005,0.143,0.574,0.547,0.005,0.265,0.004,0,0.045,0.288,0.008,0,0.005,0.005,0.161
114,0.844,0.333,2.642,0.474,0.12,0.007,0.245,0,0.006,0.129,0.104,0.776,0.211,0.319,0.756,1.606,1.128,0.091,0.484,0.699,0,0.005,0.005,2.166,0.005,0.005,0.005,0.006,0.047,0.006,0.01,0.004,0,0.276,0.207,0.315,0,0.497,0.461,0.005
115,0.136,0.82,1.078,0.734,0.011,0.616,0.891,3.324,0.239,0.822,0.52,0.517,0.347,0.171,1.392,1.312,0.573,0.342,0.215,0.965,0,0.325,0.557,1.836,0.196,0.665,0.32,0.733,0.298,0.141,0.035,0.388,1.221,0.048,0.084,0.653,5.323,0.263,0.188,0.007
116,0.029,0.333,0.101,0.73,0.071,0.374,0.642,4.527,0.292,0.206,0.05,0.049,1.701,0.11,0.107,0.369,2.371,0.048,0.051,0.114,0,0.315,0.055,0.582,1.375,0.158,0.196,0.076,0,0.051,0.029,0.159,0.16,0.067,0.222,0.01,2.23,0.148,0.23,0.077
117,0.343,0.006,0.008,0,0.763,0.007,0.534,3.828,0.626,0.654,0.19,0.173,0,0.647,0.006,1.79,0,0.254,0.465,0.426,5.396,0.22,0.004,0.004,0,0.591,0.555,0.249,0,0.01,0.004,0.578,0,0.143,0.005,0.726,1.709,1.09,0.279,0.564
118,0.698,0.122,0.309,3.112,0.787,0.337,0.999,4.294,0.6,0.833,0.48,0.434,0,0.307,0.161,1.78,2.79,0.263,0.839,1.202,2.992,0.261,0.043,0.941,1.263,0.142,0.138,0.121,1.608,0.04,0.587,0.015,2.941,0.582,0.139,0.802,2.16,1.855,0.62,0.526
119,0.015,0.134,0.019,1.46,0.112,0.008,0.288,5.552,0,0.353,0.103,0.131,3.885,0.315,0.022,0.135,1.322,0.131,0.144,0.244,0.539,0.249,0.23,0.076,0.41,0.354,0.419,0.143,0.275,0.016,0.005,0.223,0,0,0.236,0.255,0.005,1.093,0.33,0.108
120,0.11,0.086,0.124,0.257,0.073,0.01,0.022,1.274,0,0.089,0.01,0.024,1.477,0.035,0.085,0.073,0.182,0.131,0.024,0.186,0.088,0.219,0.283,0.014,0.028,0.096,0.151,0.087,0.052,0.02,0.016,0.012,1.668,0,0.014,0.009,0.009,0,0.025,0.015
121,0.008,0.006,0.007,0.006,0.766,0.007,0.006,0.007,4.163,0.008,0.334,0.338,1.078,0.292,0.554,0.215,0.556,0.211,0.015,0.052,0.007,1.039,0.322,0.517,0.955,0.423,0.202,0.33,0.762,0.25,0.333,0.322,0.005,0,0.473,0.623,0.119,0,0.176,1.227
122,0.351,0.006,0.312,1.31,1.54,0.305,0.005,0.788,1.948,0.007,0.302,0.595,1.462,0.672,0.47,0.292,1.056,1.064,0.375,0.425,1.745,0,0.356,0.418,0.667,0.073,0.436,0.328,0.234,0.892,0.408,0.146,0.005,4.112,0.151,0.121,0.091,0,0.035,0.339
123,1.656,0.089,1.304,1.801,1.468,1.446,0.74,2.144,0.653,0.43,0.404,1.469,1.652,0.004,0.606,0.735,0.839,0.613,0.496,0.383,2.387,0,0.006,0.424,1.303,1.31,1.061,1.119,1.95,0,0.135,0.247,0.092,0,0.281,0.027,0.082,6.067,0.262,0.062
124,0,0.297,0.303,0.301,0,0.005,0.522,1.479,0.7,0.006,0.167,0.061,0.06,3.074,1.023,0.379,0.632,0.023,0.509,0.556,0.155,0,0.067,0.117,0.354,0.322,0.098,0.38,0.389,3.817,0.448,0.143,0.344,0,0.294,0.006,1.225,5.785,0.07,0.006
125,0,0.202,0.02,0.015,0,0.044,0.341,0.131,0.014,0.246,0.006,0.229,0.054,0.448,0.619,0.012,0.019,0.008,0.091,0.169,0.004,4.912,0.007,0.303,0.008,0.006,0.008,0.009,0.011,0,0.154,0.328,0.102,0,0.009,0.473,0.079,0.742,0.226,0.006
126,0,0.067,0.473,0.303,4.064,0.021,0.325,0.837,1.36,1.823,0.359,0.314,0.552,0.54,0.508,0.07,0.255,0.609,0.415,0.551,0.593,2.6,0.15,0.331,0.535,0.01,0.775,0.246,0.009,0,0.282,0.712,0.399,8.119,0.23,0.568,0.085,2.781,0.543,0.084
127,0,0.006,0.176,0.135,1.389,0.418,0.008,0.163,0.01,0,0.004,0.423,0.174,0.504,0.301,0.037,0.215,0.379,0.42,0.16,0.012,0.046,0.069,0.012,0.029,0.014,0.013,0.166,0.236,0,0.93,0.009,0.009,2.569,0.013,0.02,0.012,0.644,0.012,0.084
128,7.379,0.219,0.695,0.242,0.656,1.677,0.391,0.048,1.342,1.869,0.496,0.918,0.313,0,1.283,0.006,0.913,0.293,0.976,0.616,0.295,0.026,0.34,0.006,0.164,0.513,0.006,0.144,0.005,2.741,0,0.072,1.134,1.553,0.691,0.452,1.176,1.565,0,0.299
129,2.997,0.174,0.501,0.136,0.439,3.183,0.005,0.034,0.005,0.902,0.006,0.369,0.8,2.616,1.042,0.562,0.832,0.308,0,0.615,0.366,0.392,0.947,0.598,0.129,0.2,0.264,1.878,0.214,2.059,3.833,0.13,0.473,1.793,0,0.608,0.079,0.706,0,0.004
130,0.325,1.752,0.408,1.273,0.816,0,0,0.418,0.418,0.004,1.517,0.511,0.003,0,0,0.003,0.9,0.476,0,0.765,0.13,0.463,1.214,0.259,0.211,1.398,0.003,0.635,0.847,0.1,0,0.87,0.004,2.799,2.457,0.352,0.479,0.55,4.342,0.003
131,2.157,0,0.573,0.334,0.88,0,0.005,0.299,0.061,0.935,0,0.168,0.083,2.129,0,0.466,0.004,0.198,0,0.003,0.326,0.292,0.551,1.079,0.283,0.325,0.753,0.253,0.927,2.758,2.443,0.374,0.006,1.178,1.783,0.004,0.004,0.004,0,0
132,0.005,1.581,0.104,0.003,0.008,0,0.005,0.003,0.004,0.127,0,0.391,0.003,1.268,0,0.004,0.508,0.257,0,0.143,0.168,0.599,0.927,0.542,0.185,0.288,0.738,0.889,0.771,2.112,0.6,0.062,0.306,0.166,0,0.421,0.478,0.265,0,0
133,1.215,1.307,0.197,0.099,0.639,0,0.146,0.548,0.389,0.232,1.411,0.228,0.271,1.009,0,0.537,0.436,0.112,5.786,0.503,0.681,0.343,0.19,0.544,0.505,0.533,0.853,0.12,0.296,1.455,0.918,0.256,0.34,0.761,1.017,0.688,0.225,0.444,2.436,0.576
134,0.103,0,0.007,0.1,0.114,3.31,0.525,0.005,0.165,0.023,0.047,0.221,0.77,0.252,0,0.027,0.366,0.059,0,0.136,0.008,0.549,0.17,0.793,0.649,0.428,0.801,0,0.098,0.643,0.034,0.922,0.036,2.517,0.859,1.217,0.179,0.111,1.241,1.645
135,1.599,3.968,1.168,0.035,1.049,1.936,0,0.354,0.312,0.906,0.077,0.006,0.007,0.039,7.308,0.006,0.007,0.006,2.958,0.008,0.572,0.269,0.688,1.522,0.225,0.705,0.482,2.771,0.853,0.161,2.485,0,0.621,0.42,0.182,0,1.019,0.532,0.065,1.2
136,0.005,1.112,0.006,0.006,0.006,1.052,0,0.081,0.742,0.01,0.095,0,0.145,0.395,2.296,0.117,0.228,0.401,0.606,0,0.429,0.607,0.347,0,0.423,0.699,0.407,2.959,0.911,0.519,0.351,0,0.296,0.591,0.385,0,0.209,0.402,0.999,0.673
137,0.463,0.604,0,0.612,0.528,2.457,1.808,0.128,0.056,0.599,0.565,0,0.524,0.524,0.937,0.368,0.581,0.727,0.524,0,0.005,0.006,0.005,2.892,0.007,0.104,0.006,0,0.006,0.005,0.193,3.774,0.303,0.007,0.493,1.753,0.112,0.006,0.318,0.006
138,0.23,0.514,1.617,0.885,0.721,0.569,0.911,0.994,0.812,0.582,0.185,4.304,0.611,0.274,1.748,0.878,0.611,0.578,2.264,4.007,0.162,0.61,0.652,0,0.264,0.389,0.739,0,0.469,0.402,0.481,0,0.545,0.606,0.942,0.434,0,0.064,0.397,0.505
139,0.258,0.618,0.655,0.421,0.267,1.03,0.887,0.101,0.419,0.32,0.005,3.417,0.058,0.369,0.081,0.316,0.398,0.54,0.014,1.81,0.214,0.165,0.301,3.37,0.143,0.089,0.141,0,0.449,0.037,0.214,2.387,0.084,0.051,0.336,0.007,2.096,0.026,0.026,0.149
140,1.258,0.892,0,0.677,0.013,0.045,0.664,0,0.268,0.049,0.105,2.186,0.023,0.647,1.021,0.904,0.551,0.055,0.431,0.424,0.111,0.013,0.252,0,0.061,0.004,0.101,0,0.718,0.004,0.618,0.005,0.354,0.466,0.268,0.97,1.67,1.064,0.355,0.189
141,0.59,0.004,3.391,0.397,0.005,0.004,0.004,0,0.003,0.004,0.718,2.647,1.026,0.191,0.349,1.12,0,0.003,0.005,0.004,0.317,0.483,0.342,5.224,0.133,0.366,0.543,0,0.004,0.119,0.003,0.004,0,0.003,0.786,0.004,0,0.003,0.608,0.003
142,0.021,0.141,1.887,0.168,0.005,0.017,0.027,0,0.071,0.022,0.208,1.573,0.26,0.173,0.162,0.281,0.232,0.44,0.165,0.617,0.045,0.021,0.041,1.998,0.043,0.068,0.032,8.172,0.007,0.035,0.035,0.204,0,0.238,0.306,0.004,2.813,0.186,0.071,0.004
143,0.006,0.195,1.275,1.698,0.736,0.751,0.015,0,0.676,0.751,0.398,0.042,0.978,0.02,1.785,1.226,1.308,0.391,2.483,0.416,0.42,0.546,0.06,0.032,0,0.298,0.209,1.932,0,0.011,0.066,0.879,0,0.47,0.494,0.01,0.992,0.037,0.525,0.102
144,0.035,0.005,0.044,1.689,0.07,0.006,0.222,2.085,0.024,0.102,0.224,0.841,2.21,0.543,0.027,0.622,1.304,0.216,0.515,0.328,0.084,0.423,0.347,0.091,0,0.367,0.319,1.114,3.29,0.112,0.004,0.884,0,0.055,0.285,0.886,0.17,0.969,0.227,0.051
145,0.713,0.458,0.915,0,0.115,0.159,0.329,1.126,0.423,0.48,0.487,0.375,1.255,0.252,0.081,0.079,0.676,0.279,0.392,0.259,0.091,0.191,0.025,0.196,1.719,0.012,0.185,0.032,1.716,0.027,0.306,0.054,1.706,0.147,0.34,0.128,0.139,0,0.075,0.133
146,0.138,0.239,0.106,0,0.005,0.087,0.504,0.698,0,0.075,0.07,0.008,1.943,0.1,0.21,0.086,1.318,0.01,0.168,0.006,0.265,0.246,0.005,0.15,0.091,0.042,0.278,0.49,0.562,0.415,0.222,0.284,0.05,0.125,0.283,0.04,0.495,0,0.154,0.362
147,0.011,0.053,0.019,1.701,0.034,0.009,0.107,0.055,0,0.121,0.005,0.247,1.607,0.331,0.16,0.059,0.418,0.312,0.181,0.195,0.13,0.374,0.041,0.099,0.168,0,0.008,0.052,0.194,0.005,0.022,0.268,0.26,0.886,0.372,0.503,0.036,0,0.323,0.45
148,1.114,0.006,1.275,1.762,0.722,1.43,1.111,1.235,0,0.524,0.415,1.455,0.664,0.468,0.123,0.503,0.81,1.027,0.576,0.534,0.713,0,0.005,0.336,0.929,0,0.645,1.029,1.665,1.166,0.005,0.006,0.006,0,0.009,0.004,0.009,5.442,0.025,0.005
149,1.087,0.006,0.473,1.416,1.219,0.214,0.732,0.781,0,0.778,0.005,0.006,2.225,1.038,0.407,0.005,0.805,0.698,0.095,0.623,0.405,2.001,0.418,1.264,1.66,0,0.681,0.548,0.819,0,0.008,0.005,0.007,3.133,0.005,0.006,0.006,4.119,0.009,0.006
150,0.128,0.005,0.205,0.605,2.543,0.228,0.005,0.345,3.123,0.005,0.753,0.757,1.645,1.196,0.666,1.254,0.745,0.675,0.005,0.424,0.203,0,0.006,0.061,0.309,0,0.253,0.049,0.22,0,0.844,0.835,0.004,2.295,0.503,1.038,0.689,0,0.304,0.9
151,0.457,0.065,0.229,0.731,0,0.483,0.23,0.254,0.079,0.173,0.036,0.17,1.276,0.59,0.245,0.176,0.666,0.168,0.068,0.192,0.003,0,0.11,0.124,0.003,0,0.004,0.14,0.19,4.863,0.03,0.006,0.317,1.782,0.006,0.029,0.007,2.786,0.007,0.005
152,0.417,0.074,0.29,0.455,4.274,0.008,0.219,0.345,1.577,0.625,0.84,1.037,1.014,1.026,0.956,0.007,0.288,0,0.847,0.215,0.335,2.337,0.005,0.146,0.184,0,0.301,0.262,0.006,0,0.385,0.49,0.51,0,0.777,1.138,1.314,2.028,1.001,0.855
153,0,1.183,1.032,0.093,0,0.091,0.858,0.053,2.814,1.798,0.531,1.788,2.051,5.798,1.097,0.743,0.343,1.998,0.952,0.993,0.075,0.171,0.015,0.372,0.482,4.983,0.791,0.199,0.038,0,0.456,0.89,0.736,2.194,1.882,0.138,0.104,3.355,0,0.977
154,1.439,0.018,0.065,0.005,0,0.054,0.005,0.044,0.043,0,0.006,0.095,0.172,0,0.347,0.12,0.354,0.848,0.137,0.13,0.006,0.896,0.327,0.101,0.438,1.248,0.984,0.159,0.144,0,0.292,0.405,0.39,1.268,0.182,0.351,0.059,0.188,0,0.153
155,0.579,0.496,1.141,0.234,3.12,0.2,0.089,0.215,0.768,3.227,0.671,0.638,0.107,0,1.373,0.338,1.14,0.347,0.074,0.497,0.874,0.022,0.925,0.005,0.59,0.919,0.09,0.164,0.004,0,0.242,0.76,0.644,1.612,3.353,0.71,0.834,1.594,3.659,0.123
156,0.346,0.89,0.614,0.158,1.446,0.406,0.475,0.876,0.331,0,0.353,0.234,0.104,4.134,0.212,0.054,0.006,0.018,0.028,0.027,0.301,1.017,1.12,0.48,0.317,2.307,0.535,0.529,0.936,0,4.378,1.086,0.753,0.265,2.754,0.005,0.047,0.007,2.546,0.004
157,0.12,1.215,0.848,0.308,1.435,0.024,0.61,0.078,2.673,2.838,1.069,0.94,0.43,1.275,1.049,0.053,0.949,0.165,0.228,0.534,0.165,0.152,0,0.026,0.085,0.042,0,0.143,0.005,3.492,0,0.027,0.864,0.196,0,0.555,1.195,0.229,0.351,0.039
158,0.689,0,1.153,0.313,4.241,0,0.005,0.407,0.386,1.297,0,0.757,0.308,1.592,0.775,0.274,0.005,0.521,0,0.01,0.445,0.825,0,0.21,0.604,1.252,0,0.603,0.808,2.445,3.198,0.005,0.008,0.008,2.532,0.005,0.006,0.005,0.007,0.004
159,0.401,0,0.441,0.016,0.356,0,0.004,0.314,0.006,0.261,1.538,0.044,0.087,0.644,0,0.018,0.004,0.035,3.098,0.007,0.164,0.498,0,0.373,0.502,0.177,3.623,0.285,0.203,1.888,1.954,0.005,0.342,0.146,1.026,0.264,0.099,0.071,0.085,0.584
160,0.668,3.437,0.006,0.412,1.114,0,0.455,0.797,1.22,1.343,0.396,0.679,0.187,1.438,0,0.331,1.126,0.89,0,1.14,0.006,0.005,5.29,0.007,0.006,0.006,2.004,0.005,0.006,1.625,1.56,0.004,0.722,0.1,0.151,0.281,0.875,0.596,2.031,0.523
161,0.573,0,0.401,0.005,0.717,0,0.008,0.007,0.134,0.664,0.068,0.195,0.752,0.844,0,0.007,0.245,0.007,4.133,0.007,0.283,0.044,2.816,0.558,0.522,0.584,0.817,0.802,0.312,3.686,1.013,0.007,0.504,0.222,0.007,1.298,0.008,0.006,0.183,0
162,0.078,2.675,0.04,0.035,0.309,2.631,0.233,0.432,1.002,0.205,0.369,0.116,0.351,0.534,0,0.41,0.337,0.635,3.619,0.868,0.086,0.097,0.959,0,0.148,0.14,0.101,1.348,0.199,0.149,1.035,0,0.937,0.472,1.249,0.328,0.428,0.292,0.958,1.5
163,0.067,1.629,0.787,0.184,0.415,1.511,0.005,0.545,0.802,0.15,0.007,0.179,0.122,0.046,2.217,0.194,0.281,0.125,4.271,0,0.289,0.223,0.681,2.954,0.354,0.334,0.243,2.251,0.42,0.028,1.481,0,0.145,0.233,0.381,2.691,0.378,0.309,0.33,0.42
164,0.266,0.965,1.793,0.359,0.277,0.633,0.007,0.094,0.034,0.239,0.072,0,0.221,0.045,0.595,1.151,0.308,0.097,2.34,0,0.004,0.166,0.006,2.237,0.006,0.004,0.004,0,0.006,0.005,0.15,0,0.021,0.342,0.102,1.359,0.004,0.208,0.087,0.472
165,0.806,0.229,2.056,0.135,0.006,1.344,0.544,0.373,0.005,0.007,0.218,0,0.348,0.486,1.103,0,0.576,0.007,1.037,0,0.656,0.739,1.733,0,0.529,0.673,1.092,0,0.977,0.77,0.371,6.647,0.183,0.155,0.083,0.71,0.339,0.302,0.453,0.005
166,1.033,2.227,1.755,1.406,0.474,2.012,0.499,0.843,0.608,0.257,0.007,0,0.311,0.496,1.207,0,0.676,0.781,0.52,3.02,0.006,0.57,0.245,0,0.01,0.409,0.124,0,0.007,0.341,0.249,2.787,0.143,0.104,0.429,0.142,0.577,0.198,0.557,0.707
167,0.005,1.181,0.942,0.623,0.004,0.574,0.005,0,0.007,0.01,0.007,0,1.968,0.006,1.751,0,0.003,0.168,1.949,1.397,0.329,0.255,0.458,4.969,0.136,0.008,0.273,5.716,0.864,0.028,0.563,0.004,0.005,0.01,0.004,0.007,2.861,0.007,0.16,0.127
168,0.006,0.644,0.947,0.221,0.317,0.945,0.147,0,0.402,0.334,0.121,2.394,0.141,0.006,0.812,0,0.622,0.208,0.343,0.075,0,0.172,0.087,2.803,0.005,0.199,0.346,2.596,0.005,0.024,0.756,0.969,0.418,0.399,0.615,0.011,0.636,0.122,0.137,0.753
169,0.664,0.383,1.671,0.126,0.173,0.11,0.874,4.398,0.007,0.01,0.075,0.884,0.07,0.209,0.192,2.699,0.424,0.02,0.347,0.509,0,0.188,0.184,0.455,0,0.214,0.175,0.463,0,0.215,0.419,1.578,0.875,0.262,0.138,0.756,0.617,1.049,0.612,0.021
170,0.084,0.177,1.429,0.176,0.006,0.226,0.126,0,0.139,0.165,0.005,0.458,1.257,0.089,0.124,0.28,0,0.171,0.199,0.15,0,0.857,0.143,1.588,0,0.652,0.17,1.251,2.806,0.269,0.058,0.164,0.999,0.137,0.123,0.006,1.19,0.238,0.167,0.079
171,0.253,0.587,1.214,0,0.004,0.187,1.409,5.938,0.005,0.187,0.995,0.213,0,0.849,0.004,1.704,0,0.815,0.752,0.762,2.125,0.262,0.481,0.839,3.763,0.195,0.475,0.91,1.716,0.076,0.518,2.99,0,0.82,0.816,1.027,0.234,1.762,0.617,0.516
172,0.478,0.23,0.716,0,0.211,0.099,0.476,0,0.38,0.679,0.342,0.302,0,0.201,0.262,1.887,3.553,0.094,0.223,0.523,0.249,0.546,0.075,0.236,1.202,0.471,0.292,1.125,0.509,0.098,0.531,0.11,1.491,0.476,0.032,0.331,0.351,0.127,0.173,0.463
173,0.083,0.037,0.008,1.471,0.038,0.122,0.082,3.031,0,0.088,0.149,0.211,5.087,0.653,0.149,1.351,0,0.672,0.604,0.535,0.007,0.389,0.609,3.427,0.754,0.125,0.382,0.061,0.182,0.009,0.008,0.568,0.433,0.394,0.552,1.307,0.324,3.067,0.353,0.209
174,0.006,0.863,0.244,0.671,0.006,0.006,0.139,0.414,0,0.141,0.006,0.022,0,0.005,0.008,0.005,2.513,0.006,0.008,0.004,0.541,1.225,0.964,3.659,0.988,0.004,0.004,0.748,3.279,0.005,0.014,0.039,0.004,0,0.154,0.004,0.071,3.02,0.188,0.112
175,0.18,0.78,0.378,0.95,0.006,0.006,2.14,4.611,0,2.837,0.005,0.009,5.154,0.01,0.003,0.004,0,0.006,0.006,0.005,0.454,0.397,0.306,1.068,0.998,0.296,0.309,0.462,0.277,0.128,0.004,6.28,1.726,0,0.716,0.225,1.567,0,1.379,0.003
176,0.464,0.102,0.245,0.512,0.11,0.289,0.446,2.176,5.145,0.365,0.243,0.454,2.704,0.068,0.109,0.317,2.407,0.299,0.099,0.197,0.249,0,0.343,0.379,0.885,0.225,0.582,0.251,0.016,2.538,0.13,0.384,0.453,3.772,0.156,0.232,0.452,3.147,0.319,0.336
177,0.151,0.025,0.05,0.245,2.529,0.076,0.018,0.5,2.008,0.032,0.549,0.243,1.302,0.649,0.238,0.02,0.334,0,0.244,0.288,0.195,0,0.004,0.351,0.06,0.003,0.131,0.209,0.385,0,0.217,0.112,0.016,3.198,0.126,0.697,0.007,0.738,0.036,0.329
178,0.005,0.004,0.207,0.103,0,0.004,0.411,0.261,0.031,0.135,0.015,0.005,0.014,0,0.005,0.02,0.005,1.366,0.004,0.009,0.501,5.665,0.229,0.015,0.004,0.487,0.005,0.576,0.006,5.093,0.004,0.169,0.004,0,0.004,0.268,0.402,0.634,0.216,0.004
179,0.48,0.314,0.347,0.631,3.8,0.01,0.323,0.415,0.706,0.823,0.008,0.783,2.449,0,1.304,0.007,0.911,0.791,0.705,1.117,0.006,3.343,0.007,0.558,0.664,0.007,0.9,0.346,0.007,0,0.402,0.366,0.533,5.496,0.632,1.141,0.76,1.304,0.319,0.265
180,0,1.367,0.963,0.004,0,0.004,0.005,0.004,0.005,0.007,0.003,0.905,1.403,0,1.325,0.811,1.46,0.899,0.732,0.206,0.288,2.066,0.064,0.242,0.486,0.038,0.151,0.325,0.112,4.391,1.127,0.612,1.29,6.52,1.074,0.137,1.631,2.467,0.714,0.252
181,0,0.007,0.178,0.108,2.799,0.014,0.557,0.19,0.718,0.202,0.145,0.597,0.767,0,0.682,0.294,0.346,0.719,0.491,0.41,0.039,0.369,0.041,0.006,0.024,0.398,0.009,0.017,0.013,5.821,0.056,0.109,0.785,2.612,0.31,0.273,0.568,0.672,0.007,0.069
