%iowait,aceph01,aceph02,aceph03,aceph04
176,46.3,41.04,28.9,49.11
177,41.31,58.35,46.12,40.23
178,18.51,36.54,31.97,50.12
179,30.1,37.15,71.07,33.72
180,23.35,25.06,36.45,28.93
181,26.88,48.18,36.2,28.88
182,25.19,44.89,29.47,36.23
183,34.01,47.42,39.24,27.26
184,36.17,60.48,48.04,41.54
185,25.7,29.3,36.84,36.86
186,22.09,41.14,30.47,28.08
187,19.13,50.06,68.01,26.8
188,29.46,38.53,47.03,41.15
189,34.77,27.38,25.84,62.52
190,22.0,21.86,23.83,37.1
191,41.83,36.51,30.38,27.51
192,39.67,43.53,42.12,27.63
193,26.0,19.39,34.71,36.43
194,16.2,15.59,30.99,24.65
195,33.5,33.88,38.24,18.69
196,51.21,30.18,54.72,34.89
197,40.76,22.88,46.83,60.99
198,36.27,29.86,46.78,43.32
199,34.65,26.83,32.57,42.26
200,57.29,39.25,43.0,33.8
201,31.46,27.88,30.4,46.46
202,35.94,42.79,31.27,34.84
203,51.07,43.75,30.68,45.08
204,28.17,27.62,32.03,53.97
205,30.54,49.17,36.88,36.63
206,30.62,36.74,35.62,39.26
207,25.29,36.16,37.4,29.15
208,28.5,53.13,56.82,35.03
209,27.26,54.7,26.83,36.41
210,30.06,49.43,28.98,30.19
211,5.2,16.96,18.36,29.07
212,33.54,41.64,26.45,13.93
213,34.22,44.85,24.94,40.45
214,27.69,45.85,35.86,49.62
215,25.82,19.75,35.1,31.86
216,15.12,13.61,29.43,23.83
217,37.12,25.35,49.56,13.17
218,38.43,36.56,37.97,23.22
219,35.78,36.08,28.54,28.43
220,27.9,33.21,41.69,38.05
221,18.08,22.54,17.95,48.04
222,10.83,15.48,21.64,19.59
223,26.32,34.56,43.79,24.84
224,31.66,31.11,43.09,33.67
225,30.84,36.84,35.91,37.48
226,39.8,31.41,47.16,30.43
227,34.27,28.72,30.98,43.81
228,44.53,32.75,38.64,28.43
229,35.45,34.3,40.91,39.75
230,34.56,31.9,30.3,39.12
