op_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
244,164845129728,138465595392,154587496448,148275228672,135668662272,154588221440,112672235520,181594238976,142507454464,189646729216,115319996416,147787636736,157202305024,177157922816,191391027200,151547084800,150483402752,178384027648,164181962752,177587671040,144458989568,159498977280,172304646144,191563177984,183909638144,163568353280,128867586048,198254637056,156763746304,172445143040,148996734976,127001055232,164087701504,185483788288,156649693184,162570973184,148084174848,175812386816,229981351936,134874763264
245,164845264896,138465595392,154587631616,148275392512,135668858880,154588221440,112672235520,181594501120,142507618304,189646929920,115320090624,147787747328,157202415616,177158098944,191391059968,151547211776,150483578880,178384175104,164182298624,177587838976,144459087872,159499091968,172304769024,191563333632,183909797888,163568521216,128867663872,198254637056,156763815936,172445306880,148996952064,127001133056,164087844864,185483948032,156649824256,162570973184,148084314112,175812591616,229981593600,134874816512
246,164845359104,138465595392,154587713536,148275486720,135668953088,154588340224,112672370688,181594619904,142507716608,189647056896,115320172544,147787898880,157202554880,177158254592,191391059968,151547297792,150483668992,178384265216,164182482944,177588011008,144459120640,159499157504,172304814080,191563403264,183909888000,163568586752,128867717120,198254637056,156763860992,172445368320,148997042176,127001206784,164087963648,185484124160,156649967616,162570981376,148084445184,175812702208,229981831168,134874939392
247,164845420544,138465701888,154587746304,148275519488,135668985856,154588606464,112672370688,181594677248,142507753472,189647110144,115320209408,147787964416,157202608128,177158303744,191391059968,151547322368,150483697664,178384297984,164182507520,177588011008,144459333632,159499415552,172305100800,191563538432,183910203392,163568803840,128867880960,198254637056,156764102656,172445605888,148997099520,127001206784,164088012800,185484206080,156650008576,162570981376,148084486144,175812763648,229981933568,134875209728
248,164845694976,138466222080,154587881472,148275695616,135669174272,154588884992,112672370688,181594943488,142507921408,189647343616,115320406016,147787984896,157202776064,177158500352,191391375360,151547510784,150483886080,178384523264,164182749184,177588011008,144459403264,159499591680,172305231872,191563735040,183910293504,163568914432,128867934208,198254637056,156764233728,172445753344,148997283840,127001206784,164088254464,185484414976,156650217472,162571694080,148084658176,175813054464,229982318592,134875377664
249,164845776896,138466291712,154587881472,148275798016,135669272576,154588954624,112672710656,181595049984,142507991040,189647462400,115320471552,147787984896,157202890752,177158623232,191391989760,151547584512,150483972096,178384662528,164182872064,177588035584,144459522048,159499776000,172305424384,191563735040,183910457344,163569086464,128868081664,198254637056,156764344320,172445941760,148997373952,127001206784,164088381440,185484521472,156650344448,162571825152,148084658176,175813173248,229982498816,134875484160
250,164845903872,138466439168,154587930624,148275970048,135669403648,154589179904,112672837632,181595234304,142508118016,189647626240,115320553472,147787984896,157203070976,177158770688,191392272384,151547711488,150484086784,178384855040,164182990848,177588596736,144459522048,159499788288,172305448960,191563735040,183910465536,163569111040,128868106240,198254637056,156764360704,172445958144,148997513216,127001608192,164088504320,185484660736,156650471424,162571972608,148084695040,175813332992,229982683136,134875574272
251,164845928448,138466447360,154587930624,148275986432,135669407744,154589192192,112672841728,181595238400,142508130304,189647646720,115320561664,147788021760,157203095552,177158778880,191392284672,151547731968,150484094976,178384863232,164183003136,177588600832,144459718656,159500054528,172305711104,191564308480,183910633472,163569332224,128868298752,198254718976,156764696576,172446199808,148997533696,127001620480,164088549376,185484685312,156650479616,162571980800,148084695040,175813345280,229982703616,134875590656
252,164846206976,138466697216,154587930624,148276289536,135669673984,154589511680,112673001472,181595578368,142508363776,189647912960,115320733696,147788587008,157203402752,177159081984,191392694272,151548100608,150484340736,178385129472,164183285760,177588789248,144459759616,159500226560,172305846272,191564546048,183910633472,163569491968,128868417536,198255804416,156764827648,172446400512,148997828608,127001882624,164088561664,185485090816,156650745856,162572201984,148084695040,175813574656,229983092736,134875799552
253,164846350336,138466856960,154587930624,148276289536,135669825536,154589712384,112673132544,181595578368,142508507136,189648134144,115320827904,147788742656,157203542016,177159213056,191392952320,151548252160,150484504576,178385330176,164183433216,177588948992,144459759616,159500406784,172306063360,191564775424,183910633472,163569721344,128868585472,198256128000,156764856320,172446597120,148997967872,127001985024,164088561664,185485279232,156650942464,162572312576,148085268480,175813693440,229983367168,134875906048
