kbmemused,aceph01,aceph02,aceph03,aceph04
122,8841228.0,8752088.0,8944380.0,8813968.0
123,8840436.0,8751712.0,8948948.0,8818220.0
124,8846744.0,8756876.0,8958156.0,8823696.0
125,8849720.0,8760372.0,8962932.0,8829276.0
126,8851068.0,8763592.0,8966796.0,8833740.0
127,8854764.0,8755924.0,8967584.0,8837004.0
128,8887888.0,8787508.0,9005436.0,8831868.0
129,8860096.0,8756920.0,8976420.0,8832972.0
130,8858584.0,8758360.0,8972232.0,8853832.0
131,8865784.0,8762672.0,8972520.0,8845336.0
132,8873216.0,8769112.0,8980092.0,8851104.0
133,8876140.0,8774076.0,8986568.0,8855436.0
134,8873828.0,8776544.0,8985216.0,8863908.0
135,8876160.0,8779308.0,8989764.0,8864244.0
136,8879260.0,8779920.0,8993728.0,8872228.0
137,8874832.0,8779772.0,8996276.0,8877688.0
138,8877396.0,8783340.0,8995912.0,8878660.0
139,8904528.0,8834248.0,9016228.0,8879380.0
140,8907176.0,8782292.0,9002152.0,8899436.0
141,8883364.0,8785432.0,8997396.0,8893788.0
142,8889472.0,8788304.0,9000680.0,8882248.0
143,8875204.0,8789544.0,9001856.0,8885088.0
144,8874348.0,8789320.0,9003964.0,8890144.0
145,8876308.0,8789216.0,9008120.0,8892240.0
146,8879648.0,8792844.0,9022796.0,8896068.0
147,8885940.0,8803904.0,9014564.0,8894612.0
148,8888656.0,8808540.0,9064124.0,8882440.0
149,8892312.0,8806440.0,9016420.0,8885668.0
150,8896124.0,8806156.0,9021156.0,8889172.0
151,8898380.0,8803408.0,9024552.0,8891848.0
152,8899816.0,8815972.0,9028056.0,8895580.0
153,8934868.0,8834980.0,9030920.0,8898712.0
154,8916104.0,8807216.0,9037152.0,8935708.0
155,8909052.0,8809592.0,9039408.0,8916888.0
156,8912200.0,8809308.0,9040300.0,8904328.0
157,8919112.0,8813680.0,9046640.0,8901308.0
158,8925368.0,8820944.0,9070780.0,8909372.0
159,8924024.0,8824244.0,9050100.0,8915528.0
160,8933232.0,8832696.0,9056672.0,8918756.0
161,8935928.0,8841612.0,9065256.0,8928508.0
162,8946312.0,8847916.0,9071908.0,8930228.0
163,8949980.0,8873304.0,9073860.0,8934136.0
164,8952000.0,8846092.0,9076812.0,8943240.0
165,8984124.0,8848804.0,9080068.0,8955424.0
166,8963964.0,8850680.0,9081704.0,8986844.0
167,8950708.0,8853788.0,9080308.0,8967940.0
168,8952240.0,8854164.0,9085404.0,8944312.0
169,8958268.0,8856112.0,9103940.0,8945076.0
170,8960844.0,8859220.0,9123324.0,8939152.0
171,8960340.0,8862364.0,9086776.0,8940572.0
172,8964020.0,8863768.0,9093316.0,8941340.0
173,8955896.0,8867904.0,9086876.0,8944156.0
174,8959912.0,8871596.0,9084692.0,8950008.0
175,8962928.0,8894980.0,9089976.0,8950708.0
176,8985556.0,8871236.0,9090036.0,8980200.0
177,8994088.0,8873712.0,9101600.0,9004736.0
178,8960812.0,8877932.0,9108192.0,8956692.0
179,8960720.0,8883484.0,9110860.0,8957300.0
180,8959644.0,8874244.0,9145068.0,8963200.0
181,8962488.0,8877344.0,9135424.0,8968200.0
182,8961448.0,8878348.0,9114336.0,8969012.0
183,8962932.0,8884124.0,9118584.0,8972052.0
184,8963520.0,8886984.0,9122224.0,8975200.0
185,8968276.0,8890388.0,9128988.0,8976064.0
186,8974576.0,8890576.0,9132100.0,8982276.0
187,8977656.0,8877868.0,9133836.0,9006224.0
188,8986400.0,8884728.0,9135448.0,9005228.0
189,9024636.0,8932456.0,9139496.0,9040272.0
190,8991460.0,8888628.0,9176340.0,9021452.0
191,8995392.0,8888920.0,9146072.0,9002796.0
192,8994412.0,8892320.0,9148096.0,9006040.0
193,8997432.0,8888588.0,9146668.0,9006776.0
194,9004296.0,8895552.0,9156892.0,9005372.0
