%usr,aceph01,aceph02,aceph03,aceph04
317,8.19,9.67,7.66,42.09
318,12.61,8.18,7.82,7.14
319,21.55,18.23,26.73,6.52
320,25.13,38.61,30.83,29.81
321,34.42,28.43,36.08,25.29
322,11.0,13.99,14.54,30.18
323,15.46,18.14,16.67,16.37
324,11.32,10.94,12.05,18.45
325,11.04,10.96,10.33,15.13
326,53.32,26.29,34.12,11.28
327,12.94,19.12,12.83,36.93
328,41.24,29.51,31.05,12.01
329,20.96,15.29,16.29,33.84
330,39.54,39.8,39.85,15.28
331,49.74,40.23,35.09,28.3
332,36.71,34.94,34.85,42.89
333,4.77,2.9,4.16,34.1
334,44.96,44.68,56.31,8.15
335,42.01,59.43,45.21,45.13
336,17.58,19.6,22.58,45.84
337,21.55,20.17,19.75,14.23
338,43.98,34.92,29.67,20.91
339,21.25,18.39,18.19,28.43
340,8.35,7.54,8.26,17.66
341,24.21,27.71,22.42,7.7
342,33.08,26.53,25.79,25.82
343,30.57,24.9,23.02,21.67
344,56.84,62.72,57.51,23.11
345,29.77,23.18,20.3,47.94
346,10.22,5.9,7.37,33.96
347,17.78,12.67,12.82,8.34
348,7.82,7.7,7.63,14.03
349,33.12,23.37,35.66,7.9
350,22.28,22.95,24.94,23.12
351,36.17,44.08,45.98,25.82
352,33.88,23.59,30.76,31.72
353,17.11,14.99,14.52,22.91
354,38.79,43.74,36.55,11.57
355,33.76,26.87,28.39,55.65
356,27.35,16.54,19.72,28.59
357,9.45,3.4,3.14,17.77
358,19.28,10.34,12.5,5.55
359,15.08,16.33,14.05,12.94
360,66.71,74.29,65.44,11.84
361,21.62,17.34,19.6,68.25
362,14.18,13.64,15.3,18.09
363,3.14,7.52,6.93,15.21
364,23.67,24.31,23.79,7.16
365,14.41,17.28,12.99,23.46
366,20.78,19.15,13.96,13.94
367,45.15,48.98,46.29,16.06
368,17.74,13.61,12.47,40.95
369,14.72,10.58,9.45,14.55
370,40.56,33.25,43.24,10.0
371,60.91,47.84,51.39,28.21
372,43.3,44.5,46.44,63.43
373,37.53,34.69,44.32,43.31
374,9.0,8.84,10.96,27.3
375,46.34,48.03,34.44,8.59
376,38.64,28.66,29.75,35.96
377,19.11,20.0,20.68,33.91
378,11.04,10.93,12.96,17.07
379,22.89,21.76,18.73,11.25
380,26.25,26.88,28.3,24.47
381,30.46,30.35,42.7,26.27
382,9.07,7.57,9.09,31.19
383,24.59,16.58,21.07,8.79
384,18.62,9.51,14.75,19.27
385,62.04,44.3,51.32,23.25
386,29.37,40.84,30.14,49.49
387,24.17,20.55,26.19,35.43
388,27.88,22.19,23.07,19.47
389,10.98,11.01,10.68,21.8
390,67.59,63.81,45.79,11.32
391,18.12,13.17,25.38,58.32
392,17.84,20.56,21.59,14.41
393,15.85,10.9,15.72,21.61
394,31.46,41.33,34.05,18.01
395,17.83,22.03,15.26,28.61
396,23.28,19.82,17.83,15.58
397,39.02,34.43,38.39,16.94
398,20.08,18.82,24.94,33.17
399,11.49,11.66,11.13,15.04
