rxkB/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,4.56,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.0,0.58,0.57,0.57,0.58,0.57,0.58,0.57,0.58,0.56,0.57,0.58,0.57,0.0,0.0,0.57,0.0,0.0,0.58,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,1.27,0.7,0.0,0.56,0.12,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.32,0.0,0.0,0.32,0.33,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,0.31,0.0,0.32,0.32,0.0,0.0,4.68,4.79,0.0,0.0,0.24,0.23,0.32,0.32,0.22,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.87,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,6.48,7.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.0,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.56,0.0,0.0,0.32,4.03,0.32,4.94,5.57,0.0,0.0,0.62,0.68,0.32,0.32,6.15,4.73,0.23,0.22,5.04,7.01,0.0,0.32,0.0,0.0,0.32,0.32,0.0,0.0,0.32
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,6.05,0.84,0.0,26.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,9.52,4.82,0.0,0.0,0.0,0.0,5.2,5.43,6.7,6.54,5.37,5.32,0.0,0.0,0.0,4.31,0.0,0.0,1.24,6.34,0.0,0.0,0.0,0.0,0.0,2.87,5.2,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,2.55,0.7,0.25,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,4.43,5.27,61.72,4.03,0.9,0.32,0.2,0.32,0.32,0.0,0.0,0.32,4.0,0.0
7,0.0,4.52,3.99,3.99,4.07,4.47,4.56,4.66,4.61,3.95,8.68,4.52,0.84,4.52,14.26,0.84,5.62,7.99,6.44,9.25,3.99,7.44,6.08,0.0,8.48,8.48,0.79,0.45,0.53,8.48,6.54,3.99,0.0,0.0,0.35,0.52,0.0,0.0,5.73,6.96,0.0,0.58,3.99,7.7,4.5,0.65,0.0,6.44,7.19,6.34,7.07,5.39,0.52,2.55,0.0,2.52,2.52,0.0,0.0,0.0,0.0,2.43,2.5,0.0,0.0,0.0,2.5,2.52,2.47,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.61,4.56,4.56,4.52,4.03,4.03,4.03,3.99,2.73,3.99,2.47,2.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,3.95,4.03,2.92,0.0,4.73,0.84,0.9,0.0,7.62,4.36,4.31,9.24,0.49,4.36,0.0,4.47,1.0,0.53,4.52,3.99,15.59,0.34,0.0,10.24,10.27,0.35,4.68,17.39
8,4.34,0.0,0.51,0.57,0.52,0.0,0.0,0.0,0.0,0.57,0.84,0.0,3.99,0.0,0.91,3.94,0.0,1.87,1.85,1.08,0.52,1.11,0.76,7.44,1.1,0.71,0.0,6.88,6.85,0.0,0.58,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,7.07,0.0,0.53,0.64,4.79,0.0,6.34,0.73,0.67,0.59,0.74,0.0,0.32,2.0,0.52,2.02,2.02,4.56,4.56,4.56,4.52,2.06,2.07,4.52,4.47,4.61,2.0,2.02,2.02,4.52,4.26,4.52,4.56,2.5,4.42,4.61,4.61,0.0,0.0,0.0,0.0,0.52,0.53,0.53,0.52,1.77,0.52,2.07,2.02,0.32,4.61,4.56,4.47,4.52,4.56,4.56,4.94,4.89,0.0,4.89,4.94,4.84,4.84,4.84,4.89,4.89,4.79,4.84,4.84,4.89,4.89,0.53,0.63,0.0,0.0,4.27,4.52,4.47,4.56,8.07,0.62,0.59,0.58,0.7,4.78,0.58,0.0,0.0,4.52,0.0,0.0,0.0,0.74,4.73,29.78,0.66,0.4,11.91,4.52,0.85
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.58,0.0,4.17,0.52,0.0,0.0,0.0,3.99,0.0,3.99,0.0,0.53,0.0,0.0,6.74,0.52,0.53,0.52,0.0,0.0,4.89,5.09,4.89,4.94,4.89,4.83,0.0,0.0,0.65,0.0,0.0,0.0,0.0,4.89,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,4.52,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.0,4.56,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.32,0.53,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.34,4.47,0.0,0.32,0.0,0.24,0.32,0.0,0.91,0.32,4.52,1.1,0.32,2.57,0.88,0.0,4.56
10,0.0,4.03,3.99,4.03,4.03,3.99,3.99,4.07,4.03,4.12,0.0,0.32,0.0,0.32,0.35,0.0,4.94,7.33,4.07,1.07,4.03,1.0,3.99,0.32,3.99,4.03,0.52,0.0,0.32,4.94,3.95,4.03,0.0,0.0,0.0,0.0,0.0,0.07,3.99,5.15,0.0,0.32,2.5,4.79,0.0,0.0,0.0,3.95,3.95,4.88,4.31,0.32,0.0,2.52,0.58,2.76,2.52,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,4.52,4.61,5.28,4.47,4.61,5.23,4.61,4.61,4.61,4.61,4.61,4.66,0.0,4.47,4.52,4.52,4.56,5.23,4.56,4.52,4.56,0.0,4.56,4.56,4.52,4.52,4.52,4.52,4.56,4.56,4.52,4.52,4.61,4.56,0.32,4.36,4.56,4.53,0.0,0.0,0.0,0.0,0.32,4.52,0.32,0.33,4.56,0.0,0.32,0.0,0.32,0.07,0.0,0.32,4.56,4.57,0.0,3.99,4.52,2.24,4.56,0.0,0.05
11,4.03,0.51,0.52,0.52,0.51,0.51,0.52,0.52,0.52,0.52,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0,3.89,0.52,0.52,0.57,1.53,0.0,1.69,1.78,0.0,0.32,0.0,0.0,0.84,0.57,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,4.07,0.0,2.0,0.0,0.0,0.0,4.03,0.84,2.44,0.0,1.59,0.0,0.0,2.0,0.32,1.79,2.0,1.98,4.52,4.57,4.52,4.56,4.56,4.56,4.52,4.47,4.47,4.56,4.52,4.56,4.52,4.52,4.52,0.3,4.61,4.56,4.47,0.0,0.0,1.15,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.32,0.32,0.32,0.32,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.07,0.0,0.32,0.0
12,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.57,0.52,0.32,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.32,0.0,0.84,0.0,0.46,0.0,0.0,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.33,0.32,0.98,0.32,0.32,0.97,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.32,0.32,0.32,0.32,0.98,0.32,0.32,0.32,0.0,0.32,0.32,0.32,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,0.32,0.0,0.0,0.32
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.32,0.32,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.32,0.44,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.32,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.32,9.11,0.32,0.32,0.0,0.0,21.81,0.66,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,7.08,0.0,0.32,0.0,0.0,0.0,0.32,0.0,0.32,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.32,0.0,0.0,0.32,16.19,0.33,0.0,7.36,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.32,0.2,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.52,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,0.32,0.0,0.0,0.0,0.0,0.57,0.45,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.32,0.32,0.32,0.32,0.0,0.0,5.4,5.08,0.0,0.0,4.81,0.85,7.24,0.32,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.68,2.76,22.47,0.32,0.0,0.0,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,0.53,0.33,0.34,0.0,0.0,4.34,4.29,4.25,0.0,0.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.99,4.29,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.0,0.0,0.0,4.56,13.31,12.48,20.42,0.0,0.0,0.58,0.35,0.0,0.32,0.58,0.0,0.64,15.65,0.84,0.85,0.0,0.32,0.33,0.0,0.32,0.32,0.0,4.87,0.32
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,12.14,0.84,2.25,28.52,4.07,2.29,2.74,7.46,0.0,10.52,0.0,0.68,0.0,0.0,2.01,0.32,0.0,6.38,0.0,0.0,0.88,0.89,4.44,9.3,5.26,0.84,0.0,5.23,0.0,0.32,0.0,4.12,0.0,1.01,0.0,0.0,8.49,4.16,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.32,4.36,0.0,0.57,0.76,0.85,0.0,0.32,0.0,0.0,0.32,11.41,0.0,0.0,0.0,0.84,0.0,0.0,0.32,0.21,0.69,0.31,0.0,0.23,0.33,1.47,4.59
18,0.0,4.52,4.47,4.47,4.56,4.56,4.56,4.47,4.43,4.39,22.2,0.0,0.84,0.0,12.2,0.85,0.89,0.65,4.32,0.45,4.52,0.6,8.3,0.0,11.22,10.95,0.0,0.0,0.0,0.57,5.83,4.47,0.0,0.0,0.0,0.0,0.0,0.0,7.64,2.0,5.14,0.0,4.56,2.98,0.0,0.0,0.0,7.19,0.0,0.84,0.57,0.0,0.2,4.56,0.32,4.56,4.61,4.52,4.52,4.61,4.43,4.51,4.56,4.03,3.99,3.99,3.95,3.99,4.07,4.07,3.91,4.03,3.99,0.0,4.03,3.99,0.0,4.52,4.52,4.61,4.52,4.56,4.52,4.56,3.99,3.99,3.99,3.99,4.07,0.52,3.11,4.03,2.55,2.52,2.48,2.5,4.07,2.55,2.0,2.43,2.55,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.61,4.56,0.68,0.0,0.32,0.0,0.0,2.81,6.34,0.32,0.32,5.38,0.89,0.32,0.0,0.32,0.0,0.0,0.0,0.74,25.29,22.74,5.41,16.71,18.9,6.13,0.32,2.52
19,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.86,0.0,0.0,0.31,0.32,0.0,0.0,0.0,0.0,0.0,1.01,1.94,0.32,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.43,0.42,0.32,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.32,0.0,6.96,0.57,0.0,0.0,0.32,2.43,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.52,0.53,0.52,0.52,0.57,0.52,0.52,0.53,0.53,0.52,3.95,0.52,0.52,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.53,0.57,0.52,0.53,0.32,1.4,0.53,1.98,2.0,2.06,2.04,0.52,2.0,0.32,2.08,2.0,2.1,4.56,4.56,4.56,4.47,4.61,4.47,4.94,4.94,4.89,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,6.05,0.55,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.41,0.89,0.84,1.5,0.61,0.85,0.78,0.0,0.32
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.32,0.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.33,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.71,0.58,0.0,0.43,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.32,0.32,0.32,0.32,0.31,0.32,0.32,0.32,0.0,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.32,0.0,0.68,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.63,0.57,0.32,0.34,0.0,0.0,4.66,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.34,0.0,0.0,0.0,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0
