%util,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,99.01,101.01,100.0,100.0,99.01,100.0,100.0,98.04,99.01,99.01,99.01,101.01,100.0,102.04,101.01,102.04,103.37,153.23,137.58,101.75,101.01,149.25,99.01,98.61,220.0,100.0,98.61,410.46,415.62,277.2,112.36,102.04,277.5,102.04,272.62,101.01,277.2,274.85,102.97,102.04,100.0,101.01,99.01,100.0,322.35,295.71,101.01,102.57,100.0,164.36,101.01,100.0,101.01,101.01,412.57,100.0,100.0,99.01,100.0,100.0,102.04,99.01,102.04,100.0,102.04,101.01,100.0,97.09,99.01,99.01,100.0,100.0,99.01,101.01,101.01,99.01,101.01,99.01,99.01,101.01,101.01,101.01,100.0,98.04,99.01,102.04,101.01,101.01,100.0,101.01,101.01,100.0,100.0,102.04,102.04,100.0,102.04,101.41,100.0,101.01,101.01,101.01,101.01,101.01,100.0,102.04,100.0,99.01,101.01,101.01,99.01,99.41,120.45,113.64,113.64,97.09,99.01,102.04,101.01,116.28,100.0,101.01,100.0,101.01,99.41,100.4,100.0,101.01,100.0,100.4,102.04,154.46,112.38,107.53,107.53,107.53,100.4,100.0,101.01,102.04
1,99.01,100.0,98.04,100.0,99.01,98.04,99.01,100.0,101.01,101.01,99.01,100.0,101.01,98.04,101.01,101.01,105.05,164.4,178.1,99.17,101.01,161.58,100.0,100.0,100.0,101.01,101.01,100.61,98.61,102.04,135.14,99.01,100.0,281.27,100.61,100.0,99.41,100.0,98.97,123.56,103.09,99.01,100.0,161.96,99.01,102.04,99.01,100.42,116.85,101.25,164.36,102.04,101.01,99.01,100.4,100.0,100.0,101.01,101.01,99.01,101.01,101.01,100.0,99.01,100.0,101.01,100.0,99.01,101.01,102.04,100.0,100.0,101.01,99.41,99.01,99.01,102.04,102.04,99.01,99.01,102.04,100.0,99.01,102.04,101.01,99.01,100.0,99.01,101.01,100.0,100.0,101.01,101.01,100.0,100.0,101.01,100.0,99.6,101.01,101.01,101.01,99.01,100.0,99.01,100.0,100.0,101.01,100.0,101.01,100.0,100.0,100.0,109.18,101.01,101.01,101.01,99.01,99.41,101.01,101.01,100.0,100.0,101.01,100.0,99.6,98.04,100.0,100.0,101.01,101.01,99.01,100.0,100.0,101.01,100.0,99.01,100.61,101.01,101.01,99.01
2,100.0,99.01,101.01,98.04,101.01,101.01,101.01,101.01,100.0,101.01,101.01,101.01,101.01,102.04,100.0,100.0,100.0,99.01,99.01,101.01,101.01,101.01,100.0,101.01,101.01,99.01,100.0,99.01,101.01,99.01,101.01,101.01,101.01,99.6,102.04,100.0,100.0,101.01,102.04,100.27,107.53,102.04,101.01,100.0,100.0,100.0,101.01,102.04,147.69,101.01,103.75,100.0,100.0,101.01,100.0,101.01,101.01,101.01,100.0,101.01,99.01,100.4,100.0,101.01,100.0,100.0,101.01,98.04,101.01,100.0,101.01,101.01,100.0,99.01,100.0,101.01,98.04,100.0,97.09,100.0,100.0,102.04,101.01,99.01,99.01,102.04,100.0,100.0,99.01,101.01,99.01,101.01,100.0,100.0,100.0,99.01,100.0,102.45,100.0,100.0,100.0,101.01,100.0,100.0,100.0,101.01,101.01,101.01,98.43,101.01,101.01,101.01,99.01,101.01,100.0,101.01,102.04,100.0,99.01,99.41,99.01,99.01,100.0,101.01,101.41,102.04,100.0,100.0,100.0,101.01,100.0,99.01,102.04,100.0,101.01,99.01,100.4,99.01,101.01,100.0
3,101.01,100.0,101.01,101.01,99.01,98.04,101.01,101.01,102.04,99.01,101.41,101.01,102.04,100.0,102.04,100.0,100.0,99.01,102.04,99.01,99.01,99.01,100.0,101.01,98.04,101.01,100.0,101.01,101.01,101.01,101.01,100.0,101.01,101.01,100.0,100.0,101.01,101.01,100.0,100.0,100.0,144.93,100.0,101.01,101.01,100.0,101.01,101.01,100.0,100.0,100.0,111.11,108.7,98.04,101.41,99.01,100.0,100.0,99.01,100.0,100.0,101.01,100.0,99.01,100.0,101.01,100.0,99.01,99.01,101.01,100.0,99.01,101.01,100.0,101.01,99.01,102.04,100.0,100.0,100.0,101.01,101.01,100.0,101.01,100.0,99.01,101.01,100.0,101.01,100.0,102.04,101.01,100.0,100.4,101.01,100.0,100.0,100.0,101.01,99.01,99.01,101.01,99.01,100.4,102.04,101.01,100.0,101.01,100.0,100.0,99.01,101.41,98.04,101.01,98.04,100.0,97.09,101.01,100.0,101.01,100.0,102.04,100.0,100.0,100.0,99.01,101.01,100.0,101.01,100.0,102.04,101.01,99.01,100.0,101.01,100.0,101.01,99.01,100.0,101.01
4,99.01,100.4,98.04,101.01,101.01,100.0,101.01,101.01,100.0,100.0,100.0,102.04,113.66,114.4,101.01,144.23,101.41,101.01,102.04,100.0,100.0,99.01,101.01,101.01,100.0,99.01,101.01,100.0,101.01,101.01,99.01,101.01,99.01,101.01,100.0,101.01,101.01,100.0,102.04,100.0,100.0,110.8,99.01,101.01,100.0,101.01,99.01,102.04,100.0,101.01,100.0,136.3,657.39,100.0,99.6,101.01,99.01,100.0,100.0,101.01,100.0,99.01,100.0,99.01,101.01,100.0,100.0,99.01,101.01,100.0,99.01,101.01,101.01,100.0,99.01,101.01,101.01,100.0,101.01,101.01,98.04,101.01,101.01,99.01,100.0,102.04,100.0,99.01,100.0,100.0,101.01,101.01,101.01,99.01,100.0,100.0,99.01,99.01,100.0,102.04,101.01,101.01,102.04,100.0,101.01,100.0,102.04,99.01,100.0,101.01,102.04,100.0,100.0,99.01,101.41,99.01,101.01,100.0,99.01,101.01,101.01,126.67,101.2,101.01,100.0,135.24,102.04,100.0,100.0,100.0,100.0,101.01,101.01,100.0,99.41,101.01,101.01,101.01,100.0,100.4
5,99.01,98.04,98.04,100.0,100.0,99.01,99.01,99.01,99.01,101.01,101.01,136.0,214.77,218.75,101.01,845.71,101.01,101.01,99.01,99.01,100.0,102.04,97.09,181.82,101.41,102.04,101.01,101.41,101.01,100.0,101.01,100.0,102.04,99.01,100.4,151.52,100.0,99.01,100.0,101.01,102.04,101.01,102.04,100.0,100.0,98.04,102.04,99.01,100.0,100.0,99.01,101.01,101.01,99.01,99.01,100.0,101.01,101.01,100.0,100.0,101.01,99.01,100.0,100.0,100.0,100.0,101.41,100.0,100.0,100.0,100.0,101.01,100.0,101.01,101.01,101.01,101.41,100.0,100.0,99.01,100.0,99.01,100.0,101.01,102.04,100.0,100.0,100.0,100.0,101.01,100.0,101.01,101.01,100.0,100.0,100.0,101.01,100.0,101.01,99.01,98.04,100.0,99.01,101.01,100.0,100.0,100.0,101.01,100.0,101.01,100.0,109.89,100.0,102.04,97.09,100.0,309.76,149.09,149.09,100.0,99.01,119.05,130.7,100.0,101.01,140.85,291.95,258.39,143.74,243.91,107.53,100.0,99.01,100.0,101.01,100.0,111.37,101.01,132.53,99.01
6,99.01,101.01,100.0,100.0,98.04,101.01,100.0,99.01,99.01,100.0,270.43,586.67,97.02,100.0,357.24,169.49,100.0,99.01,100.0,101.01,100.0,98.04,99.01,193.42,99.01,149.45,211.43,177.86,185.19,219.64,100.0,99.01,107.53,101.01,149.25,111.2,111.11,109.89,101.01,98.04,100.0,100.0,99.01,100.0,613.66,147.06,99.01,101.01,101.41,100.0,103.09,101.01,305.24,101.01,111.11,100.0,100.0,100.0,100.0,100.4,101.01,101.01,100.0,101.01,102.04,101.01,100.0,98.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,99.01,100.0,102.04,100.0,99.01,100.0,100.4,99.01,101.01,100.4,101.01,101.01,99.01,101.01,98.04,99.01,99.01,101.01,100.0,100.0,100.0,100.0,99.01,101.01,100.0,100.0,100.0,100.0,101.01,101.01,102.04,100.0,100.0,101.01,166.09,100.0,99.01,100.0,210.41,102.04,818.67,3070.0,101.01,100.0,99.01,117.65,100.0,100.0,101.01,102.04,113.64,1760.0,107.53,731.43,100.0,100.0,267.45,99.01,100.0,252.73,129.8,2456.0,212.27
7,99.01,99.01,101.01,102.45,102.04,97.09,102.04,101.01,100.0,99.01,99.01,100.0,100.0,99.01,102.04,101.01,241.33,311.11,300.0,975.0,100.0,311.48,198.55,98.33,165.14,135.14,195.82,633.33,894.12,812.5,153.85,101.01,149.41,111.11,150.5,100.0,110.8,151.2,124.55,102.04,100.0,111.11,102.04,101.01,103.09,171.24,101.01,194.29,98.04,160.58,100.0,270.27,100.0,100.0,1675.56,101.01,100.0,100.0,102.04,99.01,100.0,100.0,101.01,101.01,100.0,101.01,99.01,100.0,99.01,100.0,101.01,100.0,100.0,100.0,98.04,102.04,99.01,100.0,101.01,101.01,101.01,100.0,101.01,99.6,100.0,100.0,100.61,100.0,100.0,101.01,101.01,101.01,100.0,100.0,101.01,101.01,100.0,100.0,101.01,101.01,101.01,101.01,100.0,100.0,101.01,101.01,99.01,100.0,101.01,102.04,102.04,100.0,100.0,342.03,134.38,100.0,100.0,100.0,101.01,145.14,178.25,100.0,99.41,243.9,582.86,100.0,99.01,99.01,101.01,102.04,101.01,147.06,362.58,101.01,136.99,135.14,99.78,405.33,101.01,101.01
8,99.01,98.04,99.01,98.04,100.0,100.4,97.09,101.01,102.04,100.0,101.01,101.01,101.01,100.0,100.0,100.4,100.0,357.14,560.0,185.19,100.0,212.77,121.82,100.4,192.31,212.77,99.71,101.01,101.01,99.01,165.64,101.01,101.28,150.89,100.0,102.04,100.4,101.01,190.71,407.41,212.55,106.38,100.0,332.12,98.04,99.17,163.64,195.64,205.28,195.64,225.31,107.53,100.0,101.01,99.01,100.0,102.04,102.04,100.0,100.0,98.04,100.0,99.01,101.01,98.04,101.01,101.01,101.01,100.0,99.01,101.01,101.01,101.01,102.04,100.0,98.04,101.01,100.0,100.0,100.0,100.0,100.0,101.01,102.45,100.0,101.01,99.41,102.04,100.0,100.0,99.01,100.0,98.04,101.01,99.01,99.01,100.0,99.01,101.01,99.01,100.0,99.01,101.01,99.01,101.01,102.04,101.01,100.0,100.0,101.01,99.01,101.01,114.95,100.0,124.44,100.0,101.01,99.01,101.01,133.48,147.95,102.04,101.01,128.4,102.04,102.04,100.0,100.0,100.0,101.41,100.4,1485.71,128.21,101.01,1112.73,186.06,100.0,98.43,100.4,100.0
9,101.01,101.01,99.01,102.04,101.01,100.0,102.04,101.01,99.01,100.0,101.01,101.01,100.0,101.01,101.01,101.01,102.04,100.0,100.0,101.01,100.0,100.0,99.78,2315.56,212.77,101.01,200.43,254.84,406.98,102.04,100.0,100.0,100.0,101.28,102.04,111.11,100.61,101.01,101.41,120.45,194.91,99.01,99.01,137.95,102.04,101.01,195.64,99.01,188.77,100.4,120.9,101.01,100.0,99.01,316.54,101.01,99.01,98.04,100.0,100.0,100.0,100.0,101.01,100.0,101.01,101.01,100.0,100.0,99.01,101.01,99.01,99.01,99.01,100.0,100.0,101.01,99.01,101.01,101.01,99.01,100.0,100.0,100.0,100.0,100.0,98.04,100.0,102.04,101.01,100.0,101.01,99.01,100.0,99.01,101.01,102.04,102.04,101.01,99.01,102.04,101.01,102.04,101.01,101.01,101.01,100.0,100.0,100.0,101.01,100.0,102.04,100.0,99.01,101.01,101.05,101.01,100.0,100.0,100.0,100.0,98.04,100.0,100.0,100.0,99.01,99.01,100.0,101.01,101.01,99.01,100.61,102.45,99.01,100.0,101.01,100.0,100.0,100.61,99.6,101.01
