txkB/s,client01,client02,client03,client04
380,3402.65,3452.17,4811.58,2704.27
381,5006.95,5978.88,133.15,4387.94
382,1638.34,573.42,1934.62,155.71
383,1343.32,2132.42,145.92,2073.83
384,579.84,377.82,5463.64,313.6
385,5225.09,8186.64,3809.35,5251.21
386,6528.02,6507.7,1490.18,5474.29
387,3411.77,1403.35,3639.23,844.66
388,2817.96,4042.15,915.25,3339.86
389,2793.74,1380.09,5309.62,927.63
390,1978.73,5888.75,2710.28,4382.6
391,6189.11,3449.98,2294.31,3440.27
392,2099.3,2400.98,2127.6,1897.84
393,3006.98,2569.76,2918.03,2224.0
394,3493.97,4007.14,4628.13,2023.63
395,4202.81,3383.06,781.64,3662.93
396,647.57,596.41,4354.65,590.6
397,1993.45,4403.67,3284.35,3868.55
398,4066.12,3503.84,834.54,3083.91
399,2126.05,1316.19,762.68,240.9
