kbactive,client01,client02,client03,client04
0,28485856.0,26652700.0,26926268.0,27019436.0
1,28514432.0,26659240.0,26936676.0,27038460.0
2,28536240.0,26666216.0,26947024.0,27040892.0
3,28538320.0,26693132.0,26951112.0,27041180.0
4,28516760.0,26695588.0,26948528.0,27041772.0
5,28516492.0,26698156.0,26951460.0,27042336.0
6,28516376.0,26698492.0,26952296.0,27041800.0
7,28516188.0,26702608.0,26952648.0,27042040.0
8,28515404.0,26704612.0,26953104.0,27042008.0
9,28538812.0,26702836.0,26953872.0,27046068.0
10,28539048.0,26701168.0,26947880.0,27048564.0
11,28539272.0,26702960.0,26954132.0,27048812.0
12,28532732.0,26702928.0,26960448.0,27052588.0
13,28540648.0,26702376.0,26962588.0,27056784.0
14,28526712.0,26704676.0,26962596.0,27061032.0
15,28520252.0,26698524.0,26962832.0,27061488.0
16,28518660.0,26698528.0,26962952.0,27061468.0
17,28518236.0,26698496.0,26962784.0,27061680.0
18,28518196.0,26698508.0,26963000.0,27061788.0
19,28515032.0,26701716.0,26962992.0,27060292.0
20,28536852.0,26701788.0,26963248.0,27060356.0
21,28535904.0,26701768.0,26961412.0,27060408.0
22,28536280.0,26699876.0,26963364.0,27060604.0
23,28515256.0,26699948.0,26963584.0,27064884.0
24,28513096.0,26699988.0,26963512.0,27064788.0
25,28511144.0,26700272.0,26963656.0,27064872.0
26,28511328.0,26702512.0,26964028.0,27065096.0
27,28511548.0,26707060.0,26964284.0,27069368.0
28,28534724.0,26707132.0,26970852.0,27080044.0
29,28553392.0,26705468.0,26971096.0,27081844.0
30,28530000.0,26709856.0,26973128.0,27081652.0
31,28529456.0,26709944.0,26975448.0,27081796.0
32,28529460.0,26709944.0,26975888.0,27081976.0
33,28529672.0,26710000.0,26975744.0,27087660.0
34,28529796.0,26712180.0,26975912.0,27089928.0
35,28550928.0,26712344.0,26977864.0,27091824.0
36,28555072.0,26714460.0,26980164.0,27091940.0
37,28547036.0,26713820.0,26980496.0,27092132.0
38,28531152.0,26713904.0,26978852.0,27092352.0
39,28530096.0,26713996.0,26976652.0,27092640.0
40,28522096.0,26714000.0,26976908.0,27088704.0
41,28524344.0,26714028.0,26973172.0,27088804.0
42,28524332.0,26713812.0,26976960.0,27088972.0
43,28548152.0,26714156.0,26975212.0,27099504.0
44,28548496.0,26713688.0,26975384.0,27099624.0
45,28542752.0,26713752.0,26975344.0,27099900.0
46,28524424.0,26713828.0,26975064.0,27100032.0
47,28524700.0,26713664.0,26975116.0,27100016.0
48,28524588.0,26713592.0,26974864.0,27100156.0
49,28524396.0,26713528.0,26974996.0,27100224.0
50,28520968.0,26713740.0,26974808.0,27100432.0
51,28548668.0,26713896.0,26972768.0,27100392.0
52,28531548.0,26714180.0,26973016.0,27100572.0
53,28526688.0,26714172.0,26973140.0,27102192.0
54,28525036.0,26714260.0,26975424.0,27104472.0
55,28525328.0,26714608.0,26971348.0,27104372.0
56,28525288.0,26706748.0,26971956.0,27104308.0
57,28525192.0,26706744.0,26971700.0,27104572.0
58,28545088.0,26706808.0,26969748.0,27104484.0
59,28529912.0,26706596.0,26971960.0,27104564.0
60,28523032.0,26706172.0,26971912.0,27104624.0
61,28526948.0,26705492.0,26969356.0,27104532.0
62,28526784.0,26705480.0,26967192.0,27104744.0
63,28526148.0,26705772.0,26967376.0,27100708.0
64,28526156.0,26705856.0,26969464.0,27104936.0
65,28549036.0,26706196.0,26967756.0,27104984.0
66,28551340.0,26706384.0,26967864.0,27104944.0
67,28525284.0,26706448.0,26965748.0,27105188.0
68,28525508.0,26706388.0,26967232.0,27105060.0
69,28525956.0,26706632.0,26967008.0,27105116.0
70,28524200.0,26706868.0,26964560.0,27105168.0
71,28526344.0,26707092.0,26966888.0,27105708.0
72,28547400.0,26707188.0,26973672.0,27105292.0
73,28549176.0,26707176.0,26973580.0,27105380.0
74,28536656.0,26707228.0,26972980.0,27105544.0
75,28527948.0,26707528.0,26972664.0,27105512.0
76,28525688.0,26707484.0,26972408.0,27105752.0
77,28525752.0,26707648.0,26970268.0,27106024.0
78,28525320.0,26707956.0,26970272.0,27105876.0
79,28525516.0,26708080.0,26970080.0,27106068.0
80,28543332.0,26708100.0,26969860.0,27106672.0
81,28550828.0,26708168.0,26969180.0,27106424.0
82,28535968.0,26708544.0,26962804.0,27109204.0
83,28529300.0,26708416.0,26968692.0,27108736.0
84,28528644.0,26708556.0,26968764.0,27108936.0
85,28528716.0,26708804.0,26968884.0,27108916.0
86,28528588.0,26708760.0,26966448.0,27109112.0
87,28528392.0,26709072.0,26966336.0,27109504.0
88,28553612.0,26709020.0,26966072.0,27109648.0
89,28530136.0,26709112.0,26966160.0,27109460.0
90,28527476.0,26709356.0,26966248.0,27109676.0
91,28527036.0,26709620.0,26967208.0,27109724.0
92,28527168.0,26709708.0,26969324.0,27107800.0
93,28527360.0,26709808.0,26969320.0,27105936.0
94,28551796.0,26709944.0,26971612.0,27105804.0
95,28556948.0,26710092.0,26972132.0,27106400.0
96,28547012.0,26710504.0,26972056.0,27106272.0
97,28532532.0,26710684.0,26972376.0,27106456.0
98,28532368.0,26710096.0,26970448.0,27106772.0
99,28532332.0,26710128.0,26968596.0,27106664.0
100,28530696.0,26709460.0,26968732.0,27106784.0
101,28530500.0,26709168.0,26972756.0,27106984.0
102,28555056.0,26708660.0,26974740.0,27106956.0
103,28556984.0,26708360.0,26975492.0,27107068.0
104,28556144.0,26707528.0,26975460.0,27107300.0
105,28533976.0,26707320.0,26977540.0,27107228.0
106,28530936.0,26706552.0,26977660.0,27107488.0
107,28531152.0,26706564.0,26977788.0,27107660.0
108,28531408.0,26706136.0,26977708.0,27107712.0
109,28531528.0,26709044.0,26978000.0,27105908.0
110,28556484.0,26707684.0,26980420.0,27110252.0
