avgrq-sz,aceph01,aceph02,aceph03,aceph04
0,18.221,18.397,18.78,18.113
1,17.86,18.169,18.103,18.407
2,17.82,17.597,17.605,16.951
3,17.466,17.809,17.558,17.022
4,17.069,17.445,17.231,17.468
5,17.411,17.128,16.921,17.147
6,17.372,16.976,15.152,16.976
7,17.234,15.034,17.505,16.965
8,17.007,17.638,17.237,16.752
9,17.421,16.899,17.223,15.064
10,15.338,16.774,16.703,14.885
11,14.64,16.281,16.388,14.515
12,15.003,16.353,16.497,14.598
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,15.075,17.192,16.893,17.147
18,15.402,16.746,16.754,16.894
19,13.086,15.062,17.478,12.8
20,15.098,14.414,16.243,17.246
21,15.108,14.555,14.73,11.448
22,15.296,18.021,14.533,11.14
23,14.708,14.327,16.652,13.435
24,14.849,14.568,14.865,13.216
25,16.685,12.957,16.901,16.783
26,16.589,13.66,17.023,13.353
27,15.176,13.033,15.216,15.008
28,0.0,0.0,0.0,0.0
29,14.764,15.038,14.899,13.298
30,14.776,14.565,17.071,15.521
31,14.89,11.228,16.77,16.769
32,17.336,13.022,16.183,16.996
33,14.785,13.207,17.981,16.609
34,14.6,11.483,12.8,14.578
35,9.333,8.0,9.066,12.8
36,14.513,13.308,14.94,16.243
37,14.786,17.231,14.665,16.587
38,14.685,16.236,11.386,16.899
39,15.042,16.379,15.134,16.574
40,15.246,15.155,15.242,14.796
41,15.263,12.874,13.615,14.515
42,13.099,13.139,13.23,16.894
43,15.304,15.447,16.84,14.745
44,16.83,16.897,15.245,14.765
45,16.526,14.864,13.418,16.521
46,16.42,15.543,13.043,16.295
47,16.745,14.857,15.148,16.888
48,1.6,0.0,0.0,0.0
49,16.503,14.623,14.709,16.739
50,14.744,16.699,16.954,15.037
51,15.062,16.925,16.408,13.141
52,0.0,0.0,0.0,0.0
53,0.0,0.0,13.223,0.0
54,13.198,16.352,16.477,15.468
55,16.556,14.748,16.479,16.981
56,16.412,16.826,16.884,16.682
57,15.764,14.89,16.939,14.878
58,19.585,16.916,16.736,15.234
59,17.206,16.402,14.714,16.133
60,16.848,12.98,13.017,14.88
61,14.628,13.508,12.878,15.518
62,14.763,14.498,12.785,14.833
63,14.728,14.983,15.132,16.964
64,14.993,15.544,16.916,16.203
65,14.906,14.988,17.028,14.805
66,14.811,15.253,17.106,15.312
67,14.523,16.0,13.488,14.484
68,16.909,17.325,14.451,14.925
69,16.633,14.847,13.115,16.502
70,14.798,12.943,15.271,14.977
71,15.341,15.011,17.412,15.1
72,13.325,17.053,16.659,13.014
73,14.947,16.317,16.335,14.502
74,15.901,16.861,14.895,16.316
75,11.067,12.6,14.4,11.2
76,15.09,16.304,15.104,13.222
77,13.363,16.187,14.588,15.074
78,15.749,16.517,13.095,16.958
79,13.174,14.866,15.115,13.092
80,13.474,16.86,16.803,15.055
81,14.805,16.5,16.519,15.041
82,11.533,14.657,14.697,15.643
83,15.906,12.953,14.72,14.835
