journal_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
135,0.001,0.003,0.001,0.001,0.001,0.001,0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0,0.001,0.0,0.0,0.0
136,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0,0.0,0.001,0.0,0,0.0,0.0,0.001,0.0
137,0.001,0.001,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.0,0.001,0.001
138,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.001,0,0.0,0.0,0.0,0,0.0,0.0,0.001,0,0.0,0.001,0.0,0.0,0,0.0,0.0,0.0
139,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001
140,0.0,0.001,0,0.0,0.0,0.001,0.0,0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.001,0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001
141,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.001
142,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.0
143,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.0
144,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.001,0.0,0.0,0,0.0,0.001,0.0,0.0,0.001,0.0,0.0
145,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001
146,0.001,0.001,0.001,0,0.001,0.001,0.0,0.001,0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0,0.001,0.001
147,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.0
148,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0,0.0,0.001,0.001,0.001,0.001,0.001
149,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001
150,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0,0.0,0.001,0.0,0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0
151,0.001,0.001,0.001,0.001,0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
152,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.0,0.001
153,0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0,0.0
154,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0,0.0,0.001,0.001,0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0,0.0
155,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.001,0.001
156,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001
157,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.0,0.0,0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0,0.0,0.0,0.0,0,0.001,0.0,0.0,0.001,0.0
158,0.001,0,0.001,0.001,0.001,0,0.0,0.001,0.001,0.001,0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
159,0.0,0,0.001,0.0,0.001,0,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0
160,0.0,0.001,0.001,0.0,0.0,0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001
161,0.001,0,0.002,0.0,0.002,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0
162,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001
163,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.003,0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001
164,0.0,0.001,0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0
165,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0,0.001,0.001,0.0,0,0.001,0.001,0.001,0,0.001,0.0,0.001,0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0
166,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.0,0.001,0,0.001,0.001,0.001,0.002,0.001,0.0,0.001,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
167,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0,0.001,0.001,0.0,0,0.0,0.001,0.0,0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0
168,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
169,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.0,0,0.0,0.0,0.001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0,0.0,0.0,0.001,0,0.0,0.001,0.0,0,0.0,0.001,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
171,0.0,0.001,0.0,0,0.0,0.0,0.0,0.003,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0,0.0,0.001,0.0,0.0,0.0,0.001,0.001
172,0.001,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.001,0.0,0.001,0,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001
173,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0
174,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0.0,0.001,0.001,0.001,0.0,0.001
175,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0,0.001,0.001,0.001,0,0.0,0.0
176,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001
177,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0,0.0,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001
178,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.0,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.001,0.0,0.0
179,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
180,0,0.002,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.001
181,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
182,0,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0,0.0,0.0,0.0,0,0.0,0.0,0.001,0,0.0
