w_await,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
222,71.2,0.0,226.0,959.5,1148.0,574.67,2098.0,502.29,0.0,0.0,1863.25,53.26,1368.0,31.2,0.0,204.0,0.0,752.8,525.26,1676.0,0.0,2034.86,926.0,1914.59,0.0,518.0,493.8,327.33,0.0,1784.0,1325.2,147.65,4388.0,1493.0,2288.0,401.82,541.71,1042.8,1651.76,0.0,0.0,820.33,1976.0,633.71,514.29,366.0,1634.0,573.75,1009.0,5027.0,1263.2,611.5,361.5,615.0,1576.0,551.56,3228.0,63.2,676.0,0.0,194.67,8.0,268.57,791.0,40.0,0.0,3596.0,0.0,755.2,472.92,2836.0,466.0,429.5,0.0,1826.4,827.0,388.67,504.44,0.0,0.0,467.79,712.0,0.0,327.2,0.0,0.0,0.0,480.0,0.0,255.0,0.0,700.0,0.0,0.0,0.0,0.0,131.33,0.0,0.0,0.0,0.0,0.0,0.0,778.46,1016.0,302.17,1584.0,312.8,759.2,141.33,0.0,0.0,1097.33,0.0,606.0,454.22,1290.0,0.0,0.0,0.0,1377.71,39.5,1396.89,4832.0,0.0,1520.0,4432.0,0.0,4632.0,2305.71,932.67,1581.33,0.0,0.0,1174.0,531.33,1475.0,0.0,3160.0,461.0
223,1083.2,0.0,549.0,14.22,76.12,0.0,164.8,125.71,491.75,0.0,1884.0,433.6,137.09,0.0,686.91,1804.89,1459.33,626.33,1020.0,0.0,1163.2,0.0,853.43,1054.0,888.0,0.0,284.29,1258.67,5934.0,474.4,0.0,550.89,1029.5,1793.45,1712.73,1356.0,1389.88,688.0,0.0,1156.57,1597.6,410.96,0.0,231.2,5004.0,328.0,615.0,95.2,1230.77,757.6,0.0,161.45,716.0,70.0,954.67,389.0,0.0,0.0,0.0,261.78,938.0,641.33,3504.0,0.0,1206.0,0.0,0.0,1432.0,12.0,0.0,666.0,0.0,0.0,1704.0,0.0,348.8,0.0,0.0,1084.25,0.0,0.0,221.6,1010.57,1336.33,4187.0,0.0,1664.44,1027.43,1078.93,1550.91,1082.0,1448.6,1223.38,800.0,1666.35,882.15,3380.67,929.68,899.8,1495.67,1115.37,2806.0,1221.6,202.93,1799.2,0.0,892.4,1275.0,690.0,1517.25,1271.0,726.0,1237.6,1689.33,853.9,432.0,73.74,1544.0,4470.4,1375.33,0.0,1215.0,4316.0,0.0,688.0,0.0,1038.74,1532.0,0.0,186.4,253.33,759.67,0.0,2887.64,1153.6,732.67,51.14,797.33,1228.0,0.0
224,3546.67,10560.0,0.0,1796.0,0.0,6316.0,3992.0,1836.5,86.74,1131.6,5850.0,0.0,0.0,1510.4,38.46,752.89,1071.4,971.85,698.67,512.92,0.0,0.0,538.35,789.0,980.0,700.62,1008.89,268.86,0.0,0.0,0.0,451.2,4.0,748.0,230.0,908.0,2335.2,0.0,2554.29,343.2,277.18,285.6,2931.43,1802.67,1570.0,719.08,3210.0,498.5,749.2,192.0,4692.0,2448.0,1204.22,1172.8,140.5,1986.67,955.43,1041.0,0.0,2472.0,0.0,8.0,2294.0,1140.92,60.0,0.0,1615.33,1425.71,940.0,5320.0,768.0,1685.43,1074.0,0.0,4260.0,2453.33,1436.71,5888.0,1455.33,4186.0,2902.0,3618.4,1659.33,1213.78,1625.33,2021.5,0.0,2888.0,3101.14,5185.33,202.75,1102.67,2368.4,3825.33,2178.67,994.22,4394.0,1611.33,1825.71,3189.14,1758.15,1613.71,3854.0,1345.0,3616.0,1426.82,5742.0,2051.2,1450.86,1343.0,560.74,1662.67,2026.67,840.0,3572.0,760.8,2282.77,0.0,657.07,0.0,0.0,0.0,0.0,2506.5,0.0,0.0,852.62,2332.0,0.0,1680.0,325.33,1588.0,3029.6,489.5,1020.73,2305.67,611.6,3921.33,234.0,0.0
225,1957.33,1135.53,3540.0,915.4,1042.83,634.82,1092.95,743.14,2377.33,1140.5,700.67,2228.0,2040.5,1506.18,149.5,4194.0,214.0,0.0,1940.0,1458.5,750.0,0.0,395.33,888.0,1296.84,1625.0,1291.33,1544.0,1920.0,1174.77,1078.8,679.2,2908.0,474.67,0.0,2448.0,364.0,1042.0,0.0,0.0,414.67,0.0,736.89,1217.33,321.09,807.64,0.0,0.0,0.0,344.4,1500.36,0.0,772.0,1896.0,2848.0,809.2,2080.67,2018.22,2258.25,1620.0,1436.0,1262.67,1208.8,475.67,1591.6,1394.86,2307.67,3748.0,4254.67,2109.67,1768.89,2375.2,4377.33,3592.0,1916.0,993.07,1041.33,788.0,1145.33,1804.0,1290.86,2606.8,1305.33,833.0,2086.55,2211.5,4248.0,1026.1,1816.67,413.82,1551.0,2224.0,1447.2,494.15,1951.0,7284.0,778.86,2039.6,1592.73,660.0,371.43,3300.0,626.29,2576.0,1086.86,1331.2,1632.92,968.0,998.55,1021.43,1977.6,883.24,0.0,487.53,0.0,1025.14,392.8,0.0,230.72,1362.12,4584.0,1859.08,0.0,98.4,4301.6,382.29,500.0,0.0,0.0,860.0,292.0,0.0,1124.28,1382.35,936.0,638.5,214.5,1544.25,1813.85,1361.56
226,1535.56,1283.6,1580.0,0.0,1043.11,340.0,0.0,0.0,748.75,0.0,397.54,0.0,0.0,555.0,1174.8,273.5,300.0,0.0,730.86,882.0,616.12,4236.0,341.33,732.0,0.0,1217.33,261.54,287.0,872.0,163.6,557.41,2516.0,2377.33,0.0,658.62,968.63,182.0,1251.36,1565.14,2248.0,817.6,913.28,3252.0,728.33,0.0,362.29,2050.0,2316.0,943.08,1445.45,598.35,3001.33,0.0,5504.0,436.0,2085.0,0.0,1686.4,0.0,1101.6,2320.0,1590.5,0.0,581.78,778.15,1093.54,6.67,0.0,0.0,0.0,2254.0,0.0,0.0,2051.29,0.0,0.0,4392.0,1574.86,523.41,2126.4,2072.8,646.67,0.0,747.43,98.0,0.0,1209.33,2376.0,443.67,0.0,1254.0,484.67,0.0,0.0,0.0,2568.0,464.8,888.0,998.67,966.0,296.5,1488.57,2494.0,1199.76,120.36,2688.0,0.0,3589.0,486.15,1080.31,4890.0,263.47,458.86,0.0,1423.11,946.46,1393.0,4740.0,0.0,1147.43,2125.9,0.0,1627.2,0.0,0.0,1054.86,0.0,2131.29,0.0,1704.67,0.0,988.8,0.0,636.0,797.71,598.08,299.2,173.0,273.2,170.95
227,1816.0,3326.0,0.0,3217.6,2240.0,1534.0,596.67,575.45,0.0,1028.0,124.0,2048.0,2418.0,1852.0,1048.75,1044.0,395.25,719.41,212.4,184.0,2883.0,11388.0,1071.73,760.36,0.0,0.0,597.38,3304.8,627.2,954.55,300.0,0.0,1561.0,0.0,166.86,560.0,775.0,491.68,3051.0,1830.5,508.0,440.0,1061.33,192.89,1530.4,512.4,601.88,2556.0,1506.0,150.67,762.18,2804.0,1447.2,529.33,1111.13,839.75,791.47,6348.0,679.71,916.0,1517.6,0.0,1695.67,2811.6,2476.0,5.33,1118.86,793.92,1417.56,1269.85,0.0,1648.0,1052.4,0.0,2247.11,1688.0,0.0,1349.14,560.0,1145.6,3266.0,461.78,897.33,668.0,320.0,912.0,1214.67,244.96,538.5,499.4,1186.0,272.89,1612.44,1650.0,1320.8,507.25,1252.8,692.0,104.0,557.0,244.52,447.73,377.64,705.71,1157.0,542.0,1054.67,245.87,882.0,4.4,0.0,0.0,1400.95,1684.0,0.0,1129.33,449.33,2260.0,2177.6,1370.0,157.33,1156.8,322.0,1256.0,1047.33,208.0,1288.0,334.57,0.0,0.0,1436.0,1515.5,1656.0,4848.0,2973.6,356.7,612.0,526.57,1525.0,3577.33
228,1400.0,643.33,2070.0,289.4,832.8,384.67,1012.0,1998.67,643.62,531.23,258.86,0.0,792.0,377.11,503.2,497.21,0.0,236.5,1039.43,0.0,1174.0,3551.6,1094.46,906.0,4328.0,0.0,202.67,1262.0,1016.67,314.0,550.0,880.62,876.0,4183.0,388.95,1434.0,0.0,310.46,379.43,522.74,569.54,1632.0,2846.0,0.0,566.33,560.0,764.4,434.29,592.15,804.89,278.0,858.36,690.96,1664.0,670.0,0.0,0.0,2446.5,694.4,432.33,2124.0,1138.0,1119.11,406.86,1503.5,1358.57,247.2,784.0,259.2,0.0,965.52,565.41,1207.33,1397.09,717.88,704.71,1302.8,1177.71,0.0,474.2,0.0,764.0,0.0,0.0,0.0,1080.0,0.0,765.71,0.0,2088.0,4260.0,0.0,672.0,380.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.2,814.8,1428.0,898.52,1761.6,1355.5,6379.43,220.8,40.12,1191.0,0.0,840.0,3261.33,0.0,288.57,3265.33,0.0,0.0,1550.0,1488.8,925.5,812.8,1572.0,2520.0,774.4,588.57,429.64,1443.6,1807.2
229,956.36,659.13,229.0,0.0,1408.0,128.0,0.0,1240.0,1357.33,20.8,671.81,1084.57,626.93,0.0,0.0,0.0,1609.33,5008.0,905.33,775.76,9.5,682.67,875.2,3824.0,1098.35,1016.18,303.75,890.0,1078.11,847.79,937.56,0.0,553.78,1106.0,380.0,289.6,1382.67,665.33,0.0,284.0,603.69,619.0,360.0,1399.25,807.5,1719.43,1032.0,0.0,336.33,2693.6,422.0,64.0,0.0,335.71,0.0,0.0,0.0,847.0,2769.33,864.0,964.0,1301.0,0.0,4.0,1006.93,810.67,0.0,345.6,0.0,3340.0,2658.0,0.0,0.0,423.64,0.0,1816.0,0.0,0.0,3257.0,0.0,0.0,0.0,3568.0,1772.0,1804.0,0.0,347.53,221.78,473.14,0.0,386.67,0.0,548.0,426.08,3476.0,0.0,1126.33,616.12,1274.0,488.0,860.0,1580.89,1848.0,0.0,556.44,496.0,1363.5,1534.0,0.0,1474.91,1412.89,459.2,266.4,385.0,4.67,0.0,2900.0,243.0,658.67,1598.29,650.0,0.0,0.0,3732.0,1026.8,5603.0,1121.6,0.0,3005.56,3558.0,0.0,1630.0,2166.29,1792.0,1561.33,820.0,1268.0,706.4,3788.0,804.0
230,539.67,0.0,264.0,4996.0,0.0,791.64,3628.0,0.0,0.0,530.0,216.67,0.0,0.0,527.69,0.0,1056.8,2444.0,830.0,869.2,0.0,3156.0,0.0,647.0,623.56,2522.0,69.09,0.0,672.96,927.2,1167.27,1080.0,1334.86,1009.09,560.0,813.71,2165.82,0.0,675.05,0.0,0.0,397.5,1716.92,3596.0,1222.0,0.0,0.0,849.78,3044.0,0.0,130.24,0.0,629.33,0.0,0.0,1601.6,0.0,1376.0,237.05,0.0,0.0,28.0,0.0,0.0,1053.0,1225.33,8.57,1096.0,840.0,1544.8,5056.0,0.0,1802.67,0.0,0.0,2104.0,715.08,272.44,910.0,1115.43,1568.62,676.16,1885.33,2733.71,1909.33,1238.25,529.23,5444.0,666.67,1214.86,4008.0,2556.29,1552.22,1251.43,712.48,1840.0,2286.91,861.43,627.0,1957.5,2636.0,1013.47,2110.29,1082.09,1268.0,1741.0,1368.0,2166.0,1613.85,438.2,1395.6,2456.0,4524.0,250.4,1740.0,174.29,1417.78,0.0,1072.67,740.0,54.5,1227.33,2160.0,1972.0,784.0,1310.67,614.77,0.0,1781.0,0.0,151.67,1280.0,418.0,988.0,2864.0,836.0,966.55,1278.5,0.0,330.4,953.33
231,0.0,1016.62,0.0,0.0,1703.0,414.67,928.62,1372.0,1581.33,800.67,2162.4,1957.33,537.33,1052.0,966.0,358.0,898.25,1028.8,556.0,670.24,0.0,506.8,508.8,3060.0,1462.67,1323.2,2994.0,979.75,2100.0,1166.33,1035.2,630.18,300.0,0.0,304.67,0.0,2796.31,168.0,2517.14,389.87,452.76,0.0,1621.0,596.8,780.0,489.03,1116.47,818.6,563.81,0.0,579.58,2302.0,5432.0,832.31,655.9,1623.37,3587.0,876.0,6196.0,1193.2,4442.4,0.0,1297.33,659.71,0.0,0.0,202.33,568.75,0.0,1550.4,846.5,1342.0,2430.0,257.0,1184.0,435.11,772.44,1299.69,532.0,605.5,1578.0,931.0,586.83,844.29,750.29,2540.0,725.29,1110.86,583.33,1010.22,496.44,464.62,412.86,821.09,760.67,2066.4,680.5,559.26,1079.33,764.0,1036.0,654.67,359.2,1540.0,1975.43,1642.0,245.67,844.0,1819.67,1262.67,356.8,342.93,1095.67,1478.0,1189.92,361.14,1738.0,490.33,1627.29,0.0,454.5,1771.43,0.0,2874.67,0.0,423.11,0.0,320.24,2200.0,678.44,0.0,1459.33,378.3,1430.13,1352.89,149.0,431.25,0.0,0.0,1337.2
