op_w_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.054,0.111,0.049,0.03,0.036,0.038,0.021,0.067,0.038,0.033,0.06,0.038,0.05,0.042,0.055,0.06,0.038,0.03,0.053,0.026,0.065,0.041,0.05,0.038,0.055,0.044,0.048,0.063,0.035,0.029,0.031,0.055,0.045,0.067,0.039,0.043,0.054,0.034,0.031,0.032
1,0.095,0.211,0.086,0.076,0.064,0.062,0.047,0.06,0.067,0.108,0.062,0.069,0.102,0.057,0.077,0.075,0.059,0.074,0.095,0.067,0.098,0.057,0.071,0.096,0.064,0.062,0.063,0.095,0.066,0.092,0.064,0.063,0.082,0.073,0.062,0.068,0.069,0.073,0.079,0.054
2,0.056,0.098,0.269,0.072,0.054,0.093,0.057,0.05,0.051,0.106,0.03,0.065,0.079,0.05,0.173,0.058,0.037,0.05,0.068,0.055,0.056,0.062,0.079,0.168,0.054,0.067,0.059,0.069,0.044,0.085,0.058,0.05,0.058,0.053,0.044,0.055,0.045,0.049,0.056,0.052
3,0.087,0.095,0.32,0.326,0.101,0.164,0.027,0.058,0.055,0.246,0.074,0.109,0.096,0.111,0.184,0.08,0.074,0.076,0.089,0.057,0.081,0.07,0.058,0.245,0.063,0.083,0.044,0.063,0.057,0.119,0.058,0.059,0.061,0.108,0.07,0.085,0.089,0.082,0.106,0.053
4,0.084,0.034,0.097,0.13,0.292,0.346,0.018,0.05,0.053,0.557,0.08,0.101,0.077,0.081,0.118,0.091,0.095,0.077,0.084,0.109,0.083,0.064,0.069,0.204,0.095,0.108,0.071,0.082,0.053,0.112,0.078,0.091,0.139,0.123,0.086,0.101,0.096,0.117,0.118,0.048
5,0.143,0.154,0.099,0.287,0.057,0.053,0.197,0.033,0.132,0.467,0.173,0.047,0.045,0.087,0.056,0.02,0.046,0.035,0.07,0.071,0.098,0.052,0.065,0.03,0,0.068,0.049,0.06,0,0.093,0.073,0.036,0.081,0.051,0.067,0.084,0.086,0.065,0.111,0.06
6,0.073,0.106,0.072,0.096,0.047,0.17,0.078,0.039,0.227,0.526,0.177,0.044,0,0.119,0.093,0.022,0.046,0.064,0.099,0.028,0.112,0.06,0.093,0.085,0.251,0.085,0.019,0.061,0.383,0.047,0.126,0.078,0.145,0.177,0.317,0.121,0.186,0.169,0.055,0.155
7,0.041,0.053,0.042,0.057,0.064,0.059,0.216,0.067,0.087,0.546,0.118,0.048,0.108,0.075,0.117,0.04,0.051,0.057,0.046,0.033,0.099,0.115,0.071,0.069,0.262,0.119,0.064,0.096,0.35,0.05,0.096,0.045,0.08,0.078,0.131,0.05,0.109,0,0.112,0.081
8,0.027,0.011,0.011,0.008,0.007,0.023,0.029,0.017,0.049,0.45,0.131,0.053,0.038,0.034,0.096,0.017,0.023,0.023,0.017,0.059,0.103,0.032,0.075,0.032,0.182,0.049,0.011,0.05,0.026,0.044,0.031,0.02,0.049,0.055,0.021,0.052,0.087,0,0.055,0.041
9,0.003,0.005,0.004,0.004,0.027,0.004,0.024,0.004,0,0.92,0.137,0.005,0.014,0.054,0.038,0.005,0.004,0.005,0.006,0.005,0.08,0.076,0.02,0.005,0.061,0.088,0.004,0.004,0.005,0.004,0.017,0.005,0.051,0.004,0.004,0.004,0.052,0,0.05,0.03
10,0.005,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0,0.828,0.007,0.007,0.008,0.006,0.071,0.005,0.162,0.007,0.076,0.081,0.196,0.006,0.14,0.005,0.004,0.12,0.005,0.084,0.005,0.112,0.005,0.004,0.076,0.045,0.005,0.108,0.219,0,0.005,0.217
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
